Date,Open,High,Low,Close,Volume
2005-11-15,6.25,7.0,6.25,7.0,4200
2005-11-16,6.5,6.88,6.5,6.86,4800
2005-11-17,6.9,6.9,6.79,6.85,3600
2005-11-18,6.78,6.85,6.65,6.65,9400
2005-11-21,6.62,6.71,6.62,6.71,1000
2005-11-22,6.7,6.71,6.6,6.6,1300
2005-11-25,6.55,6.6,6.52,6.6,1700
2005-11-28,6.56,6.6,6.52,6.52,2000
2005-11-29,6.62,6.62,6.5,6.5,3200
2005-11-30,6.5,6.5,6.05,6.5,20200
2005-12-01,6.4,6.4,6.26,6.3,1500
2005-12-02,6.25,6.29,6.25,6.29,1000
2005-12-05,5.08,5.15,5.08,5.15,1078
2005-12-06,128.95,129.51,128.04,128.09,302
2005-12-07,12.42,12.49,12.41,12.48,266
2005-12-08,32.0,32.06,31.8,31.88,173
2005-12-09,10.275,10.335,10.265,10.335,305
2005-12-12,6.0,6.0,5.99,5.99,400
2005-12-13,5.98,6.03,5.98,6.03,1700
2005-12-14,6.0,6.02,5.98,6.02,2800
2005-12-15,6.0,6.0,6.0,6.0,500
2005-12-16,5.98,6.0,5.95,6.0,5000
2005-12-19,6.05,6.1,6.0,6.0,1700
2005-12-20,6.1,6.12,6.1,6.1,2300
2005-12-21,6.1,6.1,6.05,6.05,400
2005-12-23,6.1,6.1,6.0,6.05,1500
2005-12-27,6.05,6.05,6.0,6.0,1000
2005-12-28,5.95,6.08,5.93,6.08,11100
2005-12-29,6.05,6.05,6.05,6.05,1900
2005-12-30,6.0,6.0,5.7,5.9,17800
2006-01-03,5.95,5.95,5.95,5.95,1400
2006-01-04,5.9,6.0,5.9,6.0,1500
2006-01-06,5.99,6.05,5.99,6.05,1200
2006-01-09,6.05,6.25,6.05,6.25,1100
2006-01-10,6.4,6.45,6.4,6.4,2200
2006-01-11,6.43,6.5,6.43,6.45,2700
2006-01-12,6.5,6.65,6.46,6.6,2600
2006-01-13,6.55,7.0,6.55,6.8,4000
2006-01-17,6.45,6.6,6.42,6.6,5600
2006-01-18,6.6,6.85,6.6,6.85,1900
2006-01-19,6.8,6.97,6.54,6.6,12800
2006-01-20,6.6,6.6,6.5,6.5,900
2006-01-23,6.58,6.58,6.58,6.58,100
2006-01-24,6.5501,6.5501,6.52,6.55,900
2006-01-25,6.58,6.75,6.58,6.7,3900
2006-01-26,6.6,6.6,6.6,6.6,500
2006-01-27,6.6,6.7,6.5,6.52,4700
2006-01-30,6.5,6.5,6.5,6.5,700
2006-01-31,6.42,6.5,6.42,6.5,700
2006-02-01,6.4,6.4,6.2,6.3,2800
2006-02-02,6.32,6.5,6.32,6.5,1100
2006-02-03,6.35,6.35,6.35,6.35,1000
2006-02-06,6.35,6.35,6.3,6.3,2000
2006-02-07,6.25,6.3,6.2,6.2,800
2006-02-08,6.16,6.2,6.05,6.15,3400
2006-02-09,6.14,6.162,6.14,6.162,400
2006-02-14,6.1,6.1,6.1,6.1,100
2006-02-17,6.1,6.1,6.1,6.1,1300
2006-02-21,6.15,6.2,6.15,6.15,900
2006-02-22,6.17,6.17,6.15,6.15,800
2006-02-23,6.07,6.07,6.07,6.07,1200
2006-02-27,6.1,6.1,6.1,6.1,1100
2006-02-28,6.15,6.15,6.15,6.15,200
2006-03-01,6.1,6.1,6.1,6.1,2500
2006-03-02,6.1,6.1,6.1,6.1,2500
2006-03-03,6.1,6.25,6.1,6.22,2800
