Date,Open,High,Low,Close,Volume
2007-05-25,3.4921,3.4991,3.4904,3.4904,8181948.0
2007-05-29,3.4904,3.4921,3.4904,3.4904,2678226.0
2007-05-30,3.4939,3.5235,3.4921,3.5096,1082400.0
2007-05-31,3.5288,3.5288,3.4921,3.4921,767248.0
2007-06-04,3.4939,3.5026,3.4904,3.4904,1067505.0
2007-06-05,3.5043,3.5043,3.4904,3.4904,621706.0
2007-06-06,3.4939,3.4956,3.4904,3.4904,870966.0
2007-06-07,3.4921,3.4921,3.4904,3.4921,1460016.0
2007-06-08,3.4921,3.4921,3.4904,3.4904,746051.0
2007-06-11,3.4921,3.4921,3.4904,3.4921,885293.0
2007-06-12,3.4904,3.4921,3.4904,3.4904,785012.0
2007-06-13,3.4904,3.4921,3.4904,3.4904,406831.0
2007-06-14,3.4904,3.4921,3.4904,3.4921,2276550.0
2007-06-15,3.4904,3.4921,3.4904,3.4904,881277.0
2007-06-18,3.4904,3.4921,3.4904,3.4904,415998.0
2007-06-19,3.4921,3.4921,3.4904,3.4921,1078962.0
2007-06-20,3.4921,3.4921,3.4904,3.4904,460694.0
2007-06-21,3.4904,3.4921,3.4904,3.4904,358699.0
2007-06-22,3.4904,3.4921,3.4904,3.4904,969523.0
2007-06-25,3.4904,3.4921,3.4904,3.4904,2804858.0
2007-06-26,3.4904,3.4921,3.4904,3.4904,1917839.0
2007-06-27,3.4904,3.4921,3.4904,3.4904,2002075.0
2007-06-28,3.4904,3.4921,3.4904,3.4904,669269.0
2007-06-29,3.4904,3.4921,3.4904,3.4904,14730833.0
2007-07-02,3.4904,3.4921,3.4904,3.4904,2792818.0
2007-07-03,3.4904,3.4921,3.4904,3.4904,1525905.0
2007-07-05,3.4886,3.4921,3.4886,3.4904,1424485.0
2007-07-06,3.4904,3.4921,3.4904,3.4904,1849654.0
2007-07-09,3.4886,3.4904,3.4031,3.4485,1034271.0
2007-07-10,3.445,3.4555,3.4066,3.4345,556957.0
2007-07-11,3.4258,3.4502,3.4206,3.438,498510.0
2007-07-12,3.438,3.4851,3.438,3.4851,629728.0
2007-07-13,3.4502,3.4869,3.4485,3.4712,552945.0
2007-07-16,3.4869,3.4869,3.4293,3.445,723127.0
2007-07-17,3.4555,3.4851,3.4555,3.4851,610818.0
2007-07-18,3.4799,3.4799,3.4293,3.452,612538.0
2007-07-19,3.4781,3.4781,3.4398,3.452,408549.0
2007-07-20,3.4467,3.4467,3.4048,3.4293,782147.0
2007-07-23,3.4278,3.47,3.3698,3.412,890976.0
2007-07-24,3.4278,3.4278,3.3223,3.3258,1166748.0
2007-07-25,3.3663,3.368,3.0726,3.2326,1989482.0
2007-07-26,3.1834,3.2185,3.0778,3.1622,2452875.0
2007-07-27,3.0849,3.2414,3.0849,3.2185,1001280.0
2007-07-30,3.2449,3.2449,3.1218,3.2115,974559.0
2007-07-31,3.2607,3.2924,3.1236,3.2361,1245203.0
2007-08-01,3.1851,3.2625,3.1675,3.2607,937033.0
2007-08-02,3.2731,3.2801,3.2045,3.2361,1325940.0
2007-08-03,3.2273,3.2959,3.2097,3.2344,860274.0
2007-08-06,3.1552,3.2168,3.0919,3.2097,1930347.0
2007-08-07,3.2115,3.2432,3.1658,3.2097,1308316.0
2007-08-08,3.2273,3.2889,3.2097,3.2361,1080854.0
2007-08-09,3.1886,3.2889,3.1834,3.2695,1539713.0
2007-08-10,3.1851,3.2097,3.0849,3.1693,1171286.0
2007-08-13,3.2459,3.2459,3.104,3.1164,1025553.0
2007-08-14,3.1164,3.1377,2.9,2.9479,2548939.0
