Date,Open,High,Low,Close,Volume
2022-09-01,2.0,3.03,1.3,2.08,2056943
2022-09-02,2.5,4.5,1.56,1.79,697254
2022-09-06,1.75,1.78,0.8501,1.16,104665
2022-09-07,2.1,2.2799,1.36,1.46,240632
2022-09-08,1.45,1.46,1.0,1.0,26432
2022-09-09,1.19,1.22,0.86,0.91,94524
2022-09-12,0.91,0.9899,0.7983,0.92,15207
2022-09-13,0.91,1.1,0.7674,0.8501,24289
2022-09-14,1.1,1.76,1.1,1.31,234568
2022-09-15,1.495,1.5,1.0001,1.15,21941
2022-09-16,1.17,1.3368,1.09,1.3,10928
2022-09-19,1.19,1.2,1.03,1.04,8512
2022-09-20,1.13,1.2432,0.93,1.01,11924
2022-09-21,0.93,1.0,0.7209,0.7209,11333
2022-09-22,0.7209,0.8505,0.5888,0.7,32690
2022-09-23,0.6122,0.67,0.6,0.6599,13889
2022-09-26,0.3146,0.3146,0.3146,0.3146,150
2022-09-28,0.5399,0.6499,0.469,0.469,12892
2022-09-30,0.3543,0.3543,0.3543,0.3543,116
2022-10-03,0.3243,0.5668,0.3243,0.5668,2200
2022-10-04,0.3532,0.3532,0.3532,0.3532,1000
2022-10-05,0.36,0.4199,0.3235,0.4199,1397
2022-10-06,0.45,0.5603,0.45,0.5,3100
2022-10-07,0.5503,0.5603,0.43,0.43,700
2022-10-10,0.5603,0.5603,0.4001,0.4299,350
2022-10-13,0.22,0.5306,0.22,0.3755,20199
2022-10-14,0.4641,0.558,0.3452,0.3964,13785
2022-10-17,0.4554,0.555,0.3,0.4229,10016
2022-10-18,0.23,0.48,0.23,0.3819,15337
2022-10-19,0.3606,0.5055,0.3304,0.3924,6383
2022-10-20,0.4566,0.5,0.3565,0.404,2015
2022-10-21,0.3732,0.5492,0.28,0.431,6796
2022-10-24,0.4701,0.549,0.3905,0.4697,7163
2022-10-25,0.52,0.54,0.3311,0.4202,5405
2022-10-26,0.55,0.55,0.3792,0.3992,4200
2022-10-27,0.3992,0.507,0.3602,0.4131,3548
