Date,Open,High,Low,Close,Volume
2021-11-10,875.2,1000.0,736.0,788.8,27348.17
2021-11-11,793.6,843.2,760.0,793.6,10612.39
2021-11-12,712.0,812.8,712.0,739.2,10604.35
2021-11-15,734.4,768.0,572.8,590.4,18475.17
2021-11-16,582.4,600.0,563.2,568.0,4448.7300000000005
2021-11-17,564.8,579.2,515.2,524.8,6469.97
2021-11-18,524.8,532.32,454.4,492.8,8323.54
2021-11-19,484.8,553.6,457.872,488.0,7746.9
2021-11-22,473.6,488.0,416.0,433.6,7093.2300000000005
2021-11-23,433.6,488.0,425.6,472.0,10005.58
2021-11-24,483.2,539.2,472.0,505.6,15183.07
2021-11-26,520.0,566.4,468.8,552.0,14153.56
2021-11-29,568.0,616.0,520.0,544.0,12738.52
2021-11-30,528.0,542.4,452.8,478.4,9585.2
2021-12-01,459.2,488.0,416.0,432.0,9638.06
2021-12-02,438.4,438.4,369.6,422.4,7689.71
2021-12-03,432.0,440.0,364.8,380.8,6138.49
2021-12-06,364.8,470.4,355.2,462.4,12698.19
2021-12-07,475.2,588.8,411.2,417.6,110410.77
2021-12-08,420.8,457.6,384.0,436.8,21832.15
2021-12-09,440.0,505.6,414.4,448.0,73525.23
2021-12-10,443.2,488.0,424.016,470.4,25505.36
2021-12-13,478.4,524.8,460.8,489.6,28790.54
2021-12-14,489.6,496.0,430.4,456.0,14198.11
2021-12-15,454.4,460.8,412.8,438.4,7972.52
2021-12-16,441.6,441.6,411.2,422.4,5212.51
2021-12-17,424.0,464.0,411.2,457.6,12891.68
2021-12-20,444.8,526.4,432.0,513.6,26235.88
2021-12-21,513.6,574.4,488.0,524.8,24269.49
2021-12-22,512.0,544.0,452.368,502.4,23300.8
2021-12-23,500.8,505.6,465.6,500.8,9747.99
2021-12-27,500.8,512.0,472.208,476.8,6889.86
2021-12-28,478.4,480.0,437.072,454.4,9640.210000000001
2021-12-29,440.0,459.2,404.8,432.0,8717.06
2021-12-30,425.6,441.6,406.4,428.8,4326.41
2021-12-31,425.6,427.2,397.408,409.6,3784.22
2022-01-03,409.6,475.2,409.6,473.6,8237.53
2022-01-04,473.6,475.2,440.0,467.2,5830.7
2022-01-05,476.8,476.8,432.0,448.0,6272.66
2022-01-06,436.8,444.8,408.0,420.8,6230.42
2022-01-07,427.2,427.2,403.2,424.0,3845.17
2022-01-10,424.0,446.4,408.0,440.0,3833.59
2022-01-11,446.4,452.8,432.0,436.8,3460.49
2022-01-12,440.0,523.2,424.0,433.6,43773.12
2022-01-13,430.4,472.0,409.6,438.4,29057.420000000002
2022-01-14,430.4,433.6,416.0,427.2,3642.97
2022-01-18,427.2,427.2,403.2,412.8,4003.85
2022-01-19,411.2,423.648,384.0,393.6,4558.59
2022-01-20,388.8,406.4,345.6,360.0,5479.81
2022-01-21,368.0,377.6,323.2,331.2,5977.96
2022-01-24,334.4,344.0,246.4,302.4,9764.33
2022-01-25,300.8,310.4,257.6,280.0,5665.72
2022-01-26,281.6,297.6,265.6,280.0,1831.24
2022-01-27,272.0,283.2,243.2,256.0,3420.0
2022-01-28,296.0,296.0,232.0,267.2,3603.46
2022-01-31,272.0,304.0,243.2,257.6,12248.26
2022-02-01,257.6,259.2,243.2,248.0,5249.3
2022-02-02,244.8,249.6,216.0,224.0,8165.13
2022-02-03,220.8,224.0,201.6,214.4,3028.22
2022-02-04,209.6,211.2,188.8,196.8,4346.24
2022-02-07,200.0,203.2,180.8,192.0,4006.47
2022-02-08,198.4,201.6,184.0,198.4,2265.55
2022-02-09,196.8,208.0,187.2,200.0,4137.34
2022-02-10,195.2,224.0,184.016,206.4,9059.37
2022-02-11,206.4,211.2,185.6,190.4,3205.84
