Date,Open,High,Low,Close,Volume
2004-07-26,8.0815,8.2803,7.8544,8.2803,221652
2004-07-27,8.2803,8.2803,8.0153,8.0248,85749
2004-07-28,8.0626,8.2329,8.0058,8.1005,136335
2004-07-29,8.1856,8.1856,8.0153,8.091,76703
2004-07-30,8.1667,8.7061,8.1667,8.5168,123172
2004-08-02,8.7061,9.0846,8.6115,9.0752,94199
2004-08-03,9.0846,9.6051,9.0846,9.4253,292051
2004-08-04,9.3212,9.5105,9.0373,9.0373,537754
2004-08-05,9.4253,9.6997,8.091,8.1288,139290
2004-08-06,8.2613,8.9427,7.8544,8.6115,85773
2004-08-09,8.6399,8.9143,8.5168,8.8954,20921
2004-08-10,8.7061,8.7534,8.6749,8.744,9405
2004-08-11,8.7345,8.867,8.4411,8.4411,22162
2004-08-12,8.3844,8.6304,8.1383,8.5168,20088
2004-08-13,8.2329,8.6588,8.2329,8.6588,20396
2004-08-16,8.6115,8.7818,8.3749,8.5547,41564
2004-08-17,8.7534,8.848,8.6001,8.8386,3678
2004-08-18,8.848,8.99,8.7061,8.7534,64747
2004-08-19,8.7818,9.2928,8.7818,9.0846,76574
2004-08-20,8.8954,9.0846,8.7534,8.8102,34261
2004-08-23,9.0752,9.0752,8.2519,8.5168,111574
2004-08-24,8.3749,8.7534,8.3749,8.5168,90461
2004-08-25,8.4222,8.8764,8.4222,8.6588,90028
2004-08-26,8.4695,9.4632,8.4695,9.4158,84732
2004-08-27,9.0846,10.0593,9.0846,9.7754,66159
2004-08-30,9.9363,9.9363,9.5105,9.7092,26950
2004-08-31,9.7281,10.1256,9.7281,10.0309,397813
2004-09-01,10.1445,10.9006,10.0309,10.4095,249215
2004-09-02,10.3622,10.523,10.2675,10.4189,223806
2004-09-03,10.4662,10.7312,9.9363,10.4095,36427
2004-09-07,10.4852,11.9709,10.4473,11.2138,88480
2004-09-08,11.299,11.5924,10.8353,10.9583,82651
2004-09-09,10.9016,11.2138,10.9016,11.1665,73103
2004-09-10,11.1665,11.8195,11.0246,11.3558,358407
2004-09-13,11.545,11.8763,11.3558,11.5924,236911
2004-09-14,11.6018,11.6397,11.2044,11.2044,106735
2004-09-15,11.3558,11.3558,10.6744,11.0435,55303
2004-09-16,10.8826,10.8826,10.1729,10.4568,136562
2004-09-17,10.4095,10.5987,10.277,10.5325,96599
2004-09-20,10.523,10.5703,10.3622,10.3622,73200
2004-09-21,10.4189,10.9394,10.3338,10.4095,50382
2004-09-22,10.4568,10.646,10.3527,10.4473,74908
2004-09-23,10.4095,10.6177,10.3243,10.4,47963
2004-09-24,10.3338,10.4,9.3685,9.747,55317
2004-09-27,9.6997,10.1256,9.6997,10.0215,78032
2004-09-28,9.8038,10.135,9.6146,9.7187,88441
2004-09-29,9.7754,10.1445,9.4821,9.7281,65987
2004-09-30,9.7754,9.8322,9.2455,9.2644,407507
2004-10-01,9.2928,9.6903,8.9995,9.6903,144082
2004-10-04,9.7092,9.9363,9.5105,9.6808,71339
2004-10-05,9.6051,10.154,9.4537,10.0972,44767
2004-10-06,9.9742,10.277,9.9742,10.154,31279
2004-10-07,10.154,10.154,9.6903,9.889,49573
2004-10-08,9.941,10.7492,9.747,9.9836,59619
2004-10-11,9.8417,10.8353,9.7944,10.7501,70145
2004-10-12,10.6934,10.6934,9.9174,10.1161,40880
2004-10-13,10.1918,10.2391,9.9836,10.154,14223
2004-10-14,10.2959,10.3527,9.3874,9.7511,34667
2004-10-15,9.7556,10.2107,9.4348,9.747,11283
2004-10-18,9.8985,9.8985,9.4915,9.8985,19857
2004-10-19,9.8228,10.4095,9.8228,10.3357,47968
2004-10-20,10.135,10.5893,9.9647,10.5893,268737
2004-10-21,10.5609,10.9016,10.5609,10.9016,24426
2004-10-22,10.9016,11.2895,10.2107,10.4946,59325
2004-10-25,10.4095,10.8826,10.2202,10.7028,17273
2004-10-26,10.523,10.8826,10.4379,10.788,13160
2004-10-27,10.9205,11.1476,10.3148,11.1452,31117
2004-10-28,11.1665,12.1696,11.1646,11.8384,160171
2004-10-29,12.1128,12.4914,11.6397,11.7722,104502
2004-11-01,11.7722,12.0561,10.5514,10.8448,75299
2004-11-02,10.9299,11.3558,10.9299,11.035,18915
2004-11-03,11.1902,11.4504,11.1902,11.4476,40209
2004-11-04,11.3085,11.933,11.2706,11.81,111482
2004-11-05,11.8289,12.2453,11.7816,12.0939,70130
2004-11-08,12.1128,12.5387,12.1128,12.2264,94545
2004-11-09,12.2264,12.6806,12.1602,12.3589,119592
2004-11-10,12.4052,12.4062,11.9898,12.321,114094
2004-11-11,12.2453,13.8541,12.2453,13.6553,148773
2004-11-12,13.4188,13.7216,13.1538,13.1822,357765
2004-11-15,13.2484,13.5986,13.1538,13.5796,292813
2004-11-16,13.5702,13.5702,12.8036,12.8699,82325
2004-11-17,13.0118,13.1349,12.7753,12.8699,40704
2004-11-18,13.0118,13.0118,12.8415,12.9645,171112
2004-11-19,13.0024,13.485,12.7563,13.1538,95429
2004-11-22,13.2863,13.2863,11.8195,12.6144,121263
2004-11-23,12.6522,12.9361,11.8668,11.9993,93213
2004-11-24,12.1507,12.6238,11.9141,11.9709,60211
2004-11-26,11.9141,12.321,11.8289,11.9236,38600
2004-11-29,11.9236,12.4157,11.5924,11.6965,166642
2004-11-30,11.5924,12.0466,11.2422,11.8289,109099
2004-12-01,12.0277,12.0655,11.4504,11.4977,73618
2004-12-02,11.4031,12.7185,11.4031,12.6049,87140
2004-12-03,12.7185,13.1065,12.3116,12.5481,62395
2004-12-06,12.4251,12.9077,11.8006,12.2453,54252
2004-12-07,12.533,12.533,11.9993,12.1602,64133
2004-12-08,12.0655,12.5671,11.6681,12.1128,31775
2004-12-09,12.1223,12.3021,11.6681,12.0371,48883
2004-12-10,12.3021,12.444,12.3021,12.4043,35272
2004-12-13,12.5292,12.5387,12.1128,12.3021,65340
2004-12-14,12.3021,12.4724,12.1885,12.3418,24453
2004-12-15,12.198,12.321,12.1223,12.1791,40512
2004-12-16,12.2642,12.4251,12.2075,12.3021,38362
2004-12-17,12.3021,12.7185,12.0844,12.4204,183328
2004-12-20,12.3967,13.731,12.3305,13.1065,132323
2004-12-21,13.4282,13.4282,12.6333,12.7847,189935
2004-12-22,12.7753,13.2295,12.7374,13.0116,119346
