Date,Open,High,Low,Close,Volume
2024-07-24,3.8,4.15,2.25,2.53,1952562
2024-07-25,2.77,5.52,2.51,3.09,11465448
2024-07-26,3.09,3.55,2.7,2.91,1294556
2024-07-29,2.99,3.2,2.45,2.45,668240
2024-07-30,2.43,2.62,1.5,1.62,603018
2024-07-31,1.58,2.17,1.5,1.56,488496
2024-08-01,1.6,1.75,1.4,1.5399,220105
2024-08-02,1.45,1.79,1.38,1.69,572917
2024-08-05,1.61,1.69,1.2,1.29,444938
2024-08-06,1.4,1.4117,1.2,1.27,101923
2024-08-07,1.23,1.39,1.2,1.39,121922
2024-08-08,1.32,1.4,1.22,1.22,58199
2024-08-09,1.16,1.2899,1.13,1.28,30985
2024-08-12,1.3,1.5,1.23,1.25,73431
2024-08-13,1.22,1.4,1.21,1.26,65243
2024-08-14,1.31,1.34,1.17,1.18,70718
2024-08-15,1.23,1.28,1.1706,1.18,38746
2024-08-16,1.2,1.22,1.1028,1.15,83282
2024-08-19,1.11,1.22,1.075,1.13,143154
2024-08-20,1.29,1.29,1.14,1.2,76307
2024-08-21,1.1801,1.2299,1.1004,1.2299,74571
2024-08-22,1.2499,1.325,1.15,1.23,118628
2024-08-23,1.21,1.4499,1.21,1.44,117374
2024-08-26,1.42,1.45,1.15,1.25,116314
2024-08-27,1.14,1.19,0.9629,1.05,127923
2024-08-28,1.05,1.06,0.839,0.9199,127276
2024-08-29,1.0,1.0999,0.88,1.05,100436
2024-08-30,1.0,1.07,0.96,1.0,44813
2024-09-03,1.01,1.02,0.85,0.9,135612
2024-09-04,0.8615,1.03,0.826,0.93,30815
2024-09-05,1.0,1.59,0.7007,1.34,3730519
2024-09-06,1.28,2.8,1.13,1.75,139617762
2024-09-09,1.72,2.69,1.57,2.46,56398016
2024-09-10,2.44,3.4,2.05,2.15,42357440
2024-09-11,2.2,2.79,1.66,1.82,2956202
2024-09-12,1.84,1.95,1.67,1.72,1166950
2024-09-13,1.78,2.0,1.67,1.8306,540106
2024-09-16,1.71,1.95,1.6,1.68,438613
2024-09-17,1.74,1.81,1.58,1.62,264870
2024-09-18,1.65,1.69,1.28,1.38,339027
2024-09-19,1.36,1.36,0.8602,1.0522,777391
2024-09-20,1.03,1.13,0.91,0.9957,212455
2024-09-23,1.0,1.0,0.87,0.88,203436
2024-09-24,0.8979,0.9443,0.88,0.9088,63498
