Date,Open,High,Low,Close,Volume
2022-05-25,52.0,173.3,41.5,49.9,14883.4
2022-05-26,57.1,90.0,35.001,37.5,29592.3
2022-05-27,42.0,49.7,31.1,33.4,10765.5
2022-05-31,34.2,37.4,27.5,30.9,25406.1
2022-06-01,31.5,32.4,30.2,30.2,10983.5
2022-06-02,31.3,31.3,29.3,29.6,8806.4
2022-06-03,29.6,30.8,28.1,28.6,3548.1
2022-06-06,29.8,34.9,28.1,28.2,16873.4
2022-06-07,28.6,29.8,27.5,28.888,5663.4
2022-06-08,29.7,37.4,29.6,31.6,16140.7
2022-06-09,31.5,32.9,29.6,32.9,1796.7
2022-06-10,30.3,31.0,28.3,29.5,333.4
2022-06-13,30.4,31.1,27.9,29.65,3996.0
2022-06-14,28.9,30.3,27.6,29.974,415.8
2022-06-15,27.4,29.2,27.0,29.0,963.0
2022-06-16,27.5,27.999,25.6,27.4,1665.3999999999999
2022-06-17,27.999,29.9,27.4,29.1,2281.7
2022-06-21,30.0,36.3,30.0,36.3,44.1
2022-06-22,29.2,32.7,29.2,32.5,4490.9
2022-06-23,32.4,34.0,32.0,33.823,3477.2
2022-06-24,34.05,35.0,32.4,32.7,2113.0
2022-06-27,36.2,36.2,31.6,32.2,4278.7
2022-06-28,32.8,39.0,32.8,34.0,5969.1
2022-06-29,34.0,36.3,33.505,34.3,2978.9
2022-06-30,35.5,35.5,30.55,35.1,1565.5
2022-07-01,33.501,37.3,33.2,33.2,2034.5
2022-07-05,32.2,32.7,30.15,30.4,4599.8
2022-07-06,30.7,31.9,30.2,30.75,1756.7
2022-07-07,31.0,35.3,30.7,33.85,789.9
2022-07-08,34.4,35.0,31.5,33.5,939.2
2022-07-11,34.5,39.0,33.0,34.1,5006.6
2022-07-12,35.7,35.857,32.2,34.1,1286.8
2022-07-13,33.999,35.8,33.999,35.548,862.5
2022-07-14,32.9,34.1,31.5,32.6,2264.6
2022-07-15,34.2,34.2,33.0,33.1,362.9
2022-07-18,32.1,33.5,31.8,32.6,1527.7
2022-07-19,33.1,35.1,32.3,33.5,911.1
2022-07-20,33.5,36.4,33.5,35.399,347.0
2022-07-21,33.4,37.781,33.4,36.85,3439.0
2022-07-22,37.9,39.8,37.565,39.2,2688.6
