Date,Open,High,Low,Close,Volume
2023-08-17,10.25,10.25,10.1,10.11,516360
2023-08-18,10.15,10.2,10.11,10.11,350922
2023-08-21,10.13,10.13,10.11,10.12,61638
2023-08-22,10.13,10.13,10.13,10.13,10000
2023-08-23,10.13,10.13,10.12,10.12,19800
2023-08-24,10.11,10.125,10.11,10.12,190636
2023-08-25,10.1335,10.1335,10.12,10.12,451450
2023-08-28,10.13,10.13,10.12,10.12,100100
2023-08-29,10.13,10.15,10.12,10.14,220280
2023-08-30,10.14,10.1415,10.14,10.1415,55105
2023-08-31,10.15,10.15,10.14,10.14,11800
2023-09-01,10.15,10.15,10.14,10.14,4400
2023-09-06,10.15,10.1584,10.15,10.1584,155880
2023-09-07,10.15,10.16,10.15,10.15,105765
2023-09-11,10.15,10.16,10.15,10.15,52255
2023-09-13,10.18,10.1863,10.15,10.15,1600
2023-09-15,10.22,10.31,10.2,10.2,8769
2023-09-18,10.15,10.16,10.15,10.16,676
2023-09-19,10.17,10.22,10.15,10.16,20700
2023-09-20,10.15,10.15,10.15,10.15,100
2023-09-21,10.17,10.175,10.16,10.175,63232
2023-09-22,10.175,10.175,10.175,10.175,1600
2023-09-25,10.19,10.19,10.19,10.19,1000
2023-09-27,10.23,10.23,10.2,10.2,4400
2023-10-03,10.195,10.2,10.195,10.2,400
2023-10-05,10.2,10.21,10.2,10.21,900
2023-10-06,10.205,10.21,10.205,10.21,200
2023-10-09,10.2,10.2,10.2,10.2,1000
2023-10-10,10.2,10.205,10.2,10.2,1014
2023-10-11,10.205,10.205,10.2,10.2,700
2023-10-12,10.209,10.21,10.2,10.21,10006
2023-10-13,10.25,10.25,10.25,10.25,200
2023-10-17,10.25,10.25,10.24,10.25,2101
2023-10-19,10.25,10.25,10.22,10.22,204
2023-10-20,10.22,10.22,10.21,10.21,850
2023-10-23,10.21,10.2101,10.21,10.21,4600
2023-10-27,10.22,10.23,10.22,10.22,151700
2023-10-30,10.24,10.24,10.22,10.23,106500
2023-10-31,10.23,10.23,10.225,10.23,18201
2023-11-01,10.23,10.23,10.225,10.225,1098
2023-11-02,10.23,10.23,10.23,10.23,81481
2023-11-03,10.27,10.27,10.27,10.27,100
2023-11-06,10.27,10.27,10.27,10.27,100
2023-11-07,10.24,10.24,10.24,10.24,638
2023-11-15,10.24,10.27,10.24,10.25,100434
2023-11-16,10.3,10.3,10.24,10.24,440
2023-11-17,10.25,10.25,10.25,10.25,2225
2023-11-20,10.25,10.25,10.245,10.25,80700
2023-11-21,10.26,10.26,10.26,10.26,19268
2023-11-22,10.27,10.27,10.27,10.27,100
2023-11-28,10.27,10.275,10.26,10.27,210320
2023-11-29,10.27,10.28,10.27,10.28,211260
2023-11-30,10.29,10.3,10.29,10.3,7944
2023-12-04,10.28,10.2867,10.28,10.28,36891
2023-12-05,10.28,10.28,10.28,10.28,1153
2023-12-06,10.28,10.29,10.28,10.29,13550
2023-12-07,10.29,10.29,10.29,10.29,77000
2023-12-08,10.28,10.28,10.28,10.28,29641
2023-12-11,10.2802,10.2802,10.2802,10.2802,1266
2023-12-12,10.295,10.3001,10.2925,10.3001,79816
2023-12-13,10.31,10.31,10.31,10.31,100
2023-12-14,10.3,10.3,10.3,10.3,44675
2023-12-18,10.29,10.3,10.29,10.3,8425
2023-12-19,10.31,10.3101,10.31,10.3101,77098
2023-12-20,10.35,10.35,10.35,10.35,258
2023-12-27,10.3432,10.3432,10.32,10.32,12040
2023-12-29,10.34,10.4,10.32,10.32,15939
2024-01-04,10.32,10.32,10.32,10.32,300
2024-01-05,10.34,10.35,10.34,10.35,54377
2024-01-08,10.35,10.36,10.35,10.35,4545
2024-01-09,10.35,10.3501,10.35,10.3501,380
2024-01-11,10.38,10.38,10.35,10.36,100600
2024-01-18,10.36,10.36,10.36,10.36,35358
2024-01-19,10.355,10.355,10.35,10.35,23082
2024-01-25,10.35,10.35,10.35,10.35,6310
2024-01-29,10.35,10.35,10.35,10.35,7100
2024-01-30,10.35,10.36,10.33,10.33,12092
2024-01-31,10.35,10.3788,10.35,10.36,52900
2024-02-07,10.395,10.44,10.395,10.44,1459
2024-02-09,10.35,10.44,10.34,10.355,429657
2024-02-12,10.361,10.361,10.36,10.36,101356
2024-02-13,10.36,10.36,10.355,10.36,194227
