Date,Open,High,Low,Close,Volume
2021-04-30,13.62,16.265,12.77,14.02,3243560
2021-05-03,14.1,14.8499,13.8,14.2,369747
2021-05-04,14.4,14.485,13.2,13.69,406597
2021-05-05,13.99,13.99,12.25,12.8,281370
2021-05-06,13.05,13.79,12.85,13.4,223152
2021-05-07,13.79,13.95,13.2,13.53,190298
2021-05-10,13.71,13.98,13.39,13.5,102078
2021-05-11,13.4,13.74,13.21,13.57,179067
2021-05-12,13.52,14.68,13.52,14.4,120252
2021-05-13,14.8,16.0,14.8,15.75,252496
2021-05-14,16.38,17.87,15.755,16.77,156953
2021-05-17,17.7,18.1,16.61,17.0,56121
2021-05-18,17.1,17.18,16.68,16.92,46883
2021-05-19,16.72,17.1,15.2,16.17,77795
2021-05-20,16.2,16.68,15.03,15.36,50996
2021-05-21,15.5,15.5,14.31,14.58,21240
2021-05-24,14.79,15.14,14.02,14.32,23986
2021-05-25,14.74,14.896,14.02,14.15,84091
2021-05-26,14.16,14.8956,14.0,14.55,104333
2021-05-27,14.55,14.79,13.8,13.85,76504
2021-05-28,14.52,14.94,13.76,14.78,127737
2021-06-01,15.14,15.14,14.6,15.1,52134
2021-06-02,14.9,15.1,14.2,14.2,18221
2021-06-03,14.2,14.2,13.75,13.9,18753
2021-06-04,13.85,14.52,13.85,14.5,14400
2021-06-07,14.28,15.64,14.28,15.64,51447
2021-06-08,16.4291,16.4291,15.44,15.46,13169
2021-06-09,15.22,15.46,15.2001,15.45,6472
2021-06-10,15.3,16.12,15.1779,15.19,15154
2021-06-11,15.16,15.87,15.1401,15.44,9048
2021-06-14,15.01,15.505,14.323,14.69,12032
2021-06-15,15.34,15.34,14.35,14.49,17442
2021-06-16,14.49,14.57,13.615,14.01,23530
2021-06-17,14.15,14.29,13.9,13.95,15368
2021-06-18,14.0,14.3,14.0,14.3,20408
2021-06-21,14.25,15.15,14.25,14.71,24306
2021-06-22,14.98,16.28,14.98,16.0,64040
2021-06-23,16.0,16.0,15.25,15.96,10817
2021-06-24,16.1,16.1,15.38,15.4,16111
2021-06-25,15.71,15.71,15.0,15.19,9788
2021-06-28,15.3,15.43,14.5,14.7,25148
2021-06-29,15.0,15.38,14.2301,14.33,37503
2021-06-30,14.65,17.99,14.65,16.77,138901
2021-07-01,16.94,16.94,15.5989,15.61,17949
2021-07-02,15.6101,16.2294,14.95,14.95,17545
2021-07-06,14.78,15.9263,14.78,15.18,7281
2021-07-07,15.16,15.8466,14.4,15.3,22774
2021-07-08,15.32,15.39,14.52,14.52,19698
2021-07-09,14.66,15.4854,14.66,15.1999,6834
2021-07-12,15.515,15.93,14.8496,15.57,17560
2021-07-13,15.42,16.39,15.11,16.39,24200
2021-07-14,16.4999,16.4999,15.95,15.95,4827
2021-07-15,16.2,16.2,15.9,15.995,12068
2021-07-16,16.45,16.48,15.95,16.0,97719
2021-07-19,16.0,16.0,15.46,15.61,5845
2021-07-20,15.515,16.3119,14.56,14.88,28951
2021-07-21,14.72,15.49,14.55,14.75,19691
2021-07-22,14.8,15.1563,14.75,14.76,2788
2021-07-23,14.81,15.0,14.395,14.68,8470
2021-07-26,15.27,15.27,14.61,15.0,9966
2021-07-27,14.99,15.13,14.7,15.0,4730
2021-07-28,15.1,15.34,14.5,14.5,3594
2021-07-29,14.51,14.99,14.51,14.77,3338
2021-07-30,14.75,14.8,14.56,14.56,600
2021-08-02,14.859,15.4666,14.5634,15.43,33878
2021-08-03,15.08,15.39,14.8102,15.07,13414
2021-08-04,14.7739,15.225,14.55,14.9,8430
2021-08-05,15.01,15.01,14.56,15.0,7582
2021-08-06,14.62,15.87,14.5959,14.86,66344
2021-08-09,16.29,16.29,14.87,15.58,14743
2021-08-10,15.8,15.8,14.8,15.02,4973
2021-08-11,14.8,15.25,14.6,14.77,19351
2021-08-12,14.75,15.125,14.4,14.72,11699
2021-08-13,14.9732,14.9732,14.41,14.55,12963
2021-08-16,14.92,14.99,14.37,14.79,2787
2021-08-17,14.59,14.7201,14.4,14.4,1100
2021-08-18,14.745,14.78,14.25,14.43,7518
2021-08-19,14.2,14.4,13.85,14.0,27485
2021-08-20,13.83,14.97,13.8,14.85,57831
2021-08-23,14.78,14.92,13.92,14.92,39683
2021-08-24,14.96,15.43,14.6,14.71,8223
2021-08-25,14.56,15.08,14.09,14.44,10230
2021-08-26,14.86,15.19,14.05,15.19,10212
2021-08-27,15.27,15.39,14.8,15.39,1708
2021-08-30,14.79,14.944,14.23,14.85,3868
2021-08-31,14.1306,15.13,14.1085,15.13,3984
2021-09-01,14.53,14.8,14.53,14.7,2500
2021-09-02,15.0,15.0,14.28,14.54,3900
2021-09-03,15.0,15.0,14.315,14.96,5157
2021-09-07,15.3,15.55,14.93,14.93,15468
2021-09-08,15.39,15.48,14.9001,15.04,4991
2021-09-09,15.27,15.34,14.64,15.34,8367
2021-09-10,15.48,15.75,15.11,15.6,7923
2021-09-13,15.95,15.95,15.18,15.505,10883
2021-09-14,15.95,16.0,15.57,15.97,9863
2021-09-15,16.0,16.5,15.4625,16.11,19406
2021-09-16,16.5,16.5,15.56,16.5,43693
2021-09-17,16.16,16.1999,15.535,16.0,79988
2021-09-20,15.59,16.0555,15.5,15.65,9604
2021-09-21,15.91,16.0,15.4,15.54,11179
2021-09-22,17.86,17.86,15.41,15.91,8753
2021-09-23,16.1,16.1,15.66,15.9,6841
2021-09-24,15.6,15.75,15.52,15.52,3951
2021-09-27,15.52,16.0,15.52,15.625,10354
2021-09-28,15.58,15.98,15.57,15.69,12417
2021-09-29,15.57,15.95,15.4,15.6,35243
2021-09-30,15.59,15.8097,15.59,15.74,3442
2021-10-01,15.71,15.79,15.28,15.55,25027
2021-10-04,15.06,15.5,15.06,15.44,10771
2021-10-05,15.3,15.4,15.02,15.02,21690
2021-10-06,15.2,15.2,14.14,15.1,49097
2021-10-07,14.8982,15.0,14.81,14.88,683
2021-10-08,14.9,14.9,14.33,14.33,17276
2021-10-11,14.06,15.31,14.06,14.38,6813
2021-10-12,14.9,15.33,14.555,15.33,13505
2021-10-13,14.525,15.3,14.5,14.94,2400
2021-10-14,14.98,14.98,14.44,14.55,39726
2021-10-15,14.64,14.64,14.64,14.64,395
2021-10-18,14.57,14.71,14.55,14.66,1771
2021-10-19,14.65,14.65,14.385,14.46,5293
2021-10-20,14.51,14.66,14.51,14.57,2192
2021-10-21,14.65,14.7499,14.62,14.7499,900
2021-10-22,14.7,14.7468,14.25,14.26,12036
2021-10-25,14.26,14.26,14.16,14.16,1639
