Date,Open,High,Low,Close,Volume
2021-02-17,23.9231,24.2389,23.8763,24.2389,310938
2021-02-18,24.1145,24.1623,24.0475,24.1145,192211
2021-02-19,24.1432,24.2006,24.0666,24.0762,120044
2021-02-22,24.0762,24.1432,24.0379,24.1049,114956
2021-02-23,24.0475,24.0858,23.4542,23.9805,174519
2021-02-24,23.9901,24.0666,23.9231,24.0188,102488
2021-02-25,24.0188,24.0475,23.8752,23.9901,110258
2021-02-26,24.0762,24.0762,23.8752,23.9231,700533
2021-03-01,24.0283,24.5924,24.0188,24.3824,271017
2021-03-02,24.6599,24.6599,24.4637,24.5929,116104
2021-03-03,24.6886,24.6886,24.5068,24.5642,35823
2021-03-04,24.5642,24.6886,24.4111,24.4111,64025
2021-03-05,24.5068,24.5364,24.4015,24.4111,20350
2021-03-08,24.6408,24.6503,24.4972,24.5355,34727
2021-03-09,24.5834,24.5929,24.3441,24.5738,36084
2021-03-10,24.6408,24.6886,24.4972,24.5451,34025
2021-03-11,24.6025,24.7365,24.5738,24.6881,32428
2021-03-12,24.6503,24.6885,24.5738,24.6408,50394
2021-03-15,24.6791,24.6838,24.5451,24.6121,31314
2021-03-16,24.5355,24.6599,24.5355,24.6408,54569
2021-03-17,24.5547,24.6695,24.5547,24.6408,30726
2021-03-18,24.6312,24.6408,24.526,24.5642,32661
2021-03-19,24.6408,24.6695,24.5642,24.6312,22043
2021-03-22,24.6408,24.7365,24.6408,24.6695,37746
2021-03-23,24.6686,24.7652,24.4398,24.5547,76435
2021-03-24,24.5451,24.5929,24.4781,24.5547,43923
2021-03-25,24.5355,24.6436,24.4972,24.6312,23052
2021-03-26,24.6215,24.6216,24.5451,24.5738,35854
2021-03-29,24.5929,24.6695,24.5748,24.6408,155309
2021-03-30,24.6791,24.7365,24.6372,24.7269,81923
2021-03-31,24.8609,25.3585,24.6503,25.3489,190372
2021-04-01,25.2628,25.2915,24.9853,25.1097,40279
2021-04-05,25.1097,25.2415,25.0235,25.1001,15832
2021-04-06,25.2054,25.2435,24.947,25.0905,32543
2021-04-07,25.0905,25.0905,24.9566,24.9661,24775
2021-04-08,24.9757,25.127,24.8417,24.88,29538
2021-04-09,24.8704,25.0972,24.8035,24.88,43937
2021-04-12,24.9566,24.9566,24.813,24.88,32473
2021-04-13,24.9279,24.9757,24.8733,24.88,80652
2021-04-14,24.5451,24.5737,24.4015,24.4494,64038
2021-04-15,24.5451,24.5738,24.4398,24.4494,14679
2021-04-16,24.4303,24.5451,24.4303,24.459,18728
2021-04-19,24.5236,24.6216,24.4494,24.6216,28919
2021-04-20,24.6216,24.6216,24.4015,24.4728,21387
2021-04-21,24.4972,24.7365,24.4972,24.7173,33284
2021-04-22,24.0283,24.8513,23.9709,24.6886,25954
2021-04-23,24.8417,24.8417,24.6319,24.7558,10884
2021-04-26,24.813,24.8226,24.7556,24.7779,9057
2021-04-27,24.8226,25.1575,24.7556,25.0235,20432
2021-04-28,24.8609,25.0484,24.7939,24.9661,16482
2021-04-29,24.9566,24.9661,24.7843,24.9566,7099
2021-04-30,24.9183,24.9661,24.7843,24.9661,7304
2021-05-03,24.9661,24.9661,24.8039,24.8039,5449
2021-05-04,24.88,24.9566,24.6887,24.9279,44134
2021-05-05,24.9227,25.0523,24.7991,24.8513,118495
2021-05-06,24.8795,24.8795,24.6845,24.7078,54967
2021-05-07,24.7173,24.836,24.6982,24.8035,33743
2021-05-10,24.7365,24.7843,24.6503,24.6503,15772
2021-05-11,24.6025,24.6886,24.6025,24.6599,17944
2021-05-12,24.6408,24.7365,24.4015,24.5164,61878
2021-05-13,24.4781,24.8035,24.4781,24.8035,83786
2021-05-14,24.8322,24.9374,24.746,24.8226,17976
2021-05-17,24.813,25.0714,24.813,25.0618,7104
2021-05-18,24.9501,25.0905,24.8957,25.0313,25461
2021-05-19,24.9948,24.9948,24.8322,24.8322,9824
2021-05-20,24.8896,24.9279,24.8417,24.8609,14001
2021-05-21,24.88,24.9185,24.8035,24.8035,19931
2021-05-24,24.8226,24.9135,24.8226,24.88,50089
