Date,Open,High,Low,Close,Volume
2007-05-16,13.2054,13.2054,13.2054,13.2054,1007
2007-05-17,13.404,13.404,13.1558,13.265,7700
2007-05-18,13.2551,13.404,13.2551,13.404,5587
2007-05-21,13.265,13.265,13.265,13.265,5288
2007-05-22,13.3047,13.3941,13.2551,13.3941,2316
2007-05-23,13.404,13.404,13.0069,13.404,10043
2007-05-24,13.0565,13.1558,13.0565,13.1061,6626
2007-05-25,13.0565,13.2551,12.9572,13.2551,3422
2007-05-29,13.2551,13.2551,13.0069,13.0565,2926
2007-05-30,13.2551,13.2551,13.2551,13.2551,101
2007-05-31,13.2551,13.2551,13.2551,13.2551,201
2007-06-04,13.0565,13.2551,12.7586,12.9076,7870
2007-06-05,12.8083,12.8083,12.8083,12.8083,392
2007-06-06,12.8083,13.1061,12.8083,12.9076,7001
2007-06-11,12.9076,12.9076,12.8083,12.8083,1007
2007-06-12,12.9572,13.0565,12.8083,13.0565,1307
2007-06-14,13.0069,13.0069,12.6593,12.9076,12388
2007-06-15,12.9076,12.9076,12.6593,12.6593,2015
2007-06-18,12.6593,12.8083,12.6593,12.8083,35704
2007-06-19,12.709,12.7586,12.6593,12.6593,3394
2007-06-21,12.6593,12.6593,12.6593,12.6593,1410
2007-06-22,12.6593,12.6593,12.6593,12.6593,1209
2007-06-25,12.7487,12.7487,12.6593,12.6593,252
2007-06-26,12.5601,12.5601,12.4111,12.4111,2536
2007-06-28,12.4111,12.4111,11.9147,11.9147,8158
2007-06-29,12.3515,12.3515,11.9743,11.9743,906
2007-07-02,12.4111,12.4111,12.4111,12.4111,402
2007-07-03,11.9643,11.9743,11.9643,11.9743,1615
2007-07-05,12.4111,12.4111,12.4111,12.4111,201
2007-07-09,12.4111,12.4111,12.4111,12.4111,101
2007-07-10,12.3615,12.3615,11.9445,11.9445,6440
2007-07-11,11.9147,11.9544,11.6168,11.9147,34909
2007-07-12,11.7161,11.9147,11.6168,11.9147,1223
2007-07-13,11.8154,11.8154,11.6168,11.6168,1310
2007-07-17,11.8154,11.865,11.7161,11.7161,1601
2007-07-18,11.7657,11.7657,11.6168,11.6168,4632
2007-07-19,11.6168,11.6168,11.4182,11.4182,1240
2007-07-20,11.2197,11.2197,11.0211,11.1601,23535
2007-07-23,11.17,11.17,11.17,11.17,3021
2007-07-25,11.17,11.17,11.0211,11.0211,2185
2007-07-26,11.0707,11.0707,11.0707,11.0707,2852
2007-07-27,11.17,11.2693,11.17,11.2693,19803
2007-07-30,11.2693,11.2693,11.1204,11.1204,605
2007-07-31,11.1204,11.2693,11.0211,11.2693,4599
2007-08-02,11.2693,11.2693,11.0211,11.0211,10856
2007-08-06,11.0211,11.0211,10.9714,10.9714,5082
2007-08-07,11.0211,11.0211,10.9218,10.9218,15723
2007-08-09,10.9218,10.9218,10.9218,10.9218,2014
2007-08-10,10.9714,10.9714,10.9119,10.9218,9892
2007-08-13,10.9714,11.0211,10.9714,11.0211,2440
2007-08-15,10.9714,10.9714,10.9714,10.9714,4584
2007-08-16,10.9714,10.9714,10.6736,10.6736,1342
2007-08-17,11.0211,11.1204,11.0211,11.1204,1178
2007-08-20,10.8225,11.1204,10.8225,11.1204,1006
2007-08-21,10.8721,10.8721,10.8225,10.8721,10122
2007-08-22,10.8225,10.8721,10.8225,10.8225,5598
2007-08-23,10.8721,10.8721,10.8225,10.8225,2518
2007-08-27,10.9218,10.9218,10.7729,10.7729,2417
2007-08-29,10.8225,10.8225,10.7729,10.7729,5418
2007-08-30,10.7729,10.7729,10.7729,10.7729,863
2007-08-31,10.7729,10.7729,10.1771,10.5743,14446
2007-09-04,10.5743,10.5743,10.5743,10.5743,201
2007-09-05,10.4253,10.4253,10.4253,10.4253,1208
2007-09-10,10.4253,10.4253,10.4253,10.4253,2556
2007-09-11,10.2764,10.3261,10.1771,10.3261,1406
2007-09-12,10.1771,10.3757,10.1771,10.1771,1786
2007-09-13,10.1275,10.1771,10.1275,10.1771,5640
2007-09-14,10.1275,10.1275,9.5417,9.8296,3800
2007-09-17,9.631,9.7303,9.631,9.631,1410
2007-09-18,9.9289,9.9289,9.631,9.631,4129
2007-09-19,9.7204,9.7204,9.7204,9.7204,137
2007-09-20,9.631,9.78,9.631,9.78,5483
2007-09-21,9.6807,9.6807,9.6807,9.6807,5842
2007-09-24,9.6807,9.6807,9.6807,9.6807,20748
2007-09-25,9.6807,9.6807,9.6807,9.6807,1007
2007-09-26,9.6807,9.78,9.5317,9.5814,14191
2007-09-27,9.5814,9.5814,9.5814,9.5814,697
2007-09-28,9.6807,9.6807,9.631,9.631,1712
2007-10-01,9.5814,9.5814,9.5317,9.5317,2295
2007-10-02,9.5317,9.5317,9.5317,9.5317,2914
2007-10-03,9.5317,9.8296,9.5317,9.8197,2309
2007-10-04,9.5814,9.9289,9.4325,9.9289,10053
2007-10-05,9.9289,9.9289,9.8296,9.8296,1008
2007-10-08,9.8296,9.8296,9.4424,9.4424,1411
2007-10-09,9.4325,9.6807,9.4325,9.6807,4784
2007-10-17,9.919,9.9289,9.919,9.9289,6647
2007-10-18,9.7303,9.9289,9.7303,9.9289,2632
