Date,Open,High,Low,Close,Volume
2000-01-03,14.271,14.3075,13.9243,14.198,8497537.0
2000-01-04,14.052,14.49,14.0155,14.0155,10176025.0
2000-01-05,14.0338,14.6543,14.0155,14.344,10700007.0
2000-01-06,14.8915,15.2565,14.7638,15.074,8713647.0
2000-01-07,15.439,16.096,15.4025,15.5667,10825011.0
2000-01-10,15.7857,15.9317,15.0375,15.0557,6210802.0
2000-01-11,15.074,15.5302,14.8185,14.8185,6537866.0
2000-01-12,15.0375,15.2747,14.928,15.074,5621752.0
2000-01-13,15.5302,15.585,15.2017,15.2382,5096720.0
2000-01-14,15.2017,15.439,15.147,15.1652,4994661.0
2000-01-18,15.0557,15.1105,14.563,14.5813,6830696.0
2000-01-19,14.5813,14.8003,14.3988,14.3988,5546057.0
2000-01-20,14.4718,14.5813,13.7418,13.76,7225578.0
2000-01-21,13.7783,13.9973,13.3221,13.833,8394788.0
2000-01-24,13.7235,13.7418,13.1578,13.2308,9145160.0
2000-01-25,13.0848,13.1396,12.4278,12.7381,10175000.0
2000-01-26,12.6651,13.3403,12.6651,13.1213,7063925.0
2000-01-27,13.1213,13.3038,12.8476,13.0118,5710788.0
2000-01-28,12.8841,13.1943,12.7016,12.7016,7944077.0
2000-01-31,12.5921,12.8293,12.3913,12.3913,6290611.0
2000-02-01,12.4826,12.8658,12.4826,12.6103,5003221.0
2000-02-02,12.9936,13.0666,12.5191,12.6833,5022402.0
2000-02-03,12.6103,12.6286,12.3001,12.3548,7323852.0
2000-02-04,12.4096,12.5008,12.0446,12.3548,7017345.0
2000-02-07,12.1541,12.2088,11.8986,12.0446,6986179.0
2000-02-08,12.1176,12.1176,11.6796,11.9716,9509552.0
2000-02-09,11.6796,12.0263,11.4241,11.4241,9439686.0
2000-02-10,11.4059,11.5519,10.9861,11.1139,9884916.0
2000-02-11,10.8766,11.0591,10.1832,10.5116,20207527.0
2000-02-14,10.8036,11.3694,10.5846,11.2781,11446273.0
2000-02-15,11.3511,11.8986,11.2781,11.6796,10139029.0
2000-02-16,11.6066,11.8621,11.3329,11.4424,6412195.0
2000-02-17,11.4241,11.4241,10.9861,11.2964,6459788.0
2000-02-18,11.1686,11.2051,10.9131,11.0044,5144332.0
2000-02-22,11.0956,11.3511,10.9496,11.1869,6338205.0
2000-02-23,11.2051,11.2964,10.8584,11.0409,8256082.0
2000-02-24,11.0409,11.0591,10.5846,10.5846,7334489.0
2000-02-25,10.6029,10.9496,10.4752,10.5116,6933774.0
2000-02-28,10.5116,10.6941,10.3292,10.3839,5567294.0
2000-02-29,10.2379,10.6394,10.2197,10.2379,8185189.0
2000-03-01,10.2562,10.4569,10.1832,10.1832,7963609.0
2000-03-02,10.1649,10.2197,9.9824,10.0554,6646445.0
2000-03-03,10.0737,10.8949,10.0737,10.6211,8195131.0
2000-03-06,10.8584,11.0956,10.6394,10.7124,8745823.0
2000-03-07,10.6576,10.6576,9.7817,9.8729,14894676.0
2000-03-08,10.3109,10.6394,10.1102,10.2014,9727381.0
2000-03-09,10.2014,10.3292,10.0007,10.2927,8372526.0
2000-03-10,10.2197,10.7306,10.1649,10.4204,8805084.0
2000-03-13,10.2197,10.5481,10.2197,10.4022,5619002.0
2000-03-14,10.7306,10.8584,10.4387,10.4569,10524661.0
2000-03-15,10.5846,11.4059,10.4022,11.1686,11580508.0
2000-03-16,11.5154,12.1541,11.3694,11.8804,13002819.0
2000-03-17,11.7161,11.7709,11.4059,11.5701,8098887.0
2000-03-20,11.5154,11.8439,11.2234,11.2416,7448183.0
2000-03-21,11.2599,11.6979,11.2234,11.6249,5224471.0
2000-03-22,11.4971,11.5701,11.3146,11.3694,4258686.0
2000-03-23,11.5336,11.7344,11.4606,11.5519,6130661.0
2000-03-24,11.4789,11.6796,11.4606,11.5336,3896003.0
2000-03-27,11.3876,11.8621,11.3876,11.4059,3802846.0
2000-03-28,11.2234,11.4241,11.1869,11.1869,4464510.0
2000-03-29,11.1686,11.5519,11.0044,11.3876,6354652.0
2000-03-30,11.4606,12.0628,11.3511,11.8986,8301287.0
2000-03-31,11.8621,12.0081,11.4789,11.5154,8244435.0
2000-04-03,11.6614,12.3366,11.5154,12.2271,7944779.0
2000-04-04,12.2818,12.8841,11.9351,12.6833,12400744.0
2000-04-05,12.6468,12.8111,12.3366,12.3913,6131695.0
2000-04-06,12.4096,12.7381,12.3366,12.3548,3589833.0
2000-04-07,12.2271,12.3913,12.0446,12.0811,4967274.0
2000-04-10,12.0446,12.3001,12.0081,12.0993,3232278.0
2000-04-11,12.2636,12.6286,12.1541,12.2818,5774151.0
2000-04-12,12.5191,13.0666,12.4826,12.6833,7186186.0
2000-04-13,12.8293,13.1031,12.2088,12.2636,7412232.0
2000-04-14,12.1358,12.2636,11.7344,11.8256,7321118.0
2000-04-17,11.8621,12.3913,11.7526,11.9534,6371784.0
2000-04-18,12.5191,12.7016,11.4971,11.7526,14652536.0
2000-04-19,11.1504,11.3694,10.8036,10.9861,14099443.0
2000-04-20,10.9679,11.1869,10.9496,11.0956,8352313.0
2000-04-24,11.1686,11.4241,11.1504,11.3876,5641265.0
2000-04-25,11.3876,11.8256,11.3876,11.7161,7460863.0
