Date,Open,High,Low,Close,Volume
2021-11-10,10.06,10.08,10.04,10.04,16351532
2021-11-11,10.06,10.075,10.06,10.07,670402
2021-11-12,10.0591,10.1397,10.05,10.07,250374
2021-11-15,10.1,10.1101,10.07,10.1,18793
2021-11-16,10.08,10.09,10.07,10.07,254026
2021-11-17,10.1194,10.1194,10.08,10.08,7664
2021-11-18,10.04,10.0834,10.04,10.08,16014
2021-11-19,10.06,10.08,10.06,10.08,27543
2021-11-22,10.085,10.09,10.08,10.08,13790
2021-11-23,10.12,10.12,10.07,10.095,36734
2021-11-24,10.09,10.12,10.08,10.09,32304
2021-11-26,10.07,10.15,10.07,10.09,26253
2021-11-29,10.1399,10.14,10.125,10.14,2366
2021-11-30,10.09,10.1,10.07,10.07,378615
2021-12-01,10.07,10.07,10.07,10.07,6200
2021-12-02,10.08,10.095,10.08,10.08,107290
2021-12-03,10.07,10.0701,10.07,10.07,56343
2021-12-06,10.07,10.09,10.07,10.07,1800
2021-12-07,10.07,10.07,10.07,10.07,2300
2021-12-08,10.08,10.08,10.07,10.08,14565
2021-12-09,10.08,10.08,10.07,10.07,102214
2021-12-10,10.06,10.06,10.06,10.06,200
2021-12-14,10.06,10.06,10.02,10.05,94320
2021-12-15,10.05,10.05,10.04,10.05,121608
2021-12-16,10.0402,10.0402,10.0402,10.0402,2500
2021-12-17,10.14,10.14,10.09,10.09,1856
2021-12-20,10.14,10.14,10.03,10.085,2100
2021-12-22,10.03,10.03,10.03,10.03,4831
2021-12-23,10.03,10.03,10.03,10.03,2790
2021-12-28,10.13,10.13,10.13,10.13,200
2021-12-30,10.06,10.06,10.03,10.03,1276
2021-12-31,10.04,10.07,10.04,10.07,3432
2022-01-03,10.03,10.07,10.03,10.07,1950
2022-01-04,10.06,10.08,10.06,10.07,1102
2022-01-05,10.07,10.07,10.07,10.07,1000
2022-01-06,10.07,10.09,10.07,10.09,14220
2022-01-11,10.09,10.1176,10.09,10.1176,1272
2022-01-12,10.12,10.12,10.12,10.12,11100
2022-01-21,10.04,10.04,10.03,10.03,2000
2022-01-24,10.04,10.04,10.03,10.03,1372
2022-01-27,10.04,10.095,10.03,10.0601,69628
2022-02-02,10.04,10.06,10.04,10.04,800
2022-02-08,10.07,10.09,10.03,10.0303,4100
2022-02-09,10.03,10.03,10.03,10.03,2000
2022-02-10,10.04,10.04,10.03,10.03,6402
2022-02-11,10.035,10.035,10.02,10.02,600
2022-02-14,10.035,10.035,10.02,10.02,16178
2022-02-15,10.01,10.04,10.01,10.04,3881
2022-02-16,10.05,10.05,10.01,10.01,16156
2022-02-17,10.02,10.02,10.01,10.01,1900
2022-02-18,10.02,10.03,10.02,10.02,1200
2022-02-24,10.02,10.02,10.01,10.01,5200
2022-02-25,10.01,10.01,10.0,10.0,1930
2022-02-28,10.02,10.02,10.02,10.02,1300
2022-03-08,10.04,10.04,10.04,10.04,200
2022-03-11,10.03,10.03,10.0,10.03,68811
2022-03-15,10.02,10.02,10.02,10.02,11000
2022-03-16,10.02,10.04,10.02,10.03,1900
2022-03-22,10.04,10.04,10.04,10.04,5600
2022-03-23,10.04,10.04,10.04,10.04,300
