Date,Open,High,Low,Close,Volume
2021-12-01,9.99,10.94,8.05,9.0,77047
2021-12-02,8.25,8.9,8.2,8.57,34909
2021-12-03,8.5,8.76,7.6,7.7,88891
2021-12-06,7.59,7.75,7.1,7.1,50386
2021-12-07,7.13,7.82,7.13,7.5,21412
2021-12-08,7.5,7.6,7.14,7.33,12896
2021-12-09,7.33,7.49,7.28,7.28,6645
2021-12-10,7.25,7.68,7.0,7.2,38007
2021-12-13,7.1,7.299,6.5005,6.51,70549
2021-12-14,6.5,6.8998,6.5,6.53,47922
2021-12-15,6.51,6.89,6.05,6.52,35549
2021-12-16,6.6,6.75,5.71,6.0,53187
2021-12-17,5.9,6.6,5.72,6.06,70191
2021-12-20,5.87,6.4,5.64,5.85,57044
2021-12-21,5.97,6.575,5.7217,6.1,38731
2021-12-22,6.0,6.45,6.0,6.15,45670
2021-12-23,6.16,6.32,6.16,6.25,25744
2021-12-27,6.25,6.6,6.0701,6.2744,20617
2021-12-28,6.55,6.55,6.0,6.2,68611
2021-12-29,6.36,6.38,6.0,6.05,74982
2021-12-30,6.25,6.25,6.0,6.088,21116
2021-12-31,6.2,6.2,6.0,6.02,77301
2022-01-03,6.15,7.22,5.77,7.05,327984
2022-01-04,7.3,7.3,6.6,7.01,40537
2022-01-05,7.05,7.41,6.8,7.41,33002
2022-01-06,7.25,7.6027,6.68,7.09,38437
2022-01-07,6.95,7.56,6.35,7.45,18517
2022-01-10,7.01,7.5265,6.785,7.36,38021
2022-01-11,7.5,7.97,7.1,7.1,19489
2022-01-12,7.3686,7.3686,6.95,7.225,33609
2022-01-13,7.15,7.15,6.86,7.0,13781
2022-01-14,6.8709,7.23,6.8709,7.01,9544
2022-01-18,7.01,7.145,6.6,7.03,10428
2022-01-19,7.05,7.19,6.61,7.19,17316
2022-01-20,7.31,7.31,6.83,7.25,71224
2022-01-21,6.54,7.22,6.54,7.18,110874
2022-01-24,6.8,7.05,6.23,6.29,29143
2022-01-25,6.7,6.9899,6.35,6.93,23967
2022-01-26,6.83,7.25,6.66,7.25,2674
2022-01-27,7.28,7.32,6.81,6.97,1400
2022-01-28,6.85,6.85,6.37,6.65,4482
2022-01-31,6.49,6.77,6.25,6.61,13175
2022-02-01,6.6,6.72,6.4521,6.53,2066
2022-02-02,6.79,6.79,6.32,6.502,5592
2022-02-03,6.34,6.78,6.26,6.26,2727
2022-02-04,6.3,6.79,5.95,6.23,40165
2022-02-07,6.04,6.49,5.72,5.99,8973
2022-02-08,5.85,5.89,5.27,5.62,54220
2022-02-09,5.48,5.8762,5.26,5.5,19452
2022-02-10,5.32,5.45,5.105,5.25,15955
2022-02-11,5.36,5.4499,5.0,5.3,5621
2022-02-14,5.13,5.33,5.06,5.2,6643
2022-02-15,5.04,5.81,5.01,5.4,28836
2022-02-16,5.23,5.367,5.05,5.32,4969
2022-02-17,5.14,5.3299,5.0,5.12,18654
2022-02-18,5.06,5.145,4.83,4.95,51715
2022-02-22,4.92,5.16,4.7366,4.94,14729
2022-02-23,4.71,4.94,4.57,4.57,3439
2022-02-24,4.15,4.74,4.15,4.45,24271
2022-02-25,4.9,5.05,4.693,5.0,9594
2022-02-28,4.9493,5.19,4.848,5.05,47957
2022-03-01,4.83,4.9979,4.62,4.75,2788
2022-03-02,4.87,5.11,4.87,5.08,14719
2022-03-03,5.1,5.1609,5.0,5.0,7353
2022-03-04,5.1445,5.1445,4.61,4.61,2207
2022-03-07,5.03,5.18,4.6284,5.18,900
2022-03-08,4.96,5.1437,4.7,4.76,2195
2022-03-09,4.9586,5.174,4.7996,5.105,7973
2022-03-11,4.9799,4.9799,4.8076,4.97,3280
2022-03-14,5.1535,5.1535,4.7232,4.9,2949
2022-03-15,4.975,5.1303,4.63,4.9,7070
2022-03-16,5.1396,5.54,4.71,5.54,8547
2022-03-17,5.16,5.24,4.8,5.08,3633
2022-03-18,4.67,5.08,4.6306,5.07,2799
2022-03-21,5.0,5.48,5.0,5.35,900
2022-03-22,5.08,5.27,5.0,5.02,1582
2022-03-23,5.19,5.3,5.19,5.22,1955
2022-03-24,5.09,5.415,5.0,5.0,3306
2022-03-25,5.44,5.49,5.0,5.22,12378
2022-03-28,5.3183,5.49,5.0,5.13,40610
2022-03-29,5.4,5.54,4.7,4.82,13924
2022-03-30,4.95,5.54,4.8,5.06,2413
2022-03-31,5.05,5.57,5.05,5.07,13926
2022-04-01,5.17,5.2,4.85,5.2,5650
2022-04-04,5.04,5.07,5.0,5.05,3262
2022-04-05,5.2,5.2,4.66,4.97,14350
2022-04-06,4.93,5.01,4.8505,4.99,12693
2022-04-07,4.99,5.09,4.9204,4.93,16171
2022-04-08,4.82,4.954,4.78,4.95,6359
2022-04-11,4.6786,4.9999,4.58,4.85,16283
2022-04-12,4.92,4.9899,4.573,4.82,2014
2022-04-13,4.89,5.09,4.7,5.05,20979
2022-04-14,5.01,5.1999,4.85,4.85,30935
2022-04-18,4.99,5.0,4.85,4.96,1900
