Date,Open,High,Low,Close,Volume
2024-08-13,10.01,10.03,10.0,10.02,3660355
2024-08-14,10.02,10.03,10.0,10.01,1265495
2024-08-15,10.02,10.02,9.99,9.99,730184
2024-08-16,9.99,10.01,9.99,10.0,159968
2024-08-19,10.01,10.01,9.99,9.99,18131
2024-08-20,10.0,10.0,10.0,10.0,105313
2024-08-21,10.03,10.03,10.015,10.02,11348
2024-08-22,10.03,10.035,10.02,10.0325,7504
2024-08-23,10.02,10.02,10.02,10.02,109859
2024-08-26,10.025,10.025,10.0,10.0106,17897
2024-08-27,10.01,10.01,10.005,10.01,5500
2024-08-28,10.01,10.01,10.01,10.01,3000
2024-08-29,10.01,10.01,10.01,10.01,5600
2024-08-30,10.02,10.02,10.01,10.02,300
2024-09-03,10.01,10.05,10.0,10.02,161023
2024-09-05,10.0,10.01,10.0,10.01,50200
2024-09-06,10.0,10.0103,9.99,10.01,266573
2024-09-09,10.01,10.01,10.01,10.01,2300
2024-09-10,10.0,10.0,10.0,10.0,130
2024-09-11,10.0,10.01,10.0,10.005,208333
2024-09-12,10.0,10.0,10.0,10.0,10000
2024-09-13,10.01,10.01,10.01,10.01,5000
2024-09-16,10.0,10.01,10.0,10.01,55300
2024-09-18,10.01,10.0143,10.0,10.0001,98388
2024-09-19,10.0,10.02,10.0,10.02,182700
2024-09-20,10.01,10.02,10.01,10.02,7947
2024-09-24,10.05,10.05,10.05,10.05,4100
2024-09-25,10.0146,10.04,10.01,10.03,24454
2024-09-26,10.03,10.03,10.03,10.03,1516
2024-09-30,10.03,10.03,10.03,10.03,863
2024-10-03,10.04,10.04,10.03,10.04,83068
2024-10-04,10.03,10.07,10.02,10.05,11000
2024-10-07,10.05,10.05,10.05,10.05,2820
2024-10-08,10.05,10.05,10.05,10.05,3575
2024-10-09,10.04,10.04,10.03,10.03,11023
2024-10-10,10.03,10.03,10.03,10.03,1430
2024-10-11,10.03,10.03,10.03,10.03,1899
2024-10-14,10.0315,10.0315,10.0315,10.0315,597
2024-10-15,10.04,10.04,10.04,10.04,25700
