Date,Open,High,Low,Close,Volume
2023-03-24,0.2,0.2,0.16,0.18,119500
2023-03-27,0.19,0.1901,0.19,0.19,710918
2023-03-28,0.19,0.21,0.19,0.21,80000
2023-03-29,0.2,0.2,0.2,0.2,700
2023-03-30,0.1901,0.21,0.1805,0.191,293100
2023-03-31,0.2,0.2,0.19,0.2,25800
2023-04-04,0.2,0.2,0.2,0.2,170000
2023-04-05,0.2,0.2,0.2,0.2,85000
2023-04-10,0.22,0.22,0.22,0.22,1399
2023-04-11,0.23,0.23,0.23,0.23,100
2023-04-12,0.22,0.22,0.22,0.22,6700
2023-04-13,0.19,0.19,0.19,0.19,2562
2023-04-18,0.2,0.2,0.2,0.2,102600
2023-04-19,0.22,0.22,0.22,0.22,5300
2023-05-16,0.23,0.23,0.23,0.23,100000
2023-06-26,0.2977,0.2977,0.2977,0.2977,100
2023-07-05,0.2001,0.2001,0.2001,0.2001,100
2023-07-12,0.221,0.221,0.211,0.211,100000
2023-07-13,0.2111,0.2129,0.1904,0.21,60822
2023-07-17,0.2525,0.2525,0.2525,0.2525,1622
2023-07-18,0.2086,0.21,0.19,0.19,38000
2023-07-19,0.1955,0.2176,0.19,0.2176,40100
2023-07-20,0.1762,0.1875,0.1762,0.1875,200
2023-07-21,0.1739,0.1739,0.1495,0.1601,1300
2023-07-24,0.1785,0.1785,0.1785,0.1785,100
2023-07-28,0.1828,0.1894,0.1805,0.1894,2200
2023-08-01,0.1786,0.1786,0.1785,0.1785,2000
2023-08-02,0.1993,0.1993,0.1848,0.1848,200
2023-08-08,0.206,0.206,0.206,0.206,100
2023-08-10,0.1908,0.1908,0.1908,0.1908,200
2023-08-14,0.21,0.21,0.1203,0.1797,6300
2023-08-15,0.2069,0.27,0.2001,0.27,13494
2023-08-17,0.2826,0.2826,0.2725,0.2725,200
2023-08-21,0.284,0.2851,0.2749,0.2749,300
2023-08-23,0.2176,0.2492,0.2176,0.2492,200
2023-08-24,0.2176,0.2991,0.2176,0.2991,200
2023-08-28,0.2732,0.28,0.2732,0.28,300
2023-08-30,0.2488,0.2488,0.2488,0.2488,100
2023-09-01,0.2714,0.2714,0.2714,0.2714,100
