Date,Open,High,Low,Close,Volume
2000-01-03,3.4668,3.4828,3.2346,3.3307,935957.0
2000-01-04,3.3307,3.3547,3.2266,3.2506,1062414.0
2000-01-05,3.2667,3.2987,3.2266,3.2506,997624.0
2000-01-06,3.2506,3.3788,3.2346,3.3627,1253670.0
2000-01-07,3.3627,3.4908,3.3627,3.4908,612001.0
2000-01-10,3.5069,3.5149,3.4028,3.4428,398896.0
2000-01-11,3.4588,3.4828,3.3868,3.4108,779832.0
2000-01-12,3.4188,3.4428,3.3227,3.3467,540185.0
2000-01-13,3.4108,3.5069,3.3467,3.4989,695525.0
2000-01-14,3.4908,3.5549,3.4588,3.4668,731433.0
2000-01-18,3.4508,3.4508,3.2346,3.3547,683041.0
2000-01-19,3.3387,3.3467,3.2667,3.3147,373138.0
2000-01-20,3.3307,3.3467,3.2587,3.2987,364546.0
2000-01-21,3.3067,3.3067,3.1706,3.1786,707235.0
2000-01-24,3.1786,3.2106,3.0665,3.1145,803249.0
2000-01-25,3.1065,3.1386,2.7863,2.9304,1792289.0
2000-01-26,2.9624,2.9944,2.9464,2.9864,543310.0
2000-01-27,3.0425,3.0665,2.9304,2.9384,761093.0
2000-01-28,2.9624,2.9944,2.8343,2.8423,775929.0
2000-01-31,2.8503,2.8984,2.7783,2.8263,816522.0
2000-02-01,2.8423,2.8423,2.6341,2.6341,1509708.0
2000-02-02,2.6582,2.7943,2.6582,2.7222,944545.0
2000-02-03,2.7542,2.7943,2.6181,2.6502,926593.0
2000-02-04,2.6662,2.6742,2.5381,2.5941,841508.0
2000-02-07,2.5621,2.5781,2.482,2.482,1597919.0
2000-02-08,2.434,2.5221,2.1778,2.3379,2945260.0
2000-02-09,2.3059,2.3059,1.9536,2.1057,6869401.0
2000-02-10,2.1137,2.2098,2.0176,2.0977,4098998.0
2000-02-11,2.0977,2.1457,2.0016,2.0417,1871916.0
2000-02-14,2.0897,2.1538,2.0737,2.1538,2029596.0
2000-02-15,2.1858,2.3699,2.1858,2.3699,1903919.0
2000-02-16,2.3539,2.5221,2.2258,2.3299,1882837.0
2000-02-17,2.3299,2.3459,2.2418,2.3139,782960.0
2000-02-18,2.2899,2.3459,2.1778,2.1858,1104567.0
2000-02-22,2.1698,2.2498,2.1377,2.2018,806377.0
2000-02-23,2.2578,2.2578,2.2098,2.2178,1087395.0
2000-02-24,2.2098,2.2418,2.1538,2.1618,961714.0
2000-02-25,2.1538,2.1778,2.1217,2.1297,676794.0
2000-02-28,2.1457,2.2258,2.0897,2.2018,1327819.0
2000-02-29,2.1938,2.2578,2.1858,2.1858,1886743.0
2000-03-01,2.1858,2.2418,2.1618,2.1858,880533.0
2000-03-02,2.1858,2.2178,2.1538,2.1698,815741.0
2000-03-03,2.1618,2.2578,2.1618,2.2578,2557290.0
2000-03-06,2.2899,2.3219,2.2498,2.2899,1345779.0
2000-03-07,2.2739,2.2819,2.1778,2.1938,1363731.0
2000-03-08,2.1938,2.2578,2.1538,2.1538,1313767.0
2000-03-09,2.1698,2.2338,2.1618,2.1698,1105351.0
2000-03-10,2.1057,2.1297,1.9136,1.9136,2485467.0
2000-03-13,1.9216,1.9856,1.8815,1.9216,2131075.0
2000-03-14,1.9216,1.9696,1.8895,1.8975,2076436.0
2000-03-15,1.9136,1.9776,1.8815,1.9456,2285633.0
2000-03-16,1.9616,2.1137,1.9536,2.0176,3146655.0
2000-03-17,1.9696,2.0657,1.9536,1.9616,2017881.0
2000-03-20,1.9536,2.0577,1.8895,2.0497,3497148.0
2000-03-21,2.0337,2.0417,1.9696,2.0417,1102231.0
2000-03-22,2.0337,2.0497,2.0016,2.0257,501937.0
2000-03-23,2.0176,2.1297,2.0096,2.0657,971080.0
2000-03-24,2.0737,2.0897,1.9616,1.9696,1237274.0
2000-03-27,1.9856,2.0016,1.9536,1.9536,645571.0
2000-03-28,1.9696,1.9696,1.9216,1.9216,1948411.0
2000-03-29,1.9376,1.9696,1.9216,1.9296,794666.0
2000-03-30,1.9456,2.1618,1.9456,2.1057,1633036.0
2000-03-31,2.1137,2.2418,2.0897,2.2018,2383210.0
2000-04-03,2.2018,2.2899,2.1217,2.2899,958597.0
2000-04-04,2.2899,2.2979,2.1057,2.1858,853984.0
2000-04-05,2.1618,2.2258,2.1377,2.1858,590924.0
2000-04-06,2.1778,2.2018,2.1297,2.1377,427774.0
2000-04-07,2.1297,2.1377,2.0977,2.1137,709584.0
2000-04-10,2.1297,2.2098,2.1297,2.1778,662739.0
2000-04-11,2.2098,2.2098,2.1377,2.1538,454316.0
2000-04-12,2.1698,2.2258,2.1137,2.1297,1710322.0
2000-04-13,2.1457,2.2098,2.1297,2.1938,765007.0
2000-04-14,2.1858,2.1858,2.0577,2.0977,1573722.0
2000-04-17,2.1217,2.1938,2.0977,2.1457,1668172.0
2000-04-18,2.1377,2.1377,2.0817,2.1297,659618.0
2000-04-19,2.1217,2.1217,2.0497,2.0977,995285.0
2000-04-20,2.0977,2.1778,2.0817,2.1457,592491.0
2000-04-24,2.1297,2.1858,2.1137,2.1618,668987.0
2000-04-25,2.1538,2.1538,2.0657,2.0657,900044.0
2000-04-26,2.0657,2.1457,2.0497,2.1377,572195.0
2000-04-27,2.0897,2.1538,2.0577,2.1538,572195.0
2000-04-28,2.1858,2.3539,2.1858,2.2899,1744668.0
2000-05-01,2.2979,2.442,2.2899,2.418,1328604.0
2000-05-02,2.3859,2.442,2.3539,2.434,615907.0
2000-05-03,2.434,2.434,2.3779,2.41,369233.0
2000-05-04,2.418,2.498,2.418,2.458,678356.0
2000-05-05,2.45,2.5221,2.442,2.514,552672.0
2000-05-08,2.514,2.514,2.426,2.458,669770.0
2000-05-09,2.482,2.482,2.3859,2.442,968742.0
2000-05-10,2.434,2.434,2.3539,2.426,631523.0
2000-05-11,2.442,2.458,2.41,2.458,569068.0
2000-05-12,2.466,2.466,2.3219,2.3299,708020.0
2000-05-15,2.3299,2.3779,2.2819,2.3779,875071.0
2000-05-16,2.402,2.418,2.3139,2.3619,587024.0
2000-05-17,2.3619,2.3699,2.3219,2.3379,279458.0
2000-05-18,2.3299,2.3539,2.3139,2.3379,321614.0
2000-05-19,2.3219,2.3299,2.2498,2.2899,438709.0
2000-05-22,2.2739,2.2979,2.2418,2.2819,343473.0
2000-05-23,2.2819,2.3059,2.2498,2.2578,294296.0
2000-05-24,2.2658,2.3619,2.2578,2.3299,413729.0
2000-05-25,2.3299,2.3779,2.2418,2.2418,590924.0
2000-05-26,2.2498,2.2899,2.2338,2.2658,241991.0
2000-05-30,2.2498,2.3219,2.2498,2.2979,263850.0
2000-05-31,2.2979,2.3299,2.2578,2.3299,618250.0
