Date,Open,High,Low,Close,Volume
2011-08-29,2.5,2.5,2.5,2.5,1000
2011-08-31,2.5,3.0,2.5,3.0,1500
2011-09-01,3.5,3.75,3.5,3.75,2000
2011-09-02,3.5,3.75,3.5,3.75,2000
2011-09-06,3.0,3.0,3.0,3.0,200
2011-09-08,4.0,4.0,3.48,3.9,2700
2011-09-09,4.5,5.0,4.0,4.25,1750
2011-09-13,4.0,4.0,4.0,4.0,100
2011-09-14,3.5,3.5,3.5,3.5,750
2011-09-19,3.25,3.25,3.25,3.25,750
2011-09-21,3.95,4.0,3.95,4.0,2000
2011-09-23,5.0,6.0,4.0,5.0,1240
2011-09-26,1.05,1.05,1.01,1.01,1707
2011-09-27,1.01,1.01,1.0,1.01,4275
2011-09-28,1.01,1.25,1.01,1.25,5213
2011-09-29,1.25,2.0,1.2,1.2,2000
2011-09-30,1.8,1.8,1.8,1.8,100
2011-10-07,1.5,1.5,1.5,1.5,150
2011-10-11,1.5,1.5,1.01,1.1,4175
2011-10-14,1.25,1.53,1.25,1.53,2500
2011-10-17,1.5,1.5,1.35,1.35,1500
2011-10-18,1.5,1.5,1.5,1.5,100
2011-10-19,1.49,1.5,1.49,1.49,1500
2011-10-21,1.49,1.5,1.42,1.42,3500
2011-10-24,1.42,1.42,1.42,1.42,500
2011-10-25,1.16,1.44,1.16,1.44,1000
2011-10-26,1.15,1.15,1.15,1.15,1000
2011-10-31,1.06,1.4,1.06,1.4,1882
2011-11-01,1.12,1.12,1.1,1.1,1000
2011-11-02,1.2,1.2,1.2,1.2,600
2011-11-09,1.11,1.11,1.1,1.1,3460
2011-11-14,1.1,1.1,1.1,1.1,500
2011-11-15,1.1,1.1,1.01,1.01,4700
2011-11-18,1.01,1.01,1.01,1.01,500
2011-11-21,1.14,1.14,1.14,1.14,500
2011-11-22,1.01,1.01,0.6,0.6,1206
2011-11-23,1.1,1.1,1.1,1.1,124
2011-11-25,0.925,0.925,0.925,0.925,124
2011-12-01,0.6,0.6,0.55,0.55,5000
2011-12-07,0.35,0.35,0.35,0.35,2500
2011-12-14,0.2,0.2,0.2,0.2,5000
2011-12-16,0.25,0.25,0.25,0.25,5503
2011-12-19,0.36,0.55,0.36,0.55,6382
2011-12-23,0.55,0.55,0.55,0.55,100
2011-12-28,0.55,0.55,0.55,0.55,4900
2011-12-29,0.51,0.51,0.51,0.51,2700
2011-12-30,0.48,0.48,0.48,0.48,2000
2012-01-03,0.48,0.48,0.48,0.48,2200
2012-01-04,0.48,0.48,0.48,0.48,2200
2012-01-05,0.48,0.48,0.48,0.48,4200
2012-01-06,0.48,0.48,0.48,0.48,2300
2012-01-09,0.55,0.55,0.55,0.55,2500
2012-01-10,0.55,0.55,0.4,0.4,7700
2012-01-11,0.4,0.55,0.4,0.55,5100
2012-01-13,0.4,0.4,0.4,0.4,2000
2012-01-23,0.4,0.4,0.4,0.4,1000
2012-01-24,0.4,0.4,0.4,0.4,2000
2012-02-01,0.35,0.35,0.35,0.35,600
2012-02-03,0.35,0.35,0.3,0.3,5500
2012-02-07,0.3,0.3,0.3,0.3,1000
2012-02-09,0.3,0.3,0.3,0.3,1000
2012-02-10,0.3,0.3,0.3,0.3,1000
2012-02-16,0.3,0.3,0.3,0.3,1000
2012-02-17,0.3,0.3,0.3,0.3,1000
2012-02-21,0.3,0.3,0.3,0.3,1000
2012-02-22,0.3,0.3,0.3,0.3,1000
2012-02-23,0.3,0.3,0.3,0.3,1000
2012-02-24,0.3,0.3,0.3,0.3,1000
2012-02-27,0.3,0.3,0.3,0.3,1000
2012-02-29,0.25,0.25,0.25,0.25,1000
2012-03-01,0.2,0.2,0.2,0.2,1000
2012-03-02,0.2,0.2,0.2,0.2,1000
2012-03-05,0.2,0.2,0.2,0.2,1000
2012-03-06,0.2,0.2,0.2,0.2,2700
2012-03-07,0.18,0.18,0.18,0.18,1000
2012-03-08,0.18,0.18,0.18,0.18,1000
2012-03-09,0.18,0.18,0.18,0.18,1000
2012-03-12,0.18,0.18,0.18,0.18,5000
2012-03-13,0.12,0.12,0.12,0.12,1500
2012-03-15,0.12,0.12,0.12,0.12,1500
2012-03-16,0.12,0.12,0.12,0.12,1500
2012-03-19,0.12,0.12,0.12,0.12,1500
2012-03-20,0.12,0.12,0.12,0.12,1500
2012-03-23,0.12,0.12,0.12,0.12,1500
2012-03-26,0.12,0.12,0.12,0.12,6000
2012-03-27,0.12,0.12,0.09,0.09,4500
2012-03-28,0.09,0.09,0.09,0.09,1500
2012-03-29,0.09,0.09,0.09,0.09,4506
2012-04-02,0.09,0.09,0.09,0.09,1500
2012-04-03,0.09,0.09,0.09,0.09,1500
2012-04-04,0.09,0.09,0.09,0.09,1500
2012-04-05,0.09,0.09,0.09,0.09,1500
2012-04-16,0.03,0.03,0.03,0.03,1500
2012-06-27,0.009,0.009,0.009,0.009,7500
2012-10-11,0.01,0.01,0.01,0.01,600
2012-12-11,0.01,0.01,0.01,0.01,5500
2013-01-22,0.024,0.05,0.024,0.05,5000
2013-02-07,0.4,0.4,0.4,0.4,10000
2013-02-08,0.4,0.4,0.4,0.4,5000
2013-02-13,0.4,0.4,0.4,0.4,10000
2013-02-19,0.11,0.11,0.11,0.11,10000
2013-03-21,0.11,0.11,0.1,0.1,10000
2013-04-18,0.1,0.1,0.1,0.1,1000
2013-06-18,0.1,0.1,0.05,0.05,60000
2013-06-19,0.03,0.03,0.02,0.02,100000
2013-08-05,0.02,0.02,0.01,0.01,181993
2013-12-16,0.01,0.01,0.01,0.01,1264
2013-12-18,0.01,0.01,0.009,0.009,14303
2013-12-20,0.009,0.009,0.009,0.009,2000
2014-02-27,0.009,0.009,0.009,0.009,5000
2014-04-04,0.007,0.007,0.007,0.007,135
2014-08-06,0.01,0.015,0.01,0.015,33865
2014-08-19,0.015,0.015,0.015,0.015,10000
2014-08-22,0.015,0.015,0.015,0.015,10000
2015-04-21,0.025,0.025,0.025,0.025,15000
2015-07-21,0.016,0.016,0.016,0.016,1999
2015-10-12,0.015,0.015,0.015,0.015,4000
2015-10-13,0.015,0.015,0.009,0.009,52000
2016-01-12,0.015,0.015,0.009,0.009,2000
2016-02-16,0.02,0.02,0.02,0.02,31000
2016-03-04,0.0199,0.0199,0.0199,0.0199,25000
2016-03-08,0.006,0.006,0.006,0.006,25000
2016-03-18,0.0065,0.0065,0.0065,0.0065,50000
2016-08-29,0.025,0.025,0.025,0.025,1000
2016-09-19,0.0065,0.0065,0.004,0.004,24999
2016-09-21,0.0051,0.0051,0.0051,0.0051,300
2017-02-28,0.005,0.005,0.005,0.005,1000
2017-04-19,0.02,0.02,0.02,0.02,5000
2017-05-02,0.0051,0.0051,0.0051,0.0051,5000
2017-08-25,0.02,0.02,0.005,0.005,896
2017-12-18,0.02,0.02,0.02,0.02,30600
2017-12-19,0.02,0.025,0.02,0.025,30000
2017-12-29,0.01,0.01,0.01,0.01,7211
2018-11-30,0.0036,0.0036,0.0036,0.0036,2000
2019-01-04,0.006,0.006,0.006,0.006,2500
2019-03-06,0.025,0.025,0.025,0.025,2000
2019-03-19,0.0207,0.0207,0.0207,0.0207,1000
2019-03-21,0.02,0.02,0.02,0.02,1000
2019-06-10,0.005,0.005,0.005,0.005,1600
2020-01-23,0.005,0.005,0.005,0.005,9000
2020-05-29,0.2,0.2,0.0035,0.0035,300
2020-06-11,0.02,0.03,0.02,0.03,35833
2020-06-12,0.03,0.04,0.03,0.04,67000
2020-06-15,0.04,0.1245,0.04,0.1245,2450
2020-06-17,0.2,0.2,0.2,0.2,5000
2020-06-19,0.03,0.09,0.03,0.059,32644
2020-06-29,0.059,0.059,0.059,0.059,100
2020-06-30,0.037,0.037,0.03,0.035,71600
2020-07-07,0.035,0.035,0.035,0.035,9856
2020-07-09,0.04,0.13,0.04,0.085,234358
2020-07-10,0.0621,0.07,0.0552,0.06,59590
2020-07-13,0.051,0.051,0.051,0.051,3722
2020-07-14,0.051,0.0511,0.051,0.051,8040
2020-07-15,0.0771,0.08,0.0771,0.08,4000
2020-07-17,0.085,0.085,0.085,0.085,400
2020-07-21,0.055,0.055,0.055,0.055,300
2020-07-27,0.055,0.0625,0.051,0.055,52244
2020-08-03,0.046,0.046,0.046,0.046,5000
2020-08-05,0.049,0.049,0.0475,0.0475,3920
2020-08-10,0.045,0.045,0.045,0.045,100
2020-08-12,0.046,0.046,0.046,0.046,100
2020-08-13,0.055,0.055,0.055,0.055,1000
2020-08-19,0.045,0.045,0.045,0.045,300
2020-08-24,0.045,0.045,0.045,0.045,10000
2020-09-17,0.05,0.05,0.035,0.035,37960
2020-09-22,0.0297,0.0297,0.0297,0.0297,10000
2020-09-23,0.035,0.035,0.035,0.035,37000
2020-09-29,0.035,0.035,0.035,0.035,6000
2020-09-30,0.0297,0.0297,0.0297,0.0297,10000
2020-10-09,0.0349,0.0349,0.0349,0.0349,100
2020-10-16,0.03,0.034,0.025,0.034,29800
2020-10-21,0.025,0.025,0.025,0.025,2500
2020-10-22,0.025,0.025,0.025,0.025,10000
2020-11-11,0.03,0.03,0.03,0.03,20000
2020-12-07,0.0324,0.0324,0.0323,0.0324,21000
2020-12-09,0.04,0.04,0.04,0.04,400
2020-12-11,0.04,0.04,0.04,0.04,1000
2020-12-28,0.02,0.02,0.0155,0.0155,4480
2020-12-30,0.017,0.017,0.017,0.017,1000
2020-12-31,0.0888,0.0888,0.0888,0.0888,1000
2021-01-05,0.078,0.078,0.078,0.078,1200
2021-01-08,0.07,0.07,0.07,0.07,200
2021-01-13,0.088,0.088,0.0511,0.0511,1700
2021-01-14,0.05,0.05,0.05,0.05,300
2021-01-19,0.069,0.069,0.069,0.069,5000
2021-01-26,0.0865,0.0865,0.0865,0.0865,1786
2021-01-27,0.088,0.088,0.088,0.088,3100
2021-02-01,0.087,0.087,0.087,0.087,2500
2021-02-02,0.086,0.086,0.086,0.086,500
2021-02-05,0.0869,0.0869,0.0869,0.0869,400
2021-02-08,0.0171,0.0171,0.0171,0.0171,1136
2021-02-09,0.0869,0.0869,0.0869,0.0869,5300
2021-02-10,0.0855,0.087,0.0175,0.087,12150
2021-02-12,0.087,0.087,0.087,0.087,8368
2021-02-16,0.087,0.087,0.087,0.087,1000
2021-02-17,0.0189,0.0189,0.0189,0.0189,6250
2021-02-18,0.088,0.088,0.088,0.088,1000
2021-02-19,0.08,0.08,0.08,0.08,100
2021-02-22,0.1,0.1,0.08,0.08,1100
2021-02-24,0.087,0.1,0.087,0.1,399
2021-02-25,0.087,0.087,0.087,0.087,500
2021-02-26,0.0278,0.0278,0.02,0.02,200
2021-03-02,0.0988,0.0988,0.06,0.06,10100
2021-03-03,0.1,0.1,0.087,0.087,3700
2021-03-08,0.087,0.0988,0.08,0.0988,1400
2021-03-09,0.1,0.175,0.08,0.09,153513
2021-03-10,0.09,0.09,0.09,0.09,2500
2021-03-11,0.1199,0.1199,0.115,0.115,1750
2021-03-12,0.092,0.11,0.051,0.11,28219
2021-03-15,0.1199,0.12,0.1199,0.12,754
2021-03-26,0.17,0.17,0.0315,0.0315,1320
2021-04-12,0.0313,0.0313,0.0313,0.0313,720
2021-04-22,0.12,0.12,0.12,0.12,100
2021-05-03,0.12,0.12,0.12,0.12,750
2021-05-12,0.1088,0.1088,0.1088,0.1088,800
2021-05-13,0.12,0.145,0.051,0.0855,45332
2021-05-14,0.0852,0.0852,0.0852,0.0852,800
2021-05-17,0.0415,0.051,0.0316,0.0316,10432
2021-05-18,0.1387,0.1387,0.1387,0.1387,250
2021-05-20,0.1368,0.1368,0.0334,0.0334,5000
2021-05-21,0.1188,0.1188,0.0371,0.0371,5744
2021-05-24,0.0429,0.1196,0.0429,0.0787,24239
2021-05-26,0.075,0.075,0.075,0.075,15500
2021-06-14,0.075,0.1,0.06,0.06,34100
2021-07-08,0.0644,0.0644,0.0644,0.0644,650
2021-07-09,0.0455,0.0455,0.0455,0.0455,200
2021-07-26,0.0999,0.0999,0.0999,0.0999,100
2021-07-27,0.0554,0.0554,0.0554,0.0554,400
2021-07-30,0.1,0.1,0.1,0.1,184
2021-08-02,0.1,0.1,0.0805,0.0805,200
2021-08-03,0.1,0.1,0.1,0.1,3000
2021-08-10,0.0805,0.0805,0.0805,0.0805,100
2021-08-17,0.1,0.1,0.1,0.1,1672
2021-08-18,0.0615,0.1,0.0615,0.1,11487
2021-08-25,0.061,0.061,0.061,0.061,500
2021-08-26,0.061,0.061,0.061,0.061,750
2021-09-03,0.061,0.061,0.061,0.061,900
2021-09-29,0.0995,0.118,0.068,0.068,29468
2021-10-04,0.068,0.068,0.068,0.068,2000
2021-10-15,0.072,0.072,0.072,0.072,470
2021-11-04,0.12,0.12,0.12,0.12,2002
2021-11-12,0.14,0.14,0.14,0.14,1000
2021-11-15,0.0721,0.0721,0.0721,0.0721,1000
2021-11-19,0.12,0.1374,0.12,0.1373,7000
2021-11-30,0.077,0.077,0.077,0.077,20000
2021-12-03,0.069,0.069,0.069,0.069,470
2021-12-31,0.1374,0.14,0.135,0.135,16000
2022-01-05,0.1666,0.1666,0.1495,0.1495,4000
2022-01-07,0.14,0.165,0.14,0.165,8000
