Date,Open,High,Low,Close,Volume
2007-05-16,24.8864,24.8864,24.8477,24.8477,1914
2007-05-17,24.8767,24.8767,24.838,24.8767,2803
2007-05-18,24.8767,24.8767,24.7607,24.8458,8989
2007-05-21,24.8767,24.8767,24.8187,24.8187,7599
2007-05-22,24.8767,24.8864,24.838,24.8757,6860
2007-05-23,24.8864,24.8864,24.838,24.8864,4182
2007-05-24,24.8284,24.8864,24.8284,24.8864,2465
2007-05-25,24.8864,24.8864,24.838,24.8574,6273
2007-05-29,24.8477,24.9249,24.8477,24.8864,3737
2007-05-30,24.896,25.0217,24.8477,25.0217,9462
2007-05-31,24.8477,25.0313,24.8187,25.0168,10106
2007-06-04,25.0197,25.0313,24.9154,24.9443,3206
2007-06-05,25.0313,25.0313,24.838,24.9057,12329
2007-06-06,25.0217,25.0313,24.8478,24.9057,3204
2007-06-07,25.012,25.0313,25.012,25.0217,581
2007-06-08,25.0217,25.0313,24.983,25.012,5251
2007-06-11,24.9347,25.0144,24.838,24.8477,6455
2007-06-12,24.9347,25.0217,24.8865,24.9782,6431
2007-06-13,25.0217,25.0313,24.896,25.0313,10598
2007-06-14,24.7897,25.0313,24.7897,24.9733,5794
2007-06-15,24.8187,24.838,24.7414,24.838,8958
2007-06-18,24.8864,24.8864,24.7511,24.8815,12931
2007-06-19,24.926,24.9347,24.8564,24.8564,3312
2007-06-20,24.925,24.9347,24.8678,24.925,4345
2007-06-21,24.8864,24.925,24.838,24.838,7149
2007-06-22,24.838,24.838,24.7897,24.8187,6074
2007-06-25,24.7994,24.8284,24.7897,24.7994,5485
2007-06-26,24.809,24.8119,24.7897,24.7897,3623
2007-06-27,24.838,24.838,24.7897,24.7897,3588
2007-06-28,24.7414,24.925,24.7414,24.838,3005
2007-06-29,24.7897,24.925,24.7897,24.9057,5899
2007-07-02,24.838,24.9053,24.7897,24.8864,4587
2007-07-03,24.9057,24.9154,24.7897,24.8864,4216
2007-07-05,24.7511,24.896,24.7511,24.896,3150
2007-07-06,24.7897,24.8864,24.7897,24.838,8620
2007-07-09,24.8794,24.9347,24.8148,24.8767,2275
2007-07-10,24.9347,24.9347,24.838,24.838,4170
2007-07-11,24.838,24.8999,24.838,24.838,7791
2007-07-12,24.838,25.0313,24.7607,24.838,37405
2007-07-13,25.0217,25.0217,24.8188,24.838,1396
2007-07-16,24.7897,24.9057,24.7897,24.809,6852
2007-07-17,24.9347,24.9347,24.7607,24.8284,6029
2007-07-18,24.7801,24.8786,24.7607,24.8767,2596
2007-07-19,24.7897,24.8766,24.7897,24.7897,2641
2007-07-20,24.7801,24.838,24.7511,24.7511,4825
2007-07-23,24.7511,24.7511,24.7414,24.7414,6744
2007-07-24,24.6544,24.7414,24.6544,24.6931,6762
2007-07-25,24.8864,24.8864,24.6447,24.6544,16229
2007-07-26,24.6641,24.6942,24.5964,24.5964,15434
2007-07-27,24.6931,24.6931,24.6931,24.6931,207
2007-07-30,24.7897,24.7897,24.5964,24.5964,3463
2007-07-31,24.6254,24.7945,24.5578,24.6447,2896
2007-08-01,24.9346,24.9346,24.5964,24.6447,3066
2007-08-02,24.6602,24.896,24.5674,24.6544,9358
2007-08-03,24.9154,24.9154,24.6061,24.6544,4349
2007-08-06,24.6447,24.8283,24.4515,24.4515,22066
2007-08-07,24.4804,24.6737,24.4804,24.5481,4068
2007-08-08,24.4611,24.6641,24.4611,24.5384,7398
2007-08-09,24.7414,24.7414,24.6776,24.7047,3154
2007-08-10,24.7414,24.7414,24.2775,24.2775,17605
2007-08-13,24.3065,24.3838,24.2775,24.3451,3233
2007-08-14,24.3355,24.7026,24.3355,24.6351,6630
2007-08-15,24.3645,24.6061,24.3355,24.5674,9811
2007-08-16,24.3065,24.6428,24.2968,24.4225,6404
2007-08-17,24.4418,24.722,24.4031,24.6447,5339
2007-08-20,24.7027,24.7124,24.3161,24.3548,5186
2007-08-21,24.5771,24.5771,24.5771,24.5771,362
2007-08-22,24.6873,24.6873,24.3548,24.3838,13571
2007-08-23,24.6525,24.7027,24.4516,24.4804,4658
2007-08-24,24.3451,24.6447,24.3451,24.4516,4636
2007-08-27,24.6351,24.6931,24.3936,24.4128,6878
2007-08-28,24.4128,24.5191,24.3645,24.4128,8541
2007-08-29,24.4515,24.4611,24.4515,24.4611,2224
2007-08-30,24.6447,24.6447,24.4515,24.5288,8031
2007-08-31,24.4708,24.6737,24.4708,24.6737,5692
2007-09-04,24.7704,24.7704,24.6931,24.7704,5643
2007-09-05,24.6545,24.724,24.4901,24.6544,5169
2007-09-06,24.7317,24.7317,24.6447,24.6447,3939
2007-09-07,24.7607,24.7897,24.7607,24.7897,1008
2007-09-10,24.7897,24.983,24.7874,24.7994,13631
2007-09-11,24.7994,24.9347,24.7414,24.8864,2737
2007-09-12,24.7414,25.0313,24.7414,24.9347,2750
2007-09-13,24.6447,24.7124,24.5964,24.7124,1688
2007-09-14,24.4998,24.7124,24.4225,24.7124,4552
2007-09-17,24.6834,24.6834,24.4515,24.4708,4697
2007-09-18,24.5094,24.7124,24.5094,24.6216,4324
2007-09-19,24.5191,24.6254,24.5094,24.5578,6217
2007-09-20,24.4515,24.6219,24.4515,24.5578,2569
2007-09-21,24.6351,24.7172,24.5094,24.5191,7198
2007-09-24,24.7221,24.7414,24.5964,24.6931,3748
2007-09-25,24.7414,24.7414,24.5094,24.5288,6230
2007-09-26,24.7414,24.7414,24.5191,24.5578,4850
2007-09-27,24.6931,24.6931,24.4998,24.5191,8726
2007-09-28,24.5433,24.5481,24.5085,24.5481,6343
2007-10-01,24.5481,24.6447,24.4515,24.4515,10815
2007-10-02,24.6158,24.6158,24.4515,24.5665,5939
2007-10-03,24.5868,24.5868,24.4708,24.4708,3492
2007-10-04,24.4708,24.5384,24.4708,24.4708,2584
2007-10-05,24.4515,24.5307,24.4515,24.5288,5016
2007-10-08,24.4612,24.5384,24.4612,24.5288,2236
2007-10-09,24.4611,24.5481,24.4515,24.4611,20061
2007-10-10,24.4708,24.7414,24.4515,24.7414,22812
2007-10-11,24.7414,24.7414,24.4708,24.4708,6357
2007-10-12,24.6447,24.6544,24.4709,24.6544,7970
2007-10-15,24.58,24.6351,24.4515,24.5771,10249
2007-10-16,24.4708,24.6447,24.4515,24.6447,6635
2007-10-17,24.6447,24.6447,24.4515,24.5906,16437
2007-10-18,24.5578,24.5579,24.4708,24.4708,2138
2007-10-19,24.4805,24.4829,24.4515,24.4515,5681
2007-10-22,24.4515,24.6061,24.4515,24.5713,4354
2007-10-23,24.4515,24.521,24.4515,24.521,2380
2007-10-24,24.5964,24.6351,24.4225,24.6351,10084
2007-10-25,24.6447,24.6447,24.4418,24.5963,3399
2007-10-26,24.4998,24.6544,24.4611,24.6448,5282
2007-10-29,24.6544,24.6931,24.4998,24.5964,6854
2007-10-30,24.5964,24.5964,24.4031,24.4225,11898
2007-10-31,24.4321,24.4515,24.4225,24.4418,10629
2007-11-01,24.4225,24.4515,24.4225,24.4283,8007
2007-11-02,24.4515,24.4998,24.4225,24.4753,6336
2007-11-05,24.4515,24.5384,24.4321,24.5384,5791
2007-11-06,24.4998,24.4998,24.4342,24.4419,4147
2007-11-07,24.4418,24.4515,24.4128,24.4128,8680
2007-11-08,24.4128,24.4418,24.3742,24.4418,10687
2007-11-09,24.4514,24.4514,24.4128,24.4157,3088
2007-11-12,24.4515,24.4516,24.4128,24.4515,18380
2007-11-13,24.4515,24.5481,24.3065,24.4128,8264
2007-11-14,24.5027,24.5027,24.4031,24.432,5484
2007-11-15,24.3548,24.4727,24.3548,24.4727,1543
2007-11-16,24.3548,24.4515,24.3548,24.4031,3478
2007-11-19,24.4031,24.5481,24.3548,24.4031,6156
2007-11-20,24.5481,24.7124,24.3548,24.4031,4730
2007-11-21,24.3645,24.4418,24.3548,24.3935,13155
2007-11-23,24.4515,24.4515,24.4321,24.4321,620
2007-11-26,24.4901,24.5481,24.3548,24.3548,3529
2007-11-27,24.4031,24.5288,24.3645,24.3645,2311
2007-11-28,24.5094,24.5191,24.5094,24.5191,207
2007-11-29,24.4515,24.4998,24.4515,24.4998,2603
2007-11-30,24.4998,24.5481,24.4612,24.4612,6063
2007-12-03,24.5288,24.6447,24.4998,24.5133,12144
2007-12-04,24.4611,24.5964,24.4515,24.4611,8051
2007-12-05,24.5868,24.5964,24.4515,24.5384,9299
2007-12-06,24.5964,24.5964,24.4611,24.4897,16242
2007-12-07,24.5288,24.6447,24.4998,24.6254,3549
2007-12-10,24.6254,24.6254,24.4708,24.5578,5637
2007-12-11,24.5094,25.0797,24.5094,24.9154,13177
2007-12-12,24.4611,24.5481,24.3548,24.4707,20211
2007-12-13,24.5095,24.5191,24.3645,24.4225,7369
2007-12-14,24.3645,24.4515,24.1615,24.2388,10321
2007-12-17,24.2098,24.3799,23.8716,24.0165,36308
2007-12-18,24.3161,24.3161,23.9296,24.1615,12796
2007-12-19,24.4031,24.4031,23.9779,24.0745,9029
2007-12-20,24.1615,24.3838,24.0649,24.2582,4843
2007-12-21,24.3838,24.3838,23.8909,24.1519,19764
2007-12-24,24.3935,24.3935,24.1132,24.1712,4816
2007-12-26,24.1712,24.3644,24.1615,24.1808,3386
2007-12-27,24.1615,24.3065,24.1615,24.2098,9408
2007-12-28,24.2098,24.3451,24.2098,24.2678,4081
2007-12-31,24.3065,24.3548,24.1615,24.3257,12179
2008-01-02,24.3258,24.3548,24.2099,24.2099,4301
2008-01-03,24.2582,24.3065,24.1712,24.2098,2882
2008-01-04,24.3548,24.3935,24.2388,24.3065,3538
2008-01-07,24.3838,24.4031,24.2388,24.4031,11256
2008-01-08,24.403,24.4031,24.2098,24.2098,7272
2008-01-09,24.3567,24.3935,24.2293,24.2775,4723
2008-01-10,24.4031,24.4031,24.2775,24.2775,3362
2008-01-11,24.3065,24.5481,24.2098,24.4999,23114
2008-01-14,24.4031,24.5674,24.4031,24.5481,10594
2008-01-15,24.4031,24.5481,24.2582,24.2678,9324
2008-01-16,24.5288,24.5384,24.3548,24.5191,3372
2008-01-17,24.5191,24.5481,24.1325,24.1615,57056
2008-01-18,24.4998,24.4998,24.1325,24.2582,26448
2008-01-22,24.1615,24.4998,24.1615,24.3548,12780
2008-01-23,24.403,24.4031,24.2485,24.2485,10825
2008-01-24,24.2292,24.4514,24.2292,24.3277,5207
2008-01-25,24.4225,24.5481,24.3741,24.5481,12397
2008-01-28,24.5481,24.5674,24.4031,24.4226,14168
2008-01-29,24.4515,24.5481,24.3839,24.4515,10104
2008-01-30,24.5481,24.6447,24.3935,24.5481,18151
2008-01-31,24.4998,24.6447,24.4128,24.6254,9151
2008-02-01,24.6254,24.6254,24.5481,24.5964,2379
2008-02-04,24.6447,24.8574,24.6446,24.8574,12536
2008-02-05,24.8574,24.8767,24.7511,24.8187,6248
2008-02-06,24.6447,24.8284,24.5579,24.7414,11134
2008-02-07,24.7414,24.8187,24.6911,24.8187,14015
2008-02-08,24.7414,24.838,24.7027,24.7414,8491
2008-02-11,24.838,24.838,24.7105,24.7936,11544
2008-02-12,24.6447,24.8767,24.6447,24.838,7882
2008-02-13,24.8864,24.8864,24.8052,24.8409,4862
2008-02-14,24.7898,24.8516,24.7897,24.8477,20652
2008-02-15,24.838,24.925,24.7897,24.925,10886
2008-02-19,24.838,24.983,24.838,24.9154,7596
2008-02-20,24.8768,25.0023,24.8767,24.8864,5883
2008-02-21,24.8864,24.8864,24.838,24.838,3944
2008-02-22,24.7511,24.9732,24.7511,24.9732,12325
