Date,Open,High,Low,Close,Volume
2022-01-05,10.08,10.11,10.08,10.09,14243698
2022-01-06,10.09,10.105,10.08,10.1,902883
2022-01-07,10.1,10.1,10.0705,10.09,144580
2022-01-10,10.1,10.13,10.09,10.13,311257
2022-01-11,10.11,10.12,10.105,10.11,370958
2022-01-12,10.1097,10.11,10.08,10.11,72575
2022-01-13,10.09,10.1,10.09,10.1,26064
2022-01-14,10.1,10.1,10.095,10.1,50140
2022-01-18,10.08,10.09,10.07,10.09,5209
2022-01-19,10.09,10.09,10.07,10.07,32829
2022-01-20,10.07,10.07,10.06,10.07,31961
2022-01-21,10.08,10.08,10.05,10.05,38109
2022-01-24,10.06,10.06,10.03,10.05,193606
2022-01-25,10.065,10.065,10.03,10.05,17243
2022-01-26,10.05,10.09,10.04,10.08,39000
2022-01-27,10.03,10.04,10.0,10.04,16731
2022-01-28,10.04,10.04,10.02,10.02,60700
2022-01-31,10.04,10.09,10.03,10.03,100200
2022-02-01,10.09,10.09,10.05,10.05,157520
2022-02-03,10.02,10.02,10.02,10.02,350
2022-02-04,10.08,10.08,10.08,10.08,300
2022-02-07,10.1,10.1,10.1,10.1,3485
2022-02-08,10.06,10.06,10.06,10.06,6000
2022-02-09,10.04,10.08,10.03,10.08,12006
2022-02-11,10.05,10.05,10.03,10.05,172600
2022-02-17,10.05,10.06,10.0453,10.06,119435
2022-02-18,10.02,10.05,10.02,10.05,30531
2022-02-22,10.06,10.06,10.0202,10.06,5022
2022-02-28,10.06,10.06,10.02,10.06,122567
2022-03-01,10.03,10.1,10.03,10.05,600
2022-03-09,10.07,10.1,10.07,10.1,869
2022-03-16,10.1,10.1,10.1,10.1,301
2022-04-04,10.02,10.02,10.02,10.02,568
2022-04-07,10.06,10.06,10.06,10.06,100
2022-04-11,10.05,10.09,10.05,10.09,466
2022-04-12,10.09,10.1,10.09,10.1,295
2022-04-13,10.11,10.13,10.11,10.13,651
2022-04-19,10.1,10.1,10.1,10.1,200
2022-04-21,10.13,10.13,10.13,10.13,809
2022-04-25,10.13,10.15,10.13,10.14,14929
2022-04-27,10.16,10.16,10.15,10.15,800
2022-04-29,10.19,10.19,10.19,10.19,400
2022-05-04,10.11,10.11,10.11,10.11,100
2022-05-05,10.11,10.11,10.11,10.11,13792
2022-05-06,10.11,10.11,10.11,10.11,300
2022-05-16,10.05,10.05,10.05,10.05,24148
2022-05-19,10.1,10.1,10.1,10.1,4958
2022-05-24,10.04,10.04,10.02,10.02,1960
2022-05-25,10.07,10.07,10.06,10.06,28808
2022-05-26,10.06,10.06,10.06,10.06,300
2022-05-27,10.05,10.05,10.05,10.05,1100
2022-06-01,10.06,10.07,10.06,10.06,45500
2022-06-08,10.06,10.06,10.03,10.06,11252
2022-06-15,10.08,10.08,10.08,10.08,1000
2022-06-30,10.04,10.05,10.02,10.05,19097
2022-07-01,10.04,10.06,10.04,10.06,4301
2022-07-07,10.04,10.04,10.04,10.04,220
2022-07-08,10.07,10.08,10.07,10.07,400
2022-07-12,10.08,10.08,10.08,10.08,400
2022-07-13,10.06,10.06,10.05,10.05,300
2022-07-18,10.0536,10.08,10.05,10.08,17600
2022-07-19,10.08,10.08,10.08,10.08,600
2022-07-20,10.08,10.08,10.08,10.08,3200
2022-07-22,10.08,10.08,10.07,10.08,19000
2022-07-25,10.09,10.09,10.08,10.08,37200
2022-08-09,10.19,10.19,10.19,10.19,100
2022-08-11,10.07,10.07,10.07,10.07,900
2022-09-08,10.14,10.14,10.14,10.14,1000
2022-09-12,10.15,10.15,10.15,10.15,100
2022-09-13,10.2,10.2,10.2,10.2,100
2022-09-15,10.14,10.14,10.11,10.11,1290
2022-09-26,10.12,10.15,10.12,10.14,900
2022-10-04,10.11,10.11,10.11,10.11,507
2022-10-06,10.14,10.14,10.11,10.1208,900
2022-10-10,10.15,10.15,10.15,10.15,300
2022-10-13,10.16,10.16,10.16,10.16,800
2022-10-14,10.18,10.18,10.18,10.18,10487
2022-10-24,10.19,10.19,10.19,10.19,4400
2022-10-27,10.18,10.18,10.17,10.17,900
2022-11-02,10.24,10.25,10.24,10.25,200
2022-11-03,10.25,10.25,10.25,10.25,10100
2022-11-04,10.25,10.25,10.25,10.25,5100
2022-11-07,10.26,10.26,10.26,10.26,500
2022-11-09,10.26,10.26,10.23,10.25,8600
2022-11-10,10.25,10.25,10.25,10.25,300
2022-11-14,10.25,10.3,10.25,10.3,2200
2022-11-18,10.29,10.29,10.29,10.29,200
2022-11-21,10.29,10.29,10.29,10.29,600
2022-11-22,10.29,10.3,10.24,10.3,3461
2023-01-06,10.36,10.36,10.33,10.33,1483
2023-01-30,10.43,10.43,10.43,10.43,150000
2023-01-31,10.45,10.47,10.45,10.47,1000
