Date,Open,High,Low,Close,Volume
2008-12-15,29.95,30.38,28.81,28.875,319858
2008-12-16,29.075,29.885,28.535,28.875,537910
2008-12-17,30.05,30.995,29.86,29.86,288572
2008-12-18,30.57,31.125,29.88,30.365,327804
2008-12-19,29.7,30.845,29.59,30.4,864024
2008-12-22,30.47,31.12,29.215,29.845,377854
2008-12-23,29.845,30.525,29.62,30.097,278736
2008-12-24,30.075,30.225,29.85,30.1,84682
2008-12-26,30.325,30.628,30.165,30.52,93288
2008-12-29,30.77,30.82,30.18,30.6,232070
2008-12-30,30.89,31.19,30.72,30.91,295084
2008-12-31,31.07,32.0,30.95,31.72,264022
2009-01-02,32.085,32.12,31.42,31.888,259302
2009-01-05,31.94,31.965,31.06,31.544,289238
2009-01-06,31.5,32.5875,31.265,31.393,275334
2009-01-07,31.075,31.395,30.335,31.205,277234
2009-01-08,31.05,31.285,30.73,30.955,310404
2009-01-09,30.9,30.955,29.01,29.16,600596
2009-01-12,28.75,29.5,27.56,27.88,590464
2009-01-13,27.65,28.4,27.265,28.075,415358
2009-01-14,27.825,27.825,26.535,26.79,440406
2009-01-15,26.84,27.15,26.0,27.085,414482
2009-01-16,26.97,27.375,26.74,27.11,333942
2009-01-20,27.02,27.1,25.981,26.035,485750
2009-01-21,26.035,27.12,26.035,26.95,537936
2009-01-22,26.45,27.21,26.245,26.955,373318
2009-01-23,26.955,26.955,25.995,26.395,487992
2009-01-26,26.54,27.35,26.267,26.94,288642
2009-01-27,27.12,27.5,26.93,27.175,273686
2009-01-28,27.68,27.69,27.125,27.47,607916
2009-01-29,27.5,27.62,26.95,27.29,252058
2009-01-30,27.1,27.72,26.525,26.755,213412
2009-02-02,26.705,26.85,26.2,26.755,350950
2009-02-03,26.845,26.9,25.23,25.945,523524
2009-02-04,26.1,26.33,25.125,25.43,432778
2009-02-05,25.25,25.955,24.915,25.58,455122
2009-02-06,25.425,25.65,25.0,25.33,732682
2009-02-09,25.175,26.005,25.175,26.005,363904
2009-02-10,26.425,26.68,25.16,25.415,597798
2009-02-11,25.55,26.045,25.365,25.38,299198
2009-02-12,25.0,25.77,24.845,25.68,349704
2009-02-13,25.485,26.185,25.315,25.745,331976
2009-02-17,25.0,25.0,23.723,24.675,703490
2009-02-18,24.75,25.485,24.537,25.0,487976
2009-02-19,25.0,25.495,24.501,24.928,366666
2009-02-20,24.66,25.92,24.36,25.795,665456
2009-02-23,25.825,25.935,24.35,24.66,466144
2009-02-24,24.25,24.71,23.475,24.495,800842
2009-02-25,24.505,26.55,24.505,25.91,1093872
2009-02-26,25.625,25.625,24.4,24.7785,767658
2009-02-27,24.16,24.735,23.67,24.29,566632
2009-03-02,23.895,24.195,22.945,23.145,589686
2009-03-03,23.365,23.645,22.335,22.36,1055228
2009-03-04,22.5,24.125,22.405,23.71,616642
2009-03-05,23.115,23.225,21.815,22.1,455204
2009-03-06,22.045,22.73,21.78,22.515,516546
2009-03-09,22.55,22.55,21.065,21.24,733032
2009-03-10,21.725,21.725,20.94,21.33,506654
2009-03-11,21.43,22.08,21.16,21.475,495936
2009-03-12,21.325,21.94,20.85,21.07,790738
2009-03-13,21.625,21.755,21.085,21.2,424906
2009-03-16,21.435,21.455,20.45,20.54,454800
2009-03-17,20.55,21.5,20.55,20.76,427256
2009-03-18,21.545,22.485,21.245,21.5645,763546
2009-03-19,22.53,22.905,22.26,22.7075,403262
2009-03-20,23.1,23.555,22.495,22.71,524206
2009-03-23,23.025,23.93,22.77,23.93,462100
2009-03-24,24.01,24.25,23.47,23.49,498880
2009-03-25,23.74,24.025,22.325,23.045,624676
2009-03-26,23.36,24.0,22.605,24.0,638148
2009-03-27,23.95,24.27,23.73,24.02,543456
2009-03-30,23.69,24.085,23.38,23.815,540176
2009-03-31,24.0,24.42,23.86,24.0,431908
2009-04-01,23.72,24.355,23.465,24.305,501822
2009-04-02,24.685,25.445,24.41,25.035,503916
2009-04-03,24.94,25.03,23.965,24.0,467514
2009-04-06,24.025,24.025,22.9275,23.435,945966
2009-04-07,23.085,24.55,22.93,24.39,734348
2009-04-08,24.39,25.19,24.33,25.145,377572
2009-04-09,25.35,25.42,24.705,24.805,315374
2009-04-13,24.675,24.755,24.145,24.397,299584
2009-04-14,24.2675,24.75,23.895,24.485,305838
2009-04-15,24.28,24.825,24.28,24.725,299454
2009-04-16,24.785,25.035,23.925,23.99,534500
2009-04-17,23.95,24.31,23.65,23.936,529062
2009-04-20,23.75,24.08,23.5,23.95,318776
2009-04-21,23.675,24.51,23.675,24.46,318854
2009-04-22,24.26,24.53,23.945,24.005,578772
2009-04-23,24.055,24.21,23.35,23.778,464646
2009-04-24,24.18,24.285,23.22,23.36,878698
2009-04-27,23.155,23.86,23.0,23.4,633768
2009-04-28,23.275,23.585,22.855,23.12,1039932
2009-04-29,22.375,25.89,22.375,25.74,2371172
2009-04-30,26.0,26.205,25.0,25.05,1178268
2009-05-01,25.055,25.79,24.76,25.565,734482
2009-05-04,25.395,25.78,24.75,25.065,1274852
2009-05-05,25.0,25.1,24.575,24.905,1142872
2009-05-06,24.2,27.82,23.0,27.64,2169080
2009-05-07,27.64,27.715,26.47,26.655,693032
2009-05-08,26.795,27.28,26.44,26.705,564728
2009-05-11,26.65,27.26,26.235,26.33,722958
2009-05-12,26.45,26.61,25.805,26.14,632222
2009-05-13,25.945,26.235,25.42,25.49,500106
2009-05-14,25.29,26.475,25.29,26.18,519898
2009-05-15,26.165,26.41,25.88,26.075,390206
2009-05-18,26.1825,27.265,25.93,27.265,530048
2009-05-19,27.125,27.125,26.31,26.565,737512
2009-05-20,26.73,26.825,25.585,26.002,562432
2009-05-21,25.345,25.95,25.175,25.605,413434
2009-05-22,25.64,25.765,25.32,25.335,277182
2009-05-26,24.845,25.98,24.845,25.975,489232
2009-05-27,26.08,26.08,25.535,25.735,422426
2009-05-28,26.185,27.135,25.795,27.055,791242
2009-05-29,26.85,27.265,26.695,27.26,411368
2009-06-01,27.81,27.93,27.26,27.26,308362
2009-06-02,27.805,28.755,27.5,28.375,599258
2009-06-03,28.1,28.375,27.375,27.725,274916
2009-06-04,28.13,28.175,27.575,28.07,190790
2009-06-05,27.98,28.41,27.8,27.95,162026
2009-06-08,27.745,28.255,27.635,28.01,182030
2009-06-09,27.925,28.305,27.835,28.115,292612
2009-06-10,28.13,28.435,27.7,27.97,378734
2009-06-11,27.995,28.975,27.73,28.515,352386
2009-06-12,28.32,28.415,28.0,28.31,183180
2009-06-15,28.25,28.345,27.31,27.69,308676
2009-06-16,27.94,27.94,26.76,26.94,366618
2009-06-17,26.55,27.64,26.506,27.4625,406082
2009-06-18,27.56,28.43,27.48,28.405,381340
2009-06-19,28.73,28.76,28.355,28.43,447526
2009-06-22,28.335,28.58,27.565,27.565,296664
2009-06-23,27.575,27.75,26.565,26.595,452340
2009-06-24,26.635,26.835,26.3,26.52,360004
2009-06-25,26.36,27.615,26.255,27.615,374738
2009-06-26,27.585,27.75,26.855,27.202,416276
2009-06-29,27.145,27.6145,27.09,27.385,160794
2009-06-30,27.625,27.625,26.93,26.995,261692
2009-07-01,27.005,27.7,27.0,27.055,192730
2009-07-02,26.805,26.93,26.15,26.15,314738
2009-07-06,25.955,26.37,25.6,25.89,304670
2009-07-07,25.69,25.785,25.14,25.26,424496
2009-07-08,25.275,25.275,24.545,24.79,404944
2009-07-09,25.03,25.209,24.435,24.507,312804
2009-07-10,24.875,25.205,24.525,24.6055,512386
2009-07-13,24.75,25.07,24.495,25.005,505406
2009-07-14,25.07,25.225,24.62,24.77,376790
2009-07-15,25.0,25.2,24.855,25.07,539032
2009-07-16,25.095,25.495,24.92,25.395,226092
2009-07-17,25.405,25.515,25.11,25.3125,353054
2009-07-20,25.75,26.7545,25.74,26.265,410792
2009-07-21,26.33,26.62,25.705,25.87,275466
2009-07-22,25.87,26.415,25.6465,26.11,159454
2009-07-23,26.0,26.89,25.86,26.56,374928
2009-07-24,26.36,26.635,25.56,25.69,538800
2009-07-27,25.5,25.75,25.335,25.455,260794
2009-07-28,25.455,25.455,24.855,24.985,517488
2009-07-29,24.82,25.19,24.645,25.1,448344
2009-07-30,25.205,25.3,24.535,24.75,807720
2009-07-31,24.92,26.115,24.885,26.085,893488
2009-08-03,26.105,26.71,25.6,26.085,1654378
2009-08-04,26.465,26.935,26.07,26.81,798342
2009-08-05,27.585,27.865,26.775,27.66,635544
2009-08-06,27.67,28.12,27.355,27.44,323714
2009-08-07,27.72,27.975,27.365,27.855,293546
2009-08-10,27.875,27.99,27.535,27.8,211242
2009-08-11,27.8,27.8,27.075,27.47,300534
2009-08-12,27.395,29.0,27.295,28.62,517102
2009-08-13,28.545,28.835,28.29,28.7,193128
2009-08-14,28.67,28.67,27.585,27.89,262282
2009-08-17,27.585,27.595,27.26,27.43,355942
2009-08-18,27.43,27.615,27.195,27.55,285000
2009-08-19,27.455,28.29,27.205,27.865,316514
2009-08-20,28.155,28.96,28.065,28.945,349208
2009-08-21,29.0,30.735,29.0,30.17,762854
2009-08-24,30.245,30.425,29.75,29.95,297028
2009-08-25,30.2,30.235,29.535,29.73,265662
2009-08-26,29.6,29.73,29.23,29.5,181266
2009-08-27,29.62,29.8,29.0,29.45,334790
2009-08-28,29.46,29.785,29.235,29.34,216816
2009-08-31,29.1,29.535,28.875,29.506,511798
2009-09-01,29.305,30.635,29.21,29.51,581764
2009-09-02,29.25,29.25,28.125,28.55,601516
2009-09-03,28.8,29.08,28.52,29.075,222394
2009-09-04,29.13,29.345,28.935,29.265,143680
2009-09-08,29.32,29.88,29.0575,29.64,311598
2009-09-09,29.64,30.105,29.515,29.785,157774
2009-09-10,29.9,30.14,29.675,30.025,144640
2009-09-11,29.975,30.36,29.975,30.265,102676
2009-09-14,30.195,30.545,30.095,30.445,158906
2009-09-15,30.335,30.685,30.185,30.5,150000
2009-09-16,30.45,30.65,30.21,30.61,114076
2009-09-17,30.71,30.71,30.275,30.577,143966
2009-09-18,30.59,30.815,29.925,30.279,464074
2009-09-21,29.9,30.005,29.52,29.875,209152
2009-09-22,30.0,30.105,29.655,29.79,162248
