Date,Open,High,Low,Close,Volume
2021-09-10,0.44,0.44,0.4,0.43,999091
2021-09-13,0.431,0.5,0.4,0.45,1216338
2021-09-14,0.45,0.45,0.3986,0.4,230101
2021-09-15,0.4,0.4,0.3925,0.4,62772
2021-09-16,0.402,0.43,0.4,0.43,112645
2021-09-17,0.43,0.43,0.41,0.4101,49950
2021-09-20,0.4101,0.4102,0.4101,0.4101,7000
2021-09-21,0.415,0.415,0.4025,0.4149,227000
2021-09-22,0.4001,0.41,0.4001,0.41,500
2021-09-24,0.4,0.4051,0.3801,0.3851,669115
2021-09-27,0.395,0.411,0.395,0.402,10100
2021-09-28,0.4,0.4,0.4,0.4,153000
2021-09-29,0.44,0.44,0.44,0.44,2300
2021-09-30,0.42,0.42,0.4194,0.4194,32700
2021-10-01,0.42,0.45,0.42,0.42,50408
2021-10-04,0.42,0.42,0.405,0.405,70000
2021-10-05,0.4,0.43,0.4,0.4001,140000
2021-10-06,0.4,0.4,0.366,0.38,316121
2021-10-07,0.375,0.375,0.375,0.375,25000
2021-10-11,0.4,0.4325,0.375,0.382,22000
2021-10-12,0.38,0.38,0.3786,0.3786,31050
2021-10-13,0.382,0.382,0.382,0.382,2660
2021-10-14,0.38,0.39,0.3796,0.38,33920
2021-10-15,0.382,0.382,0.37,0.3701,27400
2021-10-18,0.3726,0.4,0.372,0.4,32691
2021-10-19,0.43,0.45,0.43,0.43,69109
2021-10-20,0.44,0.44,0.44,0.44,76199
2021-10-21,0.45,0.45,0.44,0.44,2300
2021-10-25,0.42,0.42,0.42,0.42,500
2021-10-27,0.44,0.535,0.44,0.44,1597
2021-11-02,0.5,0.5,0.5,0.5,15775
2021-11-03,0.6,0.6,0.44,0.44,246402
2021-11-04,0.4411,0.445,0.435,0.445,83903
2021-11-05,0.445,0.4451,0.435,0.4451,10899
2021-11-09,0.45,0.45,0.446,0.446,200
2021-11-10,0.45,0.45,0.44,0.45,92299
2021-11-11,0.435,0.4505,0.435,0.45,79309
2021-11-12,0.55,0.55,0.442,0.442,2893
2021-11-15,0.45,0.45,0.45,0.45,2323
2021-11-16,0.48,0.48,0.44,0.44,50600
2021-11-17,0.44,0.44,0.44,0.44,200
2021-11-18,0.44,0.51,0.44,0.455,172224
2021-11-19,0.44,0.4697,0.44,0.4697,412
2021-11-23,0.4511,0.4511,0.44,0.44,22082
2021-11-24,0.5,0.5,0.5,0.5,2200
2021-11-29,0.5,0.5,0.46,0.46,481
2021-11-30,0.44,0.44,0.3758,0.3758,13625
2021-12-01,0.4405,0.4405,0.44,0.44,203954
2021-12-08,0.48,0.48,0.48,0.48,100
2021-12-09,0.48,0.48,0.48,0.48,200
2021-12-13,0.45,0.45,0.45,0.45,150
2021-12-14,0.45,0.45,0.45,0.45,7391
2021-12-15,0.47,0.47,0.45,0.45,73709
2021-12-17,0.45,0.45,0.44,0.44,13585
2021-12-21,0.44,0.44,0.44,0.44,188
2021-12-22,0.4994,0.61,0.4994,0.51,6197
2021-12-23,0.4411,0.4411,0.4406,0.4406,200
2021-12-29,0.4406,0.4406,0.43,0.44,45000
2021-12-30,0.44,0.44,0.44,0.44,600
2022-01-03,0.43,0.43,0.43,0.43,1200
2022-01-04,0.43,0.43,0.43,0.43,3760
2022-01-07,0.4494,0.4494,0.4494,0.4494,623
2022-01-12,0.39,0.39,0.39,0.39,300
2022-01-14,0.44,0.44,0.44,0.44,90000
2022-01-24,0.35,0.35,0.35,0.35,100
2022-01-25,0.35,0.378,0.35,0.35,103400
2022-01-26,0.36,0.36,0.36,0.36,480
2022-01-27,0.37,0.37,0.37,0.37,52150
2022-01-28,0.35,0.35,0.35,0.35,500
2022-02-09,0.37,0.37,0.37,0.37,100
2022-02-22,0.3406,0.3406,0.3406,0.3406,600
2022-02-23,0.3406,0.3406,0.34,0.34,500000
2022-02-28,0.3306,0.3306,0.3306,0.3306,900
2022-03-01,0.328,0.328,0.32,0.32,9964
2022-03-11,0.3151,0.3151,0.3051,0.3051,2100
2022-03-15,0.308,0.308,0.308,0.308,800
2022-03-18,0.2906,0.2906,0.2851,0.2851,1000
2022-03-21,0.2851,0.2851,0.2806,0.2806,900
2022-03-22,0.2806,0.2806,0.2751,0.2751,900
2022-03-28,0.2894,0.2894,0.27,0.27,1400
2022-03-29,0.2651,0.2849,0.2606,0.2606,18600
2022-03-30,0.2543,0.2543,0.2543,0.2543,1000
2022-04-04,0.255,0.255,0.255,0.255,3000
2022-04-05,0.2543,0.2543,0.2543,0.2543,1000
2022-04-08,0.2506,0.2506,0.25,0.25,1000
2022-04-13,0.1015,0.1668,0.1015,0.1615,500
2022-04-14,0.24,0.24,0.24,0.24,770
2022-04-20,0.24,0.24,0.13,0.1506,1400
2022-04-21,0.1506,0.2249,0.1506,0.2249,600
2022-04-22,0.13,0.13,0.13,0.13,100
2022-04-27,0.1401,0.1534,0.1401,0.1534,1000
2022-04-28,0.1401,0.1402,0.1401,0.1402,5692
2022-04-29,0.145,0.145,0.1428,0.1428,25000
2022-05-16,0.1988,0.1988,0.162,0.162,2050
2022-05-17,0.17,0.17,0.17,0.17,1399
2022-05-18,0.185,0.185,0.1317,0.14,900
2022-05-20,0.185,0.185,0.185,0.185,300
2022-05-26,0.102,0.1389,0.102,0.1389,5706
2022-05-27,0.153,0.153,0.1008,0.111,4056
2022-06-01,0.155,0.155,0.14,0.14,300
2022-06-02,0.1132,0.1132,0.1131,0.1131,1100
2022-06-03,0.1325,0.1399,0.13,0.1399,996
2022-06-07,0.1379,0.1379,0.1116,0.1131,838
2022-06-08,0.1,0.1164,0.1,0.1164,759
2022-06-17,0.095,0.1098,0.095,0.1098,4304
