Date,Open,High,Low,Close,Volume
2007-05-16,288.1212,293.7706,288.1212,292.8667,1301.08
2007-05-17,292.4148,302.8097,292.4148,300.5499,769.8000000000001
2007-05-18,301.6798,305.0695,299.4201,303.7136,1040.45
2007-05-21,304.1656,307.3293,302.1318,306.4254,535.8
2007-05-22,306.1994,306.8773,298.9681,301.6798,486.91
2007-05-23,300.7759,304.1656,300.5499,302.8097,991.49
2007-05-24,303.9396,306.1994,301.2279,306.1994,372.22
2007-05-25,306.1994,308.4592,299.4201,305.0695,707.22
2007-05-29,307.1033,315.0125,307.1033,312.9787,522.97
2007-05-30,314.3346,317.9502,311.8488,317.2723,270.03000000000003
2007-05-31,316.3684,316.3684,312.0748,315.6904,287.74
2007-06-04,309.589,315.4645,308.4592,308.6851,2646.7400000000002
2007-06-05,310.041,312.5267,308.0072,310.9449,270.08
2007-06-06,311.6228,316.1424,310.041,315.4645,252.4
2007-06-07,316.1424,319.0801,314.7865,319.0801,544.28
2007-06-08,318.1762,322.0178,316.5943,316.5943,748.34
2007-06-11,316.3684,316.8203,314.1086,314.1086,265.59999999999997
2007-06-12,312.3008,313.2047,305.0695,305.5214,570.99
2007-06-13,305.7474,309.3631,305.7474,309.3631,296.5
2007-06-14,310.7189,321.1139,310.7189,312.5267,955.66
2007-06-15,312.9787,314.1086,312.5267,313.2047,424.9
2007-06-18,312.7527,313.6566,304.6175,304.6175,836.59
2007-06-19,304.6175,305.0695,301.0019,305.0695,584.29
2007-06-20,304.8435,319.3061,302.3578,319.3061,584.33
2007-06-21,306.1994,310.7189,304.8435,308.4592,349.40000000000003
2007-06-22,307.3293,308.4592,305.0695,306.6513,411.54
2007-06-25,303.4877,305.9734,302.5837,305.5214,340.87
2007-06-26,305.0695,307.1033,302.1318,305.9734,261.22
2007-06-27,299.1941,303.0357,293.9966,303.0357,579.69
2007-06-28,301.6798,301.6798,295.1265,296.0304,447.13
2007-06-29,297.1603,301.9058,297.1603,297.3863,645.94
2007-07-02,298.5161,301.9058,298.5161,300.324,247.89
2007-07-03,301.2279,302.8097,300.5499,300.5499,265.65
2007-07-05,299.872,299.872,290.381,294.9005,791.85
2007-07-06,296.0304,297.6122,294.9005,296.4824,792.93
2007-07-09,297.6122,303.2617,293.7706,294.4486,942.58
2007-07-10,295.8044,297.1603,293.5446,295.3525,761.41
2007-07-11,294.9005,294.9005,289.2511,289.4771,637.22
2007-07-12,288.3472,296.4824,288.1212,296.4824,708.0699999999999
2007-07-13,294.9005,302.1318,294.9005,302.1318,389.63
2007-07-16,301.0019,301.0019,289.2511,295.3525,845.08
2007-07-17,294.6745,294.9005,291.2849,294.9005,323.15
2007-07-18,294.2226,296.0304,291.7368,296.0304,411.53000000000003
2007-07-19,296.0304,296.4824,294.4486,296.0304,451.46
2007-07-20,293.7706,293.7706,283.6016,289.2511,1381.09
2007-07-23,296.0304,299.4201,290.381,295.8044,2398.51
2007-07-24,297.3863,303.2617,293.7706,295.3525,1810.26
2007-07-25,294.2226,302.8097,294.2226,301.4539,2257.85
2007-07-26,304.6175,315.2385,302.8097,311.8488,2695.96
2007-07-27,315.9164,324.2776,315.2385,320.8879,1970.17
2007-07-30,323.1477,325.8594,322.0178,324.5035,1576.2
2007-07-31,326.3114,327.6672,323.1477,326.9893,1575.83
2007-08-01,325.8594,328.7971,310.267,310.267,1955.86
2007-08-02,311.6228,316.3684,311.1709,316.1424,628.8
2007-08-03,318.4022,318.6281,309.589,310.267,1057.87
2007-08-06,310.493,313.4307,299.1941,300.7759,937.97
2007-08-07,300.5499,301.6798,294.9005,296.0304,500.3
2007-08-08,297.8382,299.1941,294.9005,296.0304,1013.84
2007-08-09,296.9343,300.5499,293.7706,296.0304,699.52
2007-08-10,297.6122,299.4201,276.1444,281.3419,2491.6
2007-08-13,277.2743,291.0589,277.0483,288.1212,1159.95
2007-08-14,288.7991,292.6407,285.8614,286.9913,575.4
2007-08-15,286.7653,292.1888,282.4718,282.6977,801.1800000000001
2007-08-16,283.3757,285.6354,280.212,281.3419,730.6
2007-08-17,261.4559,291.0589,0.452,284.2796,1022.78
2007-08-20,285.6354,285.6354,280.8899,282.4718,846.12
2007-08-21,282.0198,282.4718,280.212,281.7938,239.04999999999998
2007-08-22,280.438,289.2511,280.212,286.9913,672.97
2007-08-23,287.6692,295.8044,287.6692,292.6407,602.14
2007-08-24,292.8667,293.3187,291.5108,293.3187,159.39
2007-08-27,296.0304,299.872,296.0304,297.1603,597.5699999999999
2007-08-28,296.7083,296.7083,289.4771,289.929,203.69
2007-08-29,291.0589,291.7368,288.1212,288.3472,230.23
2007-08-30,288.1212,288.7991,287.6692,288.7991,92.97999999999999
2007-08-31,289.0251,291.2849,289.0251,291.0589,132.88
2007-09-04,291.0589,294.9005,290.6069,293.9966,349.71
2007-09-05,292.1888,294.9005,287.8952,289.2511,438.22
2007-09-06,288.1212,289.2511,287.6692,287.6692,132.75
2007-09-07,285.8614,289.4771,284.7315,289.4771,265.79
2007-09-10,289.2511,291.9628,289.2511,291.5108,234.62
2007-09-11,289.2511,293.7706,289.2511,293.5446,447.11
2007-09-12,293.7706,298.2902,292.8667,296.0304,531.4
2007-09-13,294.6745,297.1603,294.6745,297.1603,84.06
2007-09-14,298.0642,301.6798,298.0642,301.6798,101.83
2007-09-17,301.6798,304.1656,300.098,300.5499,371.88
2007-09-18,300.5499,302.3578,300.098,302.3578,190.48
2007-09-19,301.0019,304.3916,300.098,303.7136,442.75
2007-09-20,304.3916,304.3916,300.5499,300.5499,300.95
2007-09-21,301.9058,303.2617,300.5499,302.1318,487.01
2007-09-24,303.0357,307.7812,302.8097,306.6513,398.43
2007-09-25,305.9734,308.4592,305.0695,306.6513,106.25999999999999
2007-09-26,298.2902,299.872,290.6069,296.0304,619.79
2007-09-27,297.1603,298.2902,296.7083,298.2902,106.21000000000001
2007-09-28,297.8382,297.8382,293.3187,295.8044,345.06
2007-10-01,295.8044,311.1709,289.0251,311.1709,898.37
2007-10-02,300.5499,300.5499,297.3863,300.324,252.26
2007-10-03,298.2902,298.9681,298.2902,298.7421,287.26
2007-10-04,300.098,305.0695,299.4201,305.0695,425.02
2007-10-05,304.8435,305.0695,302.8097,303.0357,234.55
2007-10-08,302.8097,303.4877,295.1265,295.8044,345.26
2007-10-09,295.1265,296.2564,293.7706,294.2226,606.62
2007-10-10,297.1603,299.4201,294.9005,296.0304,601.95
2007-10-11,297.1603,300.324,296.2564,298.7421,416.13
2007-10-12,297.6122,301.9058,297.6122,301.2279,159.37
2007-10-15,301.2279,301.2279,298.2902,298.2902,177.0
2007-10-16,301.2279,301.2279,298.7421,300.5499,106.30000000000001
2007-10-17,300.324,303.9396,299.646,303.2617,371.96
2007-10-18,303.2617,303.2617,300.5499,300.5499,252.33
2007-10-19,301.2279,301.6798,300.5499,300.5499,230.18
2007-10-22,300.5499,302.8097,300.5499,300.5499,283.4
2007-10-23,299.872,300.7759,298.2902,298.2902,230.07
2007-10-24,297.3863,297.3863,289.929,292.1888,362.89
2007-10-25,292.6407,293.7706,288.5731,289.4771,212.76000000000002
2007-10-26,290.6069,293.0927,290.381,290.381,1221.9
2007-10-29,293.7706,296.0304,290.381,294.2226,1669.56
2007-10-30,294.9005,296.7083,288.3472,290.6069,522.3199999999999
2007-10-31,292.6407,296.9343,292.6407,295.3525,748.12
2007-11-01,296.4824,297.8382,289.2511,296.9343,1141.91
2007-11-02,296.4824,299.1941,292.4148,296.0304,562.19
2007-11-05,295.8044,299.1941,295.8044,297.6122,433.85
2007-11-06,294.4486,298.2902,290.381,292.4148,331.88
2007-11-07,292.1888,292.1888,286.9913,287.8952,650.81
2007-11-08,289.0251,289.0251,281.1159,284.5055,615.7
2007-11-09,282.4718,285.6354,270.9469,277.7262,1062.86
2007-11-12,277.0483,295.3525,272.3028,279.3081,549.09
2007-11-13,289.2511,289.2511,271.6248,282.4718,551.07
2007-11-14,278.1782,296.7083,278.1782,295.8044,681.844
2007-11-15,295.1265,299.1941,294.9005,296.2564,659.58
2007-11-16,296.2564,298.7421,289.4771,289.4771,598.25
2007-11-19,292.8667,292.8667,280.212,280.212,531.1899999999999
2007-11-20,276.8223,284.0536,275.2405,278.8561,338.49
2007-11-21,276.8223,277.9522,273.8846,277.9522,743.66
2007-11-23,277.9522,281.1159,277.0483,279.76,97.38
2007-11-26,280.6639,280.6639,273.2067,273.4327,500.33
2007-11-27,273.4327,273.4327,271.1729,272.3028,996.25
2007-11-28,272.3028,273.4327,271.1729,271.8508,561.5699999999999
2007-11-29,271.1729,283.6016,99.4301,248.5751,694.49
2007-11-30,270.043,271.1729,262.8117,271.1729,1208.33
2007-12-03,271.6248,279.534,271.3989,279.534,937.97
2007-12-04,281.3419,284.7315,280.212,281.7938,579.89
2007-12-05,281.3419,282.0198,276.8223,279.76,544.3100000000001
2007-12-06,281.3419,281.3419,276.8223,278.6301,385.38
2007-12-07,279.3081,279.76,276.3704,277.7262,438.35
2007-12-10,277.0483,282.9237,277.0483,282.9237,389.46
2007-12-11,279.534,282.4718,279.534,281.1159,588.78
2007-12-12,285.1835,285.8614,282.4718,282.4718,190.38
2007-12-13,281.3419,281.3419,277.0483,279.986,1022.65
2007-12-14,282.4718,282.4718,268.9131,275.2405,619.17
2007-12-17,275.2405,276.1444,270.043,272.5287,836.64
2007-12-18,272.5287,272.5287,266.6533,268.6871,955.74
2007-12-19,284.7315,284.7315,264.3936,264.6195,938.27
2007-12-20,264.3936,265.7494,262.8117,264.8455,743.3299999999999
2007-12-21,266.6533,266.6533,262.3598,262.3598,810.46
2007-12-24,262.1338,266.6533,262.1338,266.2014,413.45
2007-12-26,263.7156,266.6533,263.4897,263.7156,924.79
2007-12-27,255.5804,258.7441,255.3545,257.8402,812.69
2007-12-28,255.3545,259.1961,237.7282,253.9986,2058.32
2007-12-31,254.4506,254.4506,242.9257,243.1517,2898.2599999999998
2008-01-02,245.8634,250.383,245.8634,249.705,562.32
2008-01-03,248.5751,249.705,246.3154,246.5413,290.59
2008-01-04,239.762,246.5413,227.1073,241.3439,646.59
2008-01-07,250.8349,250.8349,243.6036,244.7335,1075.9
2008-01-08,254.9025,254.9025,242.0218,242.2478,4105.4400000000005
2008-01-09,242.9257,245.1855,241.7958,242.9257,1460.15
2008-01-10,244.0556,245.8634,242.0218,243.6036,568.82
2008-01-11,243.1517,244.9595,242.0218,243.1517,650.38
2008-01-14,244.7335,244.9595,238.4062,238.4062,1190.94
2008-01-15,237.2763,237.2763,228.0112,231.6268,1315.5
2008-01-16,230.045,230.271,227.1073,228.0112,1358.72
2008-01-17,227.3333,228.2372,227.1073,227.1073,636.91
2008-01-18,227.1073,227.7852,211.2889,221.9098,1215.57
2008-01-22,214.0006,225.9774,207.8992,217.1643,1970.81
2008-01-23,216.9383,216.9383,212.4188,215.8084,699.49
2008-01-24,216.9383,224.8475,214.2266,221.4579,872.33
2008-01-25,227.1073,228.2372,221.4579,228.2372,265.21
2008-01-28,238.8581,238.8581,223.9436,224.8475,1107.91
2008-01-29,224.8475,227.1073,223.7176,225.7514,801.66
2008-01-30,231.1749,240.214,225.7514,235.2425,1090.19
2008-01-31,231.6268,236.1464,231.6268,232.7567,562.3199999999999
2008-02-01,235.9204,239.536,232.7567,238.4062,403.36
2008-02-04,240.8919,245.1855,239.536,244.0556,316.89
2008-02-05,243.1517,246.3154,240.6659,240.6659,1006.15
2008-02-06,239.0841,240.6659,225.9774,229.3671,668.16
2008-02-07,228.2372,230.497,227.1073,227.1073,442.68
