Date,Open,High,Low,Close,Volume
2020-11-19,1.04,1.09,0.4301,0.515,148100
2020-11-20,0.54,0.54,0.48,0.49,243000
2020-11-23,0.55,0.65,0.53,0.6,777538
2020-11-24,0.61,0.95,0.5,0.89,400778
2020-11-25,0.85,0.85,0.72,0.72,45600
2020-11-27,0.76,0.76,0.69,0.69,13274
2020-11-30,0.75,0.775,0.7,0.7,162650
2020-12-01,0.71,0.71,0.61,0.64,97399
2020-12-02,0.65,0.72,0.6,0.7,141493
2020-12-03,0.6999,0.7,0.6995,0.7,6861
2020-12-04,0.72,0.88,0.71,0.87,52555
2020-12-07,0.9,0.9,0.8,0.85,56687
2020-12-08,0.85,0.875,0.85,0.875,155324
2020-12-09,0.9,0.93,0.85,0.93,311600
2020-12-10,0.93,1.0,0.875,0.97,284458
2020-12-11,1.0,1.12,1.0,1.0353,23601
2020-12-14,1.0802,1.12,0.9402,0.9402,60696
2020-12-15,1.0,1.12,0.99,1.0,21088
2020-12-16,1.0,1.0,0.99,0.99,7900
2020-12-17,0.99,0.99,0.935,0.98,19929
2020-12-18,1.0,1.02,0.95,0.97,245325
2020-12-21,0.95,0.97,0.8799,0.9699,67380
2020-12-22,0.98,1.1,0.97,1.0,223607
2020-12-23,1.1,1.12,1.05,1.05,62349
2020-12-24,1.09,1.18,1.0001,1.15,182160
2020-12-28,1.24,1.5,1.2,1.5,114826
2020-12-29,1.38,1.38,1.1997,1.2,178754
2020-12-30,1.2,1.3,1.196,1.3,94902
2020-12-31,1.15,1.3,1.15,1.3,25906
2021-01-04,1.3,1.3,1.15,1.22,32862
2021-01-05,1.11,1.22,1.11,1.1499,130910
2021-01-06,1.15,1.17,1.1255,1.15,103523
2021-01-07,1.15,1.185,1.12,1.12,26660
2021-01-08,1.33,1.35,1.1499,1.25,157605
2021-01-11,1.26,1.32,1.17,1.32,135175
2021-01-12,1.3,1.47,1.28,1.46,246651
2021-01-13,1.4799,1.65,1.39,1.48,434279
2021-01-14,1.62,1.76,1.56,1.56,258234
2021-01-15,1.7,1.95,1.5,1.69,176020
2021-01-19,1.7,1.75,1.54,1.6101,100581
2021-01-20,1.61,1.68,1.55,1.55,22238
2021-01-21,1.6,1.7,1.55,1.6,93925
2021-01-22,1.57,1.7,1.53,1.6,429997
2021-01-25,1.62,1.65,1.51,1.57,175126
2021-01-26,1.6,1.6,1.44,1.45,32629
2021-01-27,1.45,1.48,1.2,1.21,208974
2021-01-28,1.23,1.44,1.1701,1.23,62337
2021-01-29,1.3,1.32,1.2,1.25,124438
2021-02-01,1.29,1.4,1.28,1.4,39485
2021-02-02,1.3,1.47,1.3,1.31,60458
2021-02-03,1.32,1.3999,1.3,1.31,111254
2021-02-04,1.31,1.3999,1.31,1.3999,157906
2021-02-05,1.38,1.46,1.35,1.46,157575
2021-02-08,1.44,1.61,1.4,1.61,822488
2021-02-09,1.65,1.72,1.41,1.48,147435
2021-02-10,1.74,1.99,1.31,1.37,344732
2021-02-11,1.36,1.39,1.22,1.38,359023
2021-02-12,1.38,1.45,1.33,1.38,198081
2021-02-16,1.49,1.49,1.27,1.36,141104
2021-02-17,1.36,1.48,1.36,1.4,154803
2021-02-18,1.44,1.49,1.41,1.44,149639
2021-02-19,1.44,1.57,1.44,1.52,315555
2021-02-22,1.49,1.67,1.49,1.67,412622
2021-02-23,1.7,1.7,1.3,1.4501,501285
2021-02-24,1.52,1.52,1.35,1.36,213229
2021-02-25,1.3977,1.45,1.2799,1.28,240137
2021-02-26,1.27,1.42,1.22,1.355,164198
2021-03-01,1.38,1.47,1.22,1.3799,85199
2021-03-02,1.35,1.38,1.2,1.235,90505
2021-03-03,1.22,1.22,1.08,1.12,171079
2021-03-04,1.09,1.1,0.76,0.98,219783
2021-03-05,0.99,1.1,0.85,1.07,91926
2021-03-08,1.1,1.16,1.01,1.12,22774
2021-03-09,0.96,1.19,0.96,1.1,9659
2021-03-10,1.0501,1.14,1.0,1.0501,23107
2021-03-11,1.1498,1.23,1.11,1.22,60706
2021-03-12,1.22,1.22,1.09,1.22,17716
2021-03-15,1.25,1.25,1.12,1.21,3601
2021-03-16,1.14,1.23,1.06,1.07,31468
2021-03-17,1.06,1.21,1.06,1.18,28531
2021-03-18,1.1,1.2,1.1,1.18,4900
2021-03-19,1.1,1.18,1.04,1.17,27813
2021-03-22,1.08,1.17,0.9502,1.05,34359
2021-03-23,1.07,1.07,0.9649,1.0,210951
2021-03-24,1.09,1.09,0.8605,0.9875,13294
2021-03-25,0.77,0.9149,0.7515,0.85,66938
2021-03-26,0.85,0.9,0.8301,0.9,74625
2021-03-29,0.8415,0.88,0.8415,0.8799,400
2021-03-30,0.83,0.9,0.7801,0.85,24099
2021-03-31,0.95,0.95,0.75,0.7577,51120
2021-04-01,0.8,0.81,0.77,0.81,26039
2021-04-05,0.77,0.77,0.7107,0.74,10546
2021-04-06,0.7101,0.7699,0.67,0.74,26245
2021-04-07,0.7599,0.8,0.725,0.795,47960
2021-04-08,0.7994,0.8,0.76,0.76,44648
2021-04-09,0.76,0.8,0.7599,0.7999,21972
2021-04-12,0.7998,0.8,0.71,0.7899,26877
2021-04-13,0.7202,0.7899,0.7,0.78,33936
2021-04-14,0.7153,0.8,0.61,0.8,298696
2021-04-15,0.7799,0.7999,0.7201,0.77,22857
2021-04-16,0.72,0.84,0.72,0.84,113782
