Date,Open,High,Low,Close,Volume
2000-01-03,16.6871,16.6871,15.9407,16.1273,124493.0
2000-01-04,16.1273,16.1806,15.6208,15.6208,67755.0
2000-01-05,15.7008,15.8341,15.5675,15.6742,167168.0
2000-01-06,15.6742,15.6742,15.4876,15.5142,139968.0
2000-01-07,15.6742,16.074,15.3543,16.074,799041.0
2000-01-10,16.0207,16.1273,15.6742,15.7275,80416.0
2000-01-11,15.6208,15.7008,15.5142,15.6475,436099.0
2000-01-12,15.7008,15.9674,15.7008,15.7275,59551.0
2000-01-13,15.6475,15.8341,15.6475,15.8341,257905.0
2000-01-14,15.8608,15.8608,15.5409,15.5942,468685.0
2000-01-18,15.5942,15.5942,15.3276,15.3809,235868.0
2000-01-19,15.3276,15.3276,15.0344,15.0344,120981.0
2000-01-20,15.221,15.221,14.8211,14.8211,194369.0
2000-01-21,14.8211,14.8478,14.7145,14.7678,149587.0
2000-01-24,14.7678,14.7678,14.288,14.4746,207027.0
2000-01-25,14.5812,14.5812,14.1281,14.2614,233754.0
2000-01-26,14.1547,14.6346,14.1547,14.5812,229306.0
2000-01-27,14.5279,14.5279,14.1014,14.3413,226489.0
2000-01-28,14.288,14.288,14.0214,14.2347,124731.0
2000-01-31,14.2347,14.5013,14.1814,14.448,169980.0
2000-02-01,14.4746,14.6079,14.288,14.3147,180533.0
2000-02-02,14.3413,14.4213,14.2614,14.288,86979.0
2000-02-03,14.1814,14.4746,14.1814,14.3946,107614.0
2000-02-04,14.5013,14.6079,14.3946,14.5013,263064.0
2000-02-07,14.3946,14.448,13.8615,13.9948,186627.0
2000-02-08,13.9415,14.0214,13.4883,13.6216,303624.0
2000-02-09,13.515,13.5416,13.2217,13.3284,216401.0
2000-02-10,13.3284,13.3284,12.9818,13.0085,151458.0
2000-02-11,12.7952,12.9019,12.7686,12.7952,145601.0
2000-02-14,12.7952,12.7952,12.4487,12.5287,211481.0
2000-02-15,12.422,12.4754,12.1288,12.1555,387800.0
2000-02-16,11.569,12.0755,11.569,11.9955,468225.0
2000-02-17,11.9955,12.2621,11.8356,11.9689,373961.0
2000-02-18,12.3687,12.422,11.7556,11.9156,237503.0
2000-02-22,11.8356,11.8356,11.5157,11.5957,179124.0
2000-02-23,11.6223,11.8889,11.5157,11.8089,237505.0
2000-02-24,11.6223,11.6757,11.2758,11.3025,185925.0
2000-02-25,11.1958,11.4357,10.9826,11.3291,347468.0
2000-02-28,11.5157,11.7823,11.4091,11.5157,442195.0
2000-02-29,11.4891,11.569,11.1692,11.5157,166935.0
2000-03-01,11.4357,11.5957,11.2225,11.4891,274321.0
2000-03-02,11.6223,11.7823,11.1958,11.3824,429062.0
2000-03-03,11.3558,11.649,11.3558,11.4624,237510.0
2000-03-06,11.3558,11.4091,10.9293,11.0625,187568.0
2000-03-07,11.0092,11.0359,10.6894,10.716,145130.0
2000-03-08,10.9826,11.0359,10.4761,10.5561,178420.0
2000-03-09,10.5561,11.5157,10.5561,11.0892,1163864.0
2000-03-10,11.0359,11.1958,11.0359,11.1159,514409.0
2000-03-13,11.0359,11.0892,10.876,10.9026,206089.0
2000-03-14,10.876,11.4624,10.716,11.1692,529647.0
2000-03-15,11.1425,11.7823,10.9559,11.6223,211248.0
2000-03-16,11.9422,12.3154,11.9422,12.1555,582166.0
2000-03-17,12.1555,12.3687,12.0488,12.1555,346763.0
2000-03-20,12.1022,12.1022,11.569,11.8356,173492.0
2000-03-21,11.9422,12.6886,11.729,12.582,1890938.0
2000-03-22,12.4754,12.7419,12.2088,12.6886,161067.0
2000-03-23,12.6886,13.1951,12.6886,13.1418,514870.0
2000-03-24,13.1418,13.5949,13.0618,13.355,231412.0
2000-03-27,13.4617,13.4617,12.9285,13.0618,279471.0
2000-03-28,13.0618,13.3817,12.9019,13.355,145825.0
2000-03-29,13.3817,13.3817,12.9019,13.1951,129417.0
2000-03-30,13.0885,13.7815,13.0885,13.515,352157.0
2000-03-31,13.6483,13.9681,13.5416,13.7815,366465.0
2000-04-03,13.8348,13.9148,13.435,13.7549,195064.0
2000-04-04,13.8082,13.8615,12.8485,13.435,218286.0
2000-04-05,13.435,13.6216,13.355,13.5683,94483.0
2000-04-06,13.6216,13.6483,13.2751,13.515,105269.0
2000-04-07,13.515,13.515,13.2217,13.2751,111831.0
2000-04-10,13.2217,13.2217,13.0618,13.0618,160132.0
2000-04-11,13.1151,13.4083,13.0351,13.0351,132234.0
2000-04-12,13.1151,13.1951,12.7419,12.9552,211719.0
2000-04-13,13.0351,13.0351,12.7952,12.8219,164356.0
2000-04-14,12.5287,12.582,11.569,11.9156,319096.0
2000-04-17,11.9156,12.6353,11.9156,12.6086,256968.0
2000-04-18,12.6086,12.9818,12.582,12.9818,253449.0
2000-04-19,12.8752,13.0618,12.7153,12.9552,437036.0
