Date,Open,High,Low,Close,Volume
2021-03-19,19.55,23.2899,18.0,18.45,3035994
2021-03-22,18.99,19.8794,18.14,18.55,602008
2021-03-23,17.86,17.91,16.261,16.77,519635
2021-03-24,16.74,16.89,15.43,15.93,396400
2021-03-25,15.92,16.59,15.2909,15.96,371768
2021-03-26,15.85,16.7,15.33,15.9,58875
2021-03-29,15.75,16.9899,15.6,16.66,189512
2021-03-30,16.49,16.95,15.81,16.32,66399
2021-03-31,16.4,18.5,16.4,18.5,118262
2021-04-01,18.38,18.95,17.77,17.85,133953
2021-04-05,17.69,18.5,17.13,17.9,126825
2021-04-06,17.75,19.69,16.0,16.0,342615
2021-04-07,17.49,17.99,16.67,17.07,69391
2021-04-08,17.3,17.4,16.18,16.4,69826
2021-04-09,16.52,17.15,16.22,17.0,10947
2021-04-12,16.5189,17.145,16.23,17.05,51291
2021-04-13,18.9899,18.9899,16.32,16.95,143616
2021-04-14,16.89,18.725,16.339,17.45,229732
2021-04-15,17.45,17.58,16.5,17.3,124344
2021-04-16,16.5448,17.4,16.53,17.27,42592
2021-04-19,16.8,17.88,16.8,17.24,251932
2021-04-20,17.03,17.614,16.8,17.08,135445
2021-04-21,16.96,17.87,16.825,17.09,75816
2021-04-22,17.3571,17.3571,16.91,17.11,6218
2021-04-23,16.8,17.03,16.01,16.12,203998
2021-04-26,16.7402,17.0,15.51,16.53,72615
2021-04-27,15.81,16.8066,15.545,16.07,83640
2021-04-28,16.3489,16.3489,15.52,16.05,29371
2021-04-29,15.76,16.71,15.54,15.54,50161
2021-04-30,15.51,16.76,15.51,16.27,33122
2021-05-03,16.5336,16.62,16.04,16.31,7161
2021-05-04,15.8,16.3,15.8,16.16,18971
2021-05-05,16.19,16.97,15.57,16.82,36466
2021-05-06,16.8,16.8,15.94,16.1,5408
2021-05-07,16.445,16.8,15.52,15.53,37034
2021-05-10,15.77,16.6498,15.27,15.27,7788
2021-05-11,14.82,15.365,14.43,14.43,12540
2021-05-12,14.45,15.85,14.27,15.4,117550
2021-05-13,15.52,16.37,15.5,15.5,22647
2021-05-14,15.46,16.7,15.135,16.41,59316
2021-05-17,15.5,17.0,15.5,16.22,158391
2021-05-18,15.86,16.99,15.71,16.25,14460
2021-05-19,15.9,16.44,15.5,15.75,59287
2021-05-20,15.53,16.5,15.5,16.2094,52900
2021-05-21,15.83,16.54,15.54,15.54,32771
2021-05-24,15.68,15.89,15.23,15.61,9082
2021-05-25,16.92,16.92,14.58,14.65,22761
2021-05-26,15.0,15.33,14.7,15.0,15254
2021-05-27,14.72,15.35,14.5,15.03,37925
2021-05-28,14.6063,15.5,14.6063,14.88,31815
2021-06-01,14.75,15.08,14.35,14.35,13214
2021-06-02,15.16,15.16,14.02,14.49,13410
2021-06-03,14.4,14.76,14.16,14.16,2274
2021-06-04,14.61,15.34,14.2089,14.81,211298
2021-06-07,14.73,15.2775,14.73,14.73,43846
2021-06-08,15.0,15.91,15.0,15.81,23248
2021-06-09,15.83,18.44,15.78,18.0,51344
2021-06-10,16.71,18.38,16.71,18.04,25545
2021-06-11,17.87,18.36,17.75,18.0,13784
2021-06-14,18.0,19.85,17.9,19.0,56351
2021-06-15,19.59,19.67,18.29,19.0,42948
2021-06-16,19.21,19.27,17.34,17.37,80040
2021-06-17,18.3469,18.35,17.42,17.63,45408
2021-06-18,17.45,17.94,17.25,17.6,168699
2021-06-21,17.97,18.8534,17.88,18.01,16377
2021-06-22,18.335,18.4197,17.75,17.76,3214
2021-06-23,17.9,18.89,17.9,18.48,203875
2021-06-24,18.125,18.89,17.58,18.43,9228
2021-06-25,18.55,19.43,18.51,19.02,23736
2021-06-28,19.29,19.78,19.29,19.29,49279
2021-06-29,19.43,19.48,18.58,19.48,62485
2021-06-30,19.19,19.73,19.03,19.53,7531
2021-07-01,19.25,19.81,18.79,19.8,86496
2021-07-02,20.1,20.451,18.8001,19.71,98973
2021-07-06,19.49,25.0,19.47,21.98,200917
2021-07-07,22.07,22.22,19.8901,21.39,193257
2021-07-08,19.81,21.585,19.81,21.3,18985
2021-07-09,21.25,22.0,19.68,20.63,18348
2021-07-12,21.19,23.2,20.4,21.74,67059
2021-07-13,21.93,23.0,21.925,23.0,70745
2021-07-14,23.29,24.07,21.19,24.07,62493
2021-07-15,24.1,24.1,21.78,22.97,106297
2021-07-16,22.83,23.86,21.4,22.0,8883
2021-07-19,21.46,24.95,21.46,24.77,24171
2021-07-20,24.0001,24.93,24.0001,24.83,16492
2021-07-21,23.52,24.81,23.5,24.56,4703
2021-07-22,25.0,25.0,24.18,25.0,54907
2021-07-23,24.64,27.14,24.63,26.0,28466
2021-07-26,25.49,25.85,24.57,24.88,73449
2021-07-27,24.5,25.886,21.89,21.89,361012
2021-07-28,22.03,23.9,21.97,22.1,27406
2021-07-29,22.04,22.61,21.17,21.61,87993
2021-07-30,21.95,23.69,21.95,22.01,19051
2021-08-02,22.38,24.2842,21.45,21.47,16504
2021-08-03,22.37,22.54,20.8,22.0,22865
2021-08-04,23.5,23.5,22.161,22.75,12036
2021-08-05,23.14,23.3,22.26,22.79,8619
2021-08-06,23.3891,23.93,20.105,21.7,30548
2021-08-09,22.4,26.959,20.539,26.14,45079
2021-08-10,26.15,29.2735,25.01,28.5,29088
2021-08-11,28.61,29.0,26.06,26.3,10431
2021-08-12,26.3,28.5,24.32,25.25,20847
2021-08-13,24.66,25.1354,23.0,23.0,17804
2021-08-16,23.51,24.2335,21.22,21.74,24662
2021-08-17,21.74,26.41,21.333,23.55,78949
2021-08-18,22.96,25.78,22.7,23.84,28998
2021-08-19,23.03,23.6,22.0,22.75,17813
2021-08-20,22.75,24.806,22.13,22.29,24809
2021-08-23,22.49,24.675,20.812,22.21,87024
2021-08-24,22.33,23.05,21.24,21.89,78577
2021-08-25,21.61,22.95,20.06,20.07,28869
2021-08-26,20.4,21.815,20.21,20.38,83010
2021-08-27,20.15,21.0,18.12,18.12,67316
2021-08-30,18.12,20.86,18.12,20.65,19979
2021-08-31,19.47,24.69,18.43,23.47,68827
2021-09-01,23.47,24.0,20.5101,23.17,42564
2021-09-02,22.95,23.1,21.55,22.04,4814
2021-09-03,21.72,25.23,21.6,22.75,35598
2021-09-07,24.77,24.855,24.2,24.29,16130
2021-09-08,23.68,24.5,23.36,24.01,16857
2021-09-09,24.3,25.12,22.97,23.16,21337
2021-09-10,23.2128,24.0,22.27,22.27,33456
2021-09-13,21.7858,23.3,21.635,22.14,31513
2021-09-14,22.9681,23.5,21.55,22.0,59757
