Date,Open,High,Low,Close,Volume
2021-10-21,15.37,16.52,13.52,13.81,8583220
2021-10-22,14.15,14.65,13.63,13.87,1641018
2021-10-25,13.9,13.95,13.25,13.8,1138326
2021-10-26,13.6,14.09,13.4308,13.6,547030
2021-10-27,13.5963,14.15,13.45,13.45,494929
2021-10-28,13.58,13.73,13.0,13.08,660876
2021-10-29,13.25,13.53,13.0201,13.15,460468
2021-11-01,13.6,13.6312,13.01,13.35,507662
2021-11-02,13.24,13.72,13.08,13.55,382629
2021-11-03,13.79,14.18,13.54,14.04,353518
2021-11-04,14.05,14.1924,13.62,13.87,322267
2021-11-05,13.79,14.07,13.55,13.63,295043
2021-11-08,13.59,14.04,13.52,13.96,338145
2021-11-09,13.8301,13.9798,13.7001,13.8,180916
2021-11-10,13.79,13.97,13.5,13.83,178883
2021-11-11,13.76,14.3,13.55,14.14,373172
2021-11-12,13.99,14.8599,13.77,14.5,610232
2021-11-15,14.78,18.61,14.55,17.65,7093511
2021-11-16,17.65,17.6759,15.03,15.4,1184035
2021-11-17,15.38,17.25,15.3,16.55,1055170
2021-11-18,16.63,16.89,14.59,15.25,869811
2021-11-19,15.3,16.06,15.059,16.05,309527
2021-11-22,15.75,15.9608,14.1185,14.67,502850
2021-11-23,14.82,14.9,13.23,13.86,587340
2021-11-24,13.86,15.3,13.7,14.77,624480
2021-11-26,14.01,15.47,14.01,15.22,255141
2021-11-29,15.0,15.1,13.63,13.86,653656
2021-11-30,13.9,14.11,13.14,13.25,283752
2021-12-01,13.49,14.17,13.15,13.18,325992
2021-12-02,13.22,13.47,10.56,11.39,1657941
2021-12-03,11.48,11.48,10.61,10.89,1078530
2021-12-06,11.1,11.2,10.02,10.68,884158
2021-12-07,10.94,11.8999,10.86,11.65,483693
2021-12-08,11.4,11.7864,10.89,11.04,480263
2021-12-09,11.04,11.1699,10.24,10.29,415473
2021-12-10,10.4,10.59,10.02,10.37,284920
2021-12-13,10.3,10.6194,9.37,9.5,664228
2021-12-14,9.4,9.8,9.26,9.6,357823
2021-12-15,9.73,10.15,9.34,9.9,548719
2021-12-16,9.06,10.35,9.0,9.0,773182
2021-12-17,9.2,9.7,8.45,9.3,3088352
2021-12-20,9.13,10.08,8.8901,9.9701,803895
2021-12-21,10.0,10.955,9.97,10.8,817880
2021-12-22,10.84,10.85,10.39,10.4335,371661
2021-12-23,10.5,11.4,10.3859,11.2001,569626
2021-12-27,11.51,11.68,10.84,11.23,716151
2021-12-28,11.16,11.49,10.93,11.43,234224
2021-12-29,11.44,11.92,11.0,11.65,305730
2021-12-30,11.64,11.9998,11.4,11.4,278185
2021-12-31,11.43,11.5,10.95,11.17,287599
2022-01-03,11.24,11.745,10.64,11.71,298679
2022-01-04,11.63,12.17,11.51,11.99,460585
2022-01-05,12.0,12.17,11.2599,11.2599,576107
2022-01-06,11.26,11.63,10.71,10.96,431544
2022-01-07,10.35,11.33,10.35,10.91,216504
2022-01-10,10.3,10.9,9.9001,10.48,502152
2022-01-11,10.32,11.03,10.305,10.9161,209186
2022-01-12,10.89,10.9717,10.38,10.49,398148
2022-01-13,10.49,10.8,10.16,10.24,173629
2022-01-14,10.03,10.36,9.86,10.25,356303
2022-01-18,10.25,10.25,9.84,9.96,482110
2022-01-19,9.99,10.14,9.41,9.71,843066
2022-01-20,9.71,10.17,9.71,9.81,410074
2022-01-21,9.64,9.86,9.27,9.6,386828
2022-01-24,9.4,10.98,9.362,10.98,810718
2022-01-25,10.4,10.69,9.89,10.27,517281
2022-01-26,10.28,11.04,9.87,10.09,1320308
2022-01-27,10.09,10.26,9.18,9.6999,1324004
2022-01-28,9.54,10.17,9.54,10.17,458991
2022-01-31,10.12,11.05,10.12,10.91,496838
2022-02-01,10.97,11.53,10.7201,11.5,454887
2022-02-02,11.5,11.63,11.1,11.32,206512
2022-02-03,11.19,11.62,11.19,11.35,136345
2022-02-04,11.29,11.82,11.18,11.72,235867
2022-02-07,11.7,12.43,11.57,12.4,458870
2022-02-08,12.21,12.7947,12.21,12.68,296529
2022-02-09,12.73,13.04,12.48,12.6159,181913
2022-02-10,12.55,12.94,11.95,11.99,295543
2022-02-11,11.99,12.31,11.87,12.0,143707
2022-02-14,11.97,12.31,11.821,12.06,99841
2022-02-15,12.06,12.5,11.93,12.46,181363
2022-02-16,12.32,12.44,12.01,12.12,103492
2022-02-17,12.2,12.24,11.47,11.53,230581
2022-02-18,11.5,11.665,10.8,10.8,227139
2022-02-22,10.94,11.1,10.7,10.91,154627
2022-02-23,11.0,11.02,10.42,10.59,141703
2022-02-24,10.01,10.91,9.75,10.89,120657
2022-02-25,10.89,11.47,10.67,11.43,147332
2022-02-28,11.33,11.72,11.06,11.59,115786
2022-03-01,11.58,11.74,11.35,11.5,57175
2022-03-02,11.54,11.6554,11.405,11.59,58261
2022-03-03,11.63,11.97,11.17,11.52,131008
2022-03-04,11.5,11.5,10.7002,10.89,144556
2022-03-07,10.86,10.895,10.24,10.36,123393
2022-03-08,10.37,10.6342,10.06,10.57,136423
2022-03-09,10.38,11.01,10.28,11.01,232543
2022-03-10,10.49,10.49,8.65,8.75,938070
2022-03-11,8.76,8.835,8.01,8.55,486113
2022-03-14,8.34,8.39,7.49,7.51,727096
2022-03-15,7.55,8.25,7.52,8.19,471712
2022-03-16,8.3,8.83,8.28,8.8,332417
2022-03-17,8.8,9.25,8.65,8.91,250293
2022-03-18,8.83,9.66,8.4,9.66,601365
2022-03-21,9.6962,9.9701,8.92,9.18,435435
2022-03-22,9.45,9.63,9.1,9.15,411189
2022-03-23,9.36,9.43,8.92,9.1,454761
2022-03-24,9.05,9.06,8.62,8.81,277435
2022-03-25,8.9,8.9849,8.55,8.75,248524
2022-03-28,8.82,8.88,8.45,8.66,211970
2022-03-29,8.8774,9.15,8.74,9.1,208550
2022-03-30,8.9,9.0371,8.63,9.0371,230534
2022-03-31,8.8948,9.12,8.64,8.96,209045
2022-04-01,8.9,9.11,8.8604,9.11,145235
2022-04-04,9.11,9.3,8.9,9.24,261873
2022-04-05,9.04,9.34,8.675,9.34,198142
2022-04-06,8.85,8.89,8.51,8.74,135559
2022-04-07,8.7,8.97,8.61,8.65,215721
2022-04-08,8.88,9.37,8.8,8.8,144966
2022-04-11,8.9,9.34,8.87,8.87,183271
2022-04-12,8.7636,9.215,8.75,9.01,135245
2022-04-13,9.1,9.35,9.0111,9.25,168386
2022-04-14,9.19,9.8389,9.19,9.8389,217426
2022-04-18,9.83,9.9492,9.23,9.9492,253914
2022-04-19,9.66,10.22,9.645,10.05,166101
2022-04-20,10.05,10.59,10.05,10.28,315651
2022-04-21,10.43,10.54,10.22,10.34,121335
2022-04-22,10.29,10.53,10.23,10.41,123985
2022-04-25,10.33,11.1,10.27,10.52,222070
2022-04-26,10.45,10.99,10.4,10.88,163304
2022-04-27,11.017,11.57,10.69,11.01,207242
2022-04-28,11.26,11.505,11.03,11.29,105965
2022-04-29,11.25,11.58,10.75,10.86,193574
2022-05-02,10.59,11.055,10.59,10.76,421885
2022-05-03,10.75,10.75,9.7201,10.31,377470
2022-05-04,10.36,11.05,10.08,11.05,173203
2022-05-05,10.46,10.67,9.95,9.95,82319
2022-05-06,10.41,11.02,10.21,10.84,114149
2022-05-09,10.81,11.04,10.3,10.51,225897
2022-05-10,11.29,11.64,10.6,11.4,209659
2022-05-11,11.51,12.2,9.5,9.5,501775
2022-05-12,9.42,9.895,8.8,9.08,718742
2022-05-13,9.4,10.64,9.0612,9.87,228192
2022-05-16,10.43,11.25,10.12,10.12,210731
2022-05-17,10.41,10.62,10.14,10.61,103370
2022-05-18,10.31,10.67,9.56,9.65,121511
2022-05-19,9.615,10.3,9.56,9.625,141344
2022-05-20,10.57,10.57,9.97,10.47,140502
2022-05-23,10.62,11.1,10.32,10.32,126987
2022-05-24,10.71,11.315,10.6,10.6,153367
2022-05-25,10.62,11.57,10.62,11.3,155406
2022-05-26,11.4988,12.18,11.13,11.47,154686
2022-05-27,12.1,12.58,11.96,11.96,146567
2022-05-31,12.29,12.55,11.601,12.49,141509
2022-06-01,12.34,12.43,12.03,12.16,82545
2022-06-02,12.16,12.83,11.9072,12.79,109555
2022-06-03,12.55,13.14,12.4327,12.51,142600
2022-06-06,12.87,13.62,12.72,12.8,212495
2022-06-07,12.67,12.95,11.83,12.25,192628
2022-06-08,12.12,12.77,11.8312,12.7,314807
2022-06-09,12.59,12.96,11.52,12.14,243554
2022-06-10,11.16,11.505,11.14,11.4,80143
2022-06-13,11.0,11.22,10.05,10.05,127189
2022-06-14,10.38,10.86,10.31,10.69,87186
2022-06-15,10.74,11.62,10.74,11.1,197803
2022-06-16,11.1,11.1,10.27,10.52,178566
2022-06-17,10.4,11.25,10.4,10.63,323825
2022-06-21,10.5,10.95,10.31,10.31,244270
2022-06-22,10.3,10.76,10.17,10.22,181779
2022-06-23,10.041,10.6,10.041,10.26,193436
2022-06-24,10.0453,11.06,10.0453,10.59,1760062
2022-06-27,10.65,10.84,10.38,10.43,89764
2022-06-28,10.45,10.605,9.883,9.93,83833
2022-06-29,9.91,10.63,9.56,9.6,123364
2022-06-30,9.53,9.79,9.29,9.79,102582
2022-07-01,9.67,10.25,9.67,10.0,79153
2022-07-05,9.71,10.46,9.6496,10.3,516770
2022-07-06,10.22,10.46,9.875,9.93,78429
2022-07-07,10.0,10.29,9.745,10.29,268850
2022-07-08,10.25,12.1,10.21,11.26,1038635
2022-07-11,11.06,11.99,10.9139,11.74,341841
2022-07-12,11.8508,11.86,11.15,11.8,131601
2022-07-13,11.51,12.15,11.4,11.83,368709
2022-07-14,11.75,11.75,10.36,11.28,253139
2022-07-15,11.02,11.78,10.51,11.78,132200
2022-07-18,11.82,11.9,11.06,11.63,120595
2022-07-19,11.19,11.81,11.19,11.63,113115
2022-07-20,11.61,11.91,11.55,11.55,86829
2022-07-21,11.85,12.62,11.82,11.99,185036
2022-07-22,11.98,12.075,11.49,11.87,190413
2022-07-25,11.88,12.07,11.6606,11.93,116913
2022-07-26,12.04,12.04,11.58,11.58,85047
2022-07-27,11.91,11.91,11.53,11.76,138347
2022-07-28,11.7054,12.02,11.52,11.52,110870
2022-07-29,12.1,15.72,11.49,11.49,306607
2022-08-01,11.72,12.75,11.72,12.27,300335
2022-08-02,13.0,13.0,11.65,12.37,160743
2022-08-03,8.05,12.985,8.05,12.71,126720
2022-08-04,12.78,12.93,12.5279,12.5279,58678
2022-08-05,12.55,13.22,12.5001,12.52,123664
2022-08-08,13.2,13.23,12.53,13.23,131560
2022-08-09,12.66,12.705,11.56,12.32,116249
2022-08-10,12.31,12.75,11.8101,11.88,438442
2022-08-11,12.31,13.08,12.31,12.84,380061
2022-08-12,12.53,13.14,12.17,12.47,372525
2022-08-15,12.72,15.42,12.72,14.8,921491
2022-08-16,15.34,16.57,14.78,15.73,561099
2022-08-17,15.9986,16.02,14.6,15.1,313736
2022-08-18,14.8043,15.29,14.1901,14.29,417223
2022-08-19,14.5,15.89,14.0,14.8905,379894
2022-08-22,14.9,15.77,14.9,15.06,147281
2022-08-23,15.49,16.1439,15.01,15.01,257929
2022-08-24,15.3,15.92,15.16,15.66,138658
2022-08-25,15.899,16.14,15.255,15.99,318888
2022-08-26,15.84,16.08,14.2547,14.2547,395224
2022-08-29,14.86,15.24,14.23,14.7,144790
2022-08-30,15.09,15.2,14.61,14.84,108994
2022-08-31,14.86,15.2338,14.52,14.99,225195
2022-09-01,14.97,14.97,13.91,14.4,150625
2022-09-02,14.67,14.7253,13.5,13.5,148974
2022-09-06,13.9,14.59,13.52,14.31,185379
2022-09-07,14.24,15.38,14.24,15.37,333564
2022-09-08,15.43,15.99,15.031,15.93,324714
2022-09-09,16.0,16.08,15.43,15.82,298927
2022-09-12,15.85,15.89,15.22,15.27,238414
2022-09-13,14.5966,14.99,12.93,13.49,526033
2022-09-14,13.21,13.89,13.2,13.76,169656
2022-09-15,13.65,14.07,13.2,13.28,123419
2022-09-16,12.99,13.34,12.7001,13.09,702975
2022-09-19,13.02,13.62,12.74,13.24,115901
2022-09-20,12.5086,13.115,12.5086,12.91,64549
2022-09-21,12.98,13.24,12.6,12.74,91406
2022-09-22,12.76,12.76,12.48,12.56,91180
2022-09-23,12.27,12.4,11.97,12.26,128908
2022-09-26,12.0008,12.78,12.0,12.58,71111
2022-09-27,12.81,13.07,12.03,12.41,152548
