Date,Open,High,Low,Close,Volume
2018-03-12,52.32,57.0,52.26,57.0,334.13
2018-03-13,56.376,56.9988,55.272,55.272,566.73
2018-03-14,56.9964,58.0164,54.66,58.0164,177.1
2018-03-15,57.1716,58.6788,55.8912,58.6788,597.03
2018-03-16,56.4,61.8,56.4,61.7988,665.9300000000001
2018-03-19,59.172,60.6852,59.172,60.6852,180.7
2018-03-20,62.0976,62.0976,61.2,61.68,383.29999999999995
2018-03-21,58.92,60.6,58.92,60.3708,674.0
2018-03-22,58.812,60.3,58.812,60.3,772.9
2018-03-23,64.1364,65.6928,62.5248,65.6928,68.03
2018-03-26,65.88,75.0,65.4456,68.4,2303.56
2018-03-27,68.4,68.4,62.724,62.724,213.83
2018-03-28,61.08,77.4,59.76,71.6652,4322.69
2018-03-29,71.88,74.28,67.452,71.4,2449.75
2018-04-02,69.12,77.28,64.2,74.9484,3789.0299999999997
2018-04-03,76.68,77.16,70.08,71.4,2041.0
2018-04-04,66.0,72.0,63.6,64.08,2726.4
2018-04-05,63.6,63.6,57.6,61.08,1168.74
2018-04-06,59.28,61.2984,58.32,60.0,922.6
2018-04-09,57.6,63.6,57.6,60.8832,3941.32
2018-04-10,59.64,60.0,58.7496,58.8,639.1
2018-04-11,57.7332,58.788,56.52,57.864,578.83
2018-04-12,57.12,58.8804,57.12,57.12,284.86
2018-04-13,56.5296,56.76,51.708,56.2452,1620.13
2018-04-16,54.24,54.24,48.12,50.52,2594.62
2018-04-17,48.12,52.92,44.28,47.868,2866.29
2018-04-18,46.92,47.7588,45.6,45.6,730.61
2018-04-19,46.008,46.128,45.0,45.0012,530.39
2018-04-20,46.08,46.08,43.2,43.2,470.8
2018-04-23,42.72,43.08,36.2292,39.6,333.26
2018-04-24,39.0,39.24,39.0,39.048,158.56
2018-04-25,39.012,39.36,33.12,33.12,1974.99
2018-04-26,33.48,35.37,23.88,28.56,13765.45
2018-04-27,28.2,34.2,25.344,27.0,14586.43
2018-04-30,27.0,31.2,24.0,24.0,4790.13
2018-05-01,22.8,29.766,21.0,22.8,74084.12
2018-05-02,22.8,22.8,21.7644,22.8,6150.5
2018-05-03,22.68,23.28,21.558,22.2,9992.86
2018-05-04,22.2,22.8,19.32,22.32,6968.35
2018-05-07,21.96,22.7976,21.2232,22.08,5313.7
2018-05-08,22.08,24.0,20.5212,21.48,4336.78
2018-05-09,21.96,23.04,21.6756,22.92,10077.19
2018-05-10,23.5416,23.9988,22.6056,23.04,9384.03
2018-05-11,23.64,23.64,22.56,23.4,3353.12
2018-05-14,23.64,23.88,22.32,22.8,4266.33
2018-05-15,22.2672,26.04,21.0,26.04,30377.95
2018-05-16,26.4,26.4,22.8,23.52,9316.75
2018-05-17,23.5212,24.36,21.96,23.52,5088.0599999999995
