Date,Open,High,Low,Close,Volume
2021-03-11,63.5,69.0,49.25,51.9,86027547
2021-03-12,51.0,53.29,46.25,48.75,26044064
2021-03-15,49.25,51.85,49.0,50.18,14965191
2021-03-16,50.51,50.77,46.7,46.85,12486317
2021-03-17,46.61,46.99,43.19,43.8,13050233
2021-03-18,43.89,45.45,42.08,43.55,13136878
2021-03-19,44.58,46.06,42.8,44.95,12743235
2021-03-22,44.89,46.025,44.29,44.65,4218325
2021-03-23,44.5,47.14,44.03,45.61,7513843
2021-03-24,45.85,46.68,43.3,43.6,6588723
2021-03-25,43.82,44.2,41.41,43.91,6614392
2021-03-26,44.45,45.35,42.52,43.66,3781655
2021-03-29,42.5,47.43,42.2,46.05,4656777
2021-03-30,46.02,48.75,45.61,48.6,4223368
2021-03-31,48.98,50.38,47.8,49.24,7073507
2021-04-01,49.35,50.5,46.6,47.3,4020237
2021-04-05,47.33,48.6,45.31,46.0,3481217
2021-04-06,46.04,46.95,45.5,46.59,1607682
2021-04-07,46.4,46.95,44.95,45.5,3091586
2021-04-08,45.43,46.11,44.06,45.58,3636144
2021-04-09,45.82,46.5,44.82,45.8,2680397
2021-04-12,46.32,46.35,44.4,45.22,3146510
2021-04-13,45.23,47.65,44.91,46.9,2964209
2021-04-14,46.9,47.49,45.25,46.2,3121288
2021-04-15,45.6,46.31,45.23,45.52,2759755
2021-04-16,45.21,46.115,45.21,45.79,2630582
2021-04-19,45.89,46.4,45.35,45.56,2917685
2021-04-20,45.33,45.79,42.01,42.4,7508545
2021-04-21,42.64,43.76,41.63,42.17,3374106
2021-04-22,42.01,45.22,41.78,42.42,6358833
2021-04-23,42.78,45.69,42.54,45.46,3949303
2021-04-26,45.56,46.0,44.32,45.67,1608084
2021-04-27,45.5,46.22,45.01,45.54,1519826
2021-04-28,45.5,45.93,43.58,43.8,2479584
2021-04-29,44.0,44.5,42.49,42.56,2811689
2021-04-30,42.61,43.59,41.85,41.9,3129078
2021-05-03,42.49,43.04,41.83,41.9,2280727
2021-05-04,41.93,42.36,40.15,41.6,3089442
2021-05-05,41.23,42.3899,40.84,41.11,2752614
2021-05-06,41.5,41.64,39.33,40.17,3291754
2021-05-07,40.68,40.9,38.7116,38.93,2603460
2021-05-10,39.2,39.4153,36.8,37.02,4322455
2021-05-11,38.0,38.0,35.88,36.55,4689002
2021-05-12,37.26,37.27,33.33,34.16,5942133
2021-05-13,34.7,36.35,30.65,32.01,13008569
2021-05-14,32.69,37.0,31.37,36.54,10091937
2021-05-17,35.4,35.95,32.81,35.2,9374758
2021-05-18,35.47,37.38,35.01,36.9,5301321
2021-05-19,36.38,37.32,35.1876,37.0,6068712
2021-05-20,37.07,38.97,36.68,38.87,5219711
2021-05-21,38.9,39.36,37.81,37.9,2244972
2021-05-24,38.45,40.9,38.12,40.75,5653463
2021-05-25,40.56,41.47,38.29,40.11,4095147
2021-05-26,40.14,41.9,38.89,41.7,4304421
2021-05-27,41.85,41.9,40.62,41.0,3513334
2021-05-28,41.07,41.5,40.75,40.8,2005649
2021-06-01,41.18,42.12,41.0,41.32,2003034
2021-06-02,41.46,41.97,40.56,40.75,2566099
2021-06-03,40.77,40.8,39.27,39.5,1890767
2021-06-04,40.5,40.5,38.83,38.96,2369811
2021-06-07,39.08,39.75,38.18,38.59,2174479
2021-06-08,38.89,39.42,37.94,38.18,2632067
2021-06-09,38.49,38.56,37.74,37.75,1706014
2021-06-10,39.0,39.0,37.6,38.32,2350082
2021-06-11,38.47,39.31,38.06,38.6,3044707
2021-06-14,39.06,39.44,38.25,38.4,1882301
2021-06-15,38.5,38.885,37.95,38.62,2748797
2021-06-16,38.82,39.09,38.298,38.54,2297076
2021-06-17,39.0,40.15,38.02,39.75,3456898
2021-06-18,40.3,40.31,38.8837,39.19,3066148
2021-06-21,39.0,39.5499,37.88,39.38,2385220
2021-06-22,38.71,40.5969,38.71,40.21,4635681
2021-06-23,40.05,40.298,39.15,40.0,3848758
2021-06-24,39.4,40.5,38.04,38.35,3356533
2021-06-25,38.46,39.01,37.33,37.55,3773590
2021-06-28,37.55,38.29,37.25,38.25,4435007
2021-06-29,38.1,44.19,37.86,42.16,9069681
2021-06-30,42.49,44.48,41.23,41.92,4988436
2021-07-01,41.99,42.32,40.74,41.43,2360582
2021-07-02,40.91,41.86,40.1,40.55,1788095
2021-07-06,40.05,41.33,39.85,39.85,2761604
2021-07-07,40.02,40.6,39.1,39.6001,2732994
2021-07-08,39.18,40.47,38.91,40.0,2215377
2021-07-09,40.46,42.88,40.02,42.09,3169647
2021-07-12,42.13,43.63,41.65,43.33,2698200
2021-07-13,42.59,46.0,42.44,44.4,5873345
2021-07-14,44.54,45.53,43.84,43.86,3420517
2021-07-15,44.44,44.47,41.82,42.11,4663457
2021-07-16,42.7,42.75,39.95,40.3201,6515818
2021-07-19,40.19,40.4,38.75,39.9,2802281
2021-07-20,40.2,40.46,38.55,39.0,3294702
2021-07-21,39.3,40.18,39.1136,39.67,2640810
2021-07-22,40.49,40.49,38.43,38.93,2760682
2021-07-23,39.72,39.72,37.65,38.6,3246958
2021-07-26,38.22,38.48,36.76,37.2101,5259410
2021-07-27,37.08,38.06,36.55,37.39,3400446
2021-07-28,37.48,38.95,37.38,38.27,2795106
2021-07-29,39.29,39.29,36.9,37.11,3203279
2021-07-30,37.23,37.35,35.75,36.4,4251216
2021-08-02,36.7,37.91,36.02,36.78,4400729
2021-08-03,36.87,38.03,36.235,37.69,3889610
2021-08-04,37.78,40.12,37.17,39.84,4272448
2021-08-05,39.54,40.11,38.46,39.69,3129882
2021-08-06,39.69,40.38,38.71,38.8,3440997
2021-08-09,38.58,39.86,38.3001,39.4,2563811
2021-08-10,39.4,39.84,36.34,36.99,6981309
2021-08-11,36.99,37.6,31.68,32.63,7463811
2021-08-12,34.55,35.055,32.69,34.09,19123824
2021-08-13,34.23,36.4913,33.01,34.05,38061893
2021-08-16,34.07,34.57,32.46,33.35,13372010
2021-08-17,33.35,34.0,32.22,34.0,7208255
2021-08-18,33.75,33.98,32.37,32.48,12324454
2021-08-19,32.1,32.78,31.5,31.96,7441257
2021-08-20,32.0,32.13,30.71,31.29,15477983
2021-08-23,31.4,32.18,30.18,30.81,13069184
2021-08-24,30.99,32.5,30.43,32.11,13671146
2021-08-25,32.1,32.43,30.75,30.95,8599997
2021-08-26,31.2,31.64,30.56,30.9,9399468
2021-08-27,31.52,31.53,29.94,30.0,8251138
