Date,Open,High,Low,Close,Volume
2022-01-13,10.03,10.05,10.02,10.04,17540677
2022-01-14,10.04,10.04,10.02,10.04,958671
2022-01-18,10.0311,10.05,10.02,10.02,765875
2022-01-19,10.0297,10.03,10.02,10.03,161095
2022-01-20,10.05,10.05,10.01,10.02,315132
2022-01-21,10.01,10.03,10.0,10.02,168484
2022-01-24,10.01,10.02,10.0,10.01,333872
2022-01-25,10.01,10.03,10.0,10.0,26455
2022-01-26,10.01,10.02,10.0,10.0,88077
2022-01-27,10.0,10.01,10.0,10.0,9900
2022-01-28,10.0,10.0,9.96,9.96,229643
2022-01-31,9.98,9.9878,9.97,9.98,99353
2022-02-01,9.99,10.05,9.99,10.03,175826
2022-02-02,10.04,10.05,10.03,10.03,4267
2022-02-03,10.04,10.04,10.02,10.02,11044
2022-02-04,10.02,10.02,10.02,10.02,400
2022-02-09,10.02,10.03,10.02,10.03,39140
2022-02-10,10.04,10.05,10.04,10.04,194100
2022-02-11,10.04,10.04,10.02,10.02,10500
2022-02-14,10.0108,10.0112,10.0108,10.0112,1100
2022-02-15,10.02,10.02,10.0,10.0,3900
2022-02-17,10.0,10.0,10.0,10.0,72827
2022-02-18,10.01,10.01,10.0,10.0,3300
2022-02-22,10.0009,10.0009,9.98,10.0,130606
2022-02-23,10.0,10.01,9.99,9.99,489928
2022-02-24,9.97,9.97,9.97,9.97,300
2022-02-25,9.97,9.97,9.97,9.97,200
2022-02-28,9.97,9.97,9.97,9.97,22722
2022-03-01,9.97,9.97,9.97,9.97,25365
2022-03-03,9.97,9.97,9.97,9.97,4875
2022-03-04,9.98,9.99,9.98,9.99,15085
2022-03-07,9.99,9.99,9.99,9.99,55283
2022-03-08,9.99,10.0,9.98,9.98,59218
2022-03-09,9.99,10.0108,9.99,9.99,23676
2022-03-14,10.0,10.0,10.0,10.0,28900
2022-03-15,10.0,10.0,10.0,10.0,100
2022-03-16,9.99,9.99,9.99,9.99,8230
2022-03-21,9.99,9.99,9.99,9.99,20556
2022-03-23,9.99,9.99,9.99,9.99,15780
2022-03-24,10.0,10.0,9.99,9.99,10900
