Date,Open,High,Low,Close,Volume
2024-04-18,23.75,23.8,22.9,23.13,8552052
2024-04-19,23.13,24.95,22.1308,24.2,1578578
2024-04-22,24.21,25.17,23.815,24.5,718485
2024-04-23,25.99,25.99,24.3,24.66,622594
2024-04-24,24.6,25.6,24.0021,25.07,1828315
2024-04-25,24.5,24.94,24.25,24.67,811209
2024-04-26,24.47,25.22,24.47,25.06,249836
2024-04-29,24.67,26.07,24.49,25.01,337392
2024-04-30,24.59,25.25,24.46,24.75,386853
2024-05-01,24.48,26.172,24.48,26.172,331786
2024-05-02,25.58,25.58,24.26,24.28,844267
2024-05-03,24.29,24.67,23.81,24.0,352021
2024-05-06,23.8,25.0,23.34,24.93,213549
2024-05-07,24.58,25.29,24.58,25.0,245801
2024-05-08,24.78,25.4,24.43,24.96,304106
2024-05-09,24.69,25.55,24.69,24.78,196630
2024-05-10,24.99,25.56,24.7835,25.39,164121
2024-05-13,25.42,25.47,24.035,24.73,324901
2024-05-14,24.65,25.3544,24.3,24.79,379678
2024-05-15,25.06,25.33,24.83,25.11,577597
2024-05-16,24.9,26.45,24.9,25.94,455745
2024-05-17,26.03,26.78,25.84,26.77,635760
2024-05-20,26.73,27.91,26.62,27.25,227788
2024-05-21,27.16,27.19,26.71,27.19,384448
2024-05-22,26.87,27.28,26.09,26.31,391258
2024-05-23,26.02,26.24,25.0,25.28,390129
2024-05-24,25.34,26.64,25.2472,26.4,404748
2024-05-28,26.53,27.05,26.04,26.55,227806
2024-05-29,26.29,27.11,26.29,26.57,369509
2024-05-30,26.57,27.4,26.32,27.03,264246
2024-05-31,27.14,27.62,26.91,27.45,166631
2024-06-03,27.81,28.03,27.305,27.46,200651
2024-06-04,27.08,27.25,26.13,26.15,263963
2024-06-05,26.34,26.4,25.88,26.17,73238
2024-06-06,26.17,26.4597,25.67,25.99,72449
2024-06-07,25.93,26.37,25.7625,25.92,86544
2024-06-10,25.68,27.505,25.515,25.97,114228
2024-06-11,25.7,26.48,25.64,26.24,91818
2024-06-12,26.7,28.645,25.88,26.05,138626
2024-06-13,26.37,26.46,25.88,26.38,87805
2024-06-14,26.27,26.56,25.78,25.89,194760
2024-06-17,25.69,26.19,25.69,26.07,220534
2024-06-18,26.21,26.66,26.0,26.35,262062
2024-06-20,26.49,26.8428,25.77,26.05,230180
2024-06-21,25.78,26.02,24.6,25.58,1299613
2024-06-24,25.43,26.14,25.195,25.67,183542
2024-06-25,25.73,25.81,24.84,25.25,436525
2024-06-26,25.2,25.29,24.595,24.9,403750
2024-06-27,24.69,24.69,19.98,21.33,3273194
2024-06-28,21.6,21.6,19.41,19.48,3167554
2024-07-01,19.48,20.2,18.5,19.01,1020728
2024-07-02,18.95,20.36,18.81,20.02,883407
2024-07-03,20.3,20.895,19.93,19.99,460527
2024-07-05,20.2,20.3,19.46,19.63,700259
2024-07-08,19.75,19.99,19.08,19.1,777273
2024-07-09,19.15,19.15,18.64,18.93,569863
2024-07-10,18.93,19.56,18.8,18.88,1018020
2024-07-11,19.1,19.59,18.6,18.91,722218
2024-07-12,18.89,19.55,18.75,19.14,2517238
2024-07-15,19.22,20.28,18.93,20.13,361389
2024-07-16,20.49,21.49,20.18,21.45,372737
2024-07-17,21.43,21.7537,20.695,20.95,304365
2024-07-18,21.0,21.3,20.59,20.76,299388
2024-07-19,20.81,20.88,20.09,20.15,145249
2024-07-22,20.4,20.4,19.41,19.78,333473
2024-07-23,19.97,20.51,19.64,20.5,307808
2024-07-24,20.49,20.86,20.08,20.24,327653
2024-07-25,20.34,20.545,19.9515,20.05,155409
2024-07-26,20.65,20.67,19.91,20.25,300795
2024-07-29,17.82,18.03,14.735,16.52,2112291
2024-07-30,15.8,16.2,14.79,15.77,1051027
2024-07-31,15.95,17.24,15.76,16.51,497353
2024-08-01,16.6,16.77,15.85,16.49,315998
2024-08-02,16.44,16.61,16.18,16.27,306743
2024-08-05,15.75,16.09,15.125,15.25,1161391
2024-08-06,15.18,15.295,14.47,14.92,829229
2024-08-07,15.11,15.65,14.81,14.92,237265
2024-08-08,15.06,15.65,14.86,15.6,150600
2024-08-09,15.71,15.715,15.04,15.33,171103
2024-08-12,15.43,15.79,15.19,15.6,183840
2024-08-13,15.8,16.58,15.8,16.16,243864
2024-08-14,16.28,16.31,15.535,15.76,147787
2024-08-15,15.6,16.27,15.6,15.82,296289
2024-08-16,15.84,16.29,15.76,16.16,310644
2024-08-19,16.3,16.79,16.03,16.13,170530
2024-08-20,16.18,16.52,15.81,16.38,451253
2024-08-21,16.49,16.78,16.19,16.42,143716
2024-08-22,16.34,16.6,16.06,16.28,92372
2024-08-23,16.4,17.67,16.23,17.38,111422
2024-08-26,17.5,17.625,16.92,17.24,144349
2024-08-27,17.12,17.31,16.67,16.98,140389
2024-08-28,16.91,17.17,16.62,16.64,168300
2024-08-29,16.73,17.36,16.56,16.9,131948
2024-08-30,17.18,17.53,17.0,17.1,321044
2024-09-03,17.15,17.16,16.01,16.23,271684
2024-09-04,16.11,16.3,15.93,16.2,146162
2024-09-05,16.28,16.58,16.09,16.56,93639
2024-09-06,16.65,16.875,15.82,16.3,198811
2024-09-09,16.36,16.99,16.12,16.57,355178
2024-09-10,16.55,16.55,15.71,16.37,169736
2024-09-11,16.37,16.88,16.075,16.87,122356
2024-09-12,16.87,17.46,16.56,17.19,170718
2024-09-13,17.53,17.885,17.34,17.88,80788
2024-09-16,17.81,17.88,17.32,17.43,253225
