Date,Open,High,Low,Close,Volume
2022-10-05,1.8,1.92,1.6927,1.73,121615
2022-10-06,1.75,1.8,1.72,1.8,59222
2022-10-07,1.72,1.75,1.65,1.7,26689
2022-10-10,1.78,1.8,1.57,1.6,68194
2022-10-11,1.57,1.7,1.55,1.7,21796
2022-10-12,1.6,1.65,1.58,1.6,10450
2022-10-13,1.5889,1.65,1.58,1.6,19171
2022-10-14,1.65,1.65,1.6,1.65,7538
2022-10-17,1.65,1.65,1.58,1.58,16260
2022-10-18,1.55,1.64,1.5,1.64,14354
2022-10-19,1.64,1.65,1.5406,1.55,16400
2022-10-20,1.64,1.67,1.6365,1.64,11387
2022-10-21,1.64,1.745,1.64,1.745,200
2022-10-24,1.86,1.9,1.73,1.9,24061
2022-10-25,1.9,2.3,1.9,2.3,159375
2022-10-26,2.19,2.35,2.07,2.3,56179
2022-10-27,2.2,2.2,2.0501,2.15,17554
2022-10-28,2.2,2.6541,2.1001,2.59,35904
2022-10-31,2.4,2.75,2.4,2.41,48438
2022-11-01,2.5,2.55,2.035,2.3,78654
2022-11-02,2.28,2.4197,2.165,2.185,20917
2022-11-03,2.2,2.2,2.08,2.1065,18301
2022-11-04,2.2588,2.34,2.11,2.26,20516
2022-11-07,2.46,2.515,2.36,2.405,17324
2022-11-08,2.38,2.58,2.2701,2.33,50658
2022-11-09,2.3,2.4,2.2601,2.34,35267
2022-11-10,2.33,2.57,2.325,2.42,43699
2022-11-11,2.35,2.5143,2.35,2.51,17209
2022-11-14,2.34,2.51,2.34,2.48,38747
2022-11-15,2.5,2.75,2.31,2.52,22310
2022-11-16,2.34,2.8499,2.3,2.8499,44034
2022-11-17,2.43,2.47,2.33,2.45,35472
2022-11-18,2.38,2.5,2.3235,2.45,13196
2022-11-21,2.8999,2.9,2.46,2.7001,132662
2022-11-22,2.74,2.93,2.645,2.9,133633
2022-11-23,2.93,2.93,2.77,2.88,25863
2022-11-25,2.91,3.23,2.9,3.23,72664
2022-11-28,3.23,3.23,3.05,3.1133,154373
2022-11-29,3.12,3.1899,2.995,3.06,26112
2022-11-30,3.18,3.5,3.13,3.26,269989
2022-12-01,3.4,3.6,3.27,3.6,109253
2022-12-02,3.5,3.6629,3.42,3.59,108607
2022-12-05,3.62,3.82,3.53,3.64,159824
2022-12-06,3.67,3.69,3.47,3.69,48237
2022-12-07,3.71,3.71,3.5263,3.57,69738
2022-12-08,3.68,3.75,3.495,3.63,78726
2022-12-09,3.98,3.98,3.57,3.62,46160
2022-12-12,3.63,3.7,3.55,3.64,41583
2022-12-13,3.7,3.86,3.63,3.75,67812
2022-12-14,3.76,3.96,3.64,3.64,45561
2022-12-15,3.52,3.87,3.5,3.61,65740
2022-12-16,3.6,3.84,3.14,3.17,301254
2022-12-19,3.25,3.38,3.15,3.18,58214
2022-12-20,3.15,3.43,3.15,3.4,23228
2022-12-21,3.45,3.45,3.35,3.36,29043
2022-12-22,3.28,3.3745,3.22,3.29,21940
2022-12-23,3.23,3.3,3.15,3.25,16276
2022-12-27,3.23,3.4695,3.1579,3.27,18522
2022-12-28,3.23,3.31,3.15,3.26,26739
2022-12-29,3.22,3.3,3.15,3.23,24941
2022-12-30,3.19,3.2,3.16,3.2,27882
2023-01-03,3.31,3.34,3.1912,3.27,28345
2023-01-04,3.25,3.3343,3.06,3.33,26133
2023-01-05,3.356,3.4292,3.14,3.22,13071
2023-01-06,3.21,3.31,3.18,3.25,40210
2023-01-09,3.2,3.34,3.1401,3.29,16886
2023-01-10,3.28,3.35,3.25,3.29,16882
2023-01-11,3.29,3.53,3.17,3.38,51416
2023-01-12,3.41,3.45,3.35,3.42,27381
2023-01-13,3.35,3.585,3.35,3.49,21383
2023-01-17,3.4974,3.6612,3.4974,3.56,52892
2023-01-18,3.46,3.55,3.4201,3.47,18365
2023-01-19,3.5843,3.6292,3.55,3.56,9585
2023-01-20,3.5,3.57,3.45,3.51,20571
2023-01-23,3.56,3.6267,3.4,3.55,37277
2023-01-24,3.65,3.98,3.63,3.92,114627
2023-01-25,3.97,3.97,3.69,3.72,35826
2023-01-26,3.62,3.8412,3.61,3.77,18062
2023-01-27,3.81,3.9032,3.81,3.9,37975
2023-01-30,3.9,3.92,3.62,3.69,21638
2023-01-31,3.68,4.14,3.68,4.14,74738
