Date,Open,High,Low,Close,Volume
2000-01-03,8.4884,8.4884,7.857,7.8745,63788.0
2000-01-04,7.9447,8.1376,7.8921,8.0324,61297.0
2000-01-05,8.0675,8.0675,7.9272,7.9272,18528.0
2000-01-06,7.9447,7.9447,7.8044,7.8921,29933.0
2000-01-07,7.8219,8.1025,7.8219,8.0499,33852.0
2000-01-10,8.0324,8.0324,7.857,7.857,34923.0
2000-01-11,7.857,8.2078,7.857,8.1727,118311.0
2000-01-12,8.1376,8.1902,7.857,7.8921,78043.0
2000-01-13,7.9272,7.9798,7.8219,7.8219,47395.0
2000-01-14,7.8921,7.8921,7.7869,7.8395,33854.0
2000-01-18,7.8044,7.857,7.401,7.4887,78401.0
2000-01-19,7.5589,7.6466,7.5062,7.5764,35993.0
2000-01-20,7.6115,7.7167,7.5413,7.7167,65925.0
2000-01-21,7.7167,8.2078,7.7167,7.9622,59865.0
2000-01-24,7.7869,7.857,7.6466,7.6816,61646.0
2000-01-25,7.629,7.6466,7.4887,7.5413,38488.0
2000-01-26,7.5764,7.6115,7.4361,7.4887,27441.0
2000-01-27,7.5062,7.5589,7.4361,7.5413,30647.0
2000-01-28,7.4536,7.7167,7.4536,7.7167,37419.0
2000-01-31,7.6816,7.6816,7.4536,7.4712,45615.0
2000-02-01,7.4712,7.8219,7.4712,7.7869,76615.0
2000-02-02,7.857,7.9622,7.857,7.9272,159652.0
2000-02-03,7.9973,8.2779,7.9272,8.2779,100494.0
2000-02-04,8.3481,8.6988,8.3481,8.6638,112257.0
2000-02-07,8.6287,8.8041,8.6287,8.6813,91226.0
2000-02-08,8.6111,8.6111,8.4358,8.4533,33139.0
2000-02-09,8.4358,8.5585,8.2253,8.2253,39200.0
2000-02-10,8.1552,8.2078,8.0675,8.0675,11758.0
2000-02-11,8.0675,8.0675,7.857,7.857,17818.0
2000-02-14,7.8921,7.8921,7.5413,7.5764,24231.0
2000-02-15,7.5413,7.8219,7.5413,7.8044,18888.0
2000-02-16,7.9096,8.1902,7.9096,8.1902,21738.0
2000-02-17,8.4007,8.4182,8.3481,8.4007,40268.0
2000-02-18,8.4182,8.4182,8.1376,8.1376,36350.0
2000-02-22,8.2078,8.2779,7.9622,8.0499,56306.0
2000-02-23,7.9798,7.9973,7.8219,7.9798,54880.0
2000-02-24,7.9798,7.9798,7.8219,7.8395,37776.0
2000-02-25,7.8395,7.8395,7.6115,7.6466,20669.0
2000-02-28,7.5939,7.5939,7.3659,7.401,34566.0
2000-02-29,7.3309,7.5413,7.3309,7.5413,61296.0
2000-03-01,7.5413,7.5413,7.4186,7.5238,19243.0
2000-03-02,7.1906,7.2607,7.1204,7.1204,71989.0
2000-03-03,7.0853,7.401,7.0152,7.3659,48108.0
2000-03-06,7.2256,7.5062,7.2256,7.3835,42407.0
2000-03-07,7.3659,7.4361,7.3659,7.401,10333.0
2000-03-08,7.401,7.4186,7.2432,7.2958,26726.0
2000-03-09,7.2783,7.2958,7.2432,7.2958,13184.0
2000-03-10,7.2256,7.2256,7.0503,7.0503,62367.0
2000-03-13,7.0503,7.2607,7.0503,7.2607,22094.0
2000-03-14,7.2256,7.2607,7.0152,7.0152,24231.0
2000-03-15,7.0152,7.0152,6.5592,6.6469,89802.0
2000-03-16,6.6469,7.0327,6.6294,7.0327,82680.0
2000-03-17,6.8398,6.945,6.7346,6.91,54168.0
2000-03-20,6.8749,6.945,6.8749,6.91,40984.0
2000-03-21,6.9801,7.0853,6.945,7.0853,22809.0
2000-03-22,7.0678,7.138,6.9626,7.1204,30291.0
2000-03-23,7.1029,7.1029,6.945,6.9626,13543.0
2000-03-24,7.0152,7.1029,6.9801,7.0503,13541.0
2000-03-27,7.0678,7.0678,6.91,6.91,9621.0
2000-03-28,6.8749,6.8749,6.5943,6.6995,95507.0
2000-03-29,6.489,6.682,6.454,6.5241,152172.0
2000-03-30,6.5241,6.5241,6.3663,6.4014,72699.0
2000-03-31,6.4189,6.489,6.2435,6.4014,144677.0
2000-04-03,6.3312,6.717,6.2435,6.5241,110824.0
2000-04-04,6.454,6.489,6.3137,6.454,104059.0
2000-04-05,6.454,6.5241,6.4014,6.5241,76972.0
2000-04-06,6.5241,6.7697,6.5241,6.6294,96929.0
2000-04-07,6.6294,6.6294,6.489,6.6118,37060.0
2000-04-10,6.6644,6.7346,6.454,6.454,53809.0
2000-04-11,6.454,6.6294,6.454,6.5241,71984.0
2000-04-12,6.454,6.6995,6.0331,6.0857,122592.0
2000-04-13,6.0506,6.5066,6.0506,6.2961,120450.0
2000-04-14,6.3487,6.4014,6.1909,6.2435,37061.0
2000-04-17,6.2084,6.5241,6.2084,6.5241,41693.0
2000-04-18,6.489,6.489,6.2084,6.454,57372.0
2000-04-19,6.4189,6.489,6.1909,6.2611,69135.0
2000-04-20,6.2611,6.4014,6.2611,6.3487,29578.0
2000-04-24,6.3663,6.5943,6.2786,6.5943,100136.0
2000-04-25,6.6644,6.7346,6.6294,6.7346,32787.0
2000-04-26,6.7697,6.9801,6.7697,6.8573,23876.0
2000-04-27,6.6995,6.6995,6.5592,6.5943,34924.0
2000-04-28,6.5417,6.7346,6.5241,6.5417,57017.0
2000-05-01,6.5943,6.682,6.4715,6.6644,54167.0
