Date,Open,High,Low,Close,Volume
2000-01-03,6.3473,6.3473,6.1238,6.1238,50057
2000-01-04,6.1685,6.2132,6.1238,6.1685,21672
2000-01-05,6.1685,6.2132,6.1238,6.1238,26145
2000-01-06,6.1238,6.1685,6.1238,6.1238,9648
2000-01-07,6.2132,6.2579,6.1685,6.2132,10485
2000-01-10,6.1685,6.2579,6.1238,6.2132,34676
2000-01-11,6.2132,6.2132,6.1238,6.1685,24328
2000-01-12,6.2132,6.2132,6.2132,6.2132,4894
2000-01-13,6.1685,6.2132,6.1238,6.1238,29361
2000-01-14,6.1685,6.2132,6.1685,6.2132,9229
2000-01-18,6.2132,6.3473,6.2132,6.2579,70890
2000-01-19,6.2579,6.2579,6.2132,6.2132,28244
2000-01-20,6.2579,6.2579,6.2132,6.2132,34534
2000-01-21,6.2132,6.2579,6.2132,6.2579,10347
2000-01-24,6.3026,6.3473,6.2132,6.2132,29502
2000-01-25,6.2132,6.3026,6.1685,6.3026,35654
2000-01-26,6.3473,6.3473,6.2579,6.2579,5314
2000-01-27,6.3026,6.3026,6.2132,6.2132,55091
2000-01-28,6.2132,6.2579,6.2132,6.2132,9088
2000-01-31,6.2579,6.3026,6.2132,6.2132,13563
2000-02-01,6.2579,6.2579,6.2132,6.2132,10347
2000-02-02,6.2579,6.3026,6.2579,6.2579,9928
2000-02-03,6.3473,6.392,6.3026,6.3026,137446
2000-02-04,6.3473,6.3473,6.2579,6.3026,15240
2000-02-07,6.2579,6.3473,6.2579,6.2579,17057
2000-02-08,6.2579,6.392,6.2579,6.392,23070
2000-02-09,6.3473,6.3473,6.3473,6.3473,6292
2000-02-10,6.3473,6.3473,6.3473,6.3473,6013
2000-02-11,6.3473,6.3473,6.3026,6.3026,15241
2000-02-14,6.3026,6.3473,6.2579,6.2579,34256
2000-02-15,6.3473,6.3473,6.2579,6.2579,10905
2000-02-16,6.2579,6.3473,6.2579,6.3473,1818
2000-02-17,6.3026,6.3473,6.3026,6.3026,4614
2000-02-18,6.3026,6.3473,6.2579,6.2579,19996
2000-02-22,6.3473,6.392,6.3026,6.392,5313
2000-02-23,6.3026,6.3473,6.3026,6.3473,5173
2000-02-24,6.3026,6.392,6.3026,6.392,8529
2000-02-25,6.3026,6.4367,6.2132,6.2579,54250
2000-02-28,6.3026,6.3026,6.2579,6.2579,14961
2000-02-29,6.3026,6.3026,6.2132,6.2132,21533
2000-03-01,6.2132,6.2132,6.2132,6.2132,6012
2000-03-02,6.2579,6.2579,6.2132,6.2132,12165
2000-03-03,6.2132,6.3026,6.2132,6.2579,18176
2000-03-06,6.2579,6.3026,6.2132,6.3026,47540
2000-03-07,6.3026,6.392,6.3026,6.3473,44604
2000-03-08,6.392,6.392,6.3026,6.3473,10347
2000-03-09,6.3026,6.392,6.3026,6.3473,28942
2000-03-10,6.3026,6.3026,6.3026,6.3026,8530
2000-03-13,6.2579,6.3473,6.2579,6.2579,22929
2000-03-14,6.2579,6.3026,6.2579,6.3026,6432
2000-03-15,6.2579,6.3473,6.2579,6.3473,16079
2000-03-16,6.3473,6.3473,6.2579,6.3026,31599
2000-03-17,6.3026,6.3473,6.3026,6.3473,9787
2000-03-20,6.392,6.392,6.3026,6.3026,21952
2000-03-21,6.3026,6.3026,6.3026,6.3026,5174
2000-03-22,6.3473,6.3473,6.3473,6.3473,4055
2000-03-23,6.3026,6.3026,6.3026,6.3026,6151
2000-03-24,6.3473,6.3473,6.3026,6.3473,10346
2000-03-27,6.392,6.392,6.3026,6.3473,40550
2000-03-28,6.392,6.392,6.3473,6.3473,27126
2000-03-29,6.3473,6.392,6.3026,6.392,29783
2000-03-30,6.3473,6.392,6.3026,6.3473,26706
2000-03-31,6.392,6.4814,6.3473,6.392,59985
2000-04-03,6.392,6.4367,6.392,6.4367,4474
2000-04-04,6.4367,6.4367,6.392,6.392,8109
