Date,Open,High,Low,Close,Volume
2007-05-16,13.6836,13.7398,13.6836,13.6836,4627
2007-05-17,13.6836,13.6836,13.6836,13.6836,2136
2007-05-18,13.6836,13.7117,13.6555,13.6555,6890
2007-05-21,7.4122,7.6032,7.4122,7.5527,192867
2007-05-22,13.7117,13.7117,13.7117,13.7117,2492
2007-05-23,7.6594,7.6819,7.5189,7.5358,108168
2007-05-24,13.7117,13.7117,13.7117,13.7117,356
2007-05-25,13.7117,13.7117,13.7117,13.7117,8702
2007-05-29,13.7398,13.9083,13.6555,13.9083,2236
2007-05-30,13.7117,13.7117,13.7117,13.7117,890
2007-05-31,13.7398,13.7398,13.7117,13.7117,2492
2007-06-01,7.6369,7.6707,7.5583,7.6707,76803
2007-06-04,13.7117,13.7117,13.7117,13.7117,356
2007-06-05,13.7117,13.7117,13.7117,13.7117,267
2007-06-06,7.474,7.5021,7.4234,7.4908,199755
2007-06-07,7.4346,7.474,7.3728,7.4346,193335
2007-06-08,13.7117,13.7679,13.7117,13.7679,1397
2007-06-11,13.7117,13.7117,13.7117,13.7117,1068
2007-06-12,7.429,7.4459,7.3784,7.3953,186148
2007-06-13,13.7117,13.7117,13.7117,13.7117,2411
2007-06-14,13.7117,13.7117,13.7117,13.7117,534
2007-06-15,13.7679,13.7679,13.7679,13.7679,895
2007-06-18,13.5993,13.7117,13.5993,13.5993,12263
2007-06-19,13.5993,13.5993,13.5712,13.5993,29399
2007-06-20,13.7117,13.7117,13.5712,13.5712,1068
2007-06-21,13.7117,13.7117,13.5712,13.5712,3916
2007-06-22,13.3464,13.515,13.3464,13.4869,1459
2007-06-25,13.515,13.515,13.515,13.515,7831
2007-06-26,13.515,13.515,13.515,13.515,5517
2007-06-27,13.4588,13.6836,13.4588,13.5431,3204
2007-06-28,13.5431,13.5712,13.4869,13.5431,30215
2007-06-29,13.5431,13.5431,13.5431,13.5431,1509
2007-07-02,13.5431,13.5993,13.515,13.5993,3527
2007-07-03,7.3504,7.4403,7.3391,7.3784,154025
2007-07-05,13.5993,13.5993,13.5993,13.5993,178
2007-07-06,13.5993,13.5993,13.5993,13.5993,979
2007-07-09,7.3054,7.3953,7.2661,7.3841,260104
2007-07-10,13.6555,13.6555,13.6555,13.6555,6229
2007-07-11,13.6555,13.7679,13.4026,13.4869,25703
2007-07-12,13.5993,13.6555,13.515,13.6555,16728
2007-07-13,13.7117,13.7117,13.7117,13.7117,712
2007-07-16,13.7117,13.7117,13.7117,13.7117,2066
2007-07-17,13.7679,13.7679,13.5993,13.7117,11232
2007-07-18,13.7117,13.7117,13.7117,13.7117,534
2007-07-19,13.6836,13.6836,13.5431,13.6555,4494
2007-07-20,13.6555,13.6555,13.4869,13.4869,7787
2007-07-23,13.5431,13.5431,13.5431,13.5431,2670
2007-07-24,13.4869,13.6836,13.4869,13.6836,3796
2007-07-25,13.6274,13.6836,13.6274,13.6836,2136
2007-07-26,6.6704,6.676,6.3557,6.4344,327780
2007-07-27,13.5993,13.7679,13.4869,13.5993,14237
2007-07-30,13.4869,13.4869,13.4869,13.4869,1068
2007-07-31,13.4869,13.4869,13.4869,13.4869,587
2007-08-01,13.4869,13.4869,13.4869,13.4869,3248
2007-08-02,13.4869,13.4869,12.9249,13.3464,42354
2007-08-03,13.4869,13.4869,13.3464,13.4026,25758
2007-08-06,13.234,13.2621,13.2059,13.2059,9611
2007-08-07,13.3464,13.4588,13.3183,13.4588,6585
2007-08-08,13.4307,13.4307,13.3183,13.3745,22067
2007-08-09,13.4588,13.6274,13.4588,13.6274,14500
2007-08-10,13.4869,13.5431,13.4869,13.5431,19663
2007-08-13,13.6274,13.6274,13.5431,13.6274,25661
2007-08-14,13.6274,13.6274,13.6274,13.6274,7119
2007-08-15,13.5993,13.5993,13.4869,13.515,6294
2007-08-16,13.515,13.515,13.4026,13.4026,11658
2007-08-17,13.4869,13.5431,13.3745,13.5431,7338
2007-08-20,13.4869,13.7398,13.4869,13.7398,5236
2007-08-21,13.7679,13.7679,13.7679,13.7679,2314
2007-08-22,13.7679,13.7679,13.7679,13.7679,3373
2007-08-23,13.7679,13.796,13.7679,13.7679,7832
2007-08-24,13.7735,13.796,13.7679,13.796,6249
2007-08-27,13.9083,13.9083,13.796,13.796,1068
2007-08-28,13.796,13.796,13.7117,13.7117,6683
2007-08-29,13.6555,13.6611,13.4869,13.4869,5518
2007-08-30,13.6555,13.6555,13.633,13.6555,5562
2007-08-31,13.6836,13.7117,13.6836,13.7117,3559
2007-09-04,13.7341,13.7341,13.7341,13.7341,356
2007-09-05,13.751,13.751,13.706,13.7117,4628
2007-09-06,13.7622,13.8241,13.7622,13.8241,7995
2007-09-07,7.4627,7.6088,7.4627,7.5246,408991
2007-09-10,13.9926,13.9926,13.8241,13.8802,3786
2007-09-11,13.8522,13.8522,13.8241,13.8241,1780
2007-09-12,13.8241,13.8241,13.8241,13.8241,1121
2007-09-13,13.8297,13.8297,13.6274,13.796,6763
2007-09-14,13.7398,13.751,13.7398,13.751,5783
2007-09-17,13.7903,13.7903,13.7847,13.7847,1646
2007-09-18,13.8241,13.9083,13.8241,13.9083,2136
2007-09-19,13.8522,13.8522,13.7398,13.7679,9116
2007-09-20,13.7679,13.7679,13.7679,13.7679,5342
2007-09-21,13.7679,13.9926,12.9249,13.7679,36346
2007-09-24,13.8522,13.8522,13.8522,13.8522,4537
2007-09-25,8.1764,8.2888,8.1202,8.1989,439874
2007-09-26,13.8578,13.8578,13.8578,13.8578,1068
2007-09-27,13.8802,13.8802,13.8802,13.8802,1602
2007-09-28,13.9083,13.9083,13.9083,13.9083,356
2007-10-01,8.4293,8.6316,8.2832,8.5417,162043
2007-10-02,13.9083,13.9083,13.9083,13.9083,1068
2007-10-03,13.9926,13.9926,13.9083,13.9083,1860
2007-10-04,13.9083,13.9083,13.9083,13.9083,1584
2007-10-05,13.9083,13.9083,13.9083,13.9083,7476
2007-10-08,13.7679,13.7679,13.7679,13.7679,890
2007-10-09,13.9083,13.9364,13.7679,13.7679,2925
2007-10-10,13.8802,14.0488,13.8802,13.9645,23933
2007-10-11,13.9083,13.9083,13.9083,13.9083,3531
2007-10-12,13.9645,13.9926,13.9645,13.9926,2171
2007-10-15,13.9926,13.9926,13.9083,13.9083,2314
2007-10-16,13.9083,13.9364,13.9083,13.9364,4735
2007-10-17,13.9364,13.9364,13.9364,13.9364,2535
2007-10-18,13.9364,13.9364,13.9364,13.9364,2669
2007-10-19,13.9364,13.9364,13.9364,13.9364,712
2007-10-22,7.2829,7.7437,7.1705,7.6707,376419
2007-10-23,13.9364,13.9364,13.7679,13.9364,6090
2007-10-24,13.8241,13.8297,13.8241,13.8241,3606
2007-10-25,13.8241,13.8241,13.8241,13.8241,1466
2007-10-26,13.8802,13.8802,13.8802,13.8802,1602
2007-10-29,8.0528,8.1146,7.8505,8.0472,198822
2007-10-30,13.9083,13.9645,13.8241,13.9645,6230
2007-10-31,13.8241,13.8241,13.8241,13.8241,1068
2007-11-01,13.8522,13.8522,13.8241,13.8241,979
2007-11-02,13.8241,13.9364,13.7117,13.9364,4076
2007-11-05,13.9364,13.9926,13.8522,13.9926,7938
2007-11-06,7.5358,7.6538,7.4346,7.6482,169042
2007-11-07,13.9926,13.9926,13.9926,13.9926,1958
2007-11-08,7.238,7.5246,7.0806,7.4965,253396
2007-11-09,14.0488,14.0488,14.0488,14.0488,1709
2007-11-12,14.0488,14.0488,14.0488,14.0488,356
2007-11-13,14.0488,14.1612,14.0488,14.105,13846
2007-11-14,14.105,14.105,14.0769,14.105,7261
2007-11-15,14.1612,14.1612,13.7679,13.796,4241
2007-11-16,13.7679,13.7679,13.7679,13.7679,2714
2007-11-19,13.7679,13.7679,13.7679,13.7679,1979
2007-11-20,13.7679,13.796,13.7679,13.796,1363
2007-11-21,13.796,13.796,13.796,13.796,1246
2007-11-23,6.9682,7.2267,6.8783,7.1256,85245
2007-11-26,7.1256,7.1256,6.7547,6.7659,212249
2007-11-27,13.9083,13.9083,13.9083,13.9083,178
2007-11-28,13.796,13.796,13.6555,13.796,14595
2007-11-29,7.3616,7.4515,7.2211,7.238,276204
2007-11-30,13.6836,13.7679,13.6555,13.7679,7119
2007-12-03,13.7679,13.7679,13.6555,13.6555,1524
2007-12-04,13.7117,13.8522,13.7117,13.8522,4016
2007-12-05,7.5695,7.6088,7.4234,7.5414,119358
2007-12-06,13.796,13.8072,13.796,13.796,1335
2007-12-07,13.796,13.796,13.7679,13.7679,20189
2007-12-10,13.7679,13.7679,13.6836,13.6836,2847
2007-12-11,8.3675,8.3675,7.8673,7.873,280007
2007-12-12,13.6836,13.7679,13.6836,13.7679,1424
2007-12-13,13.7679,13.7679,13.7117,13.7679,4904
2007-12-14,13.7117,13.7117,13.7117,13.7117,267
2007-12-17,13.7117,13.7117,13.6555,13.6555,3674
2007-12-18,13.6555,13.6555,13.6555,13.6555,2156
2007-12-19,7.4852,7.7718,7.3841,7.4178,392879
2007-12-20,13.5712,13.5712,13.5712,13.5712,178
2007-12-21,13.6555,13.6555,13.3464,13.5712,4272
2007-12-24,13.5712,13.5993,13.5712,13.5993,1228
2007-12-26,13.5993,13.8241,13.5431,13.8241,38242
2007-12-27,13.7679,13.7679,13.4869,13.5431,26036
