Date,Open,High,Low,Close,Volume
2000-01-03,10.6553,10.6553,10.356,10.356,22760.0
2000-01-04,10.2362,10.2961,9.3383,9.458,14408.0
2000-01-05,9.2785,9.7573,9.2785,9.7573,3759.0
2000-01-06,9.8172,10.0567,9.8172,10.0567,7516.0
2000-01-07,10.0567,10.1764,9.8172,9.8172,12006.0
2000-01-10,9.8172,9.9369,9.5778,9.9369,5846.0
2000-01-11,9.8172,10.0567,9.8172,9.8771,5741.0
2000-01-12,9.8172,10.0567,9.8172,9.8172,11275.0
2000-01-13,9.8172,9.8172,9.458,9.5778,9814.0
2000-01-14,9.5778,9.5778,9.3383,9.3383,8456.0
2000-01-18,9.458,9.5179,9.3383,9.5179,13677.0
2000-01-19,9.5778,9.9369,9.458,9.9369,23595.0
2000-01-20,10.0567,10.5355,9.8172,10.4158,18167.0
2000-01-21,10.1764,10.5355,10.1764,10.4158,8665.0
2000-01-24,10.6553,10.775,10.356,10.4757,11796.0
2000-01-25,10.5355,10.5355,10.2961,10.2961,9710.0
2000-01-26,10.2961,10.2961,10.1764,10.1764,2505.0
2000-01-27,10.2961,10.8947,10.2961,10.5355,12320.0
2000-01-28,10.5954,10.8348,10.1764,10.5355,24430.0
2000-01-31,10.4158,10.4158,10.1764,10.356,4490.0
2000-02-01,10.356,10.356,9.5778,10.0567,11484.0
2000-02-02,9.8172,10.1165,9.6975,9.9968,7307.0
2000-02-03,9.8172,9.9369,9.8172,9.8172,3237.0
2000-02-04,9.6975,10.1764,9.6975,9.8771,32574.0
2000-02-07,9.8771,10.0567,9.8771,10.0567,5012.0
2000-02-08,10.1764,10.1764,9.5778,9.5778,44583.0
2000-02-09,9.5778,9.8172,9.458,9.8172,6785.0
2000-02-10,9.6376,9.6376,9.0989,9.1587,17537.0
2000-02-11,9.1587,9.1587,8.8594,8.9193,7412.0
2000-02-14,8.9193,8.9792,8.9193,8.9792,4176.0
2000-02-15,8.9792,9.2186,8.9792,9.0989,6786.0
