Date,Open,High,Low,Close,Volume
2023-11-17,8.5,8.5,5.67,6.44,1273892
2023-11-20,6.5,6.59,5.025,5.21,312817
2023-11-21,5.29,5.82,4.22,5.82,292848
2023-11-22,5.5,6.5,5.16,6.5,224831
2023-11-24,6.58,6.6191,5.4,6.05,209877
2023-11-27,5.955,6.3,5.25,5.31,229988
2023-11-28,5.78,6.28,5.38,6.1,340165
2023-11-29,5.8,6.43,5.37,6.32,338936
2023-11-30,6.29,6.4,5.73,5.73,221686
2023-12-01,6.3,6.3,5.63,6.12,237028
2023-12-04,6.22,6.25,5.86,6.05,242229
2023-12-05,6.49,8.36,5.85,6.0,284703
2023-12-06,6.2,6.2,5.74,5.74,225769
2023-12-07,5.85,6.2,5.8,6.06,217046
2023-12-08,5.82,6.15,5.82,5.99,188105
2023-12-11,5.88,6.0,5.69,5.89,247340
2023-12-12,6.19,6.2,5.68,5.95,249428
2023-12-13,5.94,6.11,5.7227,6.075,227453
2023-12-14,5.79,6.09,5.62,6.09,247604
2023-12-15,5.78,5.78,4.22,4.38,268630
2023-12-18,4.62,4.9,3.2,3.79,260759
2023-12-19,3.5,4.24,3.34,4.04,264336
2023-12-20,3.99,4.45,3.8418,4.06,226553
2023-12-21,4.02,4.44,4.0123,4.32,239286
2023-12-22,4.04,4.75,4.04,4.75,317454
2023-12-26,4.44,4.865,4.4,4.56,183492
2023-12-27,4.4574,4.95,4.4041,4.95,280381
2023-12-28,4.84,4.89,4.26,4.26,224365
2023-12-29,4.65,4.71,4.52,4.67,177716
2024-01-02,4.69,4.7,4.51,4.6,185590
2024-01-03,4.4,4.63,4.35,4.49,183471
2024-01-04,4.46,4.46,4.2,4.3,201541
2024-01-05,4.32,4.3544,3.85,4.14,163510
2024-01-08,3.97,4.0888,3.38,3.66,231711
2024-01-09,3.66,3.86,2.67,3.1,326189
2024-01-10,3.2,3.5,3.05,3.05,374505
2024-01-11,3.16,3.89,3.1,3.31,344975
2024-01-12,3.53,3.61,3.33,3.41,304573
2024-01-16,3.48,3.49,3.14,3.15,187991
2024-01-17,3.05,3.395,3.05,3.37,240749
2024-01-18,3.43,3.62,3.2,3.3,249107
2024-01-19,3.32,3.513,3.21,3.35,258466
2024-01-22,3.38,3.41,3.12,3.21,213451
2024-01-23,3.21,3.3,2.6006,2.7,317743
2024-01-24,2.71,3.23,2.66,2.95,307657
2024-01-25,2.97,3.21,2.92,3.21,244628
2024-01-26,3.2,3.25,3.1,3.24,225711
2024-01-29,3.29,3.34,3.15,3.25,223390
2024-01-30,3.15,3.17,2.75,2.88,312695
2024-01-31,2.93,3.12,2.85,3.0,231549
2024-02-01,3.39,3.39,2.92,3.02,229813
2024-02-02,2.96,3.05,2.82,2.82,244044
2024-02-05,2.87,2.946,2.75,2.75,217709
2024-02-06,2.59,2.75,1.99,2.06,263797
2024-02-07,1.96,2.33,1.83,2.1,316696
2024-02-08,1.8,1.8924,1.67,1.79,216163
2024-02-09,1.59,1.78,1.552,1.61,245121
2024-02-12,1.62,2.1,1.55,1.66,449373
2024-02-13,2.0,2.5,1.58,1.68,233506
2024-02-14,1.67,1.815,1.61,1.74,240111
2024-02-15,1.73,1.96,1.665,1.96,267591
2024-02-16,1.91,2.74,1.845,2.27,275340
2024-02-20,2.07,3.16,1.69,1.89,338586
2024-02-21,1.99,2.05,1.2506,1.64,430776
2024-02-22,1.41,1.76,1.32,1.41,329627
2024-02-23,1.36,1.47,1.17,1.29,277778
2024-02-26,1.25,1.29,1.125,1.2,212740
2024-02-27,1.3,1.32,1.1748,1.31,81455
2024-02-28,1.3,1.31,1.19,1.21,36406
2024-02-29,1.18,1.2439,1.1,1.17,45949
2024-03-01,1.2,1.23,1.12,1.23,38106
2024-03-04,1.17,1.22,1.12,1.19,29190
2024-03-05,1.17,1.25,1.1,1.16,44921
2024-03-06,1.19,1.55,1.19,1.37,171137
2024-03-07,1.3197,1.53,1.25,1.33,56797
2024-03-08,1.3,1.3799,1.17,1.3,48938
2024-03-11,1.3,1.3,1.23,1.3,32053
2024-03-12,1.26,1.3425,1.17,1.2,31161
2024-03-13,1.1982,1.36,1.1982,1.35,19199
2024-03-14,1.45,1.45,1.2,1.33,10526
2024-03-15,1.38,1.38,1.244,1.27,18683
2024-03-18,1.26,1.34,1.24,1.24,23386
2024-03-19,1.2,1.3136,1.2,1.28,18172
2024-03-20,1.22,1.35,1.2,1.3,25161
2024-03-21,1.29,1.47,1.29,1.43,50254
2024-03-22,1.5,1.5,1.25,1.25,15935
2024-03-25,1.25,1.33,1.25,1.2701,21191
2024-03-26,1.35,1.36,1.28,1.28,4176
2024-03-27,1.285,1.29,1.22,1.22,4736
2024-03-28,1.29,1.3174,1.17,1.22,11449
2024-04-01,1.2,1.22,1.18,1.18,5861
2024-04-02,1.16,1.3,1.15,1.22,8172
2024-04-03,1.2,1.4,1.19,1.26,23672
2024-04-04,1.39,1.53,1.2765,1.53,41026
2024-04-05,1.55,1.55,1.3944,1.4,1723
2024-04-08,1.3972,1.49,1.3972,1.44,5638
2024-04-09,1.45,1.6,1.45,1.55,24922
2024-04-10,1.6499,1.6499,1.4,1.4,18784
2024-04-11,1.42,1.6,1.4101,1.6,14411
2024-04-12,1.5999,1.7799,1.49,1.49,32305
2024-04-15,1.52,1.53,1.33,1.35,15082
2024-04-16,1.29,1.425,1.29,1.37,11440
2024-04-17,1.43,1.51,1.3,1.325,14165
2024-04-18,1.3351,1.371,1.22,1.25,22838
2024-04-19,1.3,1.48,1.25,1.48,4798
2024-04-22,1.5,1.5,1.1,1.18,18495
2024-04-23,1.1,1.24,1.04,1.16,16411
2024-04-24,1.18,1.24,1.05,1.2,33631
2024-04-25,1.17,1.2,1.065,1.08,21685
2024-04-26,1.05,1.1956,0.9776,1.05,73139
2024-04-29,0.9994,1.01,0.8334,0.905,147749
2024-04-30,0.903,0.9164,0.82,0.82,75768
2024-05-01,0.85,0.9895,0.7201,0.7569,143025
2024-05-02,0.81,0.85,0.77,0.7809,16156
2024-05-03,0.8147,0.83,0.7401,0.77,39771
2024-05-06,0.8,0.8032,0.68,0.6902,48295
2024-05-07,0.7601,0.86,0.7277,0.86,54687
2024-05-08,0.83,0.83,0.8,0.8,17080
2024-05-09,0.814,0.8699,0.77,0.8012,3134
2024-05-10,0.83,0.8399,0.77,0.8399,2660
2024-05-13,0.741,0.8023,0.7349,0.7786,2698
2024-05-14,0.788,0.788,0.6801,0.7302,29639
2024-05-15,0.749,0.773,0.7,0.7588,9701
2024-05-16,0.7584,0.7584,0.702,0.705,4758
