Date,Open,High,Low,Close,Volume
2021-06-29,28.0,29.99,22.7,24.75,2232048
2021-06-30,24.75,46.0,24.5,36.25,5852529
2021-07-01,36.25,39.5,30.3,31.81,1156189
2021-07-02,31.8,31.8,27.2,28.81,658281
2021-07-06,28.06,28.5,25.89,26.52,516003
2021-07-07,26.54,27.59,25.6,26.02,200389
2021-07-08,25.66,27.5,24.51,25.48,345752
2021-07-09,25.8,26.9153,25.1,25.8,250834
2021-07-12,25.79,25.8,23.0901,23.5,226422
2021-07-13,23.69,25.25,23.33,23.98,287862
2021-07-14,23.41,23.91,22.53,23.0,260759
2021-07-15,23.27,24.48,23.27,23.74,312955
2021-07-16,24.25,24.25,23.15,23.53,122192
2021-07-19,23.33,24.14,23.01,23.43,104292
2021-07-20,23.8,23.9,23.12,23.5,47478
2021-07-21,23.14,23.82,23.14,23.6,57991
2021-07-22,23.6,23.77,23.3,23.42,30817
2021-07-23,23.42,23.42,21.05,21.54,135756
2021-07-26,20.03,20.31,18.87,19.92,232193
2021-07-27,18.88,22.43,18.88,22.28,290316
2021-07-28,22.37,26.22,22.37,26.22,138373
2021-07-29,26.19,26.5,23.45,23.91,223038
2021-07-30,24.01,24.8841,23.72,24.83,44065
2021-08-02,24.89,24.94,24.3,24.54,20381
2021-08-03,24.56,24.56,22.53,23.15,251944
2021-08-04,23.17,23.5952,22.0,22.11,148088
2021-08-05,22.19,22.79,22.0,22.1,61616
2021-08-06,22.1,22.6,20.55,20.77,77276
2021-08-09,20.96,21.89,20.82,21.42,31584
2021-08-10,22.48,22.49,20.9,21.22,41448
2021-08-11,21.11,21.55,20.57,20.67,29903
2021-08-12,21.02,21.63,20.7,21.43,52740
2021-08-13,21.05,21.7,18.31,18.38,294804
2021-08-16,18.6101,18.9717,17.3027,18.22,71594
2021-08-17,18.22,19.7185,17.81,19.52,46237
2021-08-18,19.92,19.92,19.14,19.8204,57361
2021-08-19,19.2,19.8,18.91,19.55,32435
2021-08-20,19.7,19.84,19.23,19.76,31724
2021-08-23,19.99,20.34,19.76,20.08,12320
2021-08-24,20.29,21.69,20.29,21.5,88307
2021-08-25,21.46,21.46,20.9271,21.25,14445
2021-08-26,21.2,23.0,21.2,22.89,21213
2021-08-27,22.94,23.19,21.36,21.36,30533
2021-08-30,22.75,22.88,21.2,21.31,28995
2021-08-31,21.24,21.49,20.02,20.17,31371
2021-09-01,20.01,21.77,20.01,21.34,54070
2021-09-02,21.99,21.99,21.32,21.34,22222
2021-09-03,21.23,21.6,20.8712,21.16,23669
2021-09-07,20.966,22.2,20.966,22.11,25547
2021-09-08,22.2,22.59,21.7,22.12,43198
2021-09-09,22.11,23.2,22.0663,22.95,113804
2021-09-10,23.0,23.1973,22.4901,22.5,29314
2021-09-13,22.5,22.855,22.26,22.59,49132
2021-09-14,22.5,22.8592,22.01,22.19,14891
