Date,Open,High,Low,Close,Volume
2025-01-22,4.26,17.79,3.6,16.89,3147858
2025-01-23,18.17,24.36,10.11,12.08,7436958
2025-01-24,12.39,14.5,6.64,7.9,475705
2025-01-27,7.42,10.285,6.6,8.4,349338
2025-01-28,9.2,17.8,8.0,15.48,1449010
2025-01-29,14.89,53.0,13.7238,46.25,2689170
2025-01-30,50.0,55.94,32.51,34.97,345827
2025-01-31,45.35,53.0,25.0001,31.86,503593
2025-02-03,27.22,34.73,24.0001,32.99,120599
2025-02-04,29.53,40.545,29.53,36.75,224887
2025-02-05,32.97,41.0,32.31,36.55,71150
2025-02-06,36.56,40.8499,34.4201,39.4999,125088
2025-02-07,38.33,53.0,38.32,45.264,287693
2025-02-10,49.68,51.45,43.0,44.48,143701
2025-02-11,40.7,43.99,38.5,43.3,43973
2025-02-12,40.75,49.98,40.75,49.98,39116
2025-02-13,49.99,55.0,43.0,53.8,64551
2025-02-14,55.84,59.9699,44.0,44.75,109317
2025-02-18,43.31,49.4097,40.0001,42.01,45777
2025-02-19,42.32,45.5,40.02,42.0,81320
2025-02-20,43.0,45.25,42.5,45.25,15041
2025-02-21,49.99,62.6175,43.7,50.5,116602
2025-02-24,55.0,73.34,51.5,70.0,125007
2025-02-25,76.89,79.8,35.0,52.45,192409
2025-02-26,51.11,62.975,49.0,62.975,59572
2025-02-27,63.74,69.5,51.0,65.45,59658
2025-02-28,71.0,74.02,61.0,67.0,61212
