Date,Open,High,Low,Close,Volume
2000-06-19,9.0617,9.0617,8.1235,8.4938,246018
2000-06-20,8.4938,8.8272,8.0988,8.6914,517866
2000-06-21,8.642,8.8889,8.3827,8.5679,342718
2000-06-22,8.5926,8.7901,8.4938,8.6914,468766
2000-06-23,8.5926,9.7778,8.5926,9.7654,2147978
2000-06-26,9.8765,10.1605,8.3086,8.8148,1704506
2000-06-27,9.037,9.0864,8.1235,8.7901,388782
2000-06-28,8.7099,8.963,8.0988,8.4938,477370
2000-06-29,8.5926,8.642,8.1481,8.4938,174137
2000-06-30,8.5432,8.642,8.1235,8.4691,189322
2000-07-03,7.1358,8.3951,7.1358,8.0988,602935
2000-07-05,8.0988,8.0988,6.1481,6.5679,1355700
2000-07-06,6.7654,6.7654,5.9012,6.5679,1628573
2000-07-07,6.9012,6.9012,6.1975,6.2716,924392
2000-07-10,6.4691,6.716,6.321,6.679,973492
2000-07-11,6.716,6.716,6.321,6.4938,691004
2000-07-12,6.4198,7.7037,6.3704,7.7037,1181561
2000-07-13,7.7284,8.3951,7.4568,8.3951,895526
2000-07-14,8.3704,8.3704,7.6543,8.0494,441428
2000-07-17,8.5185,8.5556,7.8333,8.1481,510678
2000-07-18,8.2593,8.2963,7.3333,7.5556,353050
2000-07-19,7.4074,7.7037,7.4074,7.6111,219728
2000-07-20,7.6019,8.5926,7.5556,7.8333,472188
2000-07-21,8.1852,8.1852,7.3333,7.4074,304454
2000-07-24,7.5556,7.7037,6.0,6.4815,801267
2000-07-25,6.4444,6.9444,6.4444,6.7778,535983
2000-07-26,6.7593,6.7593,6.1667,6.3519,264288
2000-07-27,6.6667,6.7778,5.4444,6.2222,912980
2000-07-28,6.2222,6.7778,6.2222,6.2778,419201
2000-07-31,6.4815,6.5,5.7593,6.0741,430672
2000-08-01,6.3519,6.5185,6.0,6.037,252803
2000-08-02,6.2222,6.2963,5.7778,5.8519,129275
2000-08-03,5.5185,5.5185,4.8889,5.3333,515050
2000-08-04,5.037,5.8519,4.7593,5.2963,437763
2000-08-07,5.5185,5.7407,5.3333,5.4444,280485
2000-08-08,5.4074,5.4815,5.1481,5.2593,294654
2000-08-09,5.2593,5.4074,5.1481,5.1852,145473
2000-08-10,5.2963,5.3333,4.4444,4.7778,312539
2000-08-11,4.7407,5.4074,4.7407,5.2222,328068
2000-08-14,5.1852,5.6667,5.1481,5.6296,242342
2000-08-15,5.6296,5.6296,5.2593,5.4074,326049
2000-08-16,5.4074,5.537,5.2963,5.4074,217031
2000-08-17,5.4074,5.5185,5.3704,5.4444,369585
2000-08-18,5.5,5.5185,5.3519,5.3704,542045
2000-08-21,5.5185,6.1667,5.4815,5.9815,1476957
2000-08-22,5.9352,6.2778,5.6852,5.9259,829955
2000-08-23,5.9259,5.9259,5.6296,5.7407,323343
2000-08-24,5.7778,5.8148,5.5926,5.6667,337856
2000-08-25,5.6667,6.1852,5.5185,5.7963,393549
2000-08-28,6.3704,6.8333,6.2593,6.6667,991628
2000-08-29,6.8148,7.0185,6.3704,6.4815,901834
2000-08-30,6.2593,6.6667,6.2593,6.3704,453615
2000-08-31,6.4815,6.5185,5.8519,6.3333,629128
2000-09-01,6.2963,6.4815,6.037,6.2222,440460
2000-09-05,5.9259,6.2407,5.8889,5.9815,375327
2000-09-06,6.0,6.0,5.7037,5.7222,196440
2000-09-07,5.7037,6.0185,5.6296,5.9259,271368
2000-09-08,5.7037,5.8148,5.6296,5.6852,147836
2000-09-11,5.6944,5.9259,5.5926,5.6296,200824
2000-09-12,5.6667,5.6667,5.1852,5.2037,735786
2000-09-13,5.2222,5.4444,5.037,5.1481,457329
2000-09-14,5.2963,5.3148,5.1296,5.1852,410079
2000-09-15,5.1111,5.1296,4.8519,4.9259,481978
2000-09-18,4.9259,5.1111,4.7037,4.963,280484
2000-09-19,4.8889,5.4815,4.8519,5.3333,249771
2000-09-20,5.4444,5.5556,5.2222,5.5556,276424
2000-09-21,5.3333,5.4815,5.1296,5.3704,209936
2000-09-22,4.7407,5.2593,4.5926,5.1852,244036
2000-09-25,5.2222,5.2222,4.8889,4.8889,121511
2000-09-26,4.8519,4.8704,4.6667,4.7407,205554
2000-09-27,4.7963,4.963,4.037,4.4444,665579
2000-09-28,4.2963,4.7407,4.1852,4.6481,210952
2000-09-29,4.4444,4.6111,4.2407,4.5185,328406
2000-10-02,4.5556,4.5556,4.1481,4.2407,254829
2000-10-03,4.2222,4.4074,4.0741,4.2222,229183
2000-10-04,4.1481,4.5,3.7407,4.2963,279809
2000-10-05,4.4444,4.4444,4.037,4.1852,113411
2000-10-06,4.0741,4.2593,3.8333,4.0,442817
2000-10-09,3.8889,3.9259,3.5556,3.7407,550821
2000-10-10,3.7037,3.8333,3.5926,3.7593,400978
2000-10-11,3.6111,3.6481,3.3519,3.5556,312547
2000-10-12,3.4907,3.7037,3.1852,3.3333,203867
2000-10-13,3.2593,3.7778,3.2037,3.5556,265966
2000-10-16,3.4444,3.8519,3.4444,3.5741,182606
2000-10-17,3.8148,4.1481,3.4444,3.4444,412447
2000-10-18,3.4074,3.6852,3.2778,3.5185,187327
2000-10-19,3.7407,4.0,3.7037,4.0,370931
2000-10-20,4.0926,4.963,4.0,4.7963,734097
2000-10-23,5.037,5.2963,4.8889,5.1111,780003
2000-10-24,5.1111,5.6111,5.037,5.0556,701695
2000-10-25,4.9352,4.9815,4.5185,4.6667,238970
2000-10-26,4.7963,4.7963,4.2963,4.4815,543736
2000-10-27,4.8333,4.9259,4.2963,4.7407,557238
2000-10-30,4.9074,5.037,4.1481,4.4815,747259
2000-10-31,4.7037,4.7222,4.5185,4.6667,228503
2000-11-01,4.5185,4.6667,4.3889,4.537,97206
2000-11-02,4.6111,4.8889,4.5185,4.8889,278116
2000-11-03,5.0741,5.1111,4.9074,5.037,142433
2000-11-06,5.037,5.1111,4.8148,4.8889,127925
2000-11-07,4.8889,5.0,4.4444,4.7963,201838
2000-11-08,4.8704,4.8704,4.5185,4.5926,146483
2000-11-09,4.4444,4.5926,4.3148,4.3148,180235
2000-11-10,4.2963,4.2963,3.7593,3.9444,293983
2000-11-13,4.0,4.2778,3.5556,4.2407,539686
2000-11-14,4.1481,4.3333,4.1111,4.1481,226138
2000-11-15,4.2222,4.4815,4.0,4.3333,270693
2000-11-16,4.3333,4.4259,4.2778,4.3889,112398
2000-11-17,4.2963,4.3148,4.037,4.037,105983
2000-11-20,4.0,4.1111,3.8889,3.963,151548
2000-11-21,3.9444,4.2963,3.8148,3.963,177874
2000-11-22,3.8148,4.0,3.5556,3.6296,480619
2000-11-24,3.6296,4.1111,3.6296,3.9259,102272
2000-11-27,4.2222,4.2222,3.6667,3.9444,113748
2000-11-28,3.9259,3.9259,3.6296,3.7037,208254
2000-11-29,3.6667,3.7037,3.2593,3.5556,197450
2000-11-30,3.3519,3.4722,2.9074,3.2963,526189
2000-12-01,3.2963,3.537,3.1481,3.2778,273391
2000-12-04,3.8704,4.0185,3.2222,3.4074,623047
2000-12-05,3.4815,3.9259,3.4259,3.8148,517075
2000-12-06,3.8519,4.1296,3.7407,3.8889,368576
2000-12-07,3.6296,4.0741,3.4444,3.7407,305459
2000-12-08,3.8519,3.9074,3.6296,3.7037,147505
2000-12-11,3.7407,3.963,3.7407,3.963,154589
2000-12-12,3.9259,4.0,3.8704,3.963,94170
2000-12-13,4.037,4.1481,3.9444,4.0,118812
2000-12-14,4.1019,4.1481,3.7593,3.7963,148516
2000-12-15,3.7222,3.7222,3.3704,3.5556,238286
2000-12-18,3.5741,3.6481,3.2407,3.4815,184284
2000-12-19,3.3981,3.4444,3.1481,3.3333,186652
2000-12-20,3.1481,3.1481,2.7963,2.8704,286224
2000-12-21,2.8611,2.9259,2.6667,2.7407,385784
2000-12-22,2.8148,2.8148,2.5926,2.7037,257527
2000-12-26,2.6019,2.8148,2.3333,2.537,410080
2000-12-27,2.4444,2.7407,2.3704,2.6481,270023
2000-12-28,2.6296,3.2593,2.6296,3.1296,349675
2000-12-29,3.1574,3.2593,3.0741,3.0741,315586
2001-01-02,3.1111,3.1296,2.8148,2.9815,125902
2001-01-03,2.8333,3.6296,2.8333,3.2407,251122
2001-01-04,3.1481,3.7778,3.1111,3.5556,367896
2001-01-05,3.6296,3.6944,3.4815,3.6944,232559
2001-01-08,3.6481,3.6481,3.5,3.5185,124894
2001-01-09,3.5741,3.5741,3.4444,3.4444,70545
2001-01-10,3.4074,3.6667,3.4074,3.4815,82360
2001-01-11,3.4815,3.8519,3.4815,3.7407,207576
2001-01-12,3.7685,3.7778,3.6944,3.7037,118811
2001-01-16,3.7037,4.3333,3.7037,4.1481,323010
2001-01-17,4.4074,4.7222,4.037,4.1481,386801
2001-01-18,4.1481,4.3704,4.1481,4.2407,214671
2001-01-19,4.4444,4.7407,4.3148,4.5556,420216
2001-01-22,4.6296,4.6667,4.3519,4.4444,75612
2001-01-23,4.4352,4.4815,4.2222,4.4259,392533
2001-01-24,4.4722,4.4815,4.2963,4.2963,89791
2001-01-25,4.2963,4.4444,4.2222,4.4074,97884
2001-01-26,4.3519,4.3519,3.8889,4.2222,120165
2001-01-29,4.0741,4.2407,4.0741,4.2222,216346
2001-01-30,4.2222,4.5,4.2222,4.4444,463740
2001-01-31,4.2222,4.2222,3.5556,3.9815,754019
2001-02-01,3.7778,4.1296,3.6111,3.9815,164718
2001-02-02,3.8796,3.9815,3.8704,3.9259,118814
2001-02-05,3.8889,3.8889,3.7037,3.7778,171803
2001-02-06,3.7593,3.8056,3.6296,3.7037,183275
2001-02-07,3.6574,3.6667,3.5556,3.6296,186658
2001-02-08,3.6296,3.7037,3.5741,3.6852,103958
2001-02-09,3.6204,3.7778,3.5926,3.6296,64138
2001-02-12,3.6481,3.7778,3.5185,3.7037,122526
2001-02-13,3.6944,3.8704,3.6481,3.8333,111721
2001-02-14,3.787,3.8148,3.7037,3.75,55697
2001-02-15,3.8889,4.1296,3.8889,4.037,112400
2001-02-16,4.037,4.1481,3.8148,4.1296,163365
2001-02-20,4.2222,4.2222,3.7037,3.7037,143451
2001-02-21,3.8704,3.8704,3.6667,3.7963,62107
2001-02-22,3.75,3.7593,3.463,3.6296,55021
2001-02-23,3.5556,3.6111,3.4815,3.4815,64136
2001-02-26,3.4815,3.5741,3.4074,3.4074,63119
2001-02-27,3.4074,3.5,3.3148,3.3889,97551
2001-02-28,3.2963,3.2963,2.963,3.037,113413
2001-03-01,2.9444,3.1296,2.7778,3.1296,109025
2001-03-02,3.0556,3.2963,3.037,3.1852,58735
2001-03-05,3.0926,3.2593,3.0,3.2593,44563
2001-03-06,3.3333,3.3889,3.0926,3.2407,317611
2001-03-07,3.287,3.287,3.0185,3.1296,74935
2001-03-08,3.2593,3.2593,3.1481,3.1481,18903
2001-03-09,3.1111,3.1852,2.963,2.9815,37133
2001-03-12,2.6667,2.7037,2.4815,2.5833,349003
2001-03-13,2.5833,2.7037,2.4907,2.6667,235929
2001-03-14,2.4815,2.6667,2.4167,2.4815,227490
2001-03-15,2.5185,2.7222,2.5185,2.6481,330773
2001-03-16,2.713,2.7315,2.4815,2.6667,80682
2001-03-19,2.5556,2.6296,2.5185,2.5463,42535
2001-03-20,2.5926,2.8333,2.5185,2.5926,150207
2001-03-21,2.5926,2.7778,2.4815,2.4815,88775
2001-03-22,2.4444,2.5926,2.3704,2.5926,72578
2001-03-23,2.6389,2.6667,2.5185,2.6481,55025
2001-03-26,2.5926,2.6667,2.5926,2.6019,27684
2001-03-27,2.5926,2.6667,2.5926,2.6111,57724
2001-03-28,2.5926,2.6667,2.5648,2.5926,51986
2001-03-29,2.6019,2.6019,2.4815,2.4907,32744
2001-03-30,2.5463,2.6296,2.4815,2.4907,36459
