Date,Open,High,Low,Close,Volume
2023-03-30,0.13,0.135,0.13,0.135,707887
2023-03-31,0.13,0.13,0.13,0.13,896
2023-04-03,0.15,0.15,0.11,0.11,132600
2023-04-04,0.14,0.14,0.11,0.12,359037
2023-04-05,0.1101,0.1101,0.1,0.11,345000
2023-04-06,0.11,0.11,0.11,0.11,1922
2023-04-10,0.143,0.143,0.143,0.143,137
2023-04-13,0.1,0.125,0.1,0.11,146501
2023-04-14,0.11,0.12,0.11,0.12,80278
2023-04-18,0.13,0.13,0.12,0.13,35550
2023-04-24,0.13,0.13,0.13,0.13,25100
2023-04-25,0.143,0.143,0.143,0.143,139
2023-04-28,0.1201,0.1201,0.1201,0.1201,100
2023-05-02,0.111,0.1301,0.111,0.1301,4000
2023-05-03,0.13,0.13,0.13,0.13,100
2023-05-05,0.1937,0.1937,0.1937,0.1937,100
2023-05-08,0.15,0.24,0.12,0.135,198578
2023-05-09,0.1546,0.24,0.1111,0.2274,36456
2023-05-10,0.3802,0.3802,0.1359,0.2,22249
2023-05-11,0.2388,0.4902,0.14,0.19,54350
2023-05-12,0.19,0.235,0.138,0.138,37754
2023-05-15,0.2399,0.25,0.13,0.1552,92578
2023-05-16,0.2111,0.2211,0.111,0.13,241402
2023-05-17,0.1855,0.23,0.151,0.1666,69550
2023-05-18,0.12,0.1482,0.113,0.1299,57876
2023-05-19,0.1494,0.2,0.1269,0.15,97615
2023-05-22,0.21,0.21,0.136,0.14,23600
2023-05-23,0.1412,0.1515,0.1131,0.12,30666
2023-05-24,0.1408,0.1613,0.1178,0.1331,12395
2023-05-25,0.2171,0.2171,0.115,0.115,6650
2023-05-26,0.12,0.12,0.115,0.115,317
2023-05-30,0.115,0.14,0.113,0.14,1100
2023-05-31,0.1477,0.1477,0.1111,0.1111,2500
2023-06-01,0.1273,0.167,0.111,0.1264,1675
2023-06-02,0.1221,0.1221,0.1221,0.1221,100
2023-06-06,0.1223,0.1223,0.1223,0.1223,200
2023-06-07,0.134,0.4811,0.134,0.16,46448
2023-06-09,0.163,0.163,0.163,0.163,399
2023-06-14,0.1223,0.1224,0.1223,0.1224,5204
2023-06-21,0.15,0.15,0.15,0.15,100
2023-06-22,0.1224,0.1224,0.1223,0.1223,1000
2023-06-23,0.14,0.14,0.14,0.14,144
2023-06-26,0.1587,0.24,0.1228,0.1823,6193
2023-06-27,0.2072,0.4234,0.1257,0.2928,45620
2023-06-28,0.2075,0.2874,0.1649,0.1723,15231
2023-06-29,0.18,0.2206,0.1723,0.1923,916
2023-06-30,0.2832,0.2832,0.1894,0.2065,1500
2023-07-05,0.1823,0.1823,0.1823,0.1823,100
2023-07-07,0.2087,0.3271,0.1726,0.195,25309
2023-07-10,0.225,0.225,0.225,0.225,100
2023-07-11,0.225,0.3348,0.225,0.2395,17667
2023-07-12,0.2423,0.25,0.2423,0.25,340
2023-07-14,0.21,0.21,0.21,0.21,448
2023-07-17,0.1882,0.24,0.1801,0.222,2639
2023-07-20,0.19,0.19,0.19,0.19,108
2023-07-21,0.265,0.265,0.24,0.24,400
2023-07-24,0.2096,0.2348,0.131,0.23,3689
2023-07-27,0.211,0.31,0.2,0.2061,4043
2023-07-28,0.2295,0.3089,0.2,0.2,3308
2023-07-31,0.21,0.229,0.21,0.229,500
2023-08-02,0.2491,0.2491,0.2491,0.2491,277
2023-08-08,0.2386,0.2386,0.2386,0.2386,277
2023-08-11,0.2,0.201,0.1323,0.1712,850
2023-08-15,0.16,0.16,0.16,0.16,124
2023-08-17,0.18,0.18,0.18,0.18,176
2023-08-18,0.1572,0.1572,0.1572,0.1572,100
2023-08-21,0.17,0.17,0.17,0.17,214
2023-08-23,0.1895,0.1906,0.1895,0.1895,400
