Date,Open,High,Low,Close,Volume
2000-01-03,11.8683,11.8955,11.4872,11.6777,1564298.0
2000-01-04,11.4872,11.4872,11.2694,11.46,376790.0
2000-01-05,11.4328,11.5961,11.2694,11.3511,661039.0
2000-01-06,11.2694,11.4328,11.2694,11.3239,1053667.0
2000-01-07,11.3511,11.705,11.3239,11.5961,912687.0
2000-01-10,11.6233,11.6505,11.3375,11.3511,890638.0
2000-01-11,11.4055,11.4872,11.3239,11.46,958369.0
2000-01-12,11.46,11.5689,11.46,11.5144,537968.0
2000-01-13,11.4328,12.1405,11.3511,11.7594,650929.0
2000-01-14,11.7322,11.7322,11.4328,11.6233,621091.0
2000-01-18,11.7322,11.7322,11.3511,11.5416,322607.0
2000-01-19,11.4328,11.7322,11.4055,11.6233,514087.0
2000-01-20,11.5961,11.6505,11.5144,11.6233,602023.0
2000-01-21,11.6233,11.7866,11.5416,11.6777,903494.0
2000-01-24,11.7594,11.8683,11.46,11.5144,675729.0
2000-01-25,11.5144,11.5416,11.3239,11.3783,692729.0
2000-01-26,11.3783,11.4055,11.2966,11.2966,263597.0
2000-01-27,11.3239,11.3511,11.215,11.2966,436489.0
2000-01-28,11.2966,11.5144,11.2966,11.4055,806601.0
2000-01-31,11.6505,12.0316,11.6233,11.6505,1832480.0
2000-02-01,12.0588,12.5216,11.8411,11.9499,1829246.0
2000-02-02,11.9772,12.5216,11.9772,12.4399,831860.0
2000-02-03,12.4944,12.6305,12.331,12.6305,1466255.0
2000-02-04,12.4127,12.4399,12.3038,12.3855,1618940.0
2000-02-07,12.4944,12.4944,11.6233,11.705,913602.0
2000-02-08,11.9772,11.9772,11.705,11.7594,1186827.0
2000-02-09,11.7594,11.7594,11.4328,11.5144,911537.0
2000-02-10,11.46,11.46,10.9156,11.1878,1293817.0
2000-02-11,11.1878,11.215,10.8611,10.9428,568273.0
2000-02-14,10.9972,11.1878,10.3984,10.6161,957215.0
2000-02-15,10.8067,10.8067,10.5345,10.6433,1194861.0
2000-02-16,10.6433,10.6433,10.48,10.5617,639450.0
2000-02-17,10.2895,10.5072,10.2895,10.4528,890407.0
2000-02-18,10.3439,10.3711,9.8539,10.0989,805688.0
2000-02-22,10.235,10.2895,10.0989,10.1534,615115.0
2000-02-23,10.1262,10.5345,10.0989,10.3711,1460048.0
2000-02-24,10.2623,10.2623,9.5817,9.9628,1014175.0
2000-02-25,9.99,10.0173,9.609,9.6634,409852.0
2000-02-28,9.7723,10.1806,9.7723,10.0717,973295.0
2000-02-29,10.0173,10.2623,10.0173,10.2078,1609294.0
2000-03-01,10.3167,10.5072,10.2895,10.4528,1237112.0
2000-03-02,10.3711,10.5889,10.3439,10.4528,1060998.0
2000-03-03,10.48,10.7522,10.3167,10.3984,562310.0
2000-03-06,10.2623,10.3167,9.9628,10.0989,521434.0
2000-03-07,10.0989,10.235,9.8812,9.8812,505132.0
2000-03-08,9.9628,10.1262,9.9084,10.0989,798570.0
2000-03-09,10.0989,10.8339,10.0717,10.6706,1420560.0
2000-03-10,10.6706,10.97,10.6433,10.7795,769865.0
2000-03-13,10.6706,10.97,10.5617,10.6978,613504.0
2000-03-14,10.6978,10.9972,10.6433,10.6978,426838.0
2000-03-15,10.6433,11.2694,10.5889,11.1061,790080.0
2000-03-16,11.1061,12.0316,11.1061,12.0316,1045857.0
2000-03-17,11.7594,11.8138,11.6777,11.705,1072952.0
2000-03-20,11.7594,11.9772,11.6505,11.8411,526947.0
2000-03-21,11.8411,12.0316,11.7594,11.7866,474141.0
2000-03-22,11.8411,11.8411,11.2966,11.46,668384.0
2000-03-23,11.46,11.7594,11.46,11.7322,882826.0
2000-03-24,11.6233,11.6505,11.2966,11.2966,531551.0
2000-03-27,11.2422,11.2694,10.9428,10.9972,944366.0
2000-03-28,10.9972,11.3239,10.9972,11.2966,1060085.0
2000-03-29,11.2966,11.3783,11.1061,11.3239,971011.0
2000-03-30,11.2966,11.8138,11.2966,11.5961,693169.0
2000-03-31,11.5689,11.7322,11.4872,11.5416,496413.0
2000-04-03,11.5416,11.705,11.4328,11.5689,256241.0
2000-04-04,11.46,11.7866,10.8339,11.1878,982254.0
2000-04-05,11.0789,11.6233,11.0244,11.1061,1355813.0
2000-04-06,11.1605,11.3511,11.1605,11.2422,802930.0
2000-04-07,11.1061,11.2694,11.1061,11.1878,661486.0
2000-04-10,11.2694,11.2694,10.9972,11.1061,544851.0
2000-04-11,11.1061,11.1061,10.6433,10.8067,979956.0
2000-04-12,11.0517,11.6777,11.0244,11.5416,778143.0
2000-04-13,11.705,11.9227,11.4872,11.5144,799944.0
2000-04-14,11.4872,11.5144,10.9972,11.0789,690205.0
2000-04-17,11.0517,11.1061,10.8339,11.0244,435340.0
2000-04-18,10.9156,11.1333,10.9156,11.0789,394465.0
2000-04-19,11.1333,11.1605,10.97,11.1061,284254.0
2000-04-20,11.1878,11.2966,10.7795,11.1605,561386.0
2000-04-24,10.9972,11.0789,10.7522,10.8611,575852.0
2000-04-25,10.8883,11.2694,10.8883,11.0244,556336.0
