Date,Open,High,Low,Close,Volume
2011-12-29,3.3907,3.5804,3.3907,3.5362,53818
2011-12-30,3.4855,3.5235,3.4349,3.4349,103426
2012-01-03,3.631,3.7069,3.5741,3.688,144110
2012-01-04,3.7259,3.8208,3.65,3.7955,72481
2012-01-05,3.5615,3.6374,3.4922,3.6247,126315
2012-01-06,3.7196,3.7196,3.4602,3.4792,138530
2012-01-09,3.5488,3.5488,3.34,3.4729,136225
2012-01-10,3.5615,3.7323,3.5172,3.631,169153
2012-01-11,3.6374,3.7892,3.6057,3.7892,117450
2012-01-12,3.7576,3.7576,3.65,3.7069,114457
2012-01-13,3.6943,3.7386,3.6943,3.7323,98550
2012-01-17,3.9537,4.0036,3.8208,3.9094,152226
2012-01-18,3.9853,3.9979,3.7449,3.8777,109116
2012-01-19,3.9853,4.0106,3.8398,3.8904,242116
2012-01-20,3.9347,3.9473,3.8145,3.8271,227908
2012-01-23,3.8967,3.9284,3.8651,3.8904,169855
2012-01-24,3.9094,3.9284,3.8588,3.8651,38305
2012-01-25,3.8398,3.9979,3.7955,3.96,335174
2012-01-26,4.0169,4.0802,3.9474,3.9663,95379
2012-01-27,4.0485,4.2067,4.0296,4.194,86627
2012-01-30,4.1498,4.1498,4.0802,4.0802,93101
2012-01-31,4.1371,4.2067,4.0802,4.1181,70504
2012-02-01,4.1434,4.2699,4.1434,4.2004,91365
2012-02-02,4.2067,4.3838,4.2067,4.3396,146205
2012-02-03,4.3016,4.3459,4.1877,4.1877,116543
2012-02-06,4.194,4.2383,4.0928,4.1055,126241
2012-02-07,4.1434,4.2383,4.1181,4.1814,94005
2012-02-08,4.232,4.3079,4.1118,4.194,134144
2012-02-09,4.2636,4.3206,4.194,4.2446,148229
2012-02-10,4.2699,4.5736,4.2699,4.5736,385576
2012-02-13,4.6368,4.7374,4.5799,4.7254,239826
2012-02-14,4.5609,4.5799,4.3965,4.4724,219522
2012-02-15,4.6115,4.6748,4.5356,4.5483,165596
2012-02-16,4.4787,4.7444,4.4344,4.6875,177885
2012-02-17,4.7191,4.776,4.6685,4.7064,153984
2012-02-21,4.7697,5.0164,4.7697,4.9721,207406
2012-02-22,5.0101,5.0607,4.8772,5.048,231775
2012-02-23,5.0291,5.0538,4.9848,5.0101,137614
2012-02-24,5.0291,5.0797,4.9342,4.9848,115900
2012-02-27,4.9658,4.9658,4.7254,4.8456,242840
2012-02-28,4.9595,4.9595,4.4597,4.4597,163705
2012-02-29,4.9152,5.1619,4.8393,5.105,273882
2012-03-01,5.0607,5.1113,4.9405,5.067,269338
2012-03-02,5.0037,5.0037,4.8519,4.8519,109970
2012-03-05,4.8519,4.8709,4.776,4.795,124080
2012-03-06,4.6305,4.6875,4.5046,4.5736,222565
2012-03-07,4.6875,4.7634,4.5989,4.757,150508
2012-03-08,4.8393,4.9089,4.7634,4.795,211263
2012-03-09,4.776,4.8646,4.7444,4.795,90961
2012-03-12,4.757,4.8772,4.7444,4.7823,126487
2012-03-13,4.757,4.776,4.7064,4.7254,116637
2012-03-14,4.6179,4.6179,4.4661,4.4787,168516
2012-03-15,4.523,4.5609,4.4534,4.5546,79752
2012-03-16,4.523,4.5862,4.485,4.523,145240
2012-03-19,4.523,4.5546,4.5103,4.5293,119488
2012-03-20,4.4344,4.5483,4.3838,4.523,140073
2012-03-21,4.523,4.5483,4.4787,4.4787,42501
2012-03-22,4.3269,4.3395,4.2446,4.3016,85722
2012-03-23,4.2636,4.6242,4.2383,4.5736,242183
2012-03-26,4.6875,4.7001,4.6052,4.6875,119909
2012-03-27,4.6748,4.7381,4.6495,4.6558,73854
2012-03-28,4.5103,4.5483,4.3965,4.4344,72514
2012-03-29,4.4977,4.6305,4.4724,4.6115,56971
2012-03-30,4.6368,4.7254,4.5863,4.7191,46356
2012-04-02,4.6495,4.7001,4.5356,4.6179,52900
2012-04-03,4.5926,4.5926,4.4407,4.4724,46754
2012-04-04,4.3459,4.3522,4.2004,4.2889,50934
2012-04-05,4.2953,4.4471,4.2889,4.3016,60761
2012-04-09,4.3142,4.4154,4.1751,4.2826,40280
2012-04-10,4.2826,4.2953,3.9473,4.1434,139135
2012-04-11,4.2383,4.3016,4.1877,4.232,75764
2012-04-12,4.2446,4.4407,4.2446,4.4407,76131
2012-04-13,4.3901,4.4787,4.3838,4.4028,91705
2012-04-16,4.3775,4.3775,4.2636,4.3016,47828
2012-04-17,4.3395,4.3712,4.2067,4.2067,113808
2012-04-18,4.2067,4.3648,4.2067,4.3459,63420
2012-04-19,4.3395,4.3648,4.1814,4.2193,78828
2012-04-20,4.2067,4.2889,4.194,4.251,39810
2012-04-23,4.0865,4.1814,4.0169,4.1371,53247
2012-04-24,4.0865,4.1405,3.7386,3.7955,99010
2012-04-25,4.0738,4.2383,4.0422,4.1877,92524
2012-04-26,4.213,4.3142,4.213,4.3142,84078
2012-04-27,4.3142,4.4281,4.3142,4.3522,26447
2012-04-30,4.3332,4.3332,4.2446,4.2953,20952
2012-05-01,4.2953,4.4471,4.2953,4.3712,47267
2012-05-02,4.3332,4.3648,4.2699,4.3332,38503
2012-05-03,4.2826,4.3901,4.2699,4.3206,75537
2012-05-04,4.3269,4.4154,4.3269,4.3522,40038
2012-05-07,4.3775,4.4597,4.3459,4.3965,77310
2012-05-08,4.2699,4.2763,4.1181,4.1687,121624
2012-05-09,4.0549,4.2573,4.0169,4.1624,88845
2012-05-10,4.194,4.2636,4.1624,4.1751,120738
2012-05-11,3.7955,4.1434,3.7955,3.9979,59837
2012-05-14,3.96,3.96,3.7765,3.7955,177061
2012-05-15,3.8208,3.8714,3.6563,3.6563,135783
2012-05-16,3.6374,3.688,3.5425,3.6247,111977
2012-05-17,3.669,3.8145,3.669,3.7259,118682
2012-05-18,3.7259,3.979,3.5425,3.5425,89720
2012-05-21,3.8145,3.979,3.8145,3.9411,72124
2012-05-22,3.922,3.979,3.8904,3.9537,60552
2012-05-23,3.8335,4.0612,3.7006,4.0232,77958
2012-05-24,3.9347,3.9537,3.7892,3.9094,84534
2012-05-25,3.9347,3.9853,3.8461,3.9473,91178
2012-05-29,3.96,4.0296,3.8841,3.9031,60373
2012-05-30,3.8461,3.96,3.8082,3.9347,68008
2012-05-31,3.922,4.0043,3.8651,3.9916,51644
2012-06-01,4.0232,4.1751,4.0169,4.1308,195301
2012-06-04,4.1687,4.2636,4.1245,4.2636,58628
2012-06-05,4.2446,4.2953,4.1434,4.2383,63809
2012-06-06,4.2193,4.2826,4.1624,4.2383,97214
2012-06-07,4.232,4.2826,4.0675,4.1118,63759
2012-06-08,4.0549,4.1561,3.9916,4.1561,21660
2012-06-11,4.1245,4.1751,3.9473,4.0106,56171
2012-06-12,4.0359,4.1434,3.9726,4.1118,92866
2012-06-13,4.0738,4.2699,4.0549,4.0738,72894
2012-06-14,4.0928,4.1308,3.9537,3.9726,48168
2012-06-15,4.1181,4.2004,4.0865,4.1877,169896
2012-06-18,4.1751,4.3332,4.1371,4.2699,45932
2012-06-19,4.2826,4.3016,4.232,4.2889,22643
2012-06-20,4.2826,4.4028,4.1181,4.3016,77291
2012-06-21,4.2826,4.3142,4.0612,4.1181,124657
2012-06-22,4.1498,4.1751,4.0549,4.1434,44116
2012-06-25,4.0992,4.2826,4.0992,4.2573,39259
2012-06-26,4.2257,4.3016,4.1751,4.2573,22269
2012-06-27,4.2636,4.2636,4.1434,4.2067,27245
2012-06-28,4.1751,4.1751,3.9031,3.979,61614
2012-06-29,4.1434,4.1498,4.0549,4.1434,50735
2012-07-02,4.1498,4.1498,4.1118,4.1118,2843
2012-07-03,4.1624,4.2446,4.1434,4.2193,40125
2012-07-05,4.1561,4.1751,3.941,4.1055,27128
2012-07-06,4.0169,4.0169,3.922,3.9347,43054
2012-07-09,3.922,3.922,3.8335,3.8588,34770
2012-07-10,3.8714,3.8841,3.7006,3.7006,41808
2012-07-11,3.669,3.669,3.4792,3.6057,105605
2012-07-12,3.416,3.688,3.416,3.6247,83859
2012-07-13,3.669,3.6753,3.5211,3.6184,89693
2012-07-16,3.6057,3.7639,3.5931,3.7512,53794
2012-07-17,3.8018,3.8018,3.6184,3.6563,53028
2012-07-18,3.6121,3.6816,3.5453,3.6753,19547
2012-07-19,3.6563,3.6816,3.5741,3.65,23034
2012-07-20,3.6374,3.6816,3.6277,3.6753,5863
2012-07-23,3.6247,3.7576,3.5741,3.7323,33155
2012-07-24,3.7512,3.7512,3.631,3.7133,61834
2012-07-25,3.7765,3.922,3.7323,3.8524,25931
2012-07-26,3.8524,3.922,3.7892,3.8904,42625
2012-07-27,3.8904,3.8904,3.8082,3.8841,41627
2012-07-30,3.8777,3.8904,3.8461,3.8777,25988
2012-07-31,3.8777,3.8904,3.8018,3.8145,21248
2012-08-01,3.7702,3.8904,3.7323,3.7892,18309
2012-08-02,3.7639,3.8904,3.7323,3.8524,26300
2012-08-03,3.8777,3.8904,3.8208,3.8208,11600
2012-08-06,3.8082,3.8904,3.7069,3.7576,22895
2012-08-07,3.7829,3.8271,3.7386,3.7702,28428
2012-08-08,3.7512,3.8335,3.7512,3.8271,15060
2012-08-09,3.8335,3.8904,3.8335,3.8904,32607
2012-08-10,3.8904,3.9347,3.8461,3.8461,41008
2012-08-13,3.8524,3.9537,3.8524,3.941,18392
2012-08-14,3.922,3.9537,3.8082,3.8588,23687
2012-08-15,3.8588,3.8714,3.8335,3.8694,11566
2012-08-16,3.8651,3.9853,3.8335,3.9347,71169
2012-08-17,3.9031,3.9726,3.8588,3.96,33209
2012-08-20,3.9726,3.9726,3.8588,3.8967,37310
2012-08-21,3.8714,3.941,3.8398,3.9031,113740
2012-08-22,3.8777,4.0738,3.7955,4.0232,46564
2012-08-23,4.0043,4.0865,3.941,4.0485,101473
2012-08-24,3.96,4.1245,3.96,4.0865,84612
2012-08-27,4.0865,4.0865,3.922,3.9663,20783
2012-08-28,3.7955,3.8335,3.6374,3.7133,112796
2012-08-29,3.7259,3.767,3.6184,3.7006,81302
2012-08-30,3.6943,3.7323,3.5804,3.631,69911
2012-08-31,3.5551,3.6627,3.3843,3.5425,167561
2012-09-04,3.5678,3.6627,3.5425,3.6121,80020
2012-09-05,3.631,3.631,3.5425,3.6247,56882
2012-09-06,3.669,3.8208,3.6247,3.8145,69066
2012-09-07,3.8461,3.9726,3.7576,3.8777,117554
2012-09-10,3.8777,3.9717,3.7955,3.8588,81403
2012-09-11,3.9726,3.9726,3.7955,3.8335,60242
2012-09-12,3.8145,3.8714,3.7259,3.8271,104546
2012-09-13,3.7955,4.0359,3.7576,3.9979,146627
2012-09-14,4.0169,4.1618,4.0106,4.0738,68723
2012-09-17,4.0675,4.0865,4.0422,4.0549,31314
2012-09-18,4.0422,4.1371,4.0296,4.1118,51291
2012-09-19,4.0738,4.1118,4.0454,4.0992,42973
2012-09-20,4.0232,4.0992,4.0043,4.0865,23864
2012-09-21,4.1245,4.1371,3.96,3.96,151080
2012-09-24,4.0232,4.0232,3.8398,3.8841,63535
2012-09-25,4.0612,4.1498,3.8588,4.0485,123411
2012-09-26,4.0549,4.2383,4.0296,4.1561,106195
2012-09-27,4.1561,4.1624,4.0169,4.1434,120343
2012-09-28,4.1245,4.1434,4.0169,4.0169,56329
2012-10-01,4.1751,4.2699,4.0992,4.1624,73596
2012-10-02,4.2826,4.2953,4.1909,4.2763,71957
2012-10-03,4.3016,4.3459,4.2383,4.3016,160272
2012-10-04,4.3965,4.3965,4.3206,4.3712,82472
2012-10-05,4.3206,4.3585,4.1498,4.1751,48500
2012-10-08,4.1118,4.1624,4.0802,4.1181,18294
2012-10-09,4.0992,4.2193,4.0992,4.1371,48739
2012-10-10,4.3322,4.4027,4.063,4.2104,65559
2012-10-11,4.2425,4.3194,4.2425,4.2745,25706
2012-10-12,4.3194,4.345,4.1912,4.2104,24136
2012-10-15,4.1527,4.2296,4.053,4.1399,35649
2012-10-16,4.236,4.3322,4.2232,4.3322,68496
2012-10-17,4.4347,4.5116,4.345,4.5052,155792
2012-10-18,4.4924,4.6334,4.4411,4.486,156642
2012-10-19,4.4091,4.4796,4.2104,4.3963,90144
2012-10-22,4.4091,4.4475,4.3706,4.4347,124169
2012-10-23,4.2937,4.2937,4.1335,4.1463,69775
2012-10-24,4.172,4.2809,4.1655,4.1784,37564
2012-10-25,4.236,4.3001,4.2104,4.2681,25464
2012-10-26,4.2296,4.3514,4.2168,4.2168,40155
2012-10-31,4.4283,4.486,4.1784,4.2937,102720
2012-11-01,4.486,4.5437,4.4219,4.4988,107489
2012-11-02,4.4796,4.4796,4.3194,4.3642,47532
2012-11-05,4.3258,4.4155,4.3065,4.4155,81661
2012-11-06,4.486,4.659,4.377,4.5565,132434
2012-11-07,4.5757,4.6782,4.4924,4.6782,69213
2012-11-08,4.6782,4.7423,4.5821,4.6975,62467
2012-11-09,4.7551,4.7808,4.7023,4.7615,94115
2012-11-12,4.9089,4.9153,4.7744,4.7808,99977
2012-11-13,4.7744,4.8128,4.7423,4.768,60585
2012-11-14,4.8256,4.9153,4.7231,4.7423,224823
2012-11-15,4.8449,4.9282,4.7103,4.9025,186744
2012-11-16,4.9153,4.9474,4.7039,4.9218,107091
2012-11-19,4.9346,4.9987,4.8897,4.9602,109122
2012-11-20,4.9602,5.0019,4.9346,4.9987,60730
2012-11-21,4.973,5.0563,4.9153,4.9987,123145
2012-11-23,4.9474,4.9602,4.9025,4.9282,28604
2012-11-26,4.9538,5.0563,4.9346,4.9987,105736
2012-11-27,5.0307,5.0371,4.9153,4.9218,88783
2012-11-28,4.8128,4.941,4.7551,4.941,78434
2012-11-29,4.9218,4.9538,4.8577,4.9153,34961
2012-11-30,4.8769,4.8833,4.7551,4.8064,89883
2012-12-03,4.8705,4.8897,4.8128,4.8256,102853
2012-12-04,4.9153,4.9153,4.7936,4.8833,170700
2012-12-05,4.9153,4.941,4.627,4.627,164807
2012-12-06,4.7039,4.7808,4.5629,4.7551,91130
2012-12-07,4.7615,4.7615,4.659,4.7103,70227
2012-12-10,4.7487,4.7872,4.7423,4.7551,61894
2012-12-11,4.8,4.8513,4.7712,4.7936,63625
2012-12-12,4.8256,4.8705,4.7615,4.8449,50955
2012-12-13,4.8192,4.8741,4.7103,4.832,110014
2012-12-14,4.832,4.8513,4.7423,4.7808,40637
2012-12-17,4.7744,4.8641,4.7744,4.8641,121755
2012-12-18,4.8705,4.8769,4.8,4.8705,126591
2012-12-19,4.7744,4.8833,4.7359,4.8064,41268
2012-12-20,4.7487,4.7808,4.5501,4.7231,59780
2012-12-21,4.691,4.7231,4.6398,4.6462,189549
2012-12-24,4.6782,4.7295,4.6206,4.6846,37548
2012-12-26,4.691,4.7423,4.691,4.7359,32181
2012-12-27,4.8769,4.9218,4.7359,4.9218,144082
2012-12-28,4.9218,4.9282,4.8622,4.8961,41208
2012-12-31,4.8064,5.1845,4.8064,5.1653,210812
2013-01-02,5.1204,5.3704,5.1204,5.3191,138395
2013-01-03,5.1396,5.287,5.0948,5.0948,126142
2013-01-04,5.0115,5.0627,4.9346,5.0179,66240
2013-01-07,5.0756,5.1645,5.0307,5.1204,94390
2013-01-08,5.1525,5.1653,5.1012,5.1332,78769
2013-01-09,5.1461,5.1461,5.0115,5.1076,50861
2013-01-10,5.1396,5.1845,5.1012,5.1076,100222
2013-01-11,5.1461,5.1461,4.9987,5.1332,38487
2013-01-14,5.1268,5.1461,5.1012,5.114,90085
2013-01-15,5.1268,5.1781,5.1076,5.1717,47958
2013-01-16,5.1204,5.1676,5.0307,5.1461,32361
2013-01-17,5.0884,5.1396,4.9666,5.1332,56766
2013-01-18,5.1012,5.1204,4.9987,5.0884,43798
2013-01-22,5.0627,5.1909,5.0627,5.1845,41003
2013-01-23,5.1653,5.1781,5.0499,5.1268,64712
2013-01-24,5.1653,5.1653,4.9987,5.1268,77794
2013-01-25,5.0948,5.2614,5.0948,5.1909,79361
2013-01-28,5.223,5.255,4.9538,5.1525,103997
2013-01-29,5.1589,5.1973,5.082,5.1845,36347
2013-01-30,5.2101,5.287,5.1077,5.1268,73815
2013-01-31,5.1461,5.1781,5.1268,5.1717,51381
2013-02-01,5.1973,5.3191,5.1653,5.2806,58884
2013-02-04,5.2101,5.287,5.2101,5.255,60391
2013-02-05,5.2678,5.3063,5.1396,5.2806,84049
2013-02-06,5.2806,5.2806,5.2037,5.2486,104043
2013-02-07,5.287,5.3575,5.2486,5.3127,134001
2013-02-08,5.2486,5.3768,5.2486,5.3704,49425
2013-02-11,5.3319,5.3415,5.1653,5.2165,95186
2013-02-12,5.2806,5.2999,5.1845,5.2486,43328
2013-02-13,5.2486,5.287,5.1653,5.2165,38727
2013-02-14,5.1909,5.2678,5.1909,5.2358,31885
2013-02-15,5.2294,5.2422,4.9346,5.0884,149097
2013-02-19,5.1076,5.5178,5.1012,5.5178,1128587
2013-02-20,5.2165,5.287,5.0051,5.0115,572749
2013-02-21,4.9666,4.9923,4.4988,4.5949,656360
2013-02-22,4.659,4.7359,4.6141,4.6975,156821
2013-02-25,4.7423,4.9153,4.7295,4.8128,289412
2013-02-26,4.8064,4.8769,4.7615,4.832,237479
2013-02-27,4.8,4.8384,4.7103,4.7423,143199
2013-02-28,4.7039,4.7423,4.5821,4.6462,176663
2013-03-01,4.6206,4.6526,4.5821,4.6462,66530
2013-03-04,4.4924,4.6077,4.486,4.5116,482066
2013-03-05,4.4924,4.518,4.4219,4.4988,273625
2013-03-06,4.4347,4.5821,4.3322,4.5629,532490
2013-03-07,4.486,4.5757,4.4668,4.4988,306343
2013-03-08,4.4796,4.5821,4.4796,4.5629,203848
2013-03-11,4.5629,4.6462,4.5629,4.5821,234514
2013-03-12,4.6398,4.7807,4.6206,4.6654,191917
2013-03-13,4.7135,4.7461,4.6484,4.6484,125730
2013-03-14,4.6484,4.7526,4.6289,4.7331,88802
2013-03-15,4.8633,4.8724,4.7852,4.8503,299150
2013-03-18,4.8828,4.9322,4.8568,4.8633,121480
2013-03-19,4.8828,4.9479,4.8177,4.9089,123363
2013-03-20,4.9479,4.9479,4.7786,4.8242,89042
2013-03-21,4.8633,4.987,4.8633,4.987,171299
2013-03-22,4.9805,5.026,4.9479,5.0,139232
2013-03-25,5.013,5.013,4.8698,4.8763,136144
2013-03-26,4.8763,4.9414,4.7917,4.8438,98243
2013-03-27,4.9154,5.1758,4.9154,5.013,203722
2013-03-28,5.0651,5.1172,5.026,5.0911,65165
2013-04-01,5.1107,5.1107,5.0065,5.0456,88063
2013-04-02,5.013,5.0391,4.7526,4.8307,204746
2013-04-03,4.7331,4.7396,4.4206,4.4792,365651
2013-04-04,4.707,4.707,4.4596,4.6224,183274
2013-04-05,4.7786,4.9934,4.7786,4.8503,148968
2013-04-08,4.974,4.987,4.681,4.7526,207679
2013-04-09,4.9089,4.9675,4.7396,4.9023,178928
2013-04-10,4.9089,4.974,4.8047,4.8893,205727
2013-04-11,4.9023,4.9348,4.8242,4.8307,71341
2013-04-12,4.7656,4.8242,4.5313,4.5833,138747
2013-04-15,4.2513,4.3099,4.1016,4.1211,319562
2013-04-16,4.3359,4.3945,4.2643,4.3034,292618
2013-04-17,4.2839,4.3555,4.1016,4.1471,230382
2013-04-18,4.1536,4.1732,4.0104,4.0885,154408
2013-04-19,4.1406,4.1992,4.069,4.1406,87645
2013-04-22,4.3229,4.388,4.2643,4.3164,175121
2013-04-23,4.3164,4.3393,4.2318,4.2773,77847
2013-04-24,4.3294,4.4531,4.2708,4.4466,140513
2013-04-25,4.4987,4.5833,4.4336,4.4922,178482
2013-04-26,4.5052,4.5247,4.2708,4.3294,117493
2013-04-29,4.3555,4.4336,4.2969,4.3229,90741
2013-04-30,4.2969,4.4336,4.1602,4.4336,150187
2013-05-01,4.3294,4.401,4.2643,4.3685,94768
2013-05-02,4.3555,4.3945,4.3034,4.3294,82917
2013-05-03,4.2513,4.2708,4.1211,4.1667,103503
2013-05-06,4.069,4.1732,4.043,4.1016,84394
2013-05-07,4.0495,4.0553,3.9844,4.0169,75178
2013-05-08,4.1406,4.3294,4.1341,4.3034,97863
2013-05-09,4.2839,4.3425,4.1602,4.1992,55350
2013-05-10,4.056,4.1211,4.0039,4.1211,83438
2013-05-13,4.0755,4.0755,3.9453,3.9648,320128
2013-05-14,3.9714,4.0169,3.9063,3.9518,143810
2013-05-15,4.0234,4.0495,3.9518,3.9648,108804
2013-05-16,3.9063,3.9844,3.8802,3.9063,82117
2013-05-17,3.8607,3.8867,3.763,3.7891,152526
2013-05-20,3.7175,3.8411,3.6523,3.8411,377339
2013-05-21,3.75,3.776,3.6914,3.7175,124066
2013-05-22,3.7109,3.75,3.2878,3.5677,608060
2013-05-23,3.6133,3.6705,3.5938,3.6328,82655
2013-05-24,3.6589,3.6914,3.5677,3.5938,90576
2013-05-28,3.5482,3.5742,3.3333,3.3333,231667
2013-05-29,3.3008,3.4375,3.2878,3.431,142269
2013-05-30,3.5026,3.6784,3.5026,3.6393,190333
2013-05-31,3.763,3.8867,3.7305,3.8216,258401
2013-06-03,3.8997,4.0365,3.8737,4.0104,105447
2013-06-04,4.0495,4.1016,3.9909,4.0365,124583
2013-06-05,4.043,4.043,3.8314,3.9128,221151
2013-06-06,3.9128,4.082,3.8932,4.056,103718
2013-06-07,3.9974,4.0365,3.9063,3.9193,66805
2013-06-10,3.9648,3.9779,3.8997,3.9583,39983
2013-06-11,3.8932,3.9063,3.763,3.8346,69599
2013-06-12,3.9583,4.0104,3.8411,3.9063,123186
2013-06-13,4.1081,4.2122,4.03,4.1992,285825
2013-06-14,4.2318,4.2318,4.043,4.069,156802
2013-06-17,4.0625,4.1406,3.9714,3.9909,155325
2013-06-18,3.9388,4.0039,3.8802,3.8802,110874
2013-06-19,3.8932,3.9128,3.6914,3.724,236802
2013-06-20,3.5742,3.7109,3.5482,3.6198,177819
2013-06-21,3.6458,3.8086,3.6003,3.7565,364276
2013-06-24,3.6458,3.6914,3.5286,3.5872,156763
2013-06-25,3.5938,3.5938,3.431,3.444,96925
2013-06-26,3.125,3.3138,3.125,3.2031,192772
2013-06-27,3.3203,3.3919,3.2747,3.3268,120216
2013-06-28,3.3529,3.5352,3.3398,3.5352,131219
2013-07-01,3.763,3.776,3.5938,3.6393,150818
2013-07-02,3.7695,3.8151,3.5221,3.5547,124373
2013-07-03,3.5612,3.566,3.3789,3.418,158845
2013-07-05,3.3919,3.4375,3.3724,3.431,41873
2013-07-08,3.4505,3.4505,3.2292,3.2292,123811
2013-07-09,3.2878,3.3789,3.2878,3.3203,35450
2013-07-10,3.3203,3.3659,3.2943,3.3203,33626
2013-07-11,3.4701,3.5286,3.4245,3.5221,174852
2013-07-12,3.4896,3.5026,3.4115,3.418,31845
2013-07-15,3.4505,3.4831,3.4505,3.4635,37349
2013-07-16,3.5221,3.5938,3.5026,3.5742,146178
2013-07-17,3.6003,3.6578,3.5547,3.5742,79903
2013-07-18,3.6198,3.6458,3.5612,3.6003,34239
2013-07-19,3.6979,3.7435,3.6349,3.737,46630
2013-07-22,3.7891,3.9583,3.7044,3.8802,84902
2013-07-23,3.8802,3.9453,3.7695,3.9388,289623
2013-07-24,3.9323,3.9388,3.7044,3.7565,78378
2013-07-25,3.763,3.8802,3.763,3.8216,81912
2013-07-26,3.7565,3.7956,3.6068,3.776,76805
2013-07-29,3.6719,3.8151,3.6719,3.7695,67089
2013-07-30,3.6914,3.7435,3.5481,3.5742,90816
2013-07-31,3.5742,3.5807,3.444,3.5286,68558
2013-08-01,3.5352,3.5352,3.3724,3.3984,78071
2013-08-02,3.3919,3.4286,3.3529,3.3594,66162
2013-08-05,3.3594,3.3919,3.2878,3.3073,106826
2013-08-06,3.1771,3.3333,3.1771,3.2161,155435
2013-08-07,3.2422,3.3724,3.2096,3.2617,98935
2013-08-08,3.2878,3.4374,3.1771,3.3919,143860
2013-08-09,3.3854,3.5221,3.3333,3.4701,82038
2013-08-12,3.4505,3.6133,3.4505,3.5482,113303
2013-08-13,3.5417,3.5807,3.4831,3.5482,80036
2013-08-14,3.5156,3.6458,3.5156,3.6068,131654
2013-08-15,3.5352,3.9453,3.5156,3.9128,189025
2013-08-16,3.7826,3.9063,3.7661,3.8542,140388
2013-08-19,3.8281,3.8542,3.7109,3.7175,83069
2013-08-20,3.7956,3.8867,3.763,3.8411,90308
2013-08-21,3.724,3.724,3.5547,3.5612,97857
2013-08-22,3.6133,3.7044,3.5352,3.6914,45715
2013-08-23,3.6068,3.776,3.5352,3.7695,130772
