Date,Open,High,Low,Close,Volume
2000-01-03,6.0293,6.0503,5.7781,5.7991,803691.0
2000-01-04,5.7991,5.8828,5.6944,5.7572,554407.0
2000-01-05,5.7153,6.0503,5.7153,5.9665,795033.0
2000-01-06,5.9247,6.0921,5.9037,5.9037,397079.0
2000-01-07,5.9456,6.1131,5.82,5.82,1333302.0
2000-01-10,5.7991,5.9247,5.7991,5.8619,568732.0
2000-01-11,5.8619,6.134,5.8619,6.0921,830853.0
2000-01-12,6.0712,6.0921,5.82,5.8828,2282054.0
2000-01-13,5.9456,6.2806,5.9037,6.2387,1932755.0
2000-01-14,6.2387,6.3643,6.2387,6.3224,665769.0
2000-01-18,6.2806,6.3643,6.155,6.2387,820106.0
2000-01-19,6.2387,6.2596,6.0712,6.134,1654827.0
2000-01-20,6.0921,6.1131,5.8619,5.9037,1382859.0
2000-01-21,5.9875,5.9875,5.8828,5.8828,1402857.0
2000-01-24,5.9665,5.9665,5.6944,5.7362,1406735.0
2000-01-25,5.6734,5.6944,5.5478,5.5688,1402257.0
2000-01-26,5.6316,5.6316,5.485,5.5478,1799913.0
2000-01-27,5.5478,5.5897,5.4432,5.5269,1123120.0
2000-01-28,5.485,5.485,5.2547,5.2757,2280568.0
2000-01-31,5.2757,5.3803,5.2129,5.3175,1124923.0
2000-02-01,5.3175,5.3594,5.1082,5.1501,1270898.0
2000-02-02,5.1501,5.2966,4.7732,5.2966,7419038.0
2000-02-03,5.3175,5.4222,5.2338,5.4222,1123426.0
2000-02-04,5.4013,5.6106,5.4013,5.6106,3484876.0
2000-02-07,5.5897,5.6106,5.3385,5.3803,1227620.0
2000-02-08,5.4432,5.5269,5.4013,5.485,1689757.0
2000-02-09,5.4432,5.4641,5.2757,5.2966,1172381.0
2000-02-10,5.2547,5.3803,5.1919,5.3175,1342545.0
2000-02-11,5.3594,5.3803,5.171,5.2129,1093872.0
2000-02-14,5.1919,5.2129,5.0454,5.0663,855639.0
2000-02-15,5.0454,5.171,5.0035,5.1501,1923214.0
2000-02-16,5.1501,5.171,4.8988,4.9616,1360457.0
2000-02-17,4.9826,5.0035,4.8779,4.9407,1049091.0
2000-02-18,4.857,4.8988,4.7732,4.836,1951880.0
2000-02-22,4.8779,4.9407,4.7732,4.8151,1034756.0
2000-02-23,4.7942,4.9302,4.7314,4.7314,2254889.0
2000-02-24,4.6895,4.7314,4.4592,4.5848,1744978.0
2000-02-25,4.5848,4.6476,4.522,4.5429,746668.0
2000-02-28,4.6267,4.6895,4.5011,4.522,981926.0
2000-02-29,4.522,4.5848,4.3964,4.4173,1545562.0
2000-03-01,4.4592,4.6057,4.4383,4.5639,1539584.0
2000-03-02,4.5639,4.6476,4.4801,4.5011,941016.0
2000-03-03,4.5011,4.6057,4.4801,4.5429,1233591.0
2000-03-06,4.522,4.6057,4.4801,4.5429,1122227.0
2000-03-07,4.522,4.5848,4.1661,4.2289,1547943.0
2000-03-08,4.1661,4.3545,4.1661,4.208,1142834.0
2000-03-09,4.2289,4.3127,4.1661,4.2917,1488237.0
2000-03-10,4.2708,4.4383,4.2289,4.3336,789364.0
2000-03-13,4.2917,4.4383,4.2708,4.2917,1377780.0
2000-03-14,4.2708,4.3545,4.2498,4.2917,748157.0
2000-03-15,4.2917,4.6057,4.2917,4.5429,1048493.0
2000-03-16,4.5639,4.8779,4.5639,4.7732,1167903.0
2000-03-17,4.7523,4.7942,4.6267,4.6686,1402871.0
2000-03-20,4.6267,4.8151,4.6267,4.7732,836536.0
2000-03-21,4.7732,4.9407,4.7314,4.8779,960726.0
2000-03-22,4.9616,5.1501,4.8151,4.8151,1024606.0
2000-03-23,4.836,4.9407,4.5848,4.9198,1597497.0
2000-03-24,5.2757,5.4222,5.0454,5.0663,3306940.0
2000-03-27,5.0244,5.2129,5.0244,5.1082,2368335.0
2000-03-28,5.1501,5.6944,5.1501,5.5269,2944511.0
2000-03-29,5.8619,5.8619,5.6944,5.7572,2636722.0
2000-03-30,5.8409,5.9037,5.7362,5.9037,969679.0
2000-03-31,5.82,5.9875,5.7362,5.9665,1708565.0
2000-04-03,6.0084,6.1131,5.9456,5.9456,1131782.0
2000-04-04,6.0084,6.2806,5.8619,6.1131,1683488.0
2000-04-05,6.0712,6.2806,6.0503,6.2596,1297482.0
2000-04-06,6.3015,6.3015,6.0712,6.0712,1225531.0
2000-04-07,6.0293,6.1131,6.0084,6.0293,1152975.0
2000-04-10,6.1131,6.1968,5.9665,6.1968,1333291.0
2000-04-11,6.1968,6.2178,6.0921,6.2178,901911.0
2000-04-12,6.134,6.5108,6.134,6.3015,788464.0
2000-04-13,6.2387,6.2387,6.0503,6.0503,1184027.0
2000-04-14,6.0712,6.0712,5.6944,5.7991,1827081.0
2000-04-17,5.7991,5.9456,5.7991,5.8828,1050891.0
2000-04-18,5.8409,5.9247,5.7362,5.8409,849371.0
2000-04-19,5.7781,6.155,5.7781,5.9875,1457784.0
2000-04-20,5.9875,6.4271,5.9875,6.3643,879806.0
2000-04-24,6.3224,6.3643,6.2178,6.3224,1334190.0
2000-04-25,6.3015,6.448,6.2387,6.448,754733.0
2000-04-26,6.4062,6.448,6.3434,6.448,1237170.0
