Date,Open,High,Low,Close,Volume
2021-03-26,28.0,50.5,25.27,39.65,2276875
2021-03-29,40.0,43.0,32.91,33.04,404095
2021-03-30,32.01,32.5,27.9501,29.52,462771
2021-03-31,30.0,31.67,29.02,29.9,308826
2021-04-01,30.25,32.96,28.51,29.75,861260
2021-04-05,29.99,30.0,29.42,29.42,140640
2021-04-06,29.9,30.3156,29.04,29.78,47840
2021-04-07,30.46,30.8,28.69,29.55,223443
2021-04-08,29.55,29.98,28.94,29.36,65587
2021-04-09,29.35,29.93,26.4,26.6,75928
2021-04-12,26.92,27.9999,25.2,25.27,68774
2021-04-13,25.05,25.62,23.03,23.1,223312
2021-04-14,23.32,23.9599,21.51,23.18,69850
2021-04-15,23.05,24.545,23.05,23.7,81545
2021-04-16,23.54,25.31,22.76,23.5,38401
2021-04-19,23.25,23.63,22.535,23.0,89697
2021-04-20,22.17,23.93,21.0,21.35,78388
2021-04-21,21.01,22.9,19.5,19.55,142180
2021-04-22,19.6,20.6997,19.02,19.02,308747
2021-04-23,19.01,20.0115,18.81,19.27,67244
2021-04-26,19.23,21.0,19.14,20.38,104663
2021-04-27,20.3,21.8,20.19,21.37,36130
2021-04-28,20.96,23.155,20.96,22.69,59757
2021-04-29,23.2,25.17,22.78,24.8,81641
2021-04-30,25.26,26.285,25.035,26.23,64817
2021-05-03,26.15,27.8,25.41,27.8,117317
2021-05-04,27.15,27.71,26.3398,27.04,104273
2021-05-05,26.81,28.35,26.81,27.69,60813
2021-05-06,27.83,28.57,25.62,26.58,114056
2021-05-07,26.62,28.11,26.58,28.05,24824
2021-05-10,28.1,29.16,27.21,28.31,94799
2021-05-11,26.69,28.06,26.04,26.38,21184
2021-05-12,26.675,26.675,23.65,24.23,14990
2021-05-13,23.52,24.15,18.55,22.35,234434
2021-05-14,22.86,23.95,20.7601,22.99,175777
2021-05-17,22.71,23.815,21.0368,23.36,36752
2021-05-18,23.35,25.4,23.35,25.05,63692
2021-05-19,24.0,25.91,23.19,25.3,67171
2021-05-20,25.43,27.34,25.43,26.78,76392
2021-05-21,26.87,27.62,25.0,27.22,50056
2021-05-24,27.44,27.97,26.37,26.78,44695
2021-05-25,27.01,27.495,25.595,26.04,50055
