Date,Open,High,Low,Close,Volume
2000-01-03,5.2311,5.2311,5.1432,5.2311,95970
2000-01-04,5.2311,5.319,5.2311,5.275,140902
2000-01-05,5.275,5.319,5.2311,5.319,157823
2000-01-06,5.319,5.363,5.275,5.319,123699
2000-01-07,5.363,5.363,5.275,5.363,81186
2000-01-10,5.363,5.363,5.319,5.363,223080
2000-01-11,5.275,5.319,5.2311,5.275,178862
2000-01-12,5.275,5.275,5.1871,5.2311,120853
2000-01-13,5.2311,5.275,5.1871,5.2311,198765
2000-01-14,5.2311,5.2311,5.1432,5.1871,132655
2000-01-18,5.2311,5.2311,5.1871,5.2311,193795
2000-01-19,5.2311,5.275,5.1871,5.2311,165355
2000-01-20,5.1871,5.275,5.1871,5.2311,133509
2000-01-21,5.275,5.319,5.2311,5.319,75357
2000-01-24,5.319,5.363,5.275,5.363,116161
2000-01-25,5.363,5.4069,5.319,5.363,161801
2000-01-26,5.4509,5.5388,5.4509,5.5388,129667
2000-01-27,5.4948,5.5828,5.4948,5.5828,115307
2000-01-28,5.5828,5.6707,5.4948,5.6707,258340
2000-01-31,5.6267,5.6267,5.5388,5.5388,105216
2000-02-01,5.5388,5.5828,5.4948,5.5388,111613
2000-02-02,5.5388,5.5388,5.4509,5.4948,157963
2000-02-03,5.4948,5.5388,5.4948,5.5388,63415
2000-02-04,5.5828,5.5828,5.4948,5.5828,80049
2000-02-07,5.5828,5.6267,5.5388,5.5388,167488
2000-02-08,5.5388,5.5828,5.5388,5.5828,113602
2000-02-09,5.5828,5.6267,5.4948,5.4948,130666
2000-02-10,5.5828,5.5828,5.4509,5.4948,104787
2000-02-11,5.4509,5.5388,5.4509,5.4948,70949
2000-02-14,5.4948,5.5388,5.4509,5.4509,193933
2000-02-15,5.4509,5.4509,5.4069,5.4509,106920
2000-02-16,5.4069,5.4509,5.363,5.363,61709
2000-02-17,5.363,5.4509,5.363,5.4069,62275
2000-02-18,5.4069,5.4069,5.319,5.363,145876
2000-02-22,5.4069,5.4069,5.319,5.4069,91281
2000-02-23,5.363,5.4069,5.319,5.4069,114597
2000-02-24,5.4069,5.4069,5.319,5.319,52179
2000-02-25,5.319,5.4509,5.319,5.4509,245117
2000-02-28,5.4509,5.4948,5.4069,5.4509,155119
2000-02-29,5.4069,5.4509,5.319,5.319,183838
2000-03-01,5.363,5.4069,5.319,5.319,61422
2000-03-02,5.319,5.319,5.275,5.275,130378
2000-03-03,5.319,5.363,5.275,5.319,114880
2000-03-06,5.319,5.363,5.275,5.319,84029
2000-03-07,5.363,5.363,5.319,5.363,51468
2000-03-08,5.319,5.363,5.275,5.319,42937
2000-03-09,5.319,5.363,5.275,5.275,123985
2000-03-10,5.2311,5.275,5.1871,5.2311,112181
2000-03-13,5.275,5.275,5.1432,5.1432,132371
2000-03-14,5.1432,5.2311,5.1432,5.1432,68388
2000-03-15,5.1871,5.1871,5.0992,5.1432,118578
2000-03-16,5.1432,5.1871,5.0992,5.0992,91280
2000-03-17,5.1432,5.2311,5.0992,5.1871,128530
2000-03-20,5.2311,5.275,5.1871,5.1871,73792
2000-03-21,5.1871,5.275,5.1432,5.2311,95828
2000-03-22,5.275,5.319,5.2311,5.319,233319
2000-03-23,5.275,5.319,5.2311,5.319,37111
2000-03-24,5.319,5.4069,5.275,5.319,412748
2000-03-27,5.319,5.4069,5.319,5.363,91137
2000-03-28,5.4069,5.5388,5.4069,5.4948,194645
2000-03-29,5.4948,5.5828,5.4509,5.4509,103222
2000-03-30,5.4948,5.5388,5.4509,5.5388,94406
2000-03-31,5.4948,5.5388,5.4509,5.4948,52465
2000-04-03,5.4948,5.5388,5.4509,5.4948,91846
2000-04-04,5.5388,5.7146,5.5388,5.6707,288622
2000-04-05,5.7146,5.7586,5.6707,5.7586,75781
2000-04-06,5.6707,5.7586,5.6707,5.7146,65545
2000-04-07,5.6707,5.7146,5.6707,5.7146,33838
2000-04-10,5.7146,5.8025,5.6707,5.7146,179146
2000-04-11,5.7146,5.7146,5.6267,5.6267,142038
2000-04-12,5.6267,5.6707,5.5828,5.6267,93841
2000-04-13,5.6267,5.6267,5.5388,5.5388,52322
2000-04-14,5.5388,5.5828,5.4069,5.4069,150428
2000-04-17,5.4069,5.4509,5.363,5.363,106491
2000-04-18,5.363,5.4069,5.275,5.275,143884
2000-04-19,5.363,5.363,5.275,5.275,136494
2000-04-20,5.275,5.363,5.275,5.363,32560
2000-04-24,5.363,5.4069,5.319,5.363,96969
2000-04-25,5.4069,5.4509,5.363,5.4069,131230
2000-04-26,5.4069,5.4509,5.363,5.363,112463
2000-04-27,5.363,5.4509,5.363,5.4069,81610
2000-04-28,5.4069,5.4948,5.363,5.4509,146728
2000-05-01,5.4509,5.5388,5.4069,5.4509,109905
2000-05-02,5.5388,5.5388,5.4509,5.5388,66824
2000-05-03,5.5388,5.5388,5.4509,5.4509,75926
2000-05-04,5.4948,5.4948,5.4069,5.4069,41945
2000-05-05,5.4509,5.4509,5.363,5.4069,107061
2000-05-08,5.4509,5.4509,5.4069,5.4069,66116
2000-05-09,5.4509,5.4948,5.4069,5.4948,58579
2000-05-10,5.4069,5.4069,5.319,5.319,97111
2000-05-11,5.363,5.4069,5.319,5.363,94695
2000-05-12,5.4069,5.4069,5.363,5.363,118152
2000-05-15,5.319,5.363,5.275,5.275,210854
2000-05-16,5.363,5.363,5.275,5.363,99101
2000-05-17,5.319,5.4069,5.275,5.4069,221092
2000-05-18,5.4069,5.4069,5.319,5.4069,117865
2000-05-19,5.4069,5.4509,5.319,5.4509,207017
2000-05-22,5.4509,5.4509,5.363,5.4069,65120
2000-05-23,5.4509,5.4509,5.363,5.4509,72656
2000-05-24,5.4509,5.4948,5.4509,5.4509,117866
2000-05-25,5.4948,5.5388,5.4509,5.4948,111468
2000-05-26,5.5388,5.5828,5.4948,5.5828,189239
2000-05-30,5.5388,5.5828,5.4948,5.5388,105781
2000-05-31,5.5388,5.5828,5.4948,5.5388,75641
2000-06-01,5.5388,5.5828,5.4948,5.5828,111185
2000-06-02,5.5828,5.6707,5.5828,5.6267,144455
2000-06-05,5.6267,5.6707,5.6267,5.6707,141614
2000-06-06,5.6707,5.7146,5.6267,5.7146,93127
2000-06-07,5.7146,5.7586,5.6707,5.7146,120287
2000-06-08,5.7146,5.8025,5.7146,5.7146,248390
2000-06-09,5.7586,5.8025,5.7146,5.7146,138908
2000-06-12,5.7146,5.7586,5.6267,5.7146,74929
2000-06-13,5.6267,5.6707,5.5828,5.5828,148434
2000-06-14,5.6267,5.6267,5.5388,5.5828,101518
2000-06-15,5.6267,5.6707,5.5388,5.5828,148863
2000-06-16,5.5828,5.6267,5.5388,5.5828,66966
2000-06-19,5.5828,5.6267,5.5388,5.5828,67250
2000-06-20,5.6267,5.6707,5.5828,5.5828,74929
2000-06-21,5.5828,5.6267,5.5388,5.5388,104930
2000-06-22,5.5828,5.6707,5.5388,5.6707,108625
2000-06-23,5.6267,5.6707,5.5388,5.5828,86589
2000-06-26,5.5828,5.6267,5.5828,5.5828,91423
2000-06-27,5.6267,5.6707,5.5828,5.6267,101799
2000-06-28,5.6267,5.7586,5.6267,5.6707,240288
2000-06-29,5.7146,5.7146,5.6707,5.6707,82463
2000-06-30,5.7146,5.7146,5.6267,5.6707,89291
2000-07-03,5.7146,5.7146,5.6267,5.6707,40948
2000-07-05,5.6267,5.6707,5.6267,5.6707,39668
2000-07-06,5.6267,5.6707,5.6267,5.6707,42798
2000-07-07,5.6707,5.7586,5.6707,5.6707,69667
2000-07-10,5.6707,5.7146,5.6707,5.7146,65121
2000-07-11,5.7146,5.7146,5.5828,5.6267,149146
2000-07-12,5.5828,5.6267,5.5388,5.5828,118010
2000-07-13,5.5388,5.6267,5.5388,5.5828,114597
2000-07-14,5.5828,5.6267,5.5828,5.5828,67534
2000-07-17,5.6267,5.6267,5.5388,5.5828,85167
2000-07-18,5.6267,5.6267,5.5828,5.6267,51040
2000-07-19,5.5828,5.6267,5.5828,5.6267,49052
2000-07-20,5.6267,5.7146,5.6267,5.6707,66684
2000-07-21,5.7146,5.7586,5.6707,5.6707,86872
2000-07-24,5.7586,5.8025,5.7146,5.7586,91137
2000-07-25,5.8025,5.8465,5.8025,5.8465,56161
2000-07-26,5.8465,5.8465,5.7586,5.7586,122700
2000-07-27,5.8025,5.8025,5.7586,5.8025,32841
2000-07-28,5.8025,5.9344,5.8025,5.8465,272702
2000-07-31,5.8465,5.8905,5.8465,5.8905,96682
2000-08-01,5.8905,5.8905,5.7586,5.8025,143888
2000-08-02,5.8025,5.8025,5.7586,5.8025,23176
2000-08-03,5.8025,5.8465,5.8025,5.8465,77489
2000-08-04,5.8465,5.8465,5.7586,5.8025,61134
2000-08-07,5.8465,5.8905,5.8465,5.8905,81614
