Date,Open,High,Low,Close,Volume
2007-05-01,44.9163,45.0135,44.7025,44.7706,79663
2007-05-02,45.3245,46.5295,44.7803,46.2283,280756
2007-05-03,46.2574,46.5101,46.0339,46.2866,276427
2007-05-04,46.4809,46.5004,45.9076,45.9659,278685
2007-05-07,45.8687,45.8784,45.5772,45.859,116413
2007-05-08,45.4897,47.9581,45.1982,47.7443,555378
2007-05-09,47.8609,49.8239,47.7929,49.5324,900924
2007-05-10,49.4157,49.4157,47.6568,48.2496,462369
2007-05-11,48.4148,48.7841,47.8706,47.9678,143905
2007-05-14,47.9678,48.6092,47.822,48.0552,352867
2007-05-15,48.1038,48.8035,48.1038,48.3273,329619
2007-05-16,48.5217,48.5411,47.5305,48.1233,209843
2007-05-17,47.8706,47.8706,46.9571,47.132,173322
2007-05-18,47.0932,47.7248,46.6461,47.511,188752
2007-05-21,45.7521,50.2709,44.1292,46.8308,454332
2007-05-22,46.8891,46.8891,45.5772,45.859,476463
2007-05-23,45.9659,46.0533,44.7511,45.0232,458445
2007-05-24,45.0232,45.5091,44.4596,44.7123,281163
2007-05-25,45.0718,45.9853,44.8386,45.2565,358024
2007-05-29,45.3342,46.1116,44.6831,44.7706,316557
2007-05-30,44.4304,45.4508,44.2847,45.3925,217675
2007-05-31,45.5674,45.6452,44.9552,45.169,288357
2007-06-04,45.4314,46.1602,45.4314,45.8201,218281
2007-06-05,45.8104,45.8493,44.6151,44.7025,243293
2007-06-06,44.6054,44.6151,43.2157,43.2254,360176
2007-06-07,43.0505,43.3906,42.1467,42.1467,753566
2007-06-08,42.2245,42.7784,42.1759,42.7784,350405
2007-06-11,42.5743,43.0116,42.137,42.6812,302856
2007-06-12,42.6618,42.7395,42.1953,42.2342,312845
2007-06-13,42.2536,42.3216,41.3984,41.6803,249049
2007-06-14,41.6803,42.5452,41.3401,41.3693,240820
2007-06-15,41.7872,41.8843,40.7668,41.0097,449812
2007-06-18,41.1069,42.2925,41.0486,41.2721,508364
2007-06-19,41.0292,41.0389,40.1157,40.2323,578020
2007-06-20,40.9611,43.0311,40.9611,41.6608,968221
2007-06-21,41.6608,42.1467,41.6025,41.7872,586969
2007-06-22,41.69,41.8746,40.5627,41.2624,554049
2007-06-25,40.8251,40.8251,38.1915,38.9301,1521314
2007-06-26,39.0661,39.3965,38.4636,38.726,794837
2007-06-27,38.7357,39.9116,38.6385,39.8436,394762
2007-06-28,39.8533,40.0962,39.5909,39.9991,205321
2007-06-29,40.1837,40.3781,39.5034,39.6881,223435
2007-07-02,39.9602,40.2129,39.6006,39.9796,239174
2007-07-03,40.0088,40.2809,39.7172,39.9408,93041
2007-07-05,39.6006,40.0185,39.3965,39.5326,245040
2007-07-06,39.4549,39.8144,39.0273,39.552,124341
2007-07-09,39.484,40.31,39.3771,40.0088,254408
2007-07-10,39.6492,39.8436,39.2411,39.4646,270148
2007-07-11,39.3868,39.9019,39.2896,39.863,233205
2007-07-12,40.0379,40.3295,39.6978,40.3295,147181
2007-07-13,40.0671,40.242,39.2896,40.174,213154
2007-07-16,39.9505,39.9699,39.3188,39.6784,311319
2007-07-17,39.6881,40.0768,39.6201,39.7755,202638
2007-07-18,39.5326,39.5909,38.8912,39.4451,255737
2007-07-19,39.6686,40.242,39.5909,39.8922,204293
2007-07-20,39.8047,39.8047,38.6774,38.9884,396712
2007-07-23,38.9884,39.2896,38.6969,38.969,213248
2007-07-24,38.5316,38.8135,37.9,38.0652,341039
2007-07-25,38.1041,38.2401,37.3169,37.4238,229704
2007-07-26,36.6561,37.0351,35.8009,36.6755,351446
2007-07-27,36.7727,37.7056,36.2285,36.7047,380654
2007-07-30,36.5395,36.899,35.9758,36.2479,338988
2007-07-31,36.4423,36.6269,35.8106,35.8787,299682
2007-08-01,34.5084,35.5774,31.9429,34.9652,498377
2007-08-02,35.1109,36.5881,35.0138,36.1702,481812
2007-08-03,36.073,36.0827,33.2257,33.2937,445593
2007-08-06,33.3034,33.3034,30.6698,31.5444,587800
2007-08-07,32.0789,32.0984,29.8147,30.6115,1144694
2007-08-08,30.9808,31.2432,29.1927,30.1159,804711
2007-08-09,29.6397,30.1742,26.977,27.8613,905462
2007-08-10,25.2083,30.7281,22.7886,30.1937,844531
2007-08-13,30.3589,32.8272,29.2802,29.63,438485
2007-08-14,29.5426,30.6796,29.115,29.6494,391157
2007-08-15,29.4454,29.8827,28.6388,28.7262,482430
