Date,Open,High,Low,Close,Volume
2021-05-14,5.9,5.98,5.0,5.68,514817
2021-05-17,5.48,5.95,5.38,5.84,264756
2021-05-18,6.0,6.38,5.51,5.51,91326
2021-05-19,6.1,6.5,5.75,6.04,23102
2021-05-20,5.85,6.1,5.82,5.9,87297
2021-05-21,6.84,6.85,5.9,6.0,157688
2021-05-24,5.93,6.05,5.69,5.85,110576
2021-05-25,5.92,6.01,5.5,5.85,81317
2021-05-26,5.86,5.86,5.6194,5.81,52660
2021-05-27,5.8,6.0,5.66,5.9,56064
2021-05-28,5.7,5.75,5.49,5.49,24387
2021-06-01,5.99,6.0,5.5,5.75,226824
2021-06-02,5.74,5.95,5.53,5.61,120239
2021-06-03,5.75,5.75,5.088,5.64,63152
2021-06-04,5.6,5.6,5.2,5.29,34432
2021-06-07,5.26,5.38,5.06,5.36,41201
2021-06-08,5.42,5.42,5.1533,5.3,33567
2021-06-09,5.3,5.45,5.2,5.33,25228
2021-06-10,5.58,6.3,5.47,6.2,640498
2021-06-11,6.5,7.0,5.77,6.2,438678
2021-06-14,6.15,6.44,5.8,5.88,137966
2021-06-15,5.94,5.98,5.36,5.65,182562
2021-06-16,5.64,5.79,5.4035,5.68,58648
2021-06-17,5.4,5.78,5.4,5.61,60976
2021-06-18,5.77,5.8,5.34,5.5,77113
2021-06-21,5.2,5.51,5.1,5.2,86440
2021-06-22,5.21,5.3299,5.05,5.06,21565
2021-06-23,5.29,5.5001,5.0,5.45,76133
2021-06-24,5.36,5.71,5.2,5.7,102301
2021-06-25,5.72,5.72,5.37,5.62,36819
2021-06-28,5.6,5.63,5.43,5.53,24279
2021-06-29,5.35,6.3,5.35,6.08,477643
2021-06-30,6.14,6.15,5.3996,5.79,243755
2021-07-01,5.83,6.13,5.7,5.76,59809
2021-07-02,5.7,5.96,5.5101,5.7,84449
2021-07-06,5.79,10.52,5.79,10.35,6444629
2021-07-07,9.25,13.5,9.0,9.25,44327646
2021-07-08,9.27,10.3476,7.85,9.52,2459377
2021-07-09,8.83,9.91,8.7618,9.15,786600
2021-07-12,9.15,9.66,8.0,8.02,600712
2021-07-13,7.75,8.45,6.9501,7.2,453652
2021-07-14,7.19,7.4,6.1,6.16,467061
2021-07-15,6.2,6.49,6.0,6.2,208888
2021-07-16,6.1201,6.5899,5.65,5.94,196802
2021-07-19,5.3865,5.55,4.24,4.37,1742891
2021-07-20,4.4,4.4,3.75,4.1,1098199
2021-07-21,4.01,4.3,3.91,4.17,376171
2021-07-22,4.2,6.1,3.95,4.66,3365110
2021-07-23,4.97,5.0,4.05,4.17,862864
2021-07-26,4.2,4.34,3.85,3.88,460100
2021-07-27,3.82,4.11,3.77,3.92,396383
2021-07-28,3.94,4.1,3.8,4.05,231881
2021-07-29,4.0,4.08,3.91,4.0499,197586
2021-07-30,3.92,4.3,3.9,4.14,296811
2021-08-02,4.14,4.2201,3.95,4.17,309260
2021-08-03,4.17,4.2299,3.85,3.9,240023
2021-08-04,3.9401,4.5211,3.9,4.26,715865
2021-08-05,4.39,4.45,4.11,4.41,276328
2021-08-06,4.34,4.55,4.12,4.31,257738
2021-08-09,4.25,4.46,4.22,4.45,153411
2021-08-10,4.31,4.43,4.11,4.24,132229
2021-08-11,4.19,4.27,4.01,4.15,331389
2021-08-12,4.11,4.17,3.8601,4.06,302092
2021-08-13,4.05,4.11,3.75,3.89,285083
2021-08-16,3.9,4.3,3.76,3.81,385754
2021-08-17,4.26,4.26,3.55,3.73,214014
2021-08-18,3.61,3.95,3.5812,3.95,171912
2021-08-19,3.94,4.2,3.7,4.07,292844
2021-08-20,3.97,4.14,3.83,3.9,291290
2021-08-23,3.86,3.99,3.85,3.91,116408
2021-08-24,3.8801,3.9899,3.83,3.88,144354
2021-08-25,3.98,3.98,3.7501,3.88,146067
