Date,Open,High,Low,Close,Volume
2019-08-01,25.5,26.37,23.65,23.98,28627105
2019-08-02,23.98,26.94,22.96,26.2,2676573
2019-08-05,25.0,25.44,22.32,23.5,2539071
2019-08-06,23.8,25.0,23.2,25.0,1507636
2019-08-07,24.5,26.62,23.5,26.15,4836184
2019-08-08,26.445,27.48,24.1,26.0,2017642
2019-08-09,26.5,26.5,24.467,25.25,934077
2019-08-12,25.3,25.3,23.0,23.62,999703
2019-08-13,23.7,24.55,23.11,23.6,987540
2019-08-14,23.49,23.5,21.22,21.43,1906043
2019-08-15,22.5,22.5,20.46,21.33,1158530
2019-08-16,21.33,22.64,21.33,22.39,1092350
2019-08-19,23.12,24.55,22.64,24.55,666377
2019-08-20,24.01,24.76,23.79,24.48,420843
2019-08-21,25.0,25.48,24.56,25.04,513602
2019-08-22,25.09,25.35,23.81,24.18,504512
2019-08-23,24.04,24.31,23.531,23.9,272734
2019-08-26,24.4,24.5,23.78,23.87,561444
2019-08-27,24.43,24.9,22.68,23.4,730276
2019-08-28,23.31,24.0,22.6,23.01,431510
2019-08-29,23.17,23.49,22.52,23.44,404044
2019-08-30,23.54,23.75,22.27,22.98,1153440
2019-09-03,22.68,23.5,22.3,23.5,1324138
2019-09-04,23.99,24.2,22.0,22.12,1058615
2019-09-05,23.49,25.0,21.67,24.73,1786676
2019-09-06,25.0,25.3,23.58,23.8,804585
2019-09-09,23.93,23.948,19.71,21.51,2271056
2019-09-10,21.8,21.8,19.82,20.16,1172249
2019-09-11,20.0,21.0,19.76,20.9,508618
2019-09-12,21.0,21.83,20.522,21.46,676576
2019-09-13,21.57,21.57,20.78,21.02,775420
2019-09-16,20.8,20.82,19.88,20.22,1708212
2019-09-17,21.216,21.216,20.05,20.13,697062
2019-09-18,20.35,21.0,20.0,20.79,515057
2019-09-19,21.8,21.97,20.79,21.36,918000
2019-09-20,21.69,21.73,21.28,21.53,3364562
2019-09-23,21.26,21.98,21.26,21.76,406966
2019-09-24,21.9,22.13,20.55,20.92,1358901
2019-09-25,21.76,21.77,20.735,20.9,951921
2019-09-26,20.78,20.965,19.9,19.98,792455
2019-09-27,20.38,20.47,18.55,18.95,1609952
2019-09-30,19.15,19.15,18.52,18.69,1754611
2019-10-01,18.67,18.9,17.85,17.85,1024981
2019-10-02,18.1,18.62,17.43,18.17,1317017
2019-10-03,18.35,19.21,17.69,19.16,740445
2019-10-04,19.31,19.9,18.92,19.88,829627
2019-10-07,19.97,20.18,19.29,19.5,594733
2019-10-08,19.05,19.44,18.92,19.09,256404
2019-10-09,19.14,19.44,18.92,19.04,367248
2019-10-10,18.95,19.08,18.46,18.5,691321
2019-10-11,18.55,18.835,18.55,18.7,757250
2019-10-14,18.58,18.68,17.955,18.5,888006
2019-10-15,18.77,18.8,18.02,18.2,431645
2019-10-16,18.03,18.05,17.05,17.35,713597
2019-10-17,17.41,18.24,17.37,17.93,482183
2019-10-18,17.8,18.06,17.47,17.94,495053
2019-10-21,18.02,18.38,17.86,18.27,341978
2019-10-22,18.3,18.3,17.74,18.04,995779
2019-10-23,17.92,18.48,17.84,18.32,539408
2019-10-24,18.41,19.15,18.321,18.78,468248
2019-10-25,18.68,19.08,18.445,18.48,419194
2019-10-28,18.7,19.49,18.5,18.5,549573
2019-10-29,19.0,19.015,18.35,18.51,205519
2019-10-30,18.55,20.5,18.35,19.76,1121394
2019-10-31,21.0,24.0,19.5,20.23,2376273
2019-11-01,20.59,21.403,19.91,21.15,694673
2019-11-04,21.34,22.48,20.72,20.79,687566
2019-11-05,20.75,21.21,20.2,20.48,893636
2019-11-06,20.4,20.7,19.89,20.0,637691
2019-11-07,20.1,20.35,19.11,19.17,583149
2019-11-08,19.05,19.44,18.755,19.4,580132
2019-11-11,19.3,20.39,19.1,20.18,400378
2019-11-12,20.19,20.59,19.83,20.15,354726
2019-11-13,19.97,21.56,19.84,21.33,710515
2019-11-14,23.15,23.15,20.79,21.09,553668
2019-11-15,20.98,21.64,20.846,21.45,349350
2019-11-18,21.43,22.299,21.3,22.07,309134
2019-11-19,22.0,22.67,21.43,22.36,412636
2019-11-20,22.54,23.81,22.08,23.53,925837
2019-11-21,23.78,26.0,23.76,25.15,952104
2019-11-22,25.68,25.976,23.75,24.19,550213
2019-11-25,24.19,25.28,24.19,25.12,366358
2019-11-26,25.16,26.25,25.16,26.21,700763
2019-11-27,26.59,27.13,26.07,26.85,888381
2019-11-29,26.65,26.85,26.3,26.57,176506
2019-12-02,26.74,26.955,25.18,26.3,535271
2019-12-03,26.3,27.189,25.5,27.02,688970
2019-12-04,26.5,27.0,23.8,25.01,2614005
2019-12-05,24.86,25.425,24.36,25.1,580841
2019-12-06,25.0,25.29,24.06,24.41,10834265
2019-12-09,24.76,24.76,24.07,24.43,2371490
2019-12-10,24.5,24.85,24.03,24.35,3022902
2019-12-11,24.3,24.42,23.9,24.01,2077129
2019-12-12,24.0,24.28,23.6,23.82,1407498
2019-12-13,23.6,24.49,23.45,24.36,961591
2019-12-16,24.66,25.54,24.53,25.33,2059966
2019-12-17,25.43,25.514,24.585,24.63,688826
2019-12-18,24.6,24.87,23.51,23.51,690704
2019-12-19,24.63,25.13,24.59,24.74,891861
2019-12-20,25.01,25.67,24.789,25.52,2980843
2019-12-23,25.5,26.06,25.5,25.87,1430443
2019-12-24,25.88,26.36,25.42,25.72,509586
2019-12-26,25.5,26.99,25.47,26.6,761690
2019-12-27,26.9,27.0,25.6,25.66,762071
2019-12-30,25.4,26.48,25.05,26.02,1101427
2019-12-31,26.02,26.74,25.16,25.3,1592294
2020-01-02,26.0,26.42,25.43,26.03,969572
2020-01-03,25.64,26.4,25.52,26.32,625609
2020-01-06,26.07,29.34,26.07,29.26,4392019
2020-01-07,29.25,29.89,27.0,27.0,2031336
2020-01-08,27.0,28.25,26.62,28.01,2331979
2020-01-09,28.25,28.74,27.25,27.48,873167
2020-01-10,27.9,29.08,27.55,27.76,1358531
2020-01-13,28.0,29.13,27.55,29.1,1218583
2020-01-14,29.11,30.15,27.22,27.8,2308624
2020-01-15,28.1,28.44,27.31,27.5,930049
2020-01-16,28.0,28.1,26.88,27.4,1520463
2020-01-17,27.74,27.74,26.6,26.6,1163701
2020-01-21,27.5,27.65,26.2,26.26,2304917
2020-01-22,26.67,26.91,25.73,26.09,1840053
2020-01-23,26.29,28.2,26.1,27.88,1769299
2020-01-24,28.09,28.44,27.54,27.76,1239463
2020-01-27,27.54,28.129,26.6,27.94,1853861
2020-01-28,27.75,29.33,27.75,28.68,3025560
2020-01-29,30.0,32.946,29.85,30.95,3878006
2020-01-30,30.2,32.7,30.03,32.35,1670834
2020-01-31,32.75,32.75,30.75,31.31,957221
2020-02-03,31.31,31.5,29.05,30.22,5111901
2020-02-04,30.75,32.51,30.355,32.4,2363421
2020-02-05,33.0,33.75,31.16,31.95,1878269
2020-02-06,32.0,32.69,31.03,31.94,869042
2020-02-07,32.16,34.34,31.26,32.83,1752475
2020-02-10,32.8,33.96,32.7,33.82,708171
2020-02-11,34.08,35.9,33.91,35.69,2461520
2020-02-12,35.69,36.364,34.9,36.1,1669634
2020-02-13,36.0,36.5,35.52,35.98,2394837
2020-02-14,36.31,36.46,35.78,36.12,1042161
2020-02-18,36.0,36.12,32.78,33.7,1156250
2020-02-19,33.65,36.1,33.5,35.65,2357470
2020-02-20,35.8,37.065,34.16,35.31,2858430
2020-02-21,35.13,35.24,33.3,33.46,9722913
2020-02-24,32.71,33.24,31.6,32.75,2386827
2020-02-25,33.89,33.89,32.09,32.6,4751656
2020-02-26,31.508,33.39,31.5,32.58,1947146
2020-02-27,31.85,32.71,30.78,31.64,3065310
2020-02-28,31.4,32.32,30.06,32.3,2593785
2020-03-02,32.58,32.8,31.121,32.48,2960038
2020-03-03,32.73,33.345,30.59,31.75,2213077
2020-03-04,32.0,33.23,32.0,32.89,1903664
2020-03-05,32.04,33.768,32.04,33.29,1667207
2020-03-06,33.0,33.0,29.62,30.26,3784626
2020-03-09,29.04,29.2,25.7,26.36,5099284
2020-03-10,27.51,28.49,24.96,26.89,2665581
2020-03-11,25.98,26.75,23.53,24.22,3172248
2020-03-12,23.0,23.19,21.26,21.6,3029024
2020-03-13,22.75,24.38,21.14,23.47,2355279
2020-03-16,20.96,21.857,18.79,19.37,3269040
2020-03-17,20.0,20.42,18.5,19.51,3031248
2020-03-18,17.578,19.74,17.1,19.52,2327835
2020-03-19,19.52,21.65,18.22,20.88,1576222
