Date,Open,High,Low,Close,Volume
2024-04-12,0.17,0.23,0.17,0.19,1206237
2024-04-15,0.2,0.2,0.19,0.19,79820
2024-04-16,0.2,0.2,0.175,0.18,396848
2024-04-24,0.175,0.1801,0.175,0.1801,25615
2024-04-29,0.18,0.18,0.18,0.18,3000
2024-04-30,0.18,0.18,0.18,0.18,4000
2024-05-01,0.18,0.18,0.18,0.18,3000
2024-05-02,0.18,0.18,0.18,0.18,5365
2024-05-06,0.18,0.18,0.18,0.18,28673
2024-05-14,0.18,0.1801,0.18,0.1801,44300
2024-05-15,0.2,0.22,0.2,0.22,700
2024-06-18,0.2,0.2,0.2,0.2,100
2024-06-20,0.2,0.2,0.2,0.2,95000
2024-06-24,0.22,0.22,0.22,0.22,100
2024-06-26,0.2316,0.5814,0.216,0.29,34500
2024-06-27,0.22,0.3325,0.22,0.29,14544
2024-06-28,0.3,0.33,0.28,0.3136,17505
2024-07-01,0.299,0.3,0.225,0.227,2800
2024-07-02,0.2365,0.2673,0.2354,0.2673,500
2024-07-17,0.2248,0.2248,0.2248,0.2248,300
2024-09-20,0.25,0.25,0.25,0.25,1500
2024-10-21,0.25,0.25,0.1802,0.2,5920
2024-10-22,0.19,0.194,0.184,0.194,1300
2024-11-01,0.1802,0.1802,0.1802,0.1802,1000
2024-11-06,0.1914,0.1914,0.1802,0.1802,3938
2024-11-18,0.1839,0.184,0.13,0.13,4885
2024-11-19,0.1479,0.1606,0.1391,0.1392,2846
2024-11-27,0.13,0.13,0.1,0.1,300
2024-11-29,0.1,0.181,0.05,0.1,28941
2024-12-03,0.15,0.15,0.1311,0.1311,491
2024-12-16,0.1479,0.1495,0.1476,0.1495,600
2024-12-26,0.15,0.15,0.15,0.15,2700
2025-01-08,0.16,0.21,0.16,0.2,3396
2025-01-27,0.22,0.2225,0.22,0.2225,1200
2025-02-21,0.23,0.25,0.23,0.25,1100
2025-02-26,0.23,0.23,0.23,0.23,100
2025-02-27,0.24,0.2949,0.2199,0.23,8751
2025-02-28,0.2396,0.2999,0.19,0.19,57502
