Date,Open,High,Low,Close,Volume
2021-12-16,25.4,25.4,25.25,25.38,39309
2021-12-17,25.29,25.49,25.289,25.29,43018
2021-12-20,25.36,25.3899,25.25,25.28,32812
2021-12-21,25.3,25.35,25.28,25.31,16237
2021-12-22,25.32,25.35,25.29,25.315,12013
2021-12-23,25.32,25.375,25.29,25.29,1534
2021-12-27,25.35,25.71,25.35,25.44,18683
2021-12-28,25.4,25.45,25.37,25.375,9912
2021-12-29,25.24,25.24,25.13,25.18,12305
2021-12-30,25.18,25.28,25.17,25.2,13650
2021-12-31,25.215,25.35,23.92,25.25,545898
2022-01-03,25.3,25.3,25.075,25.1,13688
2022-01-04,25.18,25.18,25.1,25.11,16054
2022-01-05,25.1999,25.25,25.11,25.18,19803
2022-01-06,25.25,25.43,25.11,25.24,8330
2022-01-07,25.35,25.4399,25.21,25.21,3100
2022-01-10,25.54,25.57,25.25,25.36,9844
2022-01-11,25.48,25.605,25.44,25.49,8993
2022-01-12,25.64,25.78,25.48,25.48,12462
2022-01-13,26.63,26.63,25.58,25.78,12246
2022-01-14,26.04,26.82,25.855,25.9999,6394
2022-01-18,26.2,26.2,25.59,25.59,721
2022-01-19,25.5,25.5,25.36,25.5,1143
2022-01-20,25.5,25.5,25.4,25.4,9637
2022-01-21,25.4,25.49,25.39,25.4,5225
2022-01-24,25.73,25.73,25.21,25.3,6380
2022-01-25,25.3,25.35,25.3,25.35,2780
2022-01-26,25.31,25.31,25.1,25.24,11827
2022-01-27,25.4399,25.4399,24.6,24.64,6133
2022-01-28,24.65,24.9899,24.65,24.9899,2052
2022-01-31,24.8399,24.9,24.7124,24.72,7328
2022-02-01,24.77,24.9,24.6,24.755,2393
2022-02-02,24.28,24.58,24.28,24.49,4114
2022-02-03,24.345,24.7168,24.2837,24.61,4314
2022-02-04,24.4,24.41,24.3,24.3,10563
2022-02-07,24.44,24.7432,24.4,24.5,17095
2022-02-08,24.5,24.545,24.35,24.35,14376
2022-02-09,24.5,24.69,24.5,24.58,6153
2022-02-10,24.54,24.8299,24.23,24.54,5241
2022-02-11,24.25,24.25,24.25,24.25,100
2022-02-14,24.43,24.43,23.89,23.9,12654
2022-02-15,24.51,24.51,23.7,23.735,3103
2022-02-16,24.5,24.5,24.165,24.165,5580
2022-02-17,24.37,24.4,24.0,24.1,2987
2022-02-18,24.2,24.2,24.2,24.2,800
2022-02-22,24.25,24.494,23.91,24.494,1071
2022-02-23,24.145,24.16,23.9,24.16,1400
2022-02-25,24.75,24.99,24.44,24.55,4267
2022-02-28,23.9653,24.0,23.9653,24.0,1919
2022-03-01,24.15,24.15,23.92,23.92,2922
2022-03-02,23.85,24.1,23.85,23.91,11563
2022-03-03,24.3213,24.3501,23.875,23.875,1733
2022-03-04,23.75,23.75,22.72,23.37,2430
2022-03-08,23.37,23.7797,23.045,23.26,2588
2022-03-09,23.543,23.543,23.543,23.543,187
2022-03-10,22.96,23.3881,22.96,23.25,637
2022-03-11,23.0,23.02,22.82,23.005,1629
2022-03-14,22.91,22.92,22.445,22.75,6801
2022-03-16,23.26,23.3202,22.75,22.75,1156
2022-03-17,23.5,23.5,23.06,23.49,2642
2022-03-18,23.38,23.6,23.38,23.48,147390
2022-03-22,23.3354,23.58,23.3354,23.435,1112
2022-03-23,23.56,23.56,23.27,23.27,10075
2022-03-24,23.435,23.5,23.17,23.4,10797
2022-03-25,23.07,23.12,22.87,23.05,2766
2022-03-28,23.06,23.3853,22.951,23.3853,9727
2022-03-29,23.25,23.3899,23.23,23.2499,3997
2022-03-30,22.75,22.99,22.75,22.99,963
2022-03-31,23.06,23.15,22.82,22.82,1841
2022-04-01,22.88,23.245,22.82,23.245,1100
2022-04-04,23.11,23.11,23.11,23.11,200
2022-04-05,23.11,23.59,23.11,23.2,4083
2022-04-06,23.21,23.21,22.99,22.99,200
2022-04-07,22.975,22.99,22.9,22.94,760
2022-04-08,22.9,23.35,22.9,23.0,1495
2022-04-11,23.0,23.0,22.8499,22.8499,1656
2022-04-12,22.53,23.2099,22.5,22.75,900
2022-04-13,22.73,22.75,22.57,22.57,1239
2022-04-14,22.8583,22.8583,22.8583,22.8583,400
2022-04-18,22.86,23.01,22.86,23.0,500
2022-04-19,23.0,23.0,22.26,22.62,2820
2022-04-20,22.47,23.15,22.45,22.7,500
2022-04-21,22.51,22.51,22.5,22.5,904
2022-04-22,22.755,22.755,22.755,22.755,403
2022-04-25,22.3107,22.505,22.3107,22.5,5154
2022-04-26,22.61,22.73,22.51,22.69,1635
2022-04-27,23.04,23.04,22.45,22.45,721
2022-04-28,23.03,23.03,22.8907,22.8907,230
2022-04-29,22.5,23.74,22.5,23.74,21491
2022-05-02,23.58,23.58,22.83,23.32,1200
2022-05-03,23.2,23.2,22.72,22.93,687
2022-05-04,22.94,24.2668,22.75,23.3,1870
2022-05-06,24.24,24.24,22.68,22.68,1035
2022-05-09,22.56,23.5099,22.07,22.07,2580
2022-05-10,23.2385,23.2385,22.675,22.675,297
2022-05-12,21.6,22.25,21.6,22.22,1820
2022-05-13,22.23,22.24,21.96,21.96,2630
2022-05-16,22.0299,22.0299,21.95,21.97,600
2022-05-17,21.9,21.905,21.77,21.77,2680
2022-05-18,21.9513,21.9799,21.75,21.8,9335
2022-05-19,22.6696,22.6696,21.7399,21.74,13095
2022-05-20,22.02,22.02,21.96,21.98,1651
2022-05-23,22.02,22.02,22.0,22.0,917
2022-05-24,21.86,21.92,21.85,21.8501,6227
2022-05-25,21.86,22.1,21.57,21.57,2728
2022-05-26,21.61,21.66,21.5,21.5,2745
2022-05-27,21.6,22.0,21.6,22.0,11765
2022-05-31,22.0,22.1499,22.0,22.13,588
2022-06-01,21.905,21.905,21.905,21.905,149
2022-06-02,21.7,21.84,21.3,21.83,2355
2022-06-06,22.0,22.0,22.0,22.0,390
2022-06-07,21.9999,22.0,21.87,22.0,6119
2022-06-08,22.075,22.075,22.075,22.075,900
2022-06-09,22.05,22.32,22.0,22.3,5716
2022-06-10,22.2,22.21,21.67,21.67,11811
2022-06-13,21.67,21.67,20.82,20.82,8294
2022-06-14,21.0,21.6012,20.975,21.2371,1300
2022-06-16,22.56,22.57,20.6,20.8,2088
2022-06-17,21.12,22.08,20.55,20.87,751
2022-06-21,20.75,20.75,20.28,20.28,2708
2022-06-22,20.16,20.96,20.16,20.35,1407
2022-06-23,20.865,20.865,20.1101,20.2,5996
2022-06-24,20.9699,20.9699,20.66,20.66,352
2022-06-27,21.0123,21.0123,20.22,20.2617,1779
2022-06-29,20.44,20.44,20.1819,20.1819,200
2022-06-30,20.72,21.4,20.72,21.08,3350
2022-07-01,22.0,22.0,20.6,20.6,204
2022-07-05,21.8964,21.8964,19.45,20.0,10922
2022-07-06,20.0175,20.0175,19.95,19.95,342
2022-07-07,19.95,20.2599,19.7999,20.13,2498
2022-07-11,20.27,20.27,19.75,20.0132,1825
2022-07-12,20.02,20.02,19.97,19.97,728
2022-07-13,19.9886,19.99,19.845,19.99,1258
2022-07-14,19.7,19.72,19.47,19.5,2588
2022-07-18,19.66,19.66,19.66,19.66,100
2022-07-19,19.65,19.75,19.65,19.75,617
2022-07-20,19.55,19.6,19.4,19.47,600
2022-07-21,19.25,19.37,19.15,19.37,1191
2022-07-22,19.11,20.2616,19.11,20.25,400
2022-07-25,19.81,19.82,19.81,19.82,1885
2022-07-26,19.995,20.79,19.97,20.02,3927
2022-07-28,20.0,20.0,19.63,19.99,1320
2022-07-29,21.26,21.26,20.15,20.26,33774
2022-08-01,20.82,20.82,20.21,20.26,15341
2022-08-02,20.35,21.0123,20.25,20.29,24407
2022-08-03,20.25,20.29,20.25,20.26,1649
2022-08-04,20.29,20.3,19.855,20.26,5997
2022-08-05,20.23,20.23,20.0,20.0,6006
2022-08-08,20.5,20.59,20.0,20.26,4069
2022-08-09,20.25,20.25,20.25,20.25,382
2022-08-10,20.27,20.38,20.25,20.27,17329
2022-08-15,20.84,20.8798,20.44,20.44,1425
2022-08-17,20.6,21.0,20.595,20.86,11119
2022-08-18,20.93,21.0,20.6201,21.0,5328
2022-08-22,20.3345,20.8743,20.3345,20.8743,300
2022-08-23,20.9734,21.0,20.71,20.71,1396
2022-08-24,21.625,21.625,21.625,21.625,100
2022-08-25,21.35,21.35,21.03,21.04,469
2022-08-26,21.465,21.465,21.465,21.465,100
2022-08-29,20.98,21.2,20.665,21.09,4341
2022-08-30,20.62,21.0,20.62,20.94,2024
2022-08-31,20.53,20.8199,20.16,20.16,9301
2022-09-01,20.05,20.05,20.05,20.05,223
2022-09-02,19.76,19.83,19.66,19.66,6631
2022-09-06,19.75,19.75,19.5,19.5,825
2022-09-07,20.25,20.25,19.71,20.0699,1983
2022-09-09,20.8656,20.9,20.46,20.49,4500
2022-09-12,20.5,20.5464,20.5,20.5464,1340
2022-09-13,19.31,20.526,19.31,20.526,549
2022-09-14,20.375,21.42,19.89,20.8369,3625
2022-09-15,20.34,20.405,20.08,20.08,405
2022-09-16,20.15,20.29,19.62,20.29,399
2022-09-19,20.3559,20.3559,20.3559,20.3559,100
2022-09-20,19.76,20.21,19.76,20.1,1200
2022-09-21,20.0,20.01,20.0,20.0,4118
2022-09-22,19.955,19.955,19.585,19.585,3231
2022-09-23,19.33,19.33,18.55,18.9,9607
2022-09-26,18.95,18.95,18.95,18.95,200
2022-09-27,18.23,18.42,18.01,18.23,6332
2022-09-28,18.15,18.4199,18.02,18.3,7818
2022-09-29,17.8,17.82,16.605,16.605,5293
2022-09-30,17.5982,17.5982,16.72,16.72,1329
2022-10-03,16.38,17.29,16.34,16.35,1753
2022-10-04,17.37,17.61,17.37,17.6,1557
2022-10-05,17.65,17.75,17.65,17.75,887
2022-10-06,18.25,18.25,18.02,18.02,400
2022-10-07,17.5,17.9575,16.74,16.74,2378
2022-10-10,17.4591,17.4591,16.7,16.7,1390
2022-10-11,17.035,17.035,16.14,16.59,1100
2022-10-12,16.51,16.94,16.5,16.86,1200
