Date,Open,High,Low,Close,Volume
2016-09-22,24.0,27.4,23.73,26.02,12878920
2016-09-23,26.08,26.42,24.13,25.34,2089974
2016-09-26,26.37,26.37,24.72,25.26,517020
2016-09-27,25.45,25.65,24.57,24.61,961470
2016-09-28,24.6,26.8,24.6,26.5,1044952
2016-09-29,26.31,28.92,25.7,26.89,2072336
2016-09-30,27.1,28.43,26.87,28.11,949406
2016-10-03,28.5,29.0,26.54,26.79,625861
2016-10-04,27.0,27.0,25.85,26.31,448463
2016-10-05,25.78,27.14,25.78,26.51,387058
2016-10-06,26.11,26.507,26.0,26.4,204255
2016-10-07,26.58,26.99,26.0,26.67,158994
2016-10-10,26.64,26.92,26.01,26.3,186044
2016-10-11,26.68,26.68,25.05,25.57,350101
2016-10-12,25.84,26.65,25.17,26.63,280837
2016-10-13,26.84,27.99,26.3,27.05,526461
2016-10-14,27.51,27.83,26.81,26.94,261963
2016-10-17,27.0,28.0,26.551,28.0,403179
2016-10-18,28.0,28.0,26.24,26.88,160344
2016-10-19,26.8,27.185,26.35,27.03,68838
2016-10-20,26.56,27.09,26.35,26.6,92521
2016-10-21,26.53,27.07,26.251,26.81,98424
2016-10-24,26.97,27.57,26.51,26.79,228966
2016-10-25,26.94,27.579,26.6,27.16,151613
2016-10-26,27.35,27.53,26.58,26.7,187828
2016-10-27,26.69,27.72,26.25,26.85,177609
2016-10-28,27.29,27.36,26.4,26.42,128509
2016-10-31,26.61,26.8,25.83,25.86,297508
2016-11-01,25.72,26.55,25.25,25.54,184659
2016-11-02,25.33,25.88,25.33,25.85,65951
2016-11-03,26.02,26.119,25.05,25.71,65055
2016-11-04,25.69,26.52,25.556,26.28,127647
2016-11-07,26.28,26.77,25.632,26.31,181120
2016-11-08,26.34,26.88,26.23,26.57,161626
2016-11-09,26.24,26.675,25.33,25.71,273838
2016-11-10,25.93,26.75,25.0,26.75,196802
2016-11-11,27.15,28.471,25.5,27.0,384069
2016-11-14,27.27,30.5,27.16,29.37,495234
2016-11-15,29.4,31.1,28.92,29.0,468352
2016-11-16,29.3,29.59,28.59,29.45,143120
2016-11-17,29.49,29.78,29.0,29.36,171005
2016-11-18,29.35,29.765,28.9,29.39,86621
2016-11-21,29.62,31.0,29.494,30.32,266110
2016-11-22,31.0,31.0,28.73,30.02,279545
2016-11-23,30.0,31.84,29.8,31.35,232402
2016-11-25,32.0,32.0,30.39,30.86,171383
