Date,Open,High,Low,Close,Volume
2005-01-27,3.6303,3.6339,3.6303,3.6339,1365191
2005-01-28,3.6321,3.6484,3.6303,3.6393,303012
2005-01-31,3.643,3.6847,3.6339,3.6847,339368
2005-02-01,3.6757,3.7011,3.6484,3.7011,363610
2005-02-02,3.712,3.7138,3.6666,3.6865,247920
2005-02-03,3.6865,3.7029,3.6793,3.7029,199990
2005-02-04,3.712,3.721,3.6757,3.6847,397218
2005-02-07,3.6666,3.6956,3.6448,3.6829,311274
2005-02-08,3.7011,3.721,3.6757,3.6847,368022
2005-02-09,3.7029,3.7446,3.6702,3.7065,318438
2005-02-10,3.7156,3.7392,3.6666,3.721,356449
2005-02-11,3.7029,3.7392,3.7029,3.721,181258
2005-02-14,3.712,3.7628,3.6884,3.7301,207149
2005-02-15,3.7483,3.7664,3.6847,3.7047,435233
2005-02-16,3.6956,3.7301,3.6956,3.7301,155914
2005-02-17,3.7301,3.7392,3.6666,3.7192,331660
2005-02-18,3.7065,3.712,3.6829,3.7029,158667
2005-02-22,3.721,3.721,3.6484,3.6829,302458
2005-02-23,3.6557,3.6629,3.6321,3.6321,424767
2005-02-24,3.643,3.6575,3.6303,3.6575,182911
2005-02-25,3.6484,3.6829,3.6393,3.6502,162526
2005-02-28,3.6502,3.6757,3.6303,3.6757,261140
2005-03-01,3.6757,3.692,3.6484,3.6757,260594
2005-03-02,3.6757,3.6847,3.6484,3.6757,288134
2005-03-03,3.6757,3.6847,3.6575,3.6575,232494
2005-03-04,3.6575,3.6847,3.6575,3.6847,214863
2005-03-07,3.6738,3.6847,3.6593,3.6847,267206
2005-03-08,3.6938,3.6938,3.6575,3.6575,244613
2005-03-09,3.6648,3.6847,3.6484,3.6666,186215
2005-03-10,3.6393,3.6393,3.5867,3.6212,983405
2005-03-11,3.6266,3.6466,3.6049,3.6393,512364
2005-03-14,3.6393,3.6393,3.6212,3.6393,425866
2005-03-15,3.6393,3.6484,3.6121,3.6393,510156
2005-03-16,3.6484,3.6484,3.594,3.6212,591153
2005-03-17,3.6384,3.6384,3.611,3.6201,779401
2005-03-18,3.6201,3.653,3.611,3.6475,449049
2005-03-21,3.6329,3.6475,3.5671,3.578,470378
2005-03-22,3.5744,3.5762,3.4866,3.5122,988330
2005-03-23,3.5195,3.5214,3.4464,3.5177,639382
2005-03-24,3.5195,3.5561,3.5195,3.5561,283323
2005-03-28,3.5707,3.5707,3.397,3.4226,1425889
2005-03-29,3.4281,3.4702,3.4226,3.4446,784871
2005-03-30,3.4446,3.4958,3.4373,3.4665,496631
2005-03-31,3.4665,3.483,3.4446,3.4793,431003
2005-04-01,3.4921,3.5561,3.4921,3.5378,673292
2005-04-04,3.5561,3.5835,3.5461,3.5653,505933
2005-04-05,3.5744,3.611,3.547,3.6018,362632
2005-04-06,3.5927,3.6128,3.5744,3.5744,410212
2005-04-07,3.5835,3.6201,3.5506,3.5707,238473
2005-04-08,3.5561,3.611,3.5561,3.611,254883
2005-04-11,3.6018,3.6018,3.5616,3.5744,385597
2005-04-12,3.5835,3.5835,3.5195,3.5378,699553
2005-04-13,3.5195,3.5287,3.4921,3.5159,546944
2005-04-14,3.5195,3.5561,3.5195,3.5525,347861
2005-04-15,3.5287,3.5433,3.4793,3.5195,357708
2005-04-18,3.5287,3.5433,3.4921,3.5013,357707
2005-04-19,3.5104,3.5433,3.4281,3.4811,749322
2005-04-20,3.4911,3.5187,3.445,3.5077,409279
2005-04-21,3.504,3.5279,3.4543,3.4745,430449
2005-04-22,3.4819,3.5298,3.4819,3.4911,407652
2005-04-25,3.4911,3.5427,3.4819,3.5187,385936
2005-04-26,3.5187,3.5427,3.4911,3.5132,684481
2005-04-27,3.4893,3.5261,3.4727,3.5169,398419
2005-04-28,3.5003,3.5372,3.469,3.4911,422308
2005-04-29,3.5095,3.5132,3.4671,3.4911,394080
2005-05-02,3.4856,3.5003,3.4561,3.469,578093
2005-05-03,3.4708,3.4782,3.3898,3.4211,758306
2005-05-04,3.4192,3.4782,3.4192,3.4635,587859
2005-05-05,3.4524,3.4929,3.4487,3.4719,499928
2005-05-06,3.4819,3.5021,3.4782,3.5021,410363
2005-05-09,3.5003,3.5648,3.4985,3.5335,578092
2005-05-10,3.5372,3.5593,3.5372,3.5593,495038
2005-05-11,3.574,3.5887,3.5408,3.5851,691537
2005-05-12,3.5851,3.5924,3.5408,3.5556,661688
2005-05-13,3.5556,3.5629,3.504,3.5279,707828
2005-05-16,3.5427,3.5427,3.515,3.5316,455958
2005-05-17,3.5335,3.5906,3.5224,3.5629,966202
2005-05-18,3.5556,3.6072,3.55,3.5869,748536
2005-05-19,3.6006,3.6266,3.5821,3.6136,570591
2005-05-20,3.6136,3.6192,3.5858,3.6006,596452
2005-05-23,3.5821,3.6006,3.5728,3.5839,843759
2005-05-24,3.5802,3.5895,3.5487,3.5876,573825
2005-05-25,3.5691,3.5969,3.5579,3.5691,824367
2005-05-26,3.5765,3.5913,3.5542,3.5876,698825
2005-05-27,3.5895,3.6285,3.5821,3.6099,376628
2005-05-31,3.6248,3.6248,3.5876,3.6192,799040
2005-06-01,3.6118,3.6359,3.6118,3.634,509168
2005-06-02,3.6285,3.634,3.6099,3.6285,454748
2005-06-03,3.6229,3.6377,3.6025,3.634,640095
2005-06-06,3.6285,3.6656,3.6248,3.6637,470376
2005-06-07,3.6489,3.6693,3.6322,3.6507,577599
2005-06-08,3.6545,3.6656,3.6452,3.6507,622853
2005-06-09,3.6507,3.6656,3.6285,3.6637,654108
2005-06-10,3.6637,3.686,3.6563,3.6767,538803
2005-06-13,3.6841,3.6934,3.6674,3.6823,712842
2005-06-14,3.6841,3.6934,3.6656,3.6712,780183
2005-06-15,3.6712,3.686,3.6693,3.673,684277
2005-06-16,3.6712,3.6841,3.6285,3.6656,665961
2005-06-17,3.6767,3.6767,3.647,3.6674,745703
2005-06-20,3.6749,3.6841,3.647,3.6637,840531
2005-06-21,3.6495,3.6794,3.6364,3.657,619379
2005-06-22,3.6551,3.6832,3.6477,3.6813,518289
2005-06-23,3.6738,3.6813,3.6458,3.6589,895366
2005-06-24,3.6551,3.6607,3.6177,3.6308,538080
2005-06-27,3.6327,3.6364,3.5916,3.6047,1020528
2005-06-28,3.6177,3.6551,3.6047,3.6327,697465
2005-06-29,3.6346,3.6925,3.6346,3.685,528985
2005-06-30,3.7075,3.7112,3.685,3.7019,709240
2005-07-01,3.7075,3.7094,3.6757,3.7075,352478
2005-07-05,3.7019,3.7131,3.6888,3.7075,513473
2005-07-06,3.7112,3.7112,3.6925,3.7,813534
2005-07-07,3.7,3.7131,3.6794,3.7131,474966
2005-07-08,3.7131,3.7374,3.7019,3.728,634343
2005-07-11,3.7374,3.7393,3.7206,3.7393,607610
2005-07-12,3.7393,3.7393,3.7206,3.7355,685166
2005-07-13,3.7355,3.7374,3.7206,3.7374,564289
2005-07-14,3.7393,3.7561,3.7262,3.7524,726885
2005-07-15,3.7355,3.758,3.728,3.7486,552521
2005-07-18,3.7505,3.7767,3.7318,3.7318,682498
2005-07-19,3.7467,3.7524,3.7299,3.7486,701214
2005-07-20,3.755,3.7663,3.7475,3.7663,789082
2005-07-21,3.7663,3.7757,3.7475,3.7663,640395
2005-07-22,3.7738,3.7757,3.7531,3.7757,601631
2005-07-25,3.7757,3.7757,3.7513,3.7588,721642
2005-07-26,3.7644,3.7738,3.7531,3.7607,734918
2005-07-27,3.7644,3.7814,3.7607,3.772,575615
2005-07-28,3.7814,3.8134,3.7738,3.787,748722
2005-07-29,3.8134,3.8416,3.7795,3.8134,823077
2005-08-01,3.804,3.8322,3.787,3.7932,546407
2005-08-02,3.7927,3.8134,3.7833,3.804,783236
2005-08-03,3.804,3.8398,3.7964,3.8096,698277
2005-08-04,3.8077,3.8228,3.7889,3.7983,534725
2005-08-05,3.8021,3.8228,3.7851,3.8209,484282
2005-08-08,3.8209,3.8416,3.7701,3.7889,708900
2005-08-09,3.7795,3.7964,3.7701,3.7776,598444
2005-08-10,3.7851,3.819,3.7851,3.8059,489057
2005-08-11,3.8002,3.8172,3.7795,3.8115,526760
2005-08-12,3.804,3.8172,3.7946,3.8077,362677
2005-08-15,3.8153,3.8172,3.7946,3.8077,476313
