Date,Open,High,Low,Close,Volume
2006-07-17,1.635,1.768,1.6239,1.696,193056.0
2006-07-18,1.7181,1.7957,1.7181,1.7625,178978.0
2006-07-19,1.7736,1.9343,1.7736,1.8293,152820.0
2006-07-20,1.829,1.829,1.635,1.6904,62787.0
2006-07-21,1.6073,1.6904,1.6073,1.6793,23996.0
2006-07-24,1.6627,1.6627,1.6073,1.635,94180.0
2006-07-25,1.6627,1.6904,1.635,1.6627,18222.0
2006-07-26,1.8013,1.8013,1.3856,1.5519,92558.0
2006-07-27,1.5242,1.5463,1.4687,1.4964,71629.0
2006-07-28,1.5186,1.5518,1.4687,1.4964,81547.0
2006-07-31,1.5131,1.563,1.5131,1.5242,60622.0
2006-08-01,1.4964,1.5408,1.4632,1.4632,20567.0
2006-08-02,1.4909,1.5851,1.4632,1.574,266310.0
2006-08-03,1.5519,1.5796,1.5242,1.5463,29048.0
2006-08-04,1.574,1.6073,1.5463,1.6073,122147.0
2006-08-07,1.6572,1.6572,1.5574,1.5796,31392.0
2006-08-08,1.5796,1.5796,1.4798,1.5186,82093.0
2006-08-09,1.5242,1.5574,1.4687,1.4743,83535.0
2006-08-10,1.4743,1.5186,1.4466,1.4964,45467.0
2006-08-11,1.4743,1.4743,1.3579,1.4687,31574.0
2006-08-14,1.441,1.5242,1.441,1.5242,94360.0
2006-08-15,1.5242,1.6072,1.5131,1.5242,38789.0
2006-08-16,1.5796,1.6295,1.563,1.6295,48894.0
2006-08-17,1.6295,1.6793,1.6073,1.6572,99776.0
2006-08-18,1.6461,1.7126,1.6184,1.6572,58273.0
2006-08-21,1.6572,1.7071,1.6516,1.6516,43121.0
2006-08-22,1.6239,1.6239,1.5796,1.6239,20207.0
2006-08-23,1.635,1.6461,1.502,1.563,17863.0
2006-08-24,1.5519,1.5796,1.502,1.5463,18042.0
2006-08-25,1.5242,1.6295,1.5131,1.6073,18042.0
2006-08-28,1.6018,1.6295,1.5685,1.6239,25799.0
2006-08-29,1.6295,1.7458,1.6017,1.7348,140910.0
2006-08-30,1.7181,1.7181,1.6516,1.7071,129546.0
2006-08-31,1.7181,1.7181,1.6627,1.6627,99780.0
2006-09-01,1.6904,1.8124,1.6904,1.7292,94906.0
2006-09-05,1.7292,1.7292,1.6128,1.6904,109157.0
2006-09-06,1.7126,1.7181,1.6627,1.6627,58095.0
2006-09-07,1.6904,1.7015,1.6572,1.6683,56109.0
2006-09-08,1.6904,1.6904,1.6128,1.6405,121427.0
2006-09-11,1.6295,1.6793,1.6073,1.6516,63325.0
2006-09-12,1.5685,1.9232,1.5685,1.6627,88044.0
2006-09-13,1.635,1.6627,1.6239,1.635,19662.0
2006-09-14,1.6572,1.6572,1.5796,1.6073,19303.0
2006-09-15,1.6073,1.6516,1.5519,1.5519,26161.0
2006-09-18,1.5796,1.6184,1.5297,1.5796,35719.0
2006-09-19,1.5907,1.6572,1.5851,1.6239,45467.0
2006-09-20,1.635,1.635,1.5242,1.5408,55390.0
2006-09-21,1.5131,1.5408,1.5131,1.5297,30312.0
2006-09-22,1.5519,1.635,1.5358,1.5358,12449.0
2006-09-25,1.5519,1.5519,1.5242,1.5242,25802.0
2006-09-26,1.5519,1.6239,1.5242,1.6184,35183.0
2006-09-27,1.6073,1.8013,1.563,1.8013,107535.0
