Date,Open,High,Low,Close,Volume
2000-01-03,5.1292,5.1292,5.0056,5.0056,88194.0
2000-01-04,4.9438,5.0056,4.9438,4.9747,49761.0
2000-01-05,5.0056,5.0674,4.9747,5.0674,65537.0
2000-01-06,5.0056,5.0365,4.9747,5.0056,35600.0
2000-01-07,4.9747,5.0674,4.9747,5.0674,52186.0
2000-01-10,5.0056,5.0983,5.0056,5.0674,70592.0
2000-01-11,5.0674,5.0983,5.0056,5.0365,32564.0
2000-01-12,5.0056,5.0365,5.0056,5.0056,30543.0
2000-01-13,5.0674,5.0674,5.0056,5.0056,52996.0
2000-01-14,5.0056,5.0365,5.0056,5.0365,30139.0
2000-01-18,5.0056,5.0365,5.0056,5.0056,39646.0
2000-01-19,5.0056,5.0365,4.9747,5.0056,31152.0
2000-01-20,4.9747,5.0056,4.9747,4.9747,24881.0
2000-01-21,4.9747,5.0365,4.9747,4.9747,40858.0
2000-01-24,4.9747,5.0365,4.9747,4.9747,60277.0
2000-01-25,4.9438,5.0365,4.9438,4.9747,31756.0
2000-01-26,4.9747,5.0365,4.9747,5.0056,37014.0
2000-01-27,4.9747,5.0056,4.9747,4.9747,11932.0
2000-01-28,4.9747,4.9747,4.9438,4.9438,66952.0
2000-01-31,4.882,4.9129,4.8511,4.9129,56840.0
2000-02-01,4.8511,4.8511,4.8202,4.8511,37218.0
2000-02-02,4.8511,4.882,4.8202,4.8511,65941.0
2000-02-03,4.9129,4.9129,4.8202,4.8511,16385.0
2000-02-04,4.882,4.9129,4.8202,4.8511,35197.0
2000-02-07,4.8511,4.9129,4.8511,4.8511,25891.0
2000-02-08,4.9129,5.0056,4.9129,4.9438,66144.0
2000-02-09,5.0056,5.0056,4.9747,4.9747,29330.0
2000-02-10,4.9747,5.0365,4.9747,5.0056,35196.0
2000-02-11,5.0056,5.0365,5.0056,5.0056,27307.0
2000-02-14,4.9438,5.0674,4.9438,5.0365,24475.0
2000-02-15,5.0365,5.0674,5.0365,5.0674,22857.0
2000-02-16,5.0674,5.0674,5.0365,5.0674,40654.0
2000-02-17,5.0365,5.0983,5.0365,5.0983,34387.0
2000-02-18,5.0365,5.0674,5.0056,5.0056,5866.0
2000-02-22,5.0674,5.0674,5.0056,5.0674,16588.0
2000-02-23,5.0056,5.0674,5.0056,5.0365,8294.0
2000-02-24,5.0056,5.0674,5.0056,5.0674,12542.0
2000-02-25,5.0056,5.0365,5.0056,5.0056,41668.0
2000-02-28,5.0056,5.0674,5.0056,5.0365,39038.0
2000-02-29,5.0674,5.0674,5.0056,5.0365,62299.0
2000-03-01,5.0056,5.0674,5.0056,5.0365,30543.0
2000-03-02,5.0365,5.1292,5.0365,5.0674,95676.0
2000-03-03,5.1292,5.191,5.1292,5.1292,67963.0
2000-03-06,5.191,5.191,5.1292,5.1601,45106.0
2000-03-07,5.2219,5.2219,5.1601,5.1601,38635.0
2000-03-08,5.1601,5.1601,5.1292,5.1292,14767.0
2000-03-09,5.1292,5.1292,5.0365,5.0674,42277.0
2000-03-10,5.0674,5.1292,5.0674,5.0983,9911.0
2000-03-13,5.0983,5.1601,5.0983,5.0983,35803.0
2000-03-14,5.1292,5.1292,5.0674,5.0674,122578.0
2000-03-15,5.0365,5.0983,5.0365,5.0983,34995.0
2000-03-16,5.0674,5.1601,5.0674,5.0983,42477.0
2000-03-17,5.0674,5.1292,5.0674,5.1292,3641.0
2000-03-20,5.1292,5.191,5.0983,5.1601,63716.0
2000-03-21,5.1601,5.191,5.1601,5.191,7080.0
2000-03-22,5.191,5.2528,5.191,5.2219,37218.0
2000-03-23,5.2219,5.3146,5.2219,5.2528,41060.0
2000-03-24,5.2219,5.2837,5.2219,5.2219,42679.0
2000-03-27,5.2837,5.3146,5.191,5.191,59670.0
2000-03-28,5.2219,5.2219,5.191,5.2219,30544.0
2000-03-29,5.2528,5.2528,5.191,5.2528,28318.0
2000-03-30,5.2219,5.2528,5.2219,5.2219,31352.0
2000-03-31,5.2528,5.2528,5.191,5.2528,9910.0
2000-04-03,5.2219,5.2837,5.2219,5.2837,29734.0
2000-04-04,5.2219,5.2219,5.0365,5.0365,29328.0
2000-04-05,5.0674,5.1292,5.0674,5.1292,18609.0
2000-04-06,5.0983,5.191,5.0983,5.1601,23464.0
2000-04-07,5.191,5.191,5.1292,5.1601,25892.0
2000-04-10,5.1292,5.1292,5.1292,5.1292,2225.0
2000-04-11,5.1292,5.1601,5.1292,5.1601,6472.0
2000-04-12,5.1292,5.191,5.1292,5.1292,26498.0
2000-04-13,5.1292,5.1292,5.0674,5.0674,10922.0
2000-04-14,5.0674,5.0674,4.9747,4.9747,37015.0
2000-04-17,4.9747,4.9747,4.9438,4.9438,32367.0
2000-04-18,4.9438,5.0056,4.9438,5.0056,52184.0
2000-04-19,5.0056,5.0365,5.0056,5.0056,12945.0
2000-04-20,5.0365,5.0365,5.0056,5.0056,15373.0
2000-04-24,5.0365,5.1292,5.0056,5.0365,25689.0
2000-04-25,5.0056,5.0674,5.0056,5.0056,9708.0
2000-04-26,5.0056,5.0674,5.0056,5.0365,10721.0
2000-04-27,5.0056,5.0674,5.0056,5.0674,29936.0
2000-04-28,5.0056,5.0365,5.0056,5.0365,2630.0
2000-05-01,5.0056,5.0674,5.0056,5.0056,29733.0
2000-05-02,5.0056,5.0056,5.0056,5.0056,14159.0
2000-05-03,5.0056,5.0674,5.0056,5.0056,19417.0
2000-05-04,5.0056,5.0056,4.9438,4.9747,36004.0
2000-05-05,4.9747,4.9747,4.9438,4.9747,4854.0
2000-05-08,4.9747,4.9747,4.9438,4.9438,15171.0
2000-05-09,4.9747,4.9747,4.9438,4.9438,2629.0
2000-05-10,4.9747,4.9747,4.9129,4.9129,28317.0
2000-05-11,4.9438,5.0056,4.9438,4.9747,41670.0
2000-05-12,5.0365,5.0365,5.0056,5.0365,42276.0
2000-05-15,5.0365,5.0365,4.9747,5.0056,52186.0
2000-05-16,5.0674,5.1292,5.0365,5.1292,73425.0
2000-05-17,5.0983,5.1292,5.0365,5.1292,9911.0
2000-05-18,5.1292,5.1292,5.0983,5.0983,7484.0
2000-05-19,5.0983,5.0983,5.0365,5.0674,62907.0
2000-05-22,5.0983,5.0983,5.0365,5.0674,13553.0
2000-05-23,5.1292,5.1292,5.0983,5.0983,8494.0
2000-05-24,5.0674,5.0983,5.0674,5.0983,1213.0
2000-05-25,5.0983,5.0983,5.0983,5.0983,1416.0
2000-05-26,5.0983,5.1292,5.0674,5.0983,75044.0
2000-05-30,5.0983,5.1292,5.0983,5.1292,79494.0
2000-05-31,5.0983,5.1601,5.0983,5.0983,34995.0
2000-06-01,5.1292,5.1601,5.1292,5.1292,13350.0
2000-06-02,5.2528,5.2528,5.1292,5.1292,34993.0
2000-06-05,5.1292,5.1292,5.0983,5.1292,19623.0
2000-06-06,5.1601,5.1601,5.1292,5.1292,24272.0
2000-06-07,5.1292,5.2219,5.1292,5.2219,25485.0
2000-06-08,5.2219,5.2528,5.191,5.191,6877.0
2000-06-09,5.2528,5.2528,5.191,5.191,50569.0
2000-06-12,5.191,5.191,5.191,5.191,9911.0
2000-06-13,5.191,5.2837,5.191,5.2528,33374.0
2000-06-14,5.2219,5.2837,5.2219,5.2837,6472.0
