Date,Open,High,Low,Close,Volume
2018-10-12,14.35,14.95,13.755,14.0,872539
2018-10-15,14.0,14.18,14.0,14.0,39569
2018-10-16,13.82,14.202,13.82,14.0,25390
2018-10-17,14.0,14.15,13.9,14.0,10157
2018-10-18,14.0,14.0,13.03,13.92,56597
2018-10-19,13.95,14.435,13.8,14.0,111665
2018-10-22,13.99,14.53,13.99,14.31,9852
2018-10-23,14.12,14.12,9.21,13.71,37326
2018-10-24,13.93,14.0,13.92,13.99,18032
2018-10-25,14.08,14.97,13.01,14.97,142505
2018-10-26,13.86,15.37,13.86,14.85,7838
2018-10-29,15.01,15.01,14.26,14.47,4065
2018-10-30,14.48,14.64,13.655,14.32,11000
2018-10-31,14.32,14.91,13.88,14.0,13683
2018-11-01,14.23,15.05,11.75,14.98,11094
2018-11-02,14.97,15.4,13.47,15.035,4030
2018-11-05,15.39,16.34,12.83,16.34,2484
2018-11-06,15.11,18.5,15.11,16.98,31726
2018-11-07,16.96,19.27,16.96,17.1,43232
2018-11-08,16.9,18.0,16.35,16.99,65564
2018-11-09,16.77,16.99,15.07,16.5,7238
2018-11-12,16.48,16.48,14.185,15.6,11786
2018-11-13,15.39,16.36,14.09,15.55,8797
2018-11-14,15.54,16.31,14.24,15.89,4875
2018-11-15,12.6,16.19,12.6,15.85,45618
2018-11-16,14.32,18.29,13.5,16.12,73347
2018-11-19,16.89,16.89,14.88,14.88,29224
2018-11-20,14.81,14.85,14.02,14.5,16504
2018-11-21,14.12,16.0,14.12,14.6,17732
2018-11-23,14.58,19.69,14.58,19.44,16351
2018-11-26,18.0,19.37,16.5,16.67,30196
2018-11-27,16.64,17.0,15.95,16.47,17875
2018-11-28,16.17,16.17,14.91,15.58,15688
2018-11-29,15.59,16.0,14.9,14.9,26243
2018-11-30,14.75,17.3,14.75,16.4,31944
2018-12-03,16.73,17.5,15.62,16.2,24525
2018-12-04,16.29,16.4,15.25,15.9,36896
2018-12-06,15.55,16.4,13.92,14.41,14223
2018-12-07,14.41,15.41,12.51,15.28,28910
2018-12-10,15.08,15.25,12.76,14.08,14867
2018-12-11,14.34,15.5,13.605,14.39,10577
2018-12-12,14.41,14.41,13.03,13.3,7202
2018-12-13,13.93,13.93,11.4,12.37,16362
2018-12-14,12.0,13.2,11.26,12.0,21481
2018-12-17,11.88,12.15,10.2,10.75,26518
2018-12-18,11.0,12.09,11.0,11.04,43270
2018-12-19,11.04,12.045,9.62,9.89,50968
2018-12-20,9.99,10.04,5.84,6.32,118668
2018-12-21,6.41,8.4,5.5,7.75,535228
2018-12-24,7.59,9.4,7.17,9.0,16924
2018-12-26,8.96,9.5,7.92,9.0,70344
2018-12-27,8.35,8.38,6.064,8.0,63597
2018-12-28,7.63,8.24,7.49,7.81,6860
2018-12-31,9.99,9.99,8.0,8.16,38808
2019-01-02,8.16,8.255,7.07,7.43,159800
2019-01-03,7.42,7.42,7.0,7.06,31420
2019-01-04,7.06,8.74,7.06,8.065,65904
2019-01-07,8.07,10.5,7.93,10.12,40649
2019-01-08,10.33,11.9,10.0,10.9,22070
2019-01-09,10.89,11.03,10.0,10.48,16175
2019-01-10,10.52,11.26,10.46,10.48,3580
2019-01-11,10.47,10.88,10.26,10.57,29736
2019-01-14,10.58,10.96,9.94,10.19,13893
2019-01-15,10.2,11.628,9.9,10.57,72197
2019-01-16,11.09,11.09,9.99,10.57,25445
2019-01-17,10.48,11.73,10.1,11.28,22712
2019-01-18,11.35,12.75,10.625,12.02,28835
2019-01-22,12.11,13.316,11.0,11.53,113869
2019-01-23,11.52,11.52,10.15,10.61,9539
2019-01-24,10.73,11.5,9.91,10.91,23831
2019-01-25,10.9,11.17,9.34,9.87,17120
2019-01-28,9.68,9.8,8.7,8.82,22435
2019-01-29,8.81,9.018,8.66,8.66,5069
2019-01-30,8.65,8.84,8.05,8.25,8458
2019-01-31,8.6,8.79,8.0,8.79,50413
2019-02-01,8.8,9.595,8.5,8.68,5502
2019-02-04,8.7,9.224,8.6,8.62,7345
2019-02-05,8.6,9.225,8.48,8.8,39470
2019-02-06,8.72,8.86,8.3,8.5,12690
2019-02-07,9.5,9.5,8.25,8.25,14083
2019-02-08,8.29,8.29,7.68,7.69,11034
2019-02-11,7.81,7.9,7.1,7.1,50099
2019-02-12,7.24,8.0,7.0,7.19,19298
2019-02-13,7.08,7.16,6.53,7.16,48398
2019-02-14,7.11,7.49,6.4,6.53,7000
2019-02-15,6.65,6.87,5.91,6.51,21320
2019-02-19,6.68,6.99,6.45,6.9,27994
2019-02-20,6.89,6.91,6.03,6.04,28167
2019-02-21,6.04,6.26,5.76,5.84,72686
2019-02-22,5.91,6.0,5.63,6.0,59891
2019-02-25,6.3,6.8,5.9,6.61,27513
2019-02-26,6.66,7.61,6.35,7.38,27103
2019-02-27,7.57,7.71,7.07,7.62,17201
2019-02-28,7.7,8.2,7.196,7.87,18092
2019-03-01,7.87,8.343,7.298,7.55,19291
2019-03-04,7.538,7.69,7.5,7.53,15746
2019-03-05,7.198,8.0,7.15,7.48,12120
2019-03-06,7.48,7.84,7.2,7.37,31455
2019-03-07,7.51,7.65,7.33,7.46,7912
2019-03-08,7.49,7.75,7.1,7.45,11833
2019-03-11,8.178,8.178,7.32,7.62,5983
2019-03-12,7.57,7.995,7.25,7.73,13004
2019-03-13,7.83,7.855,7.136,7.78,25301
2019-03-14,7.216,7.64,6.518,7.15,44341
2019-03-15,6.97,7.37,6.885,7.37,17385
2019-03-18,7.32,7.509,7.0,7.0,9477
2019-03-19,7.09,7.414,7.09,7.35,8840
2019-03-20,7.0,7.47,7.0,7.31,3461
2019-03-21,7.24,7.276,6.9,6.91,9844
2019-03-22,6.92,7.35,6.74,6.81,9232
2019-03-25,7.4,7.4,6.7,7.0,9798
2019-03-26,7.3,7.51,6.92,7.51,29736
2019-03-27,7.1,7.7,7.1,7.54,7194
2019-03-28,7.5,8.1,7.5,7.97,10100
2019-03-29,8.12,8.438,7.55,8.0,21159
2019-04-01,8.05,8.63,8.04,8.2,24045
2019-04-02,7.9,8.66,7.24,7.41,20673
2019-04-03,7.4,7.8,7.005,7.18,6913
2019-04-04,7.55,7.555,7.0,7.15,5688
2019-04-05,7.87,7.87,7.114,7.46,6611
2019-04-08,7.52,8.519,7.38,7.51,12600
2019-04-09,7.5,7.834,6.86,6.87,7793
2019-04-10,6.9,7.31,6.9,7.23,8127
2019-04-11,7.18,7.264,6.61,6.65,16475
2019-04-12,6.8,7.187,6.6,6.61,9991
2019-04-15,6.824,6.95,6.025,6.06,28768
2019-04-16,6.22,6.45,5.65,5.65,28606
2019-04-17,6.1,6.1,5.48,5.48,52268
2019-04-18,5.44,6.05,5.12,5.35,32879
2019-04-22,5.49,6.34,5.49,5.51,30334
2019-04-23,5.73,6.29,5.3,5.42,19710
2019-04-24,5.65,5.65,5.28,5.28,6659
2019-04-25,5.457,5.53,5.35,5.38,15861
2019-04-26,5.37,6.262,5.326,5.99,8915
2019-04-29,6.0,6.468,5.975,6.14,53609
2019-04-30,6.23,6.24,6.23,6.24,4337
2019-05-01,5.5,6.44,5.5,6.39,14416
2019-05-02,6.37,6.58,6.05,6.33,90275
2019-05-03,6.39,6.75,6.34,6.75,5836
2019-05-06,6.2,7.28,6.0,6.92,6141
2019-05-07,6.26,8.0,6.0,7.71,25643
2019-05-08,7.82,8.03,5.965,6.08,103484
2019-05-09,6.085,6.27,5.728,6.04,9063
2019-05-10,6.067,6.21,5.88,5.98,15020
2019-05-13,5.98,6.615,5.98,6.08,15972
2019-05-14,6.1,6.554,6.0,6.1,52945
2019-05-15,6.1,6.375,6.0,6.05,11140
2019-05-16,6.05,6.384,6.05,6.12,3862
2019-05-17,6.1,6.3,6.07,6.13,1942
2019-05-20,6.14,6.618,6.11,6.57,14148
2019-05-21,6.52,7.76,6.37,7.73,33057
2019-05-22,7.008,7.71,6.59,6.59,9199
2019-05-23,6.68,7.35,6.02,6.11,13336
2019-05-24,6.11,6.25,6.0,6.07,8923
2019-05-28,6.19,6.39,6.05,6.2,6263
