Date,Open,High,Low,Close,Volume
2018-07-13,16.1335,16.2026,16.0707,16.1712,59993
2018-07-16,16.1335,16.1335,15.7631,16.0783,321842
2018-07-17,16.1021,16.1021,16.008,16.0205,436215
2018-07-18,16.0394,16.0582,15.9891,15.9954,168851
2018-07-19,16.0143,16.0262,15.9766,15.9829,167790
2018-07-20,16.008,16.0247,15.964,15.9703,89320
2018-07-23,15.9829,16.0707,15.9441,16.0707,205134
2018-07-24,15.9766,15.9829,15.9013,15.9264,102048
2018-07-25,15.9452,16.0645,15.9389,16.0205,283386
2018-07-26,16.0331,16.0331,16.008,16.0205,62457
2018-07-27,16.0385,16.0394,16.0018,16.0143,71759
2018-07-30,15.9954,16.1335,15.9891,16.0406,683513
2018-07-31,16.1524,16.19,16.1021,16.1147,122812
2018-08-01,16.0833,16.1021,15.9829,16.0456,144296
2018-08-02,16.0456,16.1456,16.008,16.1335,199191
2018-08-03,16.1586,16.2277,16.1147,16.1963,84380
2018-08-06,16.1687,16.2151,16.1649,16.19,53916
2018-08-07,16.19,16.2277,16.1649,16.2089,283437
2018-08-08,16.2277,16.2465,16.2277,16.2465,28888
2018-08-09,16.2591,16.3068,16.2465,16.2905,66446
2018-08-10,16.303,16.303,16.2566,16.2779,35411
2018-08-13,16.303,16.3219,16.2654,16.3219,161466
2018-08-14,16.3987,16.4843,16.3987,16.4622,197929
2018-08-15,16.4622,16.4622,16.3987,16.4114,45936
2018-08-16,16.3987,16.4622,16.3987,16.4559,54135
2018-08-17,16.4622,16.4622,16.4241,16.4622,24017
2018-08-20,16.4686,16.5257,16.4297,16.5067,37552
2018-08-21,16.5194,16.5194,16.4669,16.5194,18351
2018-08-22,16.5258,16.6465,16.5194,16.5607,36539
2018-08-23,16.5893,16.5893,16.4622,16.583,38109
2018-08-24,16.583,16.5893,16.5448,16.583,39460
2018-08-27,16.6084,16.6338,16.5448,16.576,86851
2018-08-28,16.5766,16.6465,16.5639,16.6465,103172
2018-08-29,16.6402,16.6402,16.5893,16.5957,45822
2018-08-30,16.6275,16.6402,16.5957,16.6211,38703
2018-08-31,16.6529,16.6783,16.5957,16.5957,60995
2018-09-04,16.5957,16.6465,16.5258,16.5417,72229
2018-09-05,16.5766,16.6084,16.5448,16.5814,37882
2018-09-06,16.6084,16.6084,16.5512,16.5639,43017
2018-09-07,16.5957,16.5957,16.4686,16.5321,22724
2018-09-10,16.5703,16.5893,16.5026,16.5703,83298
2018-09-11,16.5893,16.6084,16.5449,16.5893,117547
2018-09-12,16.6148,16.6211,16.5448,16.6148,47082
