Date,Open,High,Low,Close,Volume
2007-05-25,3.1217,3.1358,3.1202,3.1202,392288
2007-05-29,3.1327,3.167,3.1327,3.1498,146148
2007-05-30,3.1545,3.167,3.1436,3.167,109611
2007-05-31,3.167,3.1966,3.1529,3.1966,64741
2007-06-04,3.1982,3.1982,3.167,3.1951,133969
2007-06-05,3.1951,3.1966,3.1826,3.1841,75638
2007-06-06,3.1919,3.1966,3.1514,3.1514,132687
2007-06-07,3.167,3.1826,3.1514,3.1826,69228
2007-06-08,3.1826,3.1826,3.1529,3.1607,152557
2007-06-11,3.1607,3.1607,3.1514,3.1592,39742
2007-06-12,3.1592,3.181,3.1592,3.181,82048
2007-06-13,3.167,3.167,3.128,3.1514,98071
2007-06-14,3.167,3.1826,3.1436,3.1451,57690
2007-06-15,3.1358,3.1514,3.1217,3.1514,28204
2007-06-18,3.167,3.167,3.1358,3.1436,28845
2007-06-19,3.1592,3.1592,3.1436,3.1436,34614
2007-06-20,3.1592,3.167,3.1592,3.167,51280
2007-06-21,3.1748,3.1982,3.1748,3.1982,51921
2007-06-22,3.1982,3.1982,3.1295,3.1358,61535
2007-06-25,3.1373,3.1373,3.0359,3.0375,313445
2007-06-26,3.0344,3.0796,3.0344,3.0749,298061
2007-06-27,3.0734,3.0812,3.0718,3.0749,163452
2007-06-28,3.0812,3.1046,3.0812,3.1046,90381
2007-06-29,3.0999,3.1046,3.0968,3.1046,59613
2007-07-02,3.0812,3.0812,3.0188,3.0578,128200
2007-07-03,3.0578,3.0734,3.0578,3.0734,26922
2007-07-05,3.0578,3.0812,3.0578,3.0812,61536
2007-07-06,3.0656,3.0734,3.0578,3.0609,70509
2007-07-09,3.0578,3.0968,3.0578,3.0656,110252
2007-07-10,3.0609,3.0734,3.0562,3.0703,186529
2007-07-11,3.0609,3.0734,3.0593,3.0671,54485
2007-07-12,3.0687,3.128,3.0609,3.0812,99354
2007-07-13,3.1202,3.1202,3.0765,3.1061,52562
2007-07-16,3.1046,3.1046,3.0812,3.0827,92303
2007-07-17,3.0734,3.089,3.0625,3.0625,77561
2007-07-18,3.0578,3.064,2.9642,2.9798,183326
2007-07-19,2.9798,2.9798,2.894,2.9252,126918
2007-07-20,2.9174,2.9174,2.8487,2.8721,87176
2007-07-23,2.8862,2.8862,2.8472,2.8799,86534
2007-07-24,2.8799,2.9096,2.7582,2.7707,264091
2007-07-25,2.777,2.777,2.6131,2.6756,278835
2007-07-26,2.6756,2.7286,2.5273,2.7286,233965
2007-07-27,2.7224,2.7707,2.5663,2.6506,166019
2007-07-30,2.6522,2.6522,2.415,2.5897,339087
2007-07-31,2.5663,2.6912,2.5585,2.6287,299346
2007-08-01,2.6131,2.7068,2.5117,2.5211,273707
2007-08-02,2.5601,2.5663,2.3417,2.5039,378830
2007-08-03,2.5351,2.5351,2.4228,2.4727,203838
2007-08-06,2.4649,2.5195,2.3947,2.5117,314088
2007-08-07,2.4961,2.6256,2.4727,2.6256,245503
2007-08-08,2.7302,2.7458,2.6366,2.6958,274348
