Date,Open,High,Low,Close,Volume
2019-08-12,6.8529,7.0522,6.8529,7.0143,426489
2019-08-13,6.9383,7.0237,6.8814,6.9478,471455
2019-08-14,6.8149,6.8624,6.6156,6.6346,615503
2019-08-15,6.8054,7.0427,6.7485,7.0048,765619
2019-08-16,7.0617,7.4105,7.0617,7.2421,544726
2019-08-19,7.3654,7.4793,7.299,7.3654,586775
2019-08-20,7.3559,7.3559,7.1092,7.1566,1080559
2019-08-21,7.1566,7.5031,7.1566,7.3939,642151
2019-08-22,7.4793,7.6454,7.4793,7.6217,907068
2019-08-23,7.5932,7.6976,7.4224,7.4509,923558
2019-08-26,7.5553,7.6312,7.5458,7.5553,590006
2019-08-27,7.6027,7.6027,7.4319,7.4414,838396
2019-08-28,7.4319,7.5648,7.4224,7.5078,1048953
2019-08-29,7.5932,7.6597,7.5837,7.5837,363753
2019-08-30,7.6217,7.6597,7.5648,7.5743,452976
2019-09-03,7.5268,7.5932,7.4509,7.5553,604302
2019-09-04,7.6122,7.6502,7.5173,7.5553,642569
2019-09-05,7.6407,7.7783,7.6407,7.6787,420537
2019-09-06,7.7071,7.7404,7.6217,7.6312,278624
2019-09-09,7.6787,7.731,7.5932,7.6692,635982
2019-09-10,7.6882,7.7356,7.5837,7.6882,562902
2019-09-11,7.7356,7.7641,7.6027,7.7546,651138
2019-09-12,7.7641,7.859,7.6312,7.8495,867790
2019-09-13,7.878,7.9634,7.7356,7.8495,478162
2019-09-16,7.7641,7.821,7.5932,7.6217,491478
2019-09-17,7.5648,7.6597,7.5553,7.6502,414404
2019-09-18,7.6502,7.6787,7.5648,7.6407,530009
2019-09-19,7.6407,7.7166,7.5932,7.5932,565068
2019-09-20,7.5458,7.6549,7.4698,7.6027,2475372
2019-09-23,7.5932,7.6882,7.5553,7.6407,382615
2019-09-24,7.6407,7.6976,7.5458,7.5837,495401
2019-09-25,7.5648,7.6407,7.5363,7.6027,581962
2019-09-26,7.5932,7.6312,7.5648,7.5932,265221
2019-09-27,7.6692,7.6834,7.5743,7.5837,536124
2019-09-30,7.6217,7.6312,7.5743,7.5743,499241
2019-10-01,7.5743,7.6882,7.4509,7.4983,895188
2019-10-02,7.5173,7.7407,7.4888,7.6692,1800174
2019-10-03,7.6217,7.8115,7.5173,7.7546,1239224
2019-10-04,7.7546,7.9871,7.7166,7.9824,895954
2019-10-07,7.9729,8.0868,7.916,7.9824,800498
2019-10-08,7.8685,7.9871,7.821,7.8305,635938
2019-10-09,7.8875,7.9587,7.84,7.84,728967
2019-10-10,7.821,8.0204,7.821,7.859,542153
2019-10-11,7.9824,8.0963,7.9824,8.0109,554382
2019-10-14,7.9539,8.0754,7.9444,8.0109,439390
2019-10-15,8.0298,8.0963,8.0109,8.0678,402002
2019-10-16,8.0298,8.1058,8.0109,8.0678,509923
2019-10-17,8.1248,8.1343,8.0678,8.1058,350325
2019-10-18,8.0678,8.1248,8.0583,8.1058,311707
2019-10-21,8.1248,8.3051,8.1153,8.1722,428147
2019-10-22,8.1722,8.2292,8.1248,8.2102,281534
2019-10-23,8.2007,8.2387,8.1627,8.2007,212071
2019-10-24,8.2197,8.2292,8.0678,8.1058,289407
2019-10-25,8.0963,8.2007,8.0963,8.1248,337434
2019-10-28,8.1817,9.017,8.1343,8.9031,460318
2019-10-29,9.1024,9.3682,8.6563,8.8651,12009107
2019-10-30,8.9125,9.017,8.7607,8.9221,5006404
2019-10-31,8.7797,8.8034,8.3146,8.5709,28263192
2019-11-01,8.5614,8.5851,8.438,8.4665,1620600
2019-11-04,8.5804,8.7797,8.4854,8.6373,2261871
2019-11-05,8.6278,8.6563,8.5139,8.5993,939650
2019-11-06,8.5424,8.7037,8.5044,8.6088,1158115
2019-11-07,8.7132,8.8366,8.4949,8.6848,1786884
2019-11-08,8.7227,8.8651,8.6658,8.8461,1184700
2019-11-11,8.7607,8.7939,8.6373,8.7132,715948
2019-11-12,8.6848,8.8366,8.6705,8.7892,739550
2019-11-13,8.7132,8.8556,8.6658,8.8176,1005550
2019-11-14,8.8461,8.9221,8.7512,8.9031,796793
2019-11-15,8.941,8.9885,8.6563,8.7037,1158628
2019-11-18,8.6658,8.6895,8.5519,8.6373,624101
2019-11-19,8.6753,8.7607,8.6088,8.6943,557116
2019-11-20,8.6563,8.7654,8.6183,8.7132,483450
2019-11-21,8.7417,8.7607,8.6373,8.7132,454348
2019-11-22,8.7512,8.7702,8.5899,8.6563,552502
2019-11-25,8.6563,8.7227,8.6373,8.7037,1019553
2019-11-26,8.6563,8.7227,8.6468,8.7227,610989
2019-11-27,8.7132,8.8699,8.7037,8.7227,552954
2019-11-29,8.6848,8.7465,8.6563,8.6658,234456
2019-12-02,8.6563,8.7285,8.5899,8.6183,775332
2019-12-03,8.5614,8.5614,8.4285,8.4285,817277
2019-12-04,8.457,8.5899,8.4475,8.4854,485138
2019-12-05,8.5044,8.5519,8.4095,8.4285,780968
2019-12-06,8.5329,8.6183,8.419,8.419,739309
2019-12-09,8.3905,8.4949,8.3383,8.4475,811843
2019-12-10,8.4285,8.4854,8.3621,8.4,486547
2019-12-11,8.3715,8.4237,8.2197,8.3905,612165
2019-12-12,8.3905,8.661,8.3715,8.6373,730781
2019-12-13,8.6278,8.7322,8.5993,8.7132,462203
2019-12-16,8.7892,9.1783,8.7892,9.1024,1339208
2019-12-17,9.539,9.539,9.0454,9.1973,4009297
2019-12-18,9.1593,9.3017,9.1309,9.2638,3667127
2019-12-19,9.3112,9.8332,9.3112,9.7953,3745700
2019-12-20,9.8712,9.9044,9.7858,9.8902,3009588
2019-12-23,9.8902,9.9661,9.7573,9.8427,779395
2019-12-24,9.9187,10.0041,9.8048,9.9187,346961
2019-12-26,9.9661,10.0278,9.8665,9.9661,1250509
2019-12-27,9.9756,9.9946,9.8902,9.9851,751107
2019-12-30,9.9946,10.2034,9.9566,10.156,1443144
2019-12-31,10.137,10.2509,10.0231,10.1085,1179568
2020-01-02,10.0895,10.1322,9.8617,9.9471,1144482
2020-01-03,9.8048,9.9234,9.7763,9.8522,905700
2020-01-06,9.7383,9.7674,9.4346,9.5105,1300114
2020-01-07,9.4821,9.7004,9.4631,9.6719,1014347
2020-01-08,9.577,9.577,9.2638,9.501,1885134
2020-01-09,9.5865,9.6624,9.4726,9.539,1382197
2020-01-10,9.539,9.6339,9.4821,9.5675,924368
2020-01-13,9.5865,9.5865,9.4441,9.4821,511937
2020-01-14,9.501,9.539,9.4346,9.4631,661893
2020-01-15,9.4156,9.4536,9.278,9.3207,1038677
2020-01-16,9.4061,9.4868,9.3871,9.4631,526186
2020-01-17,9.4726,9.5865,9.4441,9.4821,611833
2020-01-21,9.4441,9.4726,9.3492,9.3776,517588
2020-01-22,9.4156,9.4156,9.1309,9.2543,549035
2020-01-23,9.2353,9.3207,9.0265,9.0929,1024770
2020-01-24,9.0929,9.1071,8.9315,8.9505,597414
2020-01-27,8.7987,8.8366,8.7512,8.7987,670512
2020-01-28,8.8746,9.1593,8.8366,9.0739,1335254
2020-01-29,9.0834,9.1546,8.9221,9.0644,621705
2020-01-30,8.9695,9.259,8.9505,9.2448,531295
2020-01-31,9.1499,9.1973,9.0265,9.1593,888352
2020-02-03,9.1973,9.5675,9.1926,9.4441,1495604
2020-02-04,9.5865,9.6244,9.3587,9.4156,949208
2020-02-05,9.4915,9.6624,9.4583,9.6624,1098322
2020-02-06,9.7573,11.8265,9.6909,11.4848,4926817
2020-02-07,11.5797,11.7695,11.461,11.5417,40137176
