Date,Open,High,Low,Close,Volume
2021-09-10,9.9,9.95,9.88,9.89,13629274.0
2021-09-13,9.9,9.92,9.9,9.92,191742.0
2021-09-14,9.92,9.97,9.91,9.92,695398.0
2021-09-15,9.92,9.9761,9.92,9.94,158555.0
2021-09-16,10.0,10.0,9.95,9.98,1968.0
2021-09-20,9.94,9.94,9.94,9.94,200.0
2021-09-21,9.955,9.955,9.92,9.95,10126.0
2021-09-22,9.9307,9.9307,9.9307,9.9307,100.0
2021-09-23,9.96,9.96,9.93,9.93,1500.0
2021-09-24,9.93,9.951,9.93,9.951,900.0
2021-09-27,9.94,9.9401,9.94,9.94,500.0
2021-09-28,9.95,9.96,9.95,9.96,43983.0
2021-09-29,10.04,10.04,9.99,9.99,1000.0
2021-09-30,10.0,10.0,9.97,10.0,18149.0
2021-10-01,9.975,10.0,9.95,10.0,1900.0
2021-10-04,9.95,10.04,9.95,9.965,201100.0
2021-10-05,10.0,10.0,9.92,9.92,298089.0
2021-10-06,9.95,9.98,9.95,9.98,1587.0
2021-10-07,10.0,10.0,10.0,10.0,501.0
2021-10-08,10.0,10.0,9.99,10.0,1890.0
2021-10-11,9.9492,10.0,9.92,10.0,2300.0
2021-10-12,10.0,10.0,10.0,10.0,3000.0
2021-10-13,9.98,10.0,9.96,10.0,4100.0
2021-10-14,10.0,10.0,9.96,10.0,4300.0
2021-10-15,9.99,10.0,9.97,10.0,1400.0
2021-10-18,9.92,9.9704,9.92,9.9704,500.0
2021-10-22,9.97,9.985,9.965,9.97,36647.0
2021-10-26,9.97,9.9704,9.97,9.97,1300.0
2021-10-27,9.95,9.9803,9.95,9.9803,5600.0
2021-10-28,9.98,9.99,9.98,9.99,11694.0
2021-11-01,9.99,9.99,9.98,9.98,2900.0
2021-11-03,9.98,9.9803,9.98,9.98,6300.0
2021-11-04,10.0,10.0,9.99,9.99,89469.0
2021-11-05,9.99,9.99,9.99,9.99,300.0
2021-11-08,9.99,9.9901,9.99,9.99,15600.0
2021-11-09,9.99,9.995,9.98,9.99,89742.0
2021-11-10,9.99,10.0,9.99,9.99,12265.0
2021-11-11,9.98,10.0,9.98,9.98,103449.0
2021-11-12,9.99,9.99,9.99,9.99,23588.0
2021-11-15,9.9978,10.0,9.99,9.9978,17275.0
2021-11-16,9.9993,10.0,9.9993,10.0,5390.0
2021-11-18,9.95,9.99,9.95,9.99,1110.0
2021-11-19,9.98,9.98,9.98,9.98,500.0
2021-11-22,10.0,10.25,9.98,10.25,22450.0
2021-11-24,10.15,10.15,10.15,10.15,900.0
2021-11-29,10.01,10.01,10.01,10.01,56800.0
2021-12-03,10.0001,10.01,9.995,10.01,75319.0
2021-12-06,9.98,10.0,9.98,9.98,2649.0
2021-12-07,9.99,9.99,9.99,9.99,1400.0
2021-12-08,10.0,10.0,10.0,10.0,910.0
2021-12-09,10.02,10.02,10.02,10.02,5000.0
2021-12-10,10.0,10.02,9.99,10.02,56946.0
2021-12-13,10.02,10.02,10.0,10.02,5600.0
2021-12-15,10.0,10.02,9.98,10.02,50115.0
2021-12-28,10.0,10.02,9.99,9.99,50200.0
2021-12-29,9.92,9.92,9.92,9.92,500.0
2022-01-03,9.95,9.95,9.95,9.95,125.0
2022-01-06,10.93,10.93,10.0,10.0,3987.0
2022-01-10,10.6051,10.6051,10.6051,10.6051,250.0
2022-01-11,10.42,10.42,10.42,10.42,250.0
2022-01-12,10.05,10.05,10.01,10.03,2000.0
2022-01-13,10.0,10.0,10.0,10.0,100.0
2022-01-20,9.99,9.99,9.99,9.99,100.0
2022-01-24,10.05,10.05,10.05,10.05,100.0
2022-01-26,9.9201,9.9215,9.91,9.9113,1400.0
2022-01-27,9.89,10.43,9.88,10.195,1200.0
2022-01-31,9.85,9.96,9.85,9.95,1600.0
2022-02-02,9.92,10.0,9.92,10.0,2100.0
2022-02-03,10.01,10.01,9.99,10.01,31600.0
2022-02-04,9.88,9.95,9.88,9.9,50200.0
2022-02-07,9.96,9.96,9.94,9.94,49658.0
2022-02-08,9.96,9.97,9.96,9.97,1804.0
2022-02-09,9.96,9.97,9.88,9.96,55000.0
2022-02-17,9.94,9.94,9.94,9.94,200.0
2022-02-18,9.95,9.95,9.95,9.95,250.0
2022-02-24,9.92,9.92,9.92,9.92,250.0
