Date,Open,High,Low,Close,Volume
2020-07-07,25.152,25.6999,24.485,24.49,7643
2020-07-08,24.6601,24.8396,24.31,24.8396,10157
2020-07-09,24.7025,26.27,24.595,25.1147,6855
2020-07-10,24.95,25.11,24.77,24.85,18676
2020-07-13,24.79,25.0,24.79,24.98,17100
2020-07-14,25.0,25.3222,25.0,25.2999,7155
2020-07-15,25.3,25.34,25.1,25.3199,13153
2020-07-16,24.385,24.84,24.3,24.836,13747
2020-07-17,24.97,24.97,24.5001,24.5001,11050
2020-07-20,24.5548,24.86,24.5,24.815,4931
2020-07-21,24.75,24.9798,24.56,24.75,48762
2020-07-22,24.61,24.84,24.6,24.6,2453
2020-07-23,24.69,24.7686,24.5,24.55,8083
2020-07-24,24.83,24.96,24.7462,24.8001,5625
2020-07-27,24.97,24.99,24.5,24.7,9197
2020-07-28,24.61,24.88,24.61,24.61,3516
2020-07-29,24.64,24.64,24.1,24.28,43545
2020-07-30,24.19,24.44,24.0,24.25,19107
2020-07-31,24.25,24.45,24.0,24.1,11728
2020-08-03,24.31,24.36,24.1,24.32,9763
2020-08-04,24.327,24.35,24.3,24.33,6191
2020-08-05,24.35,24.93,24.315,24.87,17561
2020-08-06,24.53,24.79,24.53,24.66,2561
2020-08-07,24.8,24.99,24.65,24.87,4111
2020-08-10,24.86,24.86,24.35,24.53,12550
2020-08-11,25.09,25.09,24.65,24.67,26648
2020-08-12,24.77,24.9,24.67,24.67,3493
2020-08-13,24.77,24.8839,24.67,24.815,11223
2020-08-14,24.82,25.03,24.66,24.82,12959
2020-08-17,24.89,25.03,24.6,24.61,25947
2020-08-18,24.74,24.9665,24.55,24.77,30097
2020-08-19,24.85,25.12,24.83,25.12,8015
2020-08-20,25.085,25.36,25.085,25.3086,5703
2020-08-21,25.3171,25.45,25.22,25.355,10352
2020-08-24,25.3376,25.46,25.26,25.385,7342
2020-08-25,25.4117,25.635,25.35,25.5601,16495
2020-08-26,25.47,25.6904,25.3502,25.3502,13145
2020-08-27,25.7398,25.74,25.415,25.4999,13834
2020-08-28,25.75,26.02,25.5,25.755,34707
2020-08-31,25.85,25.85,25.5,25.65,10768
2020-09-01,25.75,26.075,25.74,26.0077,23181
2020-09-02,26.16,27.0,26.01,26.3019,13021
2020-09-03,26.49,26.73,25.9801,26.0,17505
2020-09-04,26.0,26.49,26.0,26.1028,5219
2020-09-08,26.14,26.239,26.14,26.239,900
2020-09-09,26.18,26.49,26.0001,26.2651,6237
2020-09-10,26.0001,26.0001,26.0001,26.0001,316
2020-09-11,26.25,26.25,26.05,26.08,3714
2020-09-14,26.2592,26.3,26.06,26.11,5488
2020-09-15,26.21,26.44,26.15,26.4388,5768
2020-09-16,26.55,26.65,26.55,26.6,4539
2020-09-17,26.55,26.57,26.015,26.555,6573
2020-09-18,26.2833,26.41,26.15,26.4,1217
2020-09-21,25.96,26.75,25.53,26.42,9329
2020-09-22,26.2841,26.429,26.12,26.26,3624
2020-09-23,26.2813,26.355,25.7501,25.7501,1859
2020-09-24,25.76,25.8325,25.68,25.7,3034
2020-09-25,25.99,26.053,25.82,26.053,1594
2020-09-28,26.17,26.5499,26.04,26.5399,3362
2020-09-29,26.07,26.2234,26.0,26.2,7473
2020-09-30,25.95,26.2,25.95,26.2,5850
2020-10-01,26.28,26.29,26.03,26.28,2159
2020-10-02,26.0,26.0,25.3,25.88,46884
2020-10-05,25.9,25.99,25.8,25.99,11730
2020-10-06,26.119,26.15,25.89,26.15,8497
2020-10-07,26.095,26.38,26.0654,26.38,3040
2020-10-08,26.149,26.38,25.85,26.15,8876
2020-10-09,26.22,26.25,26.22,26.25,645
2020-10-12,26.11,26.74,26.1,26.74,17662
2020-10-13,26.72,26.72,26.25,26.25,1670
2020-10-14,26.65,26.7,26.12,26.2,8836
2020-10-15,26.06,26.29,26.05,26.29,2825
2020-10-16,26.32,26.61,26.3,26.3,6313
2020-10-19,26.11,26.451,26.0,26.451,2590
2020-10-20,26.44,26.59,26.44,26.5001,4526
2020-10-21,26.3,26.35,25.77,26.3,7150
2020-10-22,26.15,26.28,25.58,26.03,14581
2020-10-23,26.23,26.29,25.9,26.25,18251
2020-10-26,26.19,26.25,25.98,26.1791,5181
2020-10-27,26.02,26.02,25.52,25.68,40136
2020-10-28,25.35,25.6025,25.32,25.34,8232
2020-10-29,25.53,25.67,25.42,25.57,8249
2020-10-30,25.7,25.75,25.5,25.72,10282
