Date,Open,High,Low,Close,Volume
2021-12-20,0.5,0.55,0.5,0.52,512793
2021-12-23,0.52,0.52,0.48,0.48,27638
2021-12-27,0.48,0.48,0.45,0.48,38647
2021-12-29,0.54,0.54,0.54,0.54,563
2021-12-30,0.52,0.52,0.52,0.52,1000
2021-12-31,0.52,0.52,0.52,0.52,1000
2022-01-03,0.54,0.5501,0.54,0.5501,141505
2022-01-04,0.55,0.5502,0.55,0.5501,14150
2022-01-05,0.5501,0.58,0.5501,0.58,912
2022-01-06,0.5002,0.5002,0.5002,0.5002,100
2022-01-10,0.5101,0.5101,0.48,0.48,4900
2022-01-11,0.49,0.49,0.49,0.49,75000
2022-01-12,0.5,0.5,0.5,0.5,101
2022-01-13,0.5,0.5,0.47,0.4758,30798
2022-01-14,0.4756,0.4756,0.475,0.4753,2683
2022-01-18,0.4753,0.4753,0.4745,0.4745,5959
2022-01-19,0.5,0.5,0.5,0.5,100000
2022-01-20,0.4745,0.4745,0.4501,0.4675,46731
2022-01-21,0.4674,0.4674,0.4051,0.4587,68259
2022-01-25,0.4585,0.4585,0.4203,0.4203,62599
2022-01-26,0.451,0.451,0.451,0.451,300
2022-01-28,0.451,0.451,0.4405,0.4473,30631
2022-01-31,0.4472,0.4472,0.4472,0.4472,200
2022-02-01,0.4472,0.4472,0.4365,0.44,59718
2022-02-03,0.4399,0.4399,0.4399,0.4399,100
2022-02-04,0.4399,0.4399,0.43,0.43,9260
2022-02-07,0.4399,0.44,0.4112,0.42,274110
2022-02-08,0.43,0.45,0.41,0.41,60617
2022-02-09,0.42,0.42,0.41,0.4192,18297
2022-02-10,0.5096,0.5096,0.5096,0.5096,1000
2022-02-11,0.4999,0.4999,0.4999,0.4999,500
2022-02-14,0.4446,0.4699,0.4446,0.4699,26251
2022-02-15,0.4699,0.4699,0.4699,0.4699,500
2022-02-16,0.4351,0.45,0.435,0.435,40563
2022-02-18,0.44,0.44,0.4348,0.435,900
2022-02-22,0.44,0.44,0.44,0.44,400
2022-02-23,0.44,0.44,0.3893,0.4177,30414
2022-02-24,0.4399,0.4399,0.4399,0.4399,200
2022-02-25,0.4299,0.4299,0.4299,0.4299,200
2022-02-28,0.4299,0.4299,0.4177,0.4177,1300
2022-03-02,0.4,0.42,0.3925,0.3925,107280
2022-03-03,0.4,0.4,0.4,0.4,400
2022-03-04,0.4,0.4,0.329,0.39,5145
2022-03-07,0.4,0.4,0.3999,0.3999,370
2022-03-08,0.3999,0.4,0.3999,0.4,200
