Date,Open,High,Low,Close,Volume
2021-05-11,110.0,120.0,89.6,98.8,174654.95
2021-05-12,96.0,113.0,80.0,95.8,129857.25
2021-05-13,98.0,99.0,75.0,77.0,75432.6
2021-05-14,82.0,84.6,72.012,80.0,38989.2
2021-05-17,80.0,82.8,68.4,69.0,96317.25
2021-05-18,69.0,71.4,62.0,64.4,33496.0
2021-05-19,68.6,79.0,57.0,60.0,89731.7
2021-05-20,59.8,67.2,58.4,67.0,32606.05
2021-05-21,66.8,67.2,61.0,64.0,14368.9
2021-05-24,63.4,72.0,63.4,68.2,22296.7
2021-05-25,70.0,81.6,68.37,76.0,38860.25
2021-05-26,77.6,83.0,76.2,80.0,13079.15
2021-05-27,80.6,84.598,74.0,76.4,11387.25
2021-05-28,77.596,89.598,72.6,80.0,32943.15
2021-06-01,80.0,83.2,76.0,77.6,10450.05
2021-06-02,77.6,80.2,73.954,77.4,19761.7
2021-06-03,75.4,80.4,73.2,79.2,9337.05
2021-06-04,75.2,80.0,70.0,75.0,15842.95
2021-06-07,74.8,76.6,70.2,74.8,15405.65
2021-06-08,74.0,76.0,69.9,71.2,12742.3
2021-06-09,72.0,76.0,66.8,70.0,21351.95
2021-06-10,73.6,74.6,70.4,70.8,7865.3
2021-06-11,73.6,74.8,71.2,73.0,8549.0
2021-06-14,73.8,82.0,72.6,73.2,47789.65
2021-06-15,73.2,75.4,68.2,69.2,13004.45
2021-06-16,68.8,73.6,68.0,71.8,9374.1
2021-06-17,72.0,73.6,69.6,70.0,9356.05
2021-06-18,71.8,74.0,69.274,74.0,7359.7
2021-06-21,72.6,73.2,68.6,69.0,8724.0
2021-06-22,69.2,72.6,65.0,70.0,14145.0
2021-06-23,72.6,73.0,68.0,71.8,11212.85
2021-06-24,70.8,79.0,69.0,76.2,47250.1
2021-06-25,76.0,82.6,74.0,77.6,32913.7
2021-06-28,77.6,79.6,73.2,75.002,13997.25
2021-06-29,75.0,77.0,73.2,74.8,7685.75
2021-06-30,74.0,80.0,72.494,74.8,17453.8
2021-07-01,74.8,78.2,74.0,74.4,10286.7
2021-07-02,78.2,78.2,71.0,71.0,4052.2999999999997
2021-07-06,74.2,75.0,71.6,72.6,2532.65
2021-07-07,72.6,73.0,68.0,70.2,3797.9
2021-07-08,69.22,75.8,67.4,69.0,24566.05
2021-07-09,68.8,70.998,68.0,69.6,4547.25
2021-07-12,70.0,73.0,68.2,69.8,8481.4
2021-07-13,69.8,74.0,69.282,71.0,22462.9
2021-07-14,70.6,71.264,66.4,67.4,15673.25
2021-07-15,67.0,68.0,62.8,64.4,9233.15
2021-07-16,66.0,66.0,61.6,63.6,14155.4
2021-07-19,62.8,63.0,57.2,60.6,8077.55
2021-07-20,61.0,66.4,59.0,66.4,19131.45
2021-07-21,68.69,68.69,61.636,61.8,11725.95
2021-07-22,61.8,62.598,58.4,60.6,5856.4
2021-07-23,61.2,68.2,60.0,61.8,4114.85
2021-07-26,67.6,96.0,61.152,77.0,101233.7
2021-07-27,81.2,112.0,73.0,104.2,477903.75
2021-07-28,102.0,204.6,100.0,179.8,2261555.65
2021-07-29,170.0,220.0,128.0,143.0,860907.75
2021-07-30,142.6,164.2,133.2,154.4,180326.5
2021-08-02,152.0,163.2,142.0,155.0,86270.95
2021-08-03,150.202,294.8,150.2,227.8,1555250.95
2021-08-04,220.2,234.6,191.0,204.0,186903.05
2021-08-05,192.0,298.0,184.0,231.6,939515.75
2021-08-06,232.2,277.0,214.0,250.0,388064.7
2021-08-09,242.2,274.6,223.6,244.0,152922.6
2021-08-10,243.8,285.0,243.8,262.8,177917.3
2021-08-11,263.0,282.2,251.0,256.8,109385.9
2021-08-12,257.0,277.6,243.6,254.2,71259.25
2021-08-13,254.6,368.0,245.0,334.8,686663.1
2021-08-16,333.8,429.0,286.0,299.0,719810.95
2021-08-17,298.0,334.0,225.0,242.2,257325.1
2021-08-18,238.2,244.8,200.8,221.2,118668.9
2021-08-19,223.0,226.6,171.6,183.6,153626.25
2021-08-20,182.0,259.4,178.0,253.0,1764641.4
2021-08-23,253.0,265.8,212.4,225.0,140895.8
2021-08-24,222.0,273.0,211.0,224.2,297759.5
2021-08-25,223.0,234.8,208.8,213.2,89933.6
2021-08-26,210.8,215.0,188.2,200.2,126757.65
2021-08-27,201.2,208.0,181.2,184.0,79187.85
2021-08-30,187.4,206.0,185.8,188.0,47857.05
2021-08-31,195.0,195.0,173.2,185.4,65361.25
2021-09-01,186.0,193.0,176.8,181.8,60276.95
2021-09-02,186.2,192.0,171.4,177.4,51229.9
2021-09-03,173.6,185.998,170.6,174.0,42720.1
2021-09-07,174.0,182.5,158.0,159.0,70632.0
2021-09-08,159.202,165.8,140.8,146.0,69551.95
2021-09-09,143.0,152.4,141.8,149.0,59474.9
2021-09-10,142.4,153.8,141.0,142.6,42077.3
2021-09-13,143.2,148.0,126.0,130.0,43846.75
2021-09-14,129.4,133.8,116.266,120.0,44022.35
2021-09-15,118.2,141.598,113.0,122.8,151116.35
2021-09-16,124.8,134.0,117.4,121.0,87533.5
2021-09-17,124.8,139.6,117.2,125.6,139433.9
2021-09-20,126.4,132.0,102.2,107.0,87640.5
2021-09-21,107.0,117.6,105.0,110.0,59618.4
2021-09-22,116.0,117.4,106.322,108.4,43428.8
2021-09-23,108.4,113.668,101.2,103.0,45408.6
2021-09-24,102.6,144.0,97.552,140.2,824146.85
2021-09-27,136.2,153.2,117.2,123.6,219119.65
2021-09-28,124.0,128.2,114.8,123.4,65123.4
2021-09-29,122.2,127.0,115.4,117.0,54635.25
2021-09-30,117.2,123.6,111.0,112.2,50698.95
2021-10-01,113.0,115.6,106.6,113.4,31394.6
