Date,Open,High,Low,Close,Volume
2007-05-15,4.5,6.91,0.03,5.51,22317
2007-05-16,5.4,6.0,5.12,5.17,9585
2007-05-17,5.9,5.9,5.61,5.61,13603
2007-05-18,5.67,6.1,5.67,6.08,39710
2007-05-21,6.0,6.0,5.5,5.72,26804
2007-05-22,5.8,5.95,5.6,5.9,9164
2007-05-23,5.85,5.85,5.6,5.78,7461
2007-05-24,5.7,5.771,5.6,5.65,2708
2007-05-25,5.65,5.84,5.65,5.71,2720
2007-05-29,5.7,5.75,5.7,5.7,3170
2007-05-30,5.5,5.74,5.5,5.74,9336
2007-05-31,5.75,5.75,5.55,5.6,4592
2007-06-01,5.52,5.56,5.48,5.48,13608
2007-06-04,5.47,5.83,5.4,5.61,24347
2007-06-05,5.52,5.6,5.5,5.51,2605
2007-06-06,5.52,5.79,5.45,5.47,7975
2007-06-07,5.25,5.47,5.2,5.22,11226
2007-06-08,5.21,5.21,5.15,5.19,4073
2007-06-11,5.239,5.47,5.19,5.47,10000
2007-06-12,5.5,5.55,5.26,5.31,4900
2007-06-13,5.25,5.42,5.17,5.28,2753
2007-06-14,5.25,5.49,5.25,5.26,4162
2007-06-15,5.25,5.29,5.2,5.22,7824
2007-06-18,5.17,5.24,5.15,5.15,2819
2007-06-19,5.2,5.21,5.16,5.2,7466
2007-06-20,5.3,5.3,5.14,5.14,6006
2007-06-21,5.14,5.18,5.1,5.12,6839
2007-06-22,5.12,5.18,5.12,5.17,6341
2007-06-25,5.28,5.454,5.035,5.035,10071
2007-06-26,5.05,5.13,5.04,5.04,3641
2007-06-27,5.02,5.06,5.0,5.04,6266
2007-06-28,5.14,5.14,4.97,5.0,17836
2007-06-29,4.95,5.03,4.95,4.97,2573
2007-07-02,4.89,4.89,4.64,4.75,12354
2007-07-03,4.67,4.68,4.65,4.659,6321
2007-07-05,4.79,4.842,4.44,4.49,14879
2007-07-06,4.42,4.46,4.34,4.41,34217
2007-07-09,4.37,4.39,4.2,4.208,10933
2007-07-10,4.32,9.12,4.32,7.5,1534517
2007-07-11,7.51,10.0,7.51,8.17,1508191
2007-07-12,8.35,8.45,7.23,7.43,397105
2007-07-13,7.59,7.6,6.84,6.84,192070
2007-07-16,7.06,7.18,6.6,6.75,129011
2007-07-17,6.73,7.75,6.73,7.35,284685
2007-07-18,7.25,7.66,7.14,7.14,90937
2007-07-19,7.2,7.28,6.96,7.0,60037
2007-07-20,6.91,7.25,6.8,7.14,102582
2007-07-23,7.05,7.24,7.01,7.11,66399
2007-07-24,7.75,7.85,7.34,7.5,163004
2007-07-25,7.46,7.48,7.0,7.3,67635
2007-07-26,7.16,7.19,6.81,6.86,37871
2007-07-27,6.9,7.09,6.8,6.93,34060
2007-07-30,6.87,7.0,6.81,6.96,18821
2007-07-31,6.91,7.3,6.8,7.198,32939
2007-08-01,7.01,7.25,6.96,7.24,17446
2007-08-02,7.14,7.23,6.87,7.0,16341
2007-08-03,7.34,7.34,7.0,7.1,25367
2007-08-06,7.25,7.25,6.4,6.9,44807
2007-08-07,6.9,6.9,6.76,6.838,9203
2007-08-08,6.65,7.0,6.65,6.77,27612
2007-08-09,6.81,6.81,6.31,6.499,53228
2007-08-10,6.48,6.69,6.09,6.2,41201
2007-08-13,6.2,6.456,6.127,6.4,31751
2007-08-14,6.46,6.78,6.29,6.483,39374
2007-08-15,6.52,7.11,6.511,6.9,39694
2007-08-16,6.73,7.1,6.62,6.86,32485
2007-08-17,6.87,7.08,6.58,6.89,23690
2007-08-20,6.83,7.38,6.83,7.22,27479
2007-08-21,7.32,7.53,7.32,7.53,17283
2007-08-22,7.5,7.62,7.38,7.43,14498
2007-08-23,7.409,7.5,7.18,7.32,26262
2007-08-24,7.1,7.49,6.97,7.05,9920
2007-08-27,7.07,7.58,7.07,7.29,22926
2007-08-28,7.2,7.68,7.2,7.25,18177
2007-08-29,7.26,7.8,7.26,7.26,11083
2007-08-30,7.4,7.558,7.27,7.34,8214
2007-08-31,7.28,7.78,7.28,7.4,11484
2007-09-04,7.4,7.45,7.06,7.06,24660
2007-09-05,7.03,7.35,7.03,7.35,19035
2007-09-06,7.17,7.27,7.08,7.1,18519
2007-09-07,7.2,7.2,6.85,6.9,24572
2007-09-10,7.1,7.1,6.3,6.45,57313
2007-09-11,6.4,6.75,6.3,6.59,18137
2007-09-12,6.52,6.95,6.52,6.85,19214
2007-09-13,6.816,7.2,6.801,7.0,30918
2007-09-14,7.04,7.15,6.75,6.97,24050
2007-09-17,6.931,7.23,6.881,7.21,23910
2007-09-18,6.85,7.14,6.85,6.85,13619
